sedan2door_-20_40_-20_0_20_240_20_400 gt:['-20', '40', '-20', '0', '20'] pred:[20.       46.746803 20.       14.743726 17.789633]
sedan2door_-40_40_-20_0_20_320_80_400 gt:['-40', '40', '-20', '0', '20'] pred:[40.53863  40.603706 21.041367 16.137136 25.133327]
hatchback_0_20_0_40_40_200_80_400 gt:['0', '20', '0', '40', '40'] pred:[ 2.2857492 17.468903   5.5599413 42.320835  41.400246 ]
sedan4door_0_40_0_0_40_0_20_450 gt:['0', '40', '0', '0', '40'] pred:[ 1.3688688 40.         3.3018897  0.        40.       ]
sedan2door_-40_40_-20_20_40_360_80_400 gt:['-40', '40', '-20', '20', '40'] pred:[40.088043 39.782722 23.878002 20.241367 39.112953]
hybrid_0_0_-40_40_40_120_60_450 gt:['0', '0', '-40', '40', '40'] pred:[ 2.0201797  4.912957  40.        15.550739  40.04565  ]
hybrid_0_40_0_0_0_80_60_400 gt:['0', '40', '0', '0', '0'] pred:[ 4.374561  47.37748   23.950909  20.78039    2.5873656]
hybrid_-20_40_0_20_20_0_20_400 gt:['-20', '40', '0', '20', '20'] pred:[18.548319 40.       18.318483 20.       20.      ]
hybrid_-40_20_0_0_0_160_40_400 gt:['-40', '20', '0', '0', '0'] pred:[40.        22.044178   0.        29.630186   3.4176624]
suv_-20_40_-40_40_20_200_80_400 gt:['-20', '40', '-40', '40', '20'] pred:[19.144222 44.82611  42.986725 42.070522 23.453268]
hybrid_-40_0_-20_20_40_0_20_450 gt:['-40', '0', '-20', '20', '40'] pred:[45.023956   0.        12.8853655 20.        40.       ]
sedan4door_0_0_-20_40_40_200_20_450 gt:['0', '0', '-20', '40', '40'] pred:[ 0.         5.0825896 20.        42.216568  39.098087 ]
suv_0_20_-20_20_40_240_40_400 gt:['0', '20', '-20', '20', '40'] pred:[ 0.       18.821028 20.       20.024086 38.503407]
suv_-20_0_-20_0_0_120_40_450 gt:['-20', '0', '-20', '0', '0'] pred:[20.         2.8065212 20.         3.8254206  0.       ]
suv_-40_40_-40_40_40_200_20_450 gt:['-40', '40', '-40', '40', '40'] pred:[40.       46.25691  40.       34.513752 45.431297]
sedan4door_-20_0_-40_20_40_200_80_450 gt:['-20', '0', '-40', '20', '40'] pred:[16.794655   2.5019844 45.952694  19.015835  38.75019  ]
hatchback_-20_0_0_0_40_0_40_400 gt:['-20', '0', '0', '0', '40'] pred:[17.569363  0.        4.065013  0.       42.75198 ]
sedan4door_-20_20_-20_20_20_360_40_400 gt:['-20', '20', '-20', '20', '20'] pred:[21.929665 20.       19.65627  20.       19.896774]
suv_0_40_-20_0_20_320_40_400 gt:['0', '40', '-20', '0', '20'] pred:[ 4.0656238 40.        17.134747   0.        22.56313  ]
suv_-40_40_0_40_0_120_60_450 gt:['-40', '40', '0', '40', '0'] pred:[38.43193   36.68326    0.        40.359642   5.5225325]
suv_-20_40_0_0_20_40_80_400 gt:['-20', '40', '0', '0', '20'] pred:[13.850529  45.31357    6.7506647  3.8550444 23.367496 ]
sedan2door_-40_40_-20_0_0_40_60_400 gt:['-40', '40', '-20', '0', '0'] pred:[42.28071   43.010014  22.929998   0.         2.6312373]
hatchback_-20_20_-40_20_0_0_20_400 gt:['-20', '20', '-40', '20', '0'] pred:[20.148375 20.       49.05857  20.        0.      ]
hybrid_-40_40_-20_0_20_120_20_450 gt:['-40', '40', '-20', '0', '20'] pred:[40.       46.317524 20.       14.458658 20.      ]
sedan2door_-20_0_-20_0_40_80_40_400 gt:['-20', '0', '-20', '0', '40'] pred:[20.124321   3.6811752  9.518407   0.        40.       ]
hatchback_-40_20_-20_20_40_80_20_400 gt:['-40', '20', '-20', '20', '40'] pred:[45.4953   20.       17.433857 20.       40.      ]
hybrid_0_40_-40_40_40_320_60_450 gt:['0', '40', '-40', '40', '40'] pred:[ 2.7051883 47.140907  19.774862  12.67987   41.061344 ]
suv_0_40_0_20_20_120_40_450 gt:['0', '40', '0', '20', '20'] pred:[ 0.       41.866653  0.       15.732994 20.      ]
sedan4door_0_20_-20_40_20_320_20_400 gt:['0', '20', '-20', '40', '20'] pred:[ 3.960392 20.       19.609005 40.       24.337759]
suv_-20_0_-40_20_0_120_40_400 gt:['-20', '0', '-40', '20', '0'] pred:[20.         3.2716904 40.        16.90656    0.       ]
sedan2door_-20_40_-40_40_20_160_80_400 gt:['-20', '40', '-40', '40', '20'] pred:[18.741583 43.914265 25.82284  12.648385 22.07301 ]
hatchback_0_20_-20_0_20_360_40_450 gt:['0', '20', '-20', '0', '20'] pred:[ 2.1553607 20.        19.181112   0.        19.598562 ]
hatchback_-20_0_-40_20_20_40_60_450 gt:['-20', '0', '-40', '20', '20'] pred:[17.562233  4.012274 43.89876  20.       23.034958]
hybrid_-40_0_0_20_40_120_60_400 gt:['-40', '0', '0', '20', '40'] pred:[42.82473    3.8421602  0.        21.228428  41.973    ]
sedan4door_0_20_-20_40_20_240_80_450 gt:['0', '20', '-20', '40', '20'] pred:[ 2.7797709 16.31765   19.690548  45.073822  22.795853 ]
suv_-40_40_0_40_40_240_80_450 gt:['-40', '40', '0', '40', '40'] pred:[41.731247  41.387928   6.0532856 36.186302  45.609142 ]
suv_0_40_-20_40_0_280_40_400 gt:['0', '40', '-20', '40', '0'] pred:[ 4.809773 45.15729  22.531507 35.48434   1.950823]
sedan2door_-40_0_-40_40_40_160_60_450 gt:['-40', '0', '-40', '40', '40'] pred:[43.299065  6.12255  40.       11.065582 40.325397]
hatchback_-40_0_-40_0_40_240_20_400 gt:['-40', '0', '-40', '0', '40'] pred:[40.        4.053932 40.        2.802575 43.619385]
hatchback_-40_40_-20_0_20_40_20_400 gt:['-40', '40', '-20', '0', '20'] pred:[38.99323  40.       20.262844  0.       20.      ]
hatchback_-20_20_-40_0_40_160_40_400 gt:['-20', '20', '-40', '0', '40'] pred:[20.        23.147608  40.         5.5424237 38.95164  ]
hybrid_-40_40_-40_0_0_280_60_400 gt:['-40', '40', '-40', '0', '0'] pred:[41.830383  44.461823  12.058402  36.155045   2.6575718]
suv_-20_0_0_20_20_200_20_400 gt:['-20', '0', '0', '20', '20'] pred:[20.         3.1204984  0.        12.774906  18.931166 ]
hybrid_-20_20_-40_20_0_360_60_400 gt:['-20', '20', '-40', '20', '0'] pred:[20.843924 19.424591 14.92688  20.        1.397731]
sedan4door_-40_40_-20_20_40_80_80_450 gt:['-40', '40', '-20', '20', '40'] pred:[38.671013 42.549683 21.272625 19.63037  40.      ]
sedan2door_-20_20_-20_20_20_160_40_450 gt:['-20', '20', '-20', '20', '20'] pred:[20.       22.76949  20.        9.267049 21.474913]
suv_-40_40_0_40_0_40_80_400 gt:['-40', '40', '0', '40', '0'] pred:[37.92878   43.751038  11.765669  37.959072   2.0779083]
hatchback_-20_40_0_0_40_80_80_450 gt:['-20', '40', '0', '0', '40'] pred:[14.152609  41.586346   3.8286898  5.772851  40.       ]
hybrid_0_20_0_40_40_80_80_400 gt:['0', '20', '0', '40', '40'] pred:[ 3.7634544 19.071444  20.198954  11.511946  40.       ]
hatchback_-40_20_-20_40_0_200_60_450 gt:['-40', '20', '-20', '40', '0'] pred:[41.355698 18.059822 20.       38.5819    3.005621]
hatchback_-20_40_0_40_40_360_80_450 gt:['-20', '40', '0', '40', '40'] pred:[21.677435 40.33359   5.272502 35.23034  40.23405 ]
hybrid_-20_40_0_0_40_80_80_450 gt:['-20', '40', '0', '0', '40'] pred:[19.222055 43.82406  25.826794 21.209866 40.      ]
hybrid_0_20_-20_40_40_120_20_450 gt:['0', '20', '-20', '40', '40'] pred:[ 0.       16.058372 20.       16.73999  40.      ]
sedan2door_-40_20_-20_40_0_280_40_400 gt:['-40', '20', '-20', '40', '0'] pred:[40.88215   23.436031  24.502365  11.879466   2.4928532]
hatchback_0_40_0_40_20_200_60_450 gt:['0', '40', '0', '40', '20'] pred:[ 2.5468287 45.294353   0.        44.631756  14.606855 ]
hybrid_-40_20_-20_40_20_120_40_400 gt:['-40', '20', '-20', '40', '20'] pred:[40.       20.608593 20.       27.607319 20.      ]
sedan2door_-20_40_-40_0_40_120_80_400 gt:['-20', '40', '-40', '0', '40'] pred:[17.527563 44.233253 22.8839   16.66219  40.21637 ]
suv_0_20_-40_20_20_40_20_450 gt:['0', '20', '-40', '20', '20'] pred:[ 1.9119787 20.        39.276794  20.        20.       ]
sedan4door_-40_0_-40_20_40_200_80_400 gt:['-40', '0', '-40', '20', '40'] pred:[39.544537   3.6513965 44.70881   15.942997  41.188534 ]
sedan2door_0_0_0_20_0_80_60_450 gt:['0', '0', '0', '20', '0'] pred:[ 2.9145865  3.6707554 35.239822  24.547787   2.2890837]
sedan4door_-20_20_-20_0_0_80_60_450 gt:['-20', '20', '-20', '0', '0'] pred:[17.124588  19.324223  16.114344   6.7695694  2.9003046]
sedan4door_-40_40_-40_0_20_200_80_450 gt:['-40', '40', '-40', '0', '20'] pred:[42.27456  42.45403  43.516327  5.352498 18.959332]
hatchback_0_0_-20_0_20_320_80_400 gt:['0', '0', '-20', '0', '20'] pred:[ 2.5576746  3.1780648 16.922535   4.892353  20.131443 ]
hatchback_0_40_-40_40_20_280_60_450 gt:['0', '40', '-40', '40', '20'] pred:[ 7.550372 43.678253 38.828228 40.52788  23.327318]
hatchback_-20_40_0_20_40_280_40_450 gt:['-20', '40', '0', '20', '40'] pred:[18.472136  42.252422   5.4057436 12.346738  44.53752  ]
sedan4door_-20_0_-40_40_20_200_20_450 gt:['-20', '0', '-40', '40', '20'] pred:[20.        4.631445 40.       41.031956 17.016888]
hybrid_-20_20_-40_20_40_0_60_450 gt:['-20', '20', '-40', '20', '40'] pred:[19.002733 21.50886  20.333466 20.       42.677544]
sedan2door_-40_0_-20_20_20_0_20_450 gt:['-40', '0', '-20', '20', '20'] pred:[42.441723  0.       13.581703 20.       20.      ]
hatchback_0_40_-40_0_40_160_60_400 gt:['0', '40', '-40', '0', '40'] pred:[ 3.0385184 44.63765   40.         3.1906464 40.08735  ]
suv_0_40_-40_0_40_200_60_400 gt:['0', '40', '-40', '0', '40'] pred:[ 8.389929  43.925556  40.         3.7326725 41.161972 ]
sedan4door_-20_20_-40_40_20_0_20_400 gt:['-20', '20', '-40', '40', '20'] pred:[18.513805 20.       40.51679  40.       20.      ]
suv_0_40_0_0_0_280_20_450 gt:['0', '40', '0', '0', '0'] pred:[ 2.182961   40.          4.557818    0.          0.19830933]
hatchback_-20_0_0_40_20_0_60_450 gt:['-20', '0', '0', '40', '20'] pred:[19.846014   4.002363   4.1174974 40.        21.921225 ]
hybrid_-40_0_0_0_0_80_80_450 gt:['-40', '0', '0', '0', '0'] pred:[45.97652    2.3576064 20.976261  30.598362   0.       ]
hatchback_-20_20_0_20_0_240_20_450 gt:['-20', '20', '0', '20', '0'] pred:[20.        25.2971     0.        20.19086    1.5155818]
suv_-40_40_-20_0_0_0_80_400 gt:['-40', '40', '-20', '0', '0'] pred:[43.93512   41.631798  21.906593   2.15146    4.2331047]
suv_0_20_-40_40_0_280_60_400 gt:['0', '20', '-40', '40', '0'] pred:[ 2.5770786 18.434265  40.826756  42.930355   2.1727245]
sedan4door_-20_20_-20_0_40_360_60_450 gt:['-20', '20', '-20', '0', '40'] pred:[21.064806 24.92256  14.185556  0.       42.618153]
hatchback_0_20_-20_40_0_0_40_400 gt:['0', '20', '-20', '40', '0'] pred:[ 2.1029937 20.        17.287687  40.         2.0562775]
suv_-20_40_-20_40_0_280_80_400 gt:['-20', '40', '-20', '40', '0'] pred:[16.64893   44.123672  22.298086  41.557285   2.4268024]
hybrid_-20_0_0_0_0_160_60_400 gt:['-20', '0', '0', '0', '0'] pred:[18.026237   2.6177251  0.         8.308544   1.0163059]
hatchback_-40_20_0_0_20_280_80_450 gt:['-40', '20', '0', '0', '20'] pred:[41.48246  22.141424  5.610811  5.087013 22.447355]
hybrid_-40_40_-20_0_20_280_20_450 gt:['-40', '40', '-20', '0', '20'] pred:[42.883923 40.       10.521278  0.       23.438316]
sedan2door_-40_40_-40_20_40_160_40_450 gt:['-40', '40', '-40', '20', '40'] pred:[40.       45.30473  40.       12.980511 41.662712]
sedan2door_0_40_0_0_40_200_20_450 gt:['0', '40', '0', '0', '40'] pred:[ 0.       48.681194  0.        6.982558 44.94538 ]
sedan2door_-20_20_0_20_40_280_80_400 gt:['-20', '20', '0', '20', '40'] pred:[17.69095  19.77086  22.727844 22.174408 41.716255]
sedan4door_-40_40_0_40_40_120_20_450 gt:['-40', '40', '0', '40', '40'] pred:[40.       44.04083   0.       40.948597 40.      ]
sedan2door_-20_20_0_0_0_80_60_450 gt:['-20', '20', '0', '0', '0'] pred:[15.984809 20.724182 17.167358 21.184566  1.50365 ]
hybrid_-40_40_-20_0_20_360_80_400 gt:['-40', '40', '-20', '0', '20'] pred:[40.023445 41.41054  21.906054 26.824741 19.189112]
hybrid_-20_20_0_20_40_40_40_400 gt:['-20', '20', '0', '20', '40'] pred:[20.605904 20.       14.518784 20.       42.24468 ]
suv_-40_20_0_40_0_360_80_400 gt:['-40', '20', '0', '40', '0'] pred:[43.138256  21.117142   4.2855496 42.54298    2.1956635]
suv_-40_20_-20_40_0_120_80_450 gt:['-40', '20', '-20', '40', '0'] pred:[39.22206  23.612717 17.267094 39.702595  1.781373]
suv_-20_0_-40_20_0_240_60_450 gt:['-20', '0', '-40', '20', '0'] pred:[15.255915   1.8987219 47.635937  14.653138   1.4770013]
suv_-40_20_-20_20_0_200_80_400 gt:['-40', '20', '-20', '20', '0'] pred:[40.590076  21.176344  20.635735  20.39333    1.7697481]
sedan2door_-40_40_-20_0_20_0_40_400 gt:['-40', '40', '-20', '0', '20'] pred:[42.343575 40.       18.10941   0.       18.923857]
sedan4door_-40_40_-20_40_0_80_60_450 gt:['-40', '40', '-20', '40', '0'] pred:[41.81182   41.54769   21.272272  43.223328   4.3313355]
sedan2door_-20_20_-40_0_0_120_60_400 gt:['-20', '20', '-40', '0', '0'] pred:[19.098532 23.062685 40.       12.593744  2.440161]
sedan2door_-40_0_-40_0_0_280_80_450 gt:['-40', '0', '-40', '0', '0'] pred:[42.58508    4.7116766 26.050303  18.37101    2.6277869]
suv_-40_0_-40_40_40_40_40_450 gt:['-40', '0', '-40', '40', '40'] pred:[41.808376  0.       38.566746 40.       42.50665 ]
hatchback_0_20_0_40_0_0_20_400 gt:['0', '20', '0', '40', '0'] pred:[ 1.5086915 20.         3.366992  40.         0.       ]
sedan4door_-20_0_-20_0_40_240_20_450 gt:['-20', '0', '-20', '0', '40'] pred:[20.         2.3003035 20.         5.07207   41.782986 ]
sedan4door_0_40_0_20_20_120_80_450 gt:['0', '40', '0', '20', '20'] pred:[ 2.9555619 41.65026    4.225091  19.287035  19.359232 ]
sedan4door_-40_20_-40_20_0_280_80_400 gt:['-40', '20', '-40', '20', '0'] pred:[42.045914 20.459162 43.057068 14.746342  2.430691]
sedan2door_0_40_-20_40_0_280_20_400 gt:['0', '40', '-20', '40', '0'] pred:[ 2.531932 40.       19.058086 40.        1.321276]
hatchback_0_0_0_40_20_320_60_450 gt:['0', '0', '0', '40', '20'] pred:[ 3.1211689  6.5454445  6.674677  39.941017  23.28102  ]
sedan4door_-40_0_-40_20_20_240_20_450 gt:['-40', '0', '-40', '20', '20'] pred:[40.         5.3476505 40.        17.896315  18.78895  ]
hybrid_0_20_0_20_40_160_80_400 gt:['0', '20', '0', '20', '40'] pred:[ 2.7704418 22.149014  16.238268  16.075396  40.09654  ]
sedan2door_-40_20_0_0_20_320_20_400 gt:['-40', '20', '0', '0', '20'] pred:[44.263176 20.       30.315872  0.       17.936739]
suv_-20_0_0_40_0_240_40_400 gt:['-20', '0', '0', '40', '0'] pred:[20.        4.63657   0.       39.98422   2.135679]
sedan4door_-40_20_0_40_0_0_60_400 gt:['-40', '20', '0', '40', '0'] pred:[42.58171   18.885862   4.894077  40.         1.7114701]
suv_-40_20_-20_40_0_160_80_450 gt:['-40', '20', '-20', '40', '0'] pred:[44.146057  21.394882  19.464724  35.922417   1.9513996]
suv_-40_40_-40_20_0_240_60_450 gt:['-40', '40', '-40', '20', '0'] pred:[43.131626 38.899143 43.56385  14.982375  2.9278  ]
sedan4door_-20_20_-40_20_20_200_80_450 gt:['-20', '20', '-40', '20', '20'] pred:[17.512957 19.405022 43.830067 17.396881 19.508728]
sedan2door_-40_40_-20_40_20_360_20_400 gt:['-40', '40', '-20', '40', '20'] pred:[42.681953 40.       14.82175  40.       20.      ]
hatchback_-40_0_-20_0_40_360_60_450 gt:['-40', '0', '-20', '0', '40'] pred:[39.850964   3.0740225 16.095215   0.        41.04823  ]
hybrid_-20_20_-40_20_40_120_20_450 gt:['-20', '20', '-40', '20', '40'] pred:[20.       21.914257 40.       14.006512 40.      ]
hybrid_0_40_0_0_20_160_80_450 gt:['0', '40', '0', '0', '20'] pred:[ 3.3416073 42.640656  29.61927   17.659721  17.615755 ]
sedan4door_-20_40_-40_0_20_160_40_450 gt:['-20', '40', '-40', '0', '20'] pred:[20.       41.42622  40.        2.958431 19.222725]
sedan2door_0_0_0_0_20_40_40_450 gt:['0', '0', '0', '0', '20'] pred:[ 2.1688173  0.        27.366304   0.        22.710943 ]
suv_-40_40_0_20_40_320_60_450 gt:['-40', '40', '0', '20', '40'] pred:[40.133713  44.04004    5.0602064 13.317968  41.59578  ]
hatchback_-20_0_0_40_0_120_80_400 gt:['-20', '0', '0', '40', '0'] pred:[17.97477    3.964398   3.575735  42.883873   2.5308452]
sedan4door_-40_20_-20_40_0_40_80_450 gt:['-40', '20', '-20', '40', '0'] pred:[40.93733   24.370667  17.141722  41.274563   3.0228438]
hatchback_0_0_-20_20_20_40_60_450 gt:['0', '0', '-20', '20', '20'] pred:[ 2.7410116  3.3902004 15.591291  20.        25.991432 ]
sedan2door_-40_20_0_20_20_40_60_450 gt:['-40', '20', '0', '20', '20'] pred:[42.27236  21.166471 15.426051 20.       20.98989 ]
sedan2door_-40_20_-40_20_20_200_20_400 gt:['-40', '20', '-40', '20', '20'] pred:[40.       23.135536 40.       31.814877 19.73026 ]
hybrid_-40_40_-40_20_0_360_40_450 gt:['-40', '40', '-40', '20', '0'] pred:[41.845825  40.        21.550001  20.         2.3652997]
hatchback_-20_0_-40_40_0_40_20_450 gt:['-20', '0', '-40', '40', '0'] pred:[19.147259  0.       49.62838  40.        0.      ]
suv_-20_0_0_0_40_200_60_400 gt:['-20', '0', '0', '0', '40'] pred:[14.531632   1.7070609  0.         3.3320577 41.925854 ]
hatchback_-20_20_0_40_20_240_80_450 gt:['-20', '20', '0', '40', '20'] pred:[16.267477  17.68141    5.8646393 40.09605   20.98175  ]
suv_0_20_0_20_0_80_20_450 gt:['0', '20', '0', '20', '0'] pred:[ 2.101448  20.         5.1490197 20.         0.       ]
suv_-40_40_-20_20_40_0_40_400 gt:['-40', '40', '-20', '20', '40'] pred:[39.8313   40.       21.666506 20.       39.489834]
sedan2door_-20_20_-40_20_20_0_40_400 gt:['-20', '20', '-40', '20', '20'] pred:[18.645906 20.       17.319038 20.       20.41817 ]
suv_-20_40_0_40_20_360_20_400 gt:['-20', '40', '0', '40', '20'] pred:[14.733986 40.        5.52673  40.       20.      ]
suv_0_40_-20_20_40_360_60_400 gt:['0', '40', '-20', '20', '40'] pred:[ 4.5205536 44.571762  21.803282  20.        41.41388  ]
sedan2door_0_0_-40_40_20_280_20_400 gt:['0', '0', '-40', '40', '20'] pred:[ 3.7978148  0.        28.593258  40.        29.209507 ]
hatchback_0_0_-40_0_40_320_40_400 gt:['0', '0', '-40', '0', '40'] pred:[ 4.530293  0.       46.031624  0.       40.031162]
suv_-40_20_-40_20_0_40_20_450 gt:['-40', '20', '-40', '20', '0'] pred:[38.06233  20.       42.438164 20.        0.      ]
hatchback_-40_0_-20_40_40_240_40_450 gt:['-40', '0', '-20', '40', '40'] pred:[40.         6.8021493 20.        43.09219   39.569435 ]
hatchback_-20_0_-20_0_20_240_60_400 gt:['-20', '0', '-20', '0', '20'] pred:[15.520724   2.3570347 14.054623   2.4162323 18.381954 ]
suv_0_20_0_20_40_0_60_450 gt:['0', '20', '0', '20', '40'] pred:[ 2.8349636 24.01667    2.808935  20.        42.0375   ]
hatchback_0_20_0_20_0_120_40_400 gt:['0', '20', '0', '20', '0'] pred:[ 0.       25.409885  0.       18.312744  0.      ]
suv_-40_0_0_0_20_320_60_400 gt:['-40', '0', '0', '0', '20'] pred:[43.566006   2.8928792  4.252721   4.751719  24.642004 ]
hatchback_-40_0_0_40_20_120_20_400 gt:['-40', '0', '0', '40', '20'] pred:[40.        4.207149  0.       44.544125 20.      ]
hybrid_-40_40_-20_40_20_0_40_400 gt:['-40', '40', '-20', '40', '20'] pred:[42.33752  40.       16.909382 40.       21.86994 ]
hybrid_0_20_-40_40_20_0_60_450 gt:['0', '20', '-40', '40', '20'] pred:[ 2.7694864 20.937836  18.12085   40.        22.338024 ]
sedan4door_-40_40_0_20_20_40_40_450 gt:['-40', '40', '0', '20', '20'] pred:[40.678654  40.         3.5160465 20.        13.432065 ]
hatchback_-40_20_-40_40_0_200_80_450 gt:['-40', '20', '-40', '40', '0'] pred:[41.07506  16.345736 45.630802 38.481037  4.791818]
sedan2door_-20_40_0_0_0_120_20_450 gt:['-20', '40', '0', '0', '0'] pred:[20.       48.26525   0.       21.712896  0.      ]
sedan2door_0_20_-40_0_20_0_20_450 gt:['0', '20', '-40', '0', '20'] pred:[ 2.147834 20.       12.493962  0.       20.      ]
sedan2door_0_40_-40_40_20_40_80_450 gt:['0', '40', '-40', '40', '20'] pred:[ 2.9880106 45.756237  33.544804  20.747967  18.96507  ]
hybrid_-40_0_0_20_0_80_80_450 gt:['-40', '0', '0', '20', '0'] pred:[45.836098   2.2578347 21.7532    30.51021    0.       ]
sedan4door_0_20_-20_40_20_320_60_400 gt:['0', '20', '-20', '40', '20'] pred:[ 2.4770088 24.400158  19.19332   42.249172  20.79749  ]
suv_-40_40_-20_40_20_120_40_400 gt:['-40', '40', '-20', '40', '20'] pred:[40.       43.610245 20.       38.462227 20.      ]
sedan4door_-40_0_-20_0_20_280_40_450 gt:['-40', '0', '-20', '0', '20'] pred:[46.823948  0.808616 16.744816  8.03963  23.808355]
hatchback_-20_20_0_40_20_240_60_400 gt:['-20', '20', '0', '40', '20'] pred:[16.628143  20.339943   3.9190955 39.46145   17.615736 ]
suv_-20_40_0_20_40_40_60_400 gt:['-20', '40', '0', '20', '40'] pred:[20.979967  43.95111    4.2097754 20.        39.296185 ]
suv_0_40_-40_0_20_40_40_400 gt:['0', '40', '-40', '0', '20'] pred:[ 2.8476095 40.        44.94861    0.        15.769111 ]
sedan2door_-20_40_-40_20_40_280_80_450 gt:['-20', '40', '-40', '20', '40'] pred:[20.572096 41.174095 26.90068  26.23981  35.443604]
sedan2door_0_40_-40_0_0_240_40_400 gt:['0', '40', '-40', '0', '0'] pred:[ 0.        43.36372   40.        18.50719    1.8527924]
sedan2door_0_0_-40_40_20_40_20_400 gt:['0', '0', '-40', '40', '20'] pred:[ 3.842415  0.       21.767641 40.       20.      ]
hybrid_-20_40_-20_40_20_240_80_450 gt:['-20', '40', '-20', '40', '20'] pred:[19.221708 43.505825 17.683567 17.427195 19.569084]
hybrid_-20_20_-40_20_40_240_20_400 gt:['-20', '20', '-40', '20', '40'] pred:[20.       23.953226 40.       14.777501 42.19962 ]
sedan4door_0_40_-20_20_0_80_40_450 gt:['0', '40', '-20', '20', '0'] pred:[ 3.6801069 45.230747  18.813326  20.         0.       ]
sedan2door_0_0_-40_20_40_80_40_400 gt:['0', '0', '-40', '20', '40'] pred:[ 3.10843   2.254191  7.586779 20.       40.      ]
hybrid_-40_40_0_0_0_0_20_450 gt:['-40', '40', '0', '0', '0'] pred:[45.559353 40.       24.255384  0.        0.      ]
hatchback_-20_0_0_0_0_80_80_400 gt:['-20', '0', '0', '0', '0'] pred:[16.343807   1.6231344  2.4914732  1.622578   0.       ]
suv_0_0_0_20_40_360_60_450 gt:['0', '0', '0', '20', '40'] pred:[ 1.9810331  2.181699   2.431829  20.        42.157753 ]
hatchback_-20_20_-40_0_40_160_60_400 gt:['-20', '20', '-40', '0', '40'] pred:[17.334646  21.816633  40.         4.5860543 42.468117 ]
sedan2door_-40_20_-40_0_20_40_20_450 gt:['-40', '20', '-40', '0', '20'] pred:[43.845818 20.       14.290271  0.       20.      ]
sedan4door_-20_40_-40_40_0_120_80_400 gt:['-20', '40', '-40', '40', '0'] pred:[17.151524  43.037422  41.05628   39.7007     2.5369427]
suv_-20_40_-40_40_20_320_20_450 gt:['-20', '40', '-40', '40', '20'] pred:[24.508593 40.       43.56436  40.       17.243446]
hybrid_-40_40_0_0_0_320_60_450 gt:['-40', '40', '0', '0', '0'] pred:[39.46372   43.64871   12.633788  17.249102   2.3139222]
sedan4door_0_40_0_0_40_120_20_450 gt:['0', '40', '0', '0', '40'] pred:[ 0.        45.461876   0.         2.4977453 40.       ]
sedan4door_0_40_0_40_40_120_60_400 gt:['0', '40', '0', '40', '40'] pred:[ 2.893672 42.271477  0.       40.953293 40.041424]
sedan2door_-40_40_0_20_0_360_60_450 gt:['-40', '40', '0', '20', '0'] pred:[41.837276 42.85125  17.189713 20.        2.080173]
hatchback_-40_40_0_0_20_200_20_400 gt:['-40', '40', '0', '0', '20'] pred:[40.       43.815735  0.        5.672804 17.570013]
sedan2door_-40_40_-40_40_0_360_60_450 gt:['-40', '40', '-40', '40', '0'] pred:[41.968975  43.191437  17.123543  40.         2.2794251]
hybrid_0_20_-20_0_20_280_60_400 gt:['0', '20', '-20', '0', '20'] pred:[ 1.9467256 28.560719  37.67401   10.057626  17.87868  ]
sedan2door_-20_20_-40_0_0_80_40_400 gt:['-20', '20', '-40', '0', '0'] pred:[19.308435  25.994404  13.3795805  0.         0.       ]
suv_0_0_0_40_40_200_40_450 gt:['0', '0', '0', '40', '40'] pred:[ 0.         4.2284822  0.        41.907303  42.25396  ]
sedan2door_0_40_-20_20_0_80_60_450 gt:['0', '40', '-20', '20', '0'] pred:[ 3.4397073 47.419346  19.513483  20.531702   1.6795689]
sedan4door_0_0_-20_0_20_160_40_450 gt:['0', '0', '-20', '0', '20'] pred:[ 0.         1.7766942 20.         3.9230404 20.178146 ]
sedan4door_-40_40_0_20_40_200_20_400 gt:['-40', '40', '0', '20', '40'] pred:[40.       45.238464  0.       15.292591 39.169662]
suv_-40_40_-40_40_20_160_40_450 gt:['-40', '40', '-40', '40', '20'] pred:[40.       41.925465 40.       42.345116 19.718588]
sedan4door_-40_20_-20_0_20_320_20_400 gt:['-40', '20', '-20', '0', '20'] pred:[42.090996 20.       20.248262  0.       22.127804]
hatchback_0_40_-20_20_40_280_40_450 gt:['0', '40', '-20', '20', '40'] pred:[ 4.3597927 42.100864  17.0944    11.80909   42.747787 ]
sedan4door_0_40_-20_0_0_200_40_450 gt:['0', '40', '-20', '0', '0'] pred:[ 0.        47.48214   20.         3.0988317  1.6441879]
hybrid_-40_40_-20_0_20_0_60_450 gt:['-40', '40', '-20', '0', '20'] pred:[42.857315 43.621098 18.238937  0.       21.926466]
sedan4door_-40_0_-40_20_0_200_20_400 gt:['-40', '0', '-40', '20', '0'] pred:[40.         3.2459364 40.        14.575918   2.4266691]
suv_0_20_-40_20_0_160_40_400 gt:['0', '20', '-40', '20', '0'] pred:[ 0.        18.120985  40.        18.733175   1.7135462]
hatchback_0_0_0_0_20_240_80_450 gt:['0', '0', '0', '0', '20'] pred:[ 2.2798185  2.799654   7.151434   4.5047374 21.215954 ]
suv_-20_0_-40_0_40_280_20_450 gt:['-20', '0', '-40', '0', '40'] pred:[16.90075   0.       42.02168   0.       39.227196]
hybrid_0_0_0_0_40_240_80_450 gt:['0', '0', '0', '0', '40'] pred:[ 1.9300029  2.6705086 31.690722  24.577732  40.979927 ]
