Hatchback_-20_20_0_0_20_80_20_400 gt:['-20', '20', '0', '0', '20'] pred:[15.958702  20.        12.422634   0.         1.3404418]
Sedan2Door_-20_20_-20_0_0_0_20_450 gt:['-20', '20', '-20', '0', '0'] pred:[16.196428  20.        19.060106   0.         0.6408278]
Sedan2Door_-20_20_-20_20_20_80_60_450 gt:['-20', '20', '-20', '20', '20'] pred:[19.15724    29.389269   20.         20.          0.32256144]
Hybrid_0_0_-20_0_0_320_60_400 gt:['0', '0', '-20', '0', '0'] pred:[6.810004  0.        7.479353  0.        0.8152311]
Hybrid_0_0_0_0_0_240_20_400 gt:['0', '0', '0', '0', '0'] pred:[0.        4.7866697 0.        6.910699  2.2746806]
Sedan2Door_0_0_0_20_20_320_20_450 gt:['0', '0', '0', '20', '20'] pred:[ 7.7022223  0.         0.        20.         0.4739855]
Suv_0_20_-20_20_20_320_20_400 gt:['0', '20', '-20', '20', '20'] pred:[10.190063 20.       44.532738 20.       14.878001]
Sedan4Door_0_0_-20_0_0_160_20_400 gt:['0', '0', '-20', '0', '0'] pred:[ 1.3943089  5.239317   2.1308722  2.7813697 28.724876 ]
Hybrid_0_0_0_20_0_160_20_450 gt:['0', '0', '0', '20', '0'] pred:[ 0.      19.01284  0.      20.       0.     ]
Hybrid_0_0_-20_0_20_240_20_450 gt:['0', '0', '-20', '0', '20'] pred:[ 0.        9.588657 20.       20.254824 39.37843 ]
Sedan2Door_0_0_0_20_20_0_20_400 gt:['0', '0', '0', '20', '20'] pred:[10.629143  0.        0.       20.       20.      ]
Hybrid_0_0_-20_0_0_160_20_400 gt:['0', '0', '-20', '0', '0'] pred:[ 4.9464846 38.70616   42.825768   0.         5.650905 ]
Suv_-20_0_0_0_0_320_20_450 gt:['-20', '0', '0', '0', '0'] pred:[16.4326     0.        17.884478   0.         1.0608649]
Suv_0_20_-20_20_20_160_20_400 gt:['0', '20', '-20', '20', '20'] pred:[ 1.9903971 11.553994   7.4891315  9.424733  10.458907 ]
Sedan2Door_-20_20_-20_0_0_240_60_450 gt:['-20', '20', '-20', '0', '0'] pred:[16.012932  14.357776  10.544854   0.         2.8980794]
Sedan2Door_-20_0_0_20_0_0_60_400 gt:['-20', '0', '0', '20', '0'] pred:[12.573062   2.7233167 28.504162  20.         0.0452541]
Hatchback_-20_20_-20_0_20_240_60_400 gt:['-20', '20', '-20', '0', '20'] pred:[ 9.519262  12.27062    7.657584   5.3525558 19.538807 ]
Suv_0_20_0_20_0_160_20_400 gt:['0', '20', '0', '20', '0'] pred:[ 0.        17.572298   4.5309243 16.79703    7.242767 ]
Sedan2Door_0_20_0_20_0_0_60_400 gt:['0', '20', '0', '20', '0'] pred:[ 6.387177  14.45112    8.879384   4.2456336  2.8849294]
Suv_0_20_0_20_20_240_20_450 gt:['0', '20', '0', '20', '20'] pred:[20.44629  24.276741  0.       50.278774 42.98096 ]
Hatchback_-20_20_-20_0_0_80_20_400 gt:['-20', '20', '-20', '0', '0'] pred:[20.311062 20.        8.171159  0.        0.      ]
Suv_0_20_-20_20_0_80_60_400 gt:['0', '20', '-20', '20', '0'] pred:[15.587305   15.5554495  14.024177    7.027659    0.48724076]
Hybrid_0_0_-20_20_0_160_60_400 gt:['0', '0', '-20', '20', '0'] pred:[ 5.743647   6.481095  14.6173115 20.         1.8027654]
Sedan4Door_0_0_0_0_0_320_60_400 gt:['0', '0', '0', '0', '0'] pred:[5.285521  0.        9.96785   0.        1.3670832]
Hatchback_0_0_-20_0_20_160_20_400 gt:['0', '0', '-20', '0', '20'] pred:[ 0.       13.290034 20.       25.706656 36.31161 ]
Hatchback_-20_20_-20_20_0_160_20_400 gt:['-20', '20', '-20', '20', '0'] pred:[20.        19.653467   2.0232751 10.922377  38.766876 ]
Suv_-20_20_-20_0_0_160_60_400 gt:['-20', '20', '-20', '0', '0'] pred:[15.597478    2.7554343  20.          2.8316169   0.55516446]
Sedan4Door_-20_20_0_0_20_0_60_400 gt:['-20', '20', '0', '0', '20'] pred:[18.950787  28.456648  11.923753   0.         5.6911407]
Sedan2Door_-20_0_0_0_20_240_20_400 gt:['-20', '0', '0', '0', '20'] pred:[44.81712  21.164267  2.919202  0.       23.61284 ]
Hybrid_-20_20_-20_0_20_80_60_400 gt:['-20', '20', '-20', '0', '20'] pred:[ 8.518156   12.363486   12.761023    0.          0.07463662]
Hybrid_0_20_0_20_20_240_20_400 gt:['0', '20', '0', '20', '20'] pred:[ 0.       10.020439  0.       32.860386 11.384275]
Sedan4Door_0_0_0_0_20_320_60_450 gt:['0', '0', '0', '0', '20'] pred:[ 6.781048 35.310005  7.043254  0.        6.056941]
Hatchback_-20_20_0_20_0_0_60_400 gt:['-20', '20', '0', '20', '0'] pred:[21.133257 20.661283 40.955074 20.        0.703016]
Sedan4Door_-20_0_0_0_0_240_20_400 gt:['-20', '0', '0', '0', '0'] pred:[20.        14.871435  12.56808    2.8087752 38.235943 ]
Suv_0_20_-20_20_0_80_20_450 gt:['0', '20', '-20', '20', '0'] pred:[15.741128 20.       45.948112 20.        1.623667]
Hybrid_-20_20_0_20_0_0_20_450 gt:['-20', '20', '0', '20', '0'] pred:[29.841469   20.          4.114273   20.          0.15511629]
Suv_-20_0_0_20_20_240_20_450 gt:['-20', '0', '0', '20', '20'] pred:[21.151064 13.989864  8.13815  11.994887 47.11344 ]
Hatchback_-20_20_-20_20_0_0_20_450 gt:['-20', '20', '-20', '20', '0'] pred:[19.686003   20.         11.155005   20.          0.02030576]
Hybrid_-20_20_0_20_0_320_60_400 gt:['-20', '20', '0', '20', '0'] pred:[13.552167   12.087789    0.         20.          0.38225117]
Sedan2Door_0_20_-20_20_20_80_60_450 gt:['0', '20', '-20', '20', '20'] pred:[22.943619    8.838789   13.927297   20.          0.29268265]
Hatchback_-20_20_-20_20_20_240_60_450 gt:['-20', '20', '-20', '20', '20'] pred:[ 9.119808  19.103788  13.820189  10.085725   0.9235875]
Hatchback_0_20_0_0_20_80_60_450 gt:['0', '20', '0', '0', '20'] pred:[19.044691    7.77309     6.5628486   2.634021    0.10070734]
Suv_-20_0_0_0_0_240_20_400 gt:['-20', '0', '0', '0', '0'] pred:[20.         7.483757  19.102497   3.4486015  1.5437247]
Sedan2Door_0_0_0_0_20_0_20_450 gt:['0', '0', '0', '0', '20'] pred:[ 5.839274  0.        0.        0.       15.624626]
Hybrid_0_0_0_0_20_320_60_400 gt:['0', '0', '0', '0', '20'] pred:[ 1.3972796  26.456951    1.2673008   0.          0.02968273]
Sedan4Door_0_0_-20_0_0_80_60_400 gt:['0', '0', '-20', '0', '0'] pred:[8.607432  3.5122342 9.053285  4.408252  0.7166148]
Hatchback_0_0_0_0_20_320_20_400 gt:['0', '0', '0', '0', '20'] pred:[ 8.163219  0.       36.626945  0.       31.860659]
Suv_-20_20_-20_20_0_160_20_450 gt:['-20', '20', '-20', '20', '0'] pred:[ 2.0000095  5.4597516 41.447147  14.19625    1.430741 ]
Sedan2Door_-20_20_0_0_20_0_60_450 gt:['-20', '20', '0', '0', '20'] pred:[17.149757   5.5911393  8.21107    0.        22.07547  ]
Suv_0_20_0_20_20_320_60_450 gt:['0', '20', '0', '20', '20'] pred:[ 3.3782737 10.678671   3.0000434  0.8352417  3.2433143]
Sedan4Door_0_20_-20_0_0_80_20_400 gt:['0', '20', '-20', '0', '0'] pred:[15.133844   20.         35.166935    0.          0.33169025]
Hatchback_0_0_0_0_20_0_60_450 gt:['0', '0', '0', '0', '20'] pred:[11.550095   8.777044   7.0774093  0.         1.8598012]
Hybrid_-20_0_0_0_20_160_60_400 gt:['-20', '0', '0', '0', '20'] pred:[10.050744   3.2425458  2.2917595  1.544313   2.2988346]
Hybrid_0_20_-20_20_20_160_60_400 gt:['0', '20', '-20', '20', '20'] pred:[ 9.946133   9.034596  13.214655  20.         1.2846483]
Hybrid_0_20_-20_0_20_320_60_450 gt:['0', '20', '-20', '0', '20'] pred:[18.330559  11.956667   1.0148325  4.122609   7.07213  ]
Hatchback_0_0_-20_20_20_320_20_450 gt:['0', '0', '-20', '20', '20'] pred:[32.736023  0.       16.029192 20.       15.938791]
Sedan2Door_-20_0_-20_0_0_160_20_450 gt:['-20', '0', '-20', '0', '0'] pred:[ 2.3350449 27.674946  25.941141   0.         9.588014 ]
Hatchback_0_0_-20_0_0_160_60_400 gt:['0', '0', '-20', '0', '0'] pred:[13.981707    5.143838   10.0679035   0.9682921   0.43708986]
Suv_0_0_-20_0_0_240_20_450 gt:['0', '0', '-20', '0', '0'] pred:[13.745016   5.060931   4.2682886  2.3049953  1.1517467]
Sedan2Door_-20_20_-20_0_0_80_60_450 gt:['-20', '20', '-20', '0', '0'] pred:[2.2610134e+01 4.7411156e+00 1.7819757e+01 6.4224591e+00 1.9846302e-03]
Hybrid_-20_20_0_20_20_160_60_450 gt:['-20', '20', '0', '20', '20'] pred:[11.035532   11.3210335   5.353614   20.          0.08849441]
Hatchback_-20_20_-20_0_20_320_20_400 gt:['-20', '20', '-20', '0', '20'] pred:[22.23861  20.       27.436453  0.        8.053536]
Suv_-20_0_-20_20_20_320_20_450 gt:['-20', '0', '-20', '20', '20'] pred:[ 8.885084  0.       22.460196 20.        6.649205]
Suv_-20_0_0_0_0_320_20_400 gt:['-20', '0', '0', '0', '0'] pred:[11.264476  0.       20.18905   0.       14.254941]
Sedan4Door_0_20_-20_20_20_0_60_450 gt:['0', '20', '-20', '20', '20'] pred:[ 5.687018   13.238173   13.726116   20.          0.18306874]
Sedan2Door_0_0_0_20_20_160_20_400 gt:['0', '0', '0', '20', '20'] pred:[ 3.3055942   3.8188925   0.17671807  0.6785392  20.        ]
Sedan2Door_0_0_-20_20_0_160_20_450 gt:['0', '0', '-20', '20', '0'] pred:[0.         5.2974577  0.31414863 1.8297836  7.7058945 ]
Hatchback_-20_0_0_20_20_160_20_400 gt:['-20', '0', '0', '20', '20'] pred:[20.        10.800142   1.7499294 22.626587  40.99184  ]
Hatchback_-20_20_-20_20_20_80_60_400 gt:['-20', '20', '-20', '20', '20'] pred:[25.186256  27.103828  29.248343  18.241539   0.8122204]
Sedan2Door_-20_0_-20_0_20_320_60_400 gt:['-20', '0', '-20', '0', '20'] pred:[11.303207   9.450781  11.200599   0.         7.8950357]
Sedan2Door_-20_0_-20_20_0_240_20_400 gt:['-20', '0', '-20', '20', '0'] pred:[22.10842  11.832463 10.008939 20.       12.810673]
Sedan2Door_-20_0_0_0_20_240_60_400 gt:['-20', '0', '0', '0', '20'] pred:[12.380158  9.867663  9.672412  0.       25.468452]
Sedan4Door_-20_20_0_0_20_240_60_400 gt:['-20', '20', '0', '0', '20'] pred:[17.033314   5.8866324  0.         1.6479694 19.59834  ]
Sedan2Door_-20_0_-20_0_20_240_60_450 gt:['-20', '0', '-20', '0', '20'] pred:[23.772673   1.7583066  1.1528572  1.5481272 33.222687 ]
Hatchback_-20_20_0_20_0_160_60_400 gt:['-20', '20', '0', '20', '0'] pred:[20.529476    0.74971056  1.760342    7.4991846   0.55117255]
Sedan2Door_0_0_0_0_20_240_20_400 gt:['0', '0', '0', '0', '20'] pred:[16.298254 25.427412  0.       37.52546   5.016877]
Suv_-20_0_-20_20_20_0_60_450 gt:['-20', '0', '-20', '20', '20'] pred:[39.247074  0.       21.32887  20.        6.992202]
Hatchback_0_20_-20_0_0_160_20_450 gt:['0', '20', '-20', '0', '0'] pred:[14.691429   4.288582   1.3002791  1.0076692  3.373068 ]
Hatchback_0_20_-20_0_0_0_60_400 gt:['0', '20', '-20', '0', '0'] pred:[12.235918  12.016273   4.280613   0.         5.2328753]
Suv_-20_20_-20_20_20_160_60_400 gt:['-20', '20', '-20', '20', '20'] pred:[33.69448     3.062424   25.660141   12.469804    0.34603876]
Suv_0_0_0_0_20_240_20_400 gt:['0', '0', '0', '0', '20'] pred:[14.652859  14.317118   2.1001787  7.613601   2.68165  ]
Sedan2Door_-20_20_-20_20_20_240_60_450 gt:['-20', '20', '-20', '20', '20'] pred:[ 8.962407   11.4451065  12.516129   24.583334    0.08040788]
Sedan2Door_0_20_-20_0_0_320_20_400 gt:['0', '20', '-20', '0', '0'] pred:[ 4.7011495  20.          0.52720857  0.          0.531288  ]
Suv_0_0_0_20_20_320_60_400 gt:['0', '0', '0', '20', '20'] pred:[ 4.0112934  18.361897   17.921125    4.141956    0.34376508]
Hybrid_-20_20_-20_0_20_0_20_400 gt:['-20', '20', '-20', '0', '20'] pred:[31.567526  20.         4.979229   0.         1.9293362]
Suv_-20_0_0_0_0_80_60_400 gt:['-20', '0', '0', '0', '0'] pred:[21.51909     3.9546075   2.1683972   6.2899036   0.29675832]
Sedan2Door_0_0_0_20_0_240_20_450 gt:['0', '0', '0', '20', '0'] pred:[ 0.        10.982674   0.9118691 20.        11.082382 ]
Hybrid_-20_0_-20_0_20_160_60_400 gt:['-20', '0', '-20', '0', '20'] pred:[16.058361   17.268566   14.944328    0.          0.81558466]
Sedan4Door_0_0_0_20_20_240_20_400 gt:['0', '0', '0', '20', '20'] pred:[ 0.        13.617864   2.0101607  9.404225  18.760637 ]
Suv_0_0_0_20_20_320_20_450 gt:['0', '0', '0', '20', '20'] pred:[ 8.156612   0.        55.62001   20.         1.3467739]
Hybrid_-20_20_0_0_20_240_60_400 gt:['-20', '20', '0', '0', '20'] pred:[ 6.3170977  7.627777   2.3996162  0.        51.46119  ]
Hybrid_0_20_0_0_20_240_20_400 gt:['0', '20', '0', '0', '20'] pred:[0.        7.794983  0.        0.        3.6309714]
Hybrid_-20_20_0_20_20_240_60_450 gt:['-20', '20', '0', '20', '20'] pred:[ 9.807153  16.962189   5.4931707 20.         9.704105 ]
Sedan2Door_-20_20_-20_0_0_80_20_400 gt:['-20', '20', '-20', '0', '0'] pred:[19.71345   20.         5.572196   0.         1.3490436]
Hybrid_-20_20_-20_20_0_240_20_400 gt:['-20', '20', '-20', '20', '0'] pred:[18.565504   19.59951     0.87761295 12.206529    0.26030442]
Hatchback_-20_20_0_20_20_80_60_450 gt:['-20', '20', '0', '20', '20'] pred:[26.34517   32.876846  18.642647  16.15732    1.2467781]
Suv_-20_0_-20_20_0_240_60_400 gt:['-20', '0', '-20', '20', '0'] pred:[ 6.111073   6.8708386  6.5715365  4.9585958 54.465744 ]
Sedan2Door_-20_0_-20_20_20_80_20_450 gt:['-20', '0', '-20', '20', '20'] pred:[10.957739  0.       20.       20.       20.      ]
Hybrid_-20_0_0_0_20_80_60_450 gt:['-20', '0', '0', '0', '20'] pred:[8.643833   7.1840596  6.6270742  9.662137   0.30943483]
Sedan2Door_0_20_-20_0_20_320_20_450 gt:['0', '20', '-20', '0', '20'] pred:[ 4.939908  20.        20.         0.         1.3810368]
Hatchback_0_20_0_20_0_160_20_450 gt:['0', '20', '0', '20', '0'] pred:[ 0.        14.055591   1.6304739  7.955136   9.035873 ]
Sedan4Door_-20_20_-20_20_20_0_60_450 gt:['-20', '20', '-20', '20', '20'] pred:[22.89027   29.175829  51.840233  20.         1.7468532]
Hybrid_-20_20_-20_20_0_80_20_400 gt:['-20', '20', '-20', '20', '0'] pred:[3.5286537e+01 2.0000000e+01 2.3723267e+01 2.0000000e+01 1.7577901e-02]
Sedan2Door_-20_20_0_0_0_80_60_450 gt:['-20', '20', '0', '0', '0'] pred:[ 8.715745    3.6193988  12.906581    0.          0.13881898]
Sedan2Door_0_20_-20_20_0_320_60_450 gt:['0', '20', '-20', '20', '0'] pred:[ 6.158248  15.522838   7.9388156 20.         4.8543577]
Hybrid_0_0_-20_0_0_160_20_450 gt:['0', '0', '-20', '0', '0'] pred:[ 0.       21.041626 20.        0.       20.474598]
Hatchback_0_0_-20_0_0_320_20_400 gt:['0', '0', '-20', '0', '0'] pred:[7.337419   0.         9.292152   0.         0.22893108]
Hybrid_-20_20_-20_0_0_80_20_450 gt:['-20', '20', '-20', '0', '0'] pred:[32.53648  20.       23.145205  0.        0.      ]
Sedan2Door_0_0_0_0_20_0_60_450 gt:['0', '0', '0', '0', '20'] pred:[ 2.63936    6.918564  19.950418   0.         0.2928912]
Sedan4Door_-20_20_-20_0_20_240_60_400 gt:['-20', '20', '-20', '0', '20'] pred:[25.36342   17.939478   3.3646953  5.529938  20.077583 ]
Hybrid_-20_0_0_0_0_0_20_450 gt:['-20', '0', '0', '0', '0'] pred:[38.39224  0.       0.       0.       0.     ]
Sedan4Door_0_0_0_0_0_240_20_450 gt:['0', '0', '0', '0', '0'] pred:[ 6.7776785  5.956453  17.534807   2.286629   6.7210827]
Sedan4Door_-20_0_-20_0_0_80_20_400 gt:['-20', '0', '-20', '0', '0'] pred:[23.97574   0.       13.229902  0.        6.146246]
Hybrid_-20_0_-20_0_20_320_20_450 gt:['-20', '0', '-20', '0', '20'] pred:[ 8.088309   0.        20.         0.         4.5241656]
Suv_0_20_0_20_20_320_20_450 gt:['0', '20', '0', '20', '20'] pred:[ 9.894437  20.        27.131035  20.         0.1029761]
Hybrid_-20_20_-20_20_20_320_60_450 gt:['-20', '20', '-20', '20', '20'] pred:[ 7.7936573  14.090041    1.0796171  20.          0.72074217]
Hybrid_-20_0_-20_20_0_160_20_450 gt:['-20', '0', '-20', '20', '0'] pred:[20.        13.064501  20.        20.         1.2691034]
Hatchback_0_20_-20_0_20_80_20_450 gt:['0', '20', '-20', '0', '20'] pred:[15.838346 20.       21.123812  0.       20.      ]
Hatchback_-20_0_0_0_0_240_60_450 gt:['-20', '0', '0', '0', '0'] pred:[4.77831    9.311082   8.510575   0.6817887  0.27475888]
Hybrid_0_20_0_20_20_320_60_450 gt:['0', '20', '0', '20', '20'] pred:[ 5.7064314 18.978987   7.082834  20.        24.38966  ]
Hybrid_0_0_0_0_0_320_60_450 gt:['0', '0', '0', '0', '0'] pred:[ 6.439914 10.921759  7.543324 17.247816  3.86836 ]
Hybrid_-20_0_0_20_0_0_60_450 gt:['-20', '0', '0', '20', '0'] pred:[13.44263     0.         21.509493   20.          0.03941434]
Suv_-20_20_-20_0_0_320_20_450 gt:['-20', '20', '-20', '0', '0'] pred:[15.660169  20.         6.445954   0.         1.8415761]
Hatchback_0_0_0_20_0_240_20_450 gt:['0', '0', '0', '20', '0'] pred:[15.958146    8.605259    0.28199306  4.627022    0.23162009]
Hatchback_-20_20_0_0_0_0_20_450 gt:['-20', '20', '0', '0', '0'] pred:[21.701307  20.         0.7010108  0.         1.0907778]
Suv_0_20_0_20_20_0_20_450 gt:['0', '20', '0', '20', '20'] pred:[ 2.950283   20.         27.12156    20.          0.19162457]
Hatchback_-20_0_-20_20_0_80_60_400 gt:['-20', '0', '-20', '20', '0'] pred:[31.5535    9.955923 10.593824 17.445446 12.401784]
Sedan4Door_0_20_0_20_20_0_60_400 gt:['0', '20', '0', '20', '20'] pred:[3.8500009  8.3462925  3.5995545  2.1061685  0.10517143]
Suv_0_0_0_20_20_0_20_400 gt:['0', '0', '0', '20', '20'] pred:[12.425941  0.       11.494779 20.       10.650332]
Sedan4Door_0_0_0_20_20_0_60_400 gt:['0', '0', '0', '20', '20'] pred:[ 3.415405  13.778861  22.537857  20.         0.7757357]
Suv_0_0_0_20_0_320_60_450 gt:['0', '0', '0', '20', '0'] pred:[ 2.2311037  0.        11.06513   20.         9.578177 ]
Suv_0_0_0_0_0_80_20_400 gt:['0', '0', '0', '0', '0'] pred:[11.067109  0.        8.384699  0.        2.183598]
Sedan2Door_-20_0_0_20_20_240_20_400 gt:['-20', '0', '0', '20', '20'] pred:[18.592304 35.041603  0.       20.        9.401463]
Sedan2Door_0_20_-20_0_20_240_60_450 gt:['0', '20', '-20', '0', '20'] pred:[14.377526 11.331515  5.014718  0.        9.3864  ]
Hybrid_0_0_0_0_20_320_60_450 gt:['0', '0', '0', '0', '20'] pred:[ 2.924304  14.069673   0.4925688  2.3444986  4.6051483]
Hatchback_-20_20_-20_20_20_160_20_450 gt:['-20', '20', '-20', '20', '20'] pred:[20.       37.86503  20.       11.894944 11.677715]
Suv_-20_0_0_0_20_320_20_450 gt:['-20', '0', '0', '0', '20'] pred:[11.775913  0.       33.167484  0.        6.04983 ]
Sedan4Door_-20_0_0_20_0_240_20_450 gt:['-20', '0', '0', '20', '0'] pred:[17.398087  10.45956    8.190547  12.5169115 43.54147  ]
Suv_-20_20_0_0_20_0_60_400 gt:['-20', '20', '0', '0', '20'] pred:[18.236376 10.286303 29.594616  0.        1.229071]
Sedan2Door_0_0_-20_0_0_80_20_450 gt:['0', '0', '-20', '0', '0'] pred:[2.6137730e+01 0.0000000e+00 2.9828520e+00 0.0000000e+00 1.1058831e-02]
Suv_-20_0_-20_20_20_240_60_450 gt:['-20', '0', '-20', '20', '20'] pred:[16.16297    5.669602   5.237023   1.8484015  7.0058274]
Sedan2Door_0_20_-20_20_0_0_60_400 gt:['0', '20', '-20', '20', '0'] pred:[ 8.718103  12.79665    3.6247382  3.2079065 10.878399 ]
Hybrid_-20_20_0_20_0_80_20_400 gt:['-20', '20', '0', '20', '0'] pred:[3.6827194e+01 2.0000000e+01 2.6493153e+01 2.0000000e+01 5.2716620e-03]
Hatchback_0_20_0_20_20_320_60_400 gt:['0', '20', '0', '20', '20'] pred:[ 3.9949112 39.135643   6.848444   6.111748  14.048051 ]
Suv_0_20_-20_0_0_160_20_450 gt:['0', '20', '-20', '0', '0'] pred:[ 0.        14.671958   6.1258564  7.540784   0.       ]
Hybrid_-20_20_0_0_20_240_60_450 gt:['-20', '20', '0', '0', '20'] pred:[11.373732   5.4961615  0.5054935  3.3010294 39.085896 ]
Hybrid_-20_0_0_20_0_0_60_400 gt:['-20', '0', '0', '20', '0'] pred:[20.641792   0.        10.924102  20.         5.1440544]
Hybrid_-20_20_-20_20_0_0_60_450 gt:['-20', '20', '-20', '20', '0'] pred:[ 8.529808  31.654934  42.956978  20.         4.7682304]
Suv_-20_20_0_20_20_240_20_400 gt:['-20', '20', '0', '20', '20'] pred:[12.704148 39.453407  0.       33.758396 20.52917 ]
Hatchback_-20_0_0_20_0_80_60_450 gt:['-20', '0', '0', '20', '0'] pred:[12.303793  36.90739   22.708803  13.924533   2.1463537]
Hatchback_-20_0_-20_20_20_320_20_400 gt:['-20', '0', '-20', '20', '20'] pred:[19.232065  0.        9.147299 20.       18.58722 ]
Suv_-20_0_0_0_0_160_60_400 gt:['-20', '0', '0', '0', '0'] pred:[ 7.4106135  3.1998463 17.770515   3.891947   3.2299688]
Sedan2Door_0_20_0_20_0_0_20_450 gt:['0', '20', '0', '20', '0'] pred:[ 7.3385105 20.         3.8902075 20.         0.       ]
Sedan2Door_0_0_0_0_0_160_60_400 gt:['0', '0', '0', '0', '0'] pred:[ 2.8146684 25.217426   0.         0.        21.95015  ]
Hatchback_0_20_0_0_0_320_20_450 gt:['0', '20', '0', '0', '0'] pred:[12.412576  20.         1.8664002  0.         2.2692473]
Sedan2Door_-20_20_0_20_0_0_60_450 gt:['-20', '20', '0', '20', '0'] pred:[16.35644    2.0040126  9.383112   2.7162735  1.716501 ]
Suv_-20_0_0_20_0_320_60_400 gt:['-20', '0', '0', '20', '0'] pred:[19.129864  0.        7.045376 20.        4.577493]
Sedan4Door_-20_20_-20_20_0_160_60_400 gt:['-20', '20', '-20', '20', '0'] pred:[24.293146 23.958271 15.489472 11.907649 10.673962]
Hatchback_0_0_0_0_0_80_60_450 gt:['0', '0', '0', '0', '0'] pred:[1.2424962e+01 7.1355295e+00 7.5811996e+00 1.9330711e+01 1.8416762e-02]
Suv_0_0_0_0_0_240_60_400 gt:['0', '0', '0', '0', '0'] pred:[9.33458    3.558811   6.0311623  3.8181496  0.21954511]
Suv_0_0_0_0_20_320_20_400 gt:['0', '0', '0', '0', '20'] pred:[ 9.129138  0.       37.096714  0.       22.529694]
Suv_-20_20_0_0_0_80_60_450 gt:['-20', '20', '0', '0', '0'] pred:[11.223431   4.1174397  4.2284293 29.89369    1.7659174]
Sedan2Door_-20_20_-20_20_0_0_20_450 gt:['-20', '20', '-20', '20', '0'] pred:[11.348412 20.       12.869424 20.        0.      ]
Hatchback_0_20_0_20_0_160_20_400 gt:['0', '20', '0', '20', '0'] pred:[ 6.165234  19.799217  32.524666   1.5890436  0.       ]
Suv_0_0_-20_20_0_320_60_450 gt:['0', '0', '-20', '20', '0'] pred:[ 2.228585  12.97333    8.167875   5.549573   3.5460117]
Sedan2Door_0_20_0_0_20_160_60_400 gt:['0', '20', '0', '0', '20'] pred:[18.599283   2.7416565  5.4661984  7.1502023  1.3861998]
Sedan2Door_0_0_0_0_20_0_60_400 gt:['0', '0', '0', '0', '20'] pred:[ 6.1910744  4.7174053 10.094973   0.         5.714177 ]
Sedan4Door_0_0_0_0_0_240_60_450 gt:['0', '0', '0', '0', '0'] pred:[11.604791    3.8645988   5.1006446   0.87339866  0.16352181]
Hatchback_0_20_-20_20_20_80_60_400 gt:['0', '20', '-20', '20', '20'] pred:[ 8.631128    6.11371     8.232283   11.575624    0.29208755]
Sedan2Door_-20_20_-20_20_20_80_20_400 gt:['-20', '20', '-20', '20', '20'] pred:[14.756262 20.        3.335497 20.       20.      ]
Hatchback_0_20_-20_0_0_80_20_400 gt:['0', '20', '-20', '0', '0'] pred:[30.09975   20.        13.170415   0.         4.7955966]
Suv_0_0_-20_0_20_160_20_450 gt:['0', '0', '-20', '0', '20'] pred:[ 4.206172   6.284387   3.4787471  6.561351  39.155685 ]
Sedan4Door_-20_0_-20_0_20_320_60_450 gt:['-20', '0', '-20', '0', '20'] pred:[33.098927 12.755736 11.958866  0.        4.953219]
Suv_0_20_0_0_20_80_60_400 gt:['0', '20', '0', '0', '20'] pred:[11.738392    1.6699038   7.438489    1.1820056   0.10106889]
Sedan4Door_-20_0_0_0_20_80_20_450 gt:['-20', '0', '0', '0', '20'] pred:[26.54593     0.         27.486973    0.          0.43560642]
Suv_0_20_-20_20_0_0_60_400 gt:['0', '20', '-20', '20', '0'] pred:[ 8.277488   10.446467   42.662445   20.          0.08394711]
Sedan2Door_-20_0_-20_0_20_0_60_450 gt:['-20', '0', '-20', '0', '20'] pred:[ 6.44493   13.963736  12.769797   0.         4.9475894]
Suv_0_20_-20_20_0_240_20_400 gt:['0', '20', '-20', '20', '0'] pred:[ 0.       36.716278 20.        5.898186 39.971375]
Suv_0_20_-20_20_20_0_60_400 gt:['0', '20', '-20', '20', '20'] pred:[16.53614   25.903925  25.683407  20.         3.3209293]
Sedan2Door_0_20_0_0_0_0_60_400 gt:['0', '20', '0', '0', '0'] pred:[5.8270216 4.4968348 4.4157066 1.4854223 1.7247919]
Hybrid_0_0_0_0_20_160_60_450 gt:['0', '0', '0', '0', '20'] pred:[13.269584   3.6077552 16.501898   0.         0.8730291]
Hybrid_-20_20_0_20_0_160_60_400 gt:['-20', '20', '0', '20', '0'] pred:[19.788376 10.259134 24.58344  20.        0.634502]
Sedan4Door_-20_0_-20_0_20_80_20_400 gt:['-20', '0', '-20', '0', '20'] pred:[26.91829   0.       21.125948  0.       24.284163]
Hybrid_-20_0_0_0_0_80_20_400 gt:['-20', '0', '0', '0', '0'] pred:[18.338806    0.          0.          0.          0.05756115]
Suv_0_20_0_0_0_80_60_400 gt:['0', '20', '0', '0', '0'] pred:[1.1522196e+01 7.4965658e+00 2.6024040e+01 0.0000000e+00 2.4383774e-02]
Sedan2Door_-20_20_0_0_20_160_20_400 gt:['-20', '20', '0', '0', '20'] pred:[ 4.5046177 10.381004   2.2538764  0.         5.52306  ]
Suv_-20_0_0_20_20_160_60_400 gt:['-20', '0', '0', '20', '20'] pred:[ 3.3921814   1.2424134  12.020137    6.140511    0.85188746]
Hatchback_0_20_-20_20_0_0_60_400 gt:['0', '20', '-20', '20', '0'] pred:[27.934692    4.957889   46.54472    20.          0.28859392]
Hatchback_-20_0_0_0_20_160_60_400 gt:['-20', '0', '0', '0', '20'] pred:[13.5221     4.080438  13.744906   2.2491965  1.4214784]
