hybrid_-17_23_-36_35_15_50_70_420 gt:['-17', '23', '-36', '35', '15'] pred:[18.111662 20.86531  15.695008 15.619887 23.892725]
sedan2door_-30_45_-36_35_15_230_30_420 gt:['-30', '45', '-36', '35', '15'] pred:[30.        33.718964  36.        18.869099   6.7782497]
sedan2door_-17_45_-22_10_46_230_70_420 gt:['-17', '45', '-22', '10', '46'] pred:[21.38283  13.546846 18.408869 13.308469 28.544966]
hatchback_-50_45_-22_35_46_20_70_420 gt:['-50', '45', '-22', '35', '46'] pred:[39.374855 25.304583 34.897243 35.       24.325249]
suv_-17_23_-4_35_46_50_30_420 gt:['-17', '23', '-4', '35', '46'] pred:[11.770568 23.       10.009299 35.       46.      ]
sedan2door_-50_45_-36_35_46_20_30_420 gt:['-50', '45', '-36', '35', '46'] pred:[45.427692  45.         8.984742  35.         7.2754817]
sedan2door_-17_45_-4_48_46_140_70_420 gt:['-17', '45', '-4', '48', '46'] pred:[10.156939 17.740276 10.211266 20.77885  32.15048 ]
hybrid_-17_15_-4_10_15_20_70_420 gt:['-17', '15', '-4', '10', '15'] pred:[33.630753  14.649523  19.132372  10.         4.9174438]
sedan2door_-50_23_-36_10_15_140_30_420 gt:['-50', '23', '-36', '10', '15'] pred:[50.       24.693024 36.        9.936755 15.      ]
sedan2door_-17_23_-36_48_15_140_70_420 gt:['-17', '23', '-36', '48', '15'] pred:[ 8.024184 10.72161  11.846139 26.212063 11.864843]
hatchback_-50_23_-36_48_15_230_70_420 gt:['-50', '23', '-36', '48', '15'] pred:[39.754307  12.520727  16.876867  15.129173   2.8684635]
hybrid_-50_15_-4_10_46_50_30_420 gt:['-50', '15', '-4', '10', '46'] pred:[17.30287    15.         47.818054   10.          0.31981066]
sedan2door_-30_45_-36_10_15_20_30_420 gt:['-30', '45', '-36', '10', '15'] pred:[38.300774 45.       14.890061 10.        6.556497]
sedan4door_-50_23_-36_10_28_230_30_420 gt:['-50', '23', '-36', '10', '28'] pred:[50.       15.569345 36.        5.973266 24.353434]
sedan2door_-17_15_-22_35_28_20_70_420 gt:['-17', '15', '-22', '35', '28'] pred:[21.028584 12.824006  8.362655 16.843351  7.124496]
sedan4door_-30_45_-36_35_15_20_70_420 gt:['-30', '45', '-36', '35', '15'] pred:[35.223103  29.643599  28.834051  35.         1.4753877]
sedan4door_-17_23_-36_35_15_140_30_420 gt:['-17', '23', '-36', '35', '15'] pred:[17.        10.8044195 36.        38.647358  15.       ]
hatchback_-30_23_-22_35_46_20_70_420 gt:['-30', '23', '-22', '35', '46'] pred:[32.959606 12.210238 30.857273 35.       18.714563]
hybrid_-17_23_-22_35_46_140_30_420 gt:['-17', '23', '-22', '35', '46'] pred:[17.         7.8051505 22.        19.347807  46.       ]
sedan4door_-17_45_-22_10_15_230_70_420 gt:['-17', '45', '-22', '10', '15'] pred:[21.440788  11.394273  10.971198   9.0524025  1.7408354]
hybrid_-17_15_-22_48_28_140_30_420 gt:['-17', '15', '-22', '48', '28'] pred:[17.       10.542141 22.       11.647503 28.      ]
hatchback_-30_23_-22_10_15_230_70_420 gt:['-30', '23', '-22', '10', '15'] pred:[31.106655   9.106456   7.178858   5.330698   2.9013271]
suv_-17_15_-22_10_28_140_30_420 gt:['-17', '15', '-22', '10', '28'] pred:[17.         8.207625  22.         6.2554684 28.       ]
hatchback_-30_23_-22_10_46_50_70_420 gt:['-30', '23', '-22', '10', '46'] pred:[19.177885 13.984858 11.269156 12.65856  27.558792]
sedan4door_-17_23_-22_10_28_20_30_420 gt:['-17', '23', '-22', '10', '28'] pred:[41.429012 23.       27.990938 10.       12.47495 ]
sedan2door_-30_45_-36_10_28_140_30_420 gt:['-30', '45', '-36', '10', '28'] pred:[30.       28.94014  36.       13.850809 28.      ]
sedan4door_-30_45_-36_48_28_20_30_420 gt:['-30', '45', '-36', '48', '28'] pred:[43.287106 45.       20.013464 48.        4.808714]
suv_-17_15_-22_48_15_20_30_420 gt:['-17', '15', '-22', '48', '15'] pred:[33.8102   15.       33.927517 48.        2.675185]
sedan2door_-30_23_-36_10_46_20_70_420 gt:['-30', '23', '-36', '10', '46'] pred:[30.080467 19.743435  5.651597 15.065004 19.29371 ]
sedan4door_-50_45_-36_35_46_140_30_420 gt:['-50', '45', '-36', '35', '46'] pred:[50.       17.793827 36.       24.802355 46.      ]
hatchback_-50_15_-4_35_28_50_30_420 gt:['-50', '15', '-4', '35', '28'] pred:[32.787178 24.600508 27.400072 35.       28.      ]
hybrid_-30_15_-36_10_46_140_70_420 gt:['-30', '15', '-36', '10', '46'] pred:[13.383067 18.496367 36.       11.295967 27.258894]
suv_-50_45_-22_10_46_20_70_420 gt:['-50', '45', '-22', '10', '46'] pred:[31.976149  27.86919   13.825416   1.4452527 20.936584 ]
hybrid_-50_23_-22_48_46_230_70_420 gt:['-50', '23', '-22', '48', '46'] pred:[44.46403   10.255746   9.4379835 18.129244  20.9643   ]
sedan2door_-30_15_-36_10_46_230_30_420 gt:['-30', '15', '-36', '10', '46'] pred:[30.       18.15412  36.       20.681818 27.549736]
hatchback_-30_23_-36_35_46_140_30_420 gt:['-30', '23', '-36', '35', '46'] pred:[30.       23.74031  36.       24.556835 46.      ]
sedan2door_-30_23_-36_10_28_140_70_420 gt:['-30', '23', '-36', '10', '28'] pred:[16.59762   14.7513275 36.        23.291372  18.596735 ]
sedan2door_-17_45_-22_35_15_50_70_420 gt:['-17', '45', '-22', '35', '15'] pred:[14.697311 40.657402 15.354187 12.476027 14.563858]
sedan4door_-17_45_-36_48_15_230_30_420 gt:['-17', '45', '-36', '48', '15'] pred:[17.       34.937893 36.       22.280643 15.208501]
suv_-30_23_-36_35_15_230_30_420 gt:['-30', '23', '-36', '35', '15'] pred:[30.       24.622063 36.       22.575369  8.050489]
sedan2door_-50_45_-36_35_15_50_70_420 gt:['-50', '45', '-36', '35', '15'] pred:[39.728462  34.86252    7.1618676 10.712478  17.593061 ]
hybrid_-50_45_-4_10_15_20_70_420 gt:['-50', '45', '-4', '10', '15'] pred:[36.448193 37.055603 11.221752 10.       22.279205]
hatchback_-30_45_-36_48_28_50_70_420 gt:['-30', '45', '-36', '48', '28'] pred:[30.757156 14.705558 25.157728 21.401243 19.671896]
suv_-50_23_-36_48_46_140_30_420 gt:['-50', '23', '-36', '48', '46'] pred:[50.       27.49225  36.       26.158356 46.      ]
hybrid_-30_45_-36_35_28_230_70_420 gt:['-30', '45', '-36', '35', '28'] pred:[33.728676 14.597335  8.872338 13.965946 16.248653]
hatchback_-50_15_-22_48_46_140_70_420 gt:['-50', '15', '-22', '48', '46'] pred:[26.987762 14.319742 22.       17.9301   17.63975 ]
sedan2door_-30_15_-36_48_28_50_70_420 gt:['-30', '15', '-36', '48', '28'] pred:[17.522926 10.940016 18.797766 26.293152 21.578169]
suv_-17_45_-36_35_15_140_70_420 gt:['-17', '45', '-36', '35', '15'] pred:[11.992659 29.174284  9.211249 28.235643 12.990409]
hybrid_-17_23_-36_48_46_230_30_420 gt:['-17', '23', '-36', '48', '46'] pred:[17.       26.05175  36.        6.195903 27.839767]
sedan4door_-17_23_-4_35_46_140_30_420 gt:['-17', '23', '-4', '35', '46'] pred:[17.       12.027699  4.       44.19781  46.      ]
sedan2door_-30_15_-22_10_46_50_30_420 gt:['-30', '15', '-22', '10', '46'] pred:[25.529263 15.       13.80061  10.       46.      ]
sedan2door_-50_45_-22_35_28_50_30_420 gt:['-50', '45', '-22', '35', '28'] pred:[31.30856  45.       20.221666 35.       28.      ]
sedan2door_-50_15_-4_48_46_50_30_420 gt:['-50', '15', '-4', '48', '46'] pred:[32.78233  15.       22.503359 48.       46.      ]
sedan4door_-30_15_-4_35_46_230_30_420 gt:['-30', '15', '-4', '35', '46'] pred:[30.       12.607738  4.       20.038563 40.353092]
suv_-50_45_-36_10_15_20_70_420 gt:['-50', '45', '-36', '10', '15'] pred:[37.58035   36.823578   9.603967   1.3609531 11.783617 ]
sedan2door_-50_15_-4_48_46_230_30_420 gt:['-50', '15', '-4', '48', '46'] pred:[50.       17.255457  4.       19.819914 29.846764]
suv_-30_15_-22_48_28_20_70_420 gt:['-30', '15', '-22', '48', '28'] pred:[30.487715  18.611012  17.109617   5.2746773 14.320381 ]
sedan4door_-50_23_-4_35_28_230_70_420 gt:['-50', '23', '-4', '35', '28'] pred:[48.56699   11.526678   2.4790428 17.766716  11.936318 ]
hybrid_-17_45_-4_35_28_230_70_420 gt:['-17', '45', '-4', '35', '28'] pred:[18.956787 14.346077  8.036405 10.442836 14.137474]
sedan4door_-30_23_-36_48_28_50_70_420 gt:['-30', '23', '-36', '48', '28'] pred:[20.603197 19.516396 26.444456 19.783205 10.837922]
sedan2door_-30_45_-22_35_28_230_70_420 gt:['-30', '45', '-22', '35', '28'] pred:[35.55153  11.568281 12.349098 10.967757 11.153367]
sedan4door_-30_23_-36_35_15_50_30_420 gt:['-30', '23', '-36', '35', '15'] pred:[36.01307  32.363377 32.327522 35.       15.      ]
hatchback_-30_23_-4_35_15_230_30_420 gt:['-30', '23', '-4', '35', '15'] pred:[30.       15.733863  4.        9.584556 15.569009]
hatchback_-50_45_-22_10_28_230_70_420 gt:['-50', '45', '-22', '10', '28'] pred:[39.16526  18.172337  6.049112  8.422054 12.355104]
hybrid_-17_23_-22_48_28_20_70_420 gt:['-17', '23', '-22', '48', '28'] pred:[32.320377 14.670358 21.646137 48.        7.925294]
sedan4door_-50_15_-22_48_46_20_70_420 gt:['-50', '15', '-22', '48', '46'] pred:[37.2304   10.68048  17.0674   48.        7.889175]
sedan2door_-17_15_-22_10_28_230_70_420 gt:['-17', '15', '-22', '10', '28'] pred:[17.888361   3.7379565 25.000753  13.280755  11.362639 ]
suv_-17_45_-22_48_46_230_30_420 gt:['-17', '45', '-22', '48', '46'] pred:[17.       33.28994  22.       38.461147 32.257854]
sedan2door_-17_15_-36_35_28_140_70_420 gt:['-17', '15', '-36', '35', '28'] pred:[ 4.1609087  6.2478113 36.        26.552713  11.691074 ]
sedan4door_-30_23_-4_48_46_230_30_420 gt:['-30', '23', '-4', '48', '46'] pred:[30.       12.306006  4.       26.823689 38.39548 ]
hybrid_-17_45_-36_10_28_140_30_420 gt:['-17', '45', '-36', '10', '28'] pred:[17.       27.185377 36.       13.183802 28.      ]
sedan4door_-50_23_-4_35_15_20_70_420 gt:['-50', '23', '-4', '35', '15'] pred:[34.898056  17.836979   5.4417953 35.         1.8115336]
sedan4door_-50_15_-4_35_28_20_70_420 gt:['-50', '15', '-4', '35', '28'] pred:[39.349228  10.99846    5.7705846 35.         4.1301546]
sedan2door_-30_45_-4_10_28_50_70_420 gt:['-30', '45', '-4', '10', '28'] pred:[20.55693  32.802628 15.530986 15.081979 21.493603]
sedan2door_-50_23_-4_35_15_50_30_420 gt:['-50', '23', '-4', '35', '15'] pred:[33.589573 23.       19.796965 35.       15.      ]
hybrid_-50_45_-36_35_46_230_70_420 gt:['-50', '45', '-36', '35', '46'] pred:[41.930313 18.715784  6.345657 18.03403  20.966156]
sedan2door_-17_45_-36_10_28_50_30_420 gt:['-17', '45', '-36', '10', '28'] pred:[20.949823 45.       11.049307 10.       28.      ]
suv_-17_15_-4_35_15_230_70_420 gt:['-17', '15', '-4', '35', '15'] pred:[ 3.5689797  7.617635   8.192164  11.794363   6.099546 ]
sedan4door_-50_23_-22_48_28_20_70_420 gt:['-50', '23', '-22', '48', '28'] pred:[36.68959   15.1876745 12.767196  48.         5.3576016]
sedan2door_-50_45_-4_48_15_50_70_420 gt:['-50', '45', '-4', '48', '15'] pred:[39.67406  34.973972  7.156212 10.97134  17.51922 ]
sedan2door_-17_15_-22_35_15_140_30_420 gt:['-17', '15', '-22', '35', '15'] pred:[17.       15.353614 22.       17.197811 15.      ]
hatchback_-17_45_-4_35_28_20_30_420 gt:['-17', '45', '-4', '35', '28'] pred:[43.025524  45.        22.16132   35.         3.5596194]
sedan2door_-30_45_-36_10_28_50_70_420 gt:['-30', '45', '-36', '10', '28'] pred:[20.664352 32.36947  14.564892 15.059812 21.675724]
sedan2door_-17_23_-36_10_46_140_30_420 gt:['-17', '23', '-36', '10', '46'] pred:[17.       29.576006 36.       16.485353 46.      ]
sedan4door_-17_15_-36_48_28_50_70_420 gt:['-17', '15', '-36', '48', '28'] pred:[21.417107  17.312458  35.582394  16.964638   9.0479355]
sedan4door_-50_45_-4_48_15_20_70_420 gt:['-50', '45', '-4', '48', '15'] pred:[37.393238  33.42434    7.8409357 48.         2.3686464]
hybrid_-17_23_-4_35_28_140_30_420 gt:['-17', '23', '-4', '35', '28'] pred:[17.        9.070061  4.       18.343388 28.      ]
hatchback_-17_23_-36_48_28_140_30_420 gt:['-17', '23', '-36', '48', '28'] pred:[17.       18.673954 36.       38.726208 28.      ]
sedan2door_-50_45_-22_48_28_50_70_420 gt:['-50', '45', '-22', '48', '28'] pred:[38.219086 37.580513  6.919158 11.367967 21.628273]
sedan2door_-17_45_-4_10_15_140_30_420 gt:['-17', '45', '-4', '10', '15'] pred:[17.       21.516247  4.       14.289647 15.      ]
hatchback_-30_23_-4_35_46_230_70_420 gt:['-30', '23', '-4', '35', '46'] pred:[31.45602    9.625828   3.2355917  7.503129  35.739666 ]
sedan2door_-17_45_-22_10_15_50_30_420 gt:['-17', '45', '-22', '10', '15'] pred:[22.480026 45.       11.008874 10.       15.      ]
sedan2door_-17_23_-4_10_28_140_70_420 gt:['-17', '23', '-4', '10', '28'] pred:[ 8.709963 11.262264  4.       22.458237 17.266907]
hatchback_-30_45_-4_48_46_20_30_420 gt:['-30', '45', '-4', '48', '46'] pred:[44.31354  45.       24.383535 48.        5.024661]
sedan4door_-50_23_-4_35_15_140_30_420 gt:['-50', '23', '-4', '35', '15'] pred:[50.       10.394628  4.       27.27847  15.      ]
suv_-50_23_-4_10_28_50_70_420 gt:['-50', '23', '-4', '10', '28'] pred:[23.071415 38.967724  8.99082   4.138209 15.390264]
sedan4door_-50_45_-4_35_46_230_70_420 gt:['-50', '45', '-4', '35', '46'] pred:[48.811226 18.63271   2.137784 11.783781 23.430294]
hybrid_-17_15_-22_10_46_50_30_420 gt:['-17', '15', '-22', '10', '46'] pred:[13.01942  15.       23.096056 10.       46.      ]
suv_-17_15_-22_35_15_50_70_420 gt:['-17', '15', '-22', '35', '15'] pred:[ 9.21657  19.61319  26.59801   8.506301  5.866661]
sedan4door_-50_15_-36_48_15_20_70_420 gt:['-50', '15', '-36', '48', '15'] pred:[33.518963   9.856273  27.553644  48.         1.6221889]
sedan2door_-50_45_-4_48_15_50_30_420 gt:['-50', '45', '-4', '48', '15'] pred:[32.534904 45.       19.069696 48.       15.      ]
sedan2door_-30_23_-22_10_46_20_70_420 gt:['-30', '23', '-22', '10', '46'] pred:[30.610207  18.950733   5.3646584 15.920209  19.06196  ]
hybrid_-30_15_-22_10_28_140_30_420 gt:['-30', '15', '-22', '10', '28'] pred:[30.        9.040551 22.       10.520316 28.      ]
hybrid_-30_15_-36_48_15_20_70_420 gt:['-30', '15', '-36', '48', '15'] pred:[36.34157  19.06599  15.322372 48.        8.203971]
sedan2door_-50_23_-22_48_15_230_30_420 gt:['-50', '23', '-22', '48', '15'] pred:[50.       17.088865 22.       16.404915  8.263816]
sedan4door_-30_15_-22_10_15_140_70_420 gt:['-30', '15', '-22', '10', '15'] pred:[13.44342    8.199418  22.        11.567056   2.6312037]
sedan4door_-30_45_-4_35_28_20_70_420 gt:['-30', '45', '-4', '35', '28'] pred:[36.690907  31.938961   7.494525  35.         4.3307166]
hybrid_-30_15_-22_35_46_230_70_420 gt:['-30', '15', '-22', '35', '46'] pred:[36.999634 10.767243 13.043342 16.276289 29.311768]
hatchback_-17_45_-22_35_28_50_30_420 gt:['-17', '45', '-22', '35', '28'] pred:[28.664087 27.278809 26.717249 35.       28.      ]
hatchback_-50_15_-36_48_28_20_70_420 gt:['-50', '15', '-36', '48', '28'] pred:[38.52892  13.016203 30.255611 48.       15.830972]
hybrid_-30_45_-22_35_28_50_70_420 gt:['-30', '45', '-22', '35', '28'] pred:[24.67998   34.642673  12.5472975 13.083049  34.75158  ]
hatchback_-50_23_-36_35_15_140_30_420 gt:['-50', '23', '-36', '35', '15'] pred:[50.       22.529396 36.       23.426334 15.      ]
sedan2door_-17_15_-36_10_15_230_70_420 gt:['-17', '15', '-36', '10', '15'] pred:[17.341198   3.9265385 27.035164  16.732908   4.3130674]
sedan4door_-30_45_-22_48_46_230_30_420 gt:['-30', '45', '-22', '48', '46'] pred:[30.       33.85487  22.       29.202763 30.85218 ]
sedan2door_-30_45_-4_35_15_50_30_420 gt:['-30', '45', '-4', '35', '15'] pred:[22.860971 45.       11.676318 35.       15.      ]
sedan4door_-17_23_-36_48_15_140_70_420 gt:['-17', '23', '-36', '48', '15'] pred:[19.518805 11.468082 36.       21.696487  2.35932 ]
sedan2door_-30_45_-22_35_15_230_70_420 gt:['-30', '45', '-22', '35', '15'] pred:[36.206215  12.833528  13.370646  12.008513   4.6898956]
sedan2door_-17_45_-4_35_28_140_30_420 gt:['-17', '45', '-4', '35', '28'] pred:[17.       25.020235  4.       16.802328 28.      ]
sedan4door_-30_23_-36_35_28_50_30_420 gt:['-30', '23', '-36', '35', '28'] pred:[35.1527   32.601036 32.377617 35.       28.      ]
sedan2door_-50_15_-36_48_15_20_30_420 gt:['-50', '15', '-36', '48', '15'] pred:[44.212193 15.       15.654731 48.       10.475987]
hatchback_-17_15_-4_48_46_50_70_420 gt:['-17', '15', '-4', '48', '46'] pred:[10.328398  7.545622 15.142477 28.804508 21.084461]
sedan4door_-30_15_-22_10_46_230_30_420 gt:['-30', '15', '-22', '10', '46'] pred:[30.       16.194473 22.        7.154958 30.981514]
sedan2door_-30_45_-36_10_28_140_70_420 gt:['-30', '45', '-36', '10', '28'] pred:[20.314762 27.972263  7.330803 23.558191 18.689085]
hatchback_-50_23_-4_10_46_230_30_420 gt:['-50', '23', '-4', '10', '46'] pred:[50.       13.527302  4.        5.958863 31.818798]
sedan4door_-50_45_-22_35_15_140_70_420 gt:['-50', '45', '-22', '35', '15'] pred:[32.010536  28.188152  22.        21.339447   1.7503005]
suv_-50_45_-36_35_28_50_70_420 gt:['-50', '45', '-36', '35', '28'] pred:[27.210161 32.74035  18.403633 11.270226 14.520726]
sedan4door_-17_15_-36_10_28_20_70_420 gt:['-17', '15', '-36', '10', '28'] pred:[39.359737  8.38937  24.534288 10.        4.745138]
hatchback_-17_23_-4_35_46_140_70_420 gt:['-17', '23', '-4', '35', '46'] pred:[ 5.5411253 10.865777   4.        15.000449  16.377615 ]
sedan4door_-50_23_-22_10_15_230_30_420 gt:['-50', '23', '-22', '10', '15'] pred:[50.       13.942625 22.        5.69069  17.150234]
hatchback_-50_15_-22_35_15_140_30_420 gt:['-50', '15', '-22', '35', '15'] pred:[50.       23.13179  22.       14.947407 15.      ]
hatchback_-30_23_-4_10_28_50_30_420 gt:['-30', '23', '-4', '10', '28'] pred:[27.009396 23.       22.095772 10.       28.      ]
hatchback_-50_45_-36_10_46_140_30_420 gt:['-50', '45', '-36', '10', '46'] pred:[50.       23.752281 36.       10.309858 46.      ]
hatchback_-17_45_-22_35_46_140_70_420 gt:['-17', '45', '-22', '35', '46'] pred:[ 6.6148562 15.968317  22.        20.117928  10.74328  ]
hatchback_-50_23_-22_35_28_140_70_420 gt:['-50', '23', '-22', '35', '28'] pred:[22.801577 17.555244 22.       15.802846  6.873162]
hatchback_-50_15_-22_48_28_230_70_420 gt:['-50', '15', '-22', '48', '28'] pred:[42.079407   7.6100473 11.802835  13.16708   11.592258 ]
hybrid_-50_45_-36_48_15_230_30_420 gt:['-50', '45', '-36', '48', '15'] pred:[50.        43.629547  36.         2.9893608 19.262848 ]
sedan4door_-17_45_-36_48_28_20_70_420 gt:['-17', '45', '-36', '48', '28'] pred:[37.52899   28.16269   30.539345  48.         3.7674773]
hatchback_-30_23_-36_35_15_50_70_420 gt:['-30', '23', '-36', '35', '15'] pred:[26.648506 11.758564 18.014973 20.02244  22.865072]
suv_-50_15_-36_48_15_230_30_420 gt:['-50', '15', '-36', '48', '15'] pred:[50.        25.49527   36.        23.366749   7.0985594]
hybrid_-50_23_-22_10_28_140_30_420 gt:['-50', '23', '-22', '10', '28'] pred:[50.        7.20056  22.       11.794418 28.      ]
suv_-17_15_-36_48_28_50_70_420 gt:['-17', '15', '-36', '48', '28'] pred:[ 6.719206  16.763487  42.180317  10.6494875 11.316317 ]
suv_-17_23_-36_10_46_230_70_420 gt:['-17', '23', '-36', '10', '46'] pred:[ 4.9432573 16.05949   27.827532   5.202959  20.244886 ]
sedan2door_-50_15_-36_48_15_20_70_420 gt:['-50', '15', '-36', '48', '15'] pred:[38.32214   13.788789   5.1259274 16.782686  10.754187 ]
sedan2door_-50_23_-36_35_28_50_30_420 gt:['-50', '23', '-36', '35', '28'] pred:[31.411915 23.       21.099415 35.       28.      ]
hatchback_-17_23_-36_48_15_230_30_420 gt:['-17', '23', '-36', '48', '15'] pred:[17.       15.166943 36.       14.469071 17.533182]
hybrid_-17_15_-22_48_46_50_70_420 gt:['-17', '15', '-22', '48', '46'] pred:[14.019288 15.167895 11.382932 23.487314 32.246788]
suv_-50_45_-22_35_15_50_70_420 gt:['-50', '45', '-22', '35', '15'] pred:[25.47211  34.850933 13.640449  8.830777  8.002403]
suv_-17_45_-36_10_15_230_70_420 gt:['-17', '45', '-36', '10', '15'] pred:[ 5.4258533 24.002102  23.623028   3.5026243  6.407549 ]
hybrid_-30_15_-36_35_28_20_30_420 gt:['-30', '15', '-36', '35', '28'] pred:[35.01539   15.        14.355968  35.         4.9330864]
hybrid_-17_23_-36_48_28_20_30_420 gt:['-17', '23', '-36', '48', '28'] pred:[36.988033  23.        27.11079   48.         4.5387654]
hybrid_-50_23_-4_10_46_20_70_420 gt:['-50', '23', '-4', '10', '46'] pred:[33.71922  18.322683 12.591888 25.424658 23.780352]
suv_-17_15_-4_48_28_230_30_420 gt:['-17', '15', '-4', '48', '28'] pred:[17.        31.017282   4.        30.92962    7.0833406]
suv_-30_45_-4_48_28_20_30_420 gt:['-30', '45', '-4', '48', '28'] pred:[45.24659   45.        27.927294  48.         1.9026505]
sedan4door_-17_23_-36_10_28_50_70_420 gt:['-17', '23', '-36', '10', '28'] pred:[15.707411 20.299904 27.530003  7.987405 11.089325]
sedan4door_-17_45_-36_10_15_140_70_420 gt:['-17', '45', '-36', '10', '15'] pred:[16.30354  19.00022  36.       13.909558  3.551359]
hybrid_-17_23_-4_10_28_140_70_420 gt:['-17', '23', '-4', '10', '28'] pred:[ 6.6839824 12.572513   4.         8.67749    6.8551974]
hybrid_-17_45_-36_48_15_140_70_420 gt:['-17', '45', '-36', '48', '15'] pred:[ 8.362729 26.312832 36.        8.515232 14.998373]
hatchback_-30_23_-4_10_46_140_70_420 gt:['-30', '23', '-4', '10', '46'] pred:[11.092265 14.836367  4.        9.174507 19.280247]
sedan4door_-30_45_-4_48_15_20_30_420 gt:['-30', '45', '-4', '48', '15'] pred:[41.058144  45.        14.622526  48.         3.7205913]
suv_-17_45_-36_48_15_50_30_420 gt:['-17', '45', '-36', '48', '15'] pred:[17.285542 45.       38.463646 48.       15.      ]
hatchback_-30_45_-36_10_46_230_30_420 gt:['-30', '45', '-36', '10', '46'] pred:[30.        35.292538  36.         7.8836517 36.271675 ]
hybrid_-50_45_-4_10_46_230_70_420 gt:['-50', '45', '-4', '10', '46'] pred:[42.450787 18.544094  6.604956 17.88634  22.604567]
sedan4door_-17_45_-36_48_15_50_70_420 gt:['-17', '45', '-36', '48', '15'] pred:[27.06482   23.683823  25.688503  12.772785   2.1226933]
sedan4door_-30_15_-4_35_46_140_70_420 gt:['-30', '15', '-4', '35', '46'] pred:[15.406952  10.7788105  4.        12.121427  17.233347 ]
sedan2door_-17_45_-22_10_15_230_30_420 gt:['-17', '45', '-22', '10', '15'] pred:[17.       36.005306 22.       19.020962  8.982566]
hybrid_-50_23_-22_35_28_20_70_420 gt:['-50', '23', '-22', '35', '28'] pred:[33.783215 21.225405 11.541437 21.55311  22.196787]
hatchback_-50_15_-36_35_46_140_30_420 gt:['-50', '15', '-36', '35', '46'] pred:[50.       24.196888 36.       11.644056 46.      ]
hatchback_-30_23_-36_35_46_140_70_420 gt:['-30', '23', '-36', '35', '46'] pred:[11.85099  12.002501 36.       22.482111 16.061049]
sedan2door_-17_23_-22_10_28_20_30_420 gt:['-17', '23', '-22', '10', '28'] pred:[35.013695 23.       12.05234  10.       10.470543]
hybrid_-30_15_-22_35_46_50_30_420 gt:['-30', '15', '-22', '35', '46'] pred:[21.804823  15.        31.243614  35.         0.1249406]
hatchback_-17_45_-22_48_28_140_70_420 gt:['-17', '45', '-22', '48', '28'] pred:[ 7.137112  21.138023  22.        20.170828   5.6359553]
sedan2door_-17_45_-4_48_15_230_30_420 gt:['-17', '45', '-4', '48', '15'] pred:[17.       36.08746   4.       18.87393   8.289554]
hatchback_-17_15_-4_35_46_230_70_420 gt:['-17', '15', '-4', '35', '46'] pred:[18.218107   3.4983501  3.2815826  6.8514013 33.06136  ]
sedan2door_-50_45_-4_10_46_140_70_420 gt:['-50', '45', '-4', '10', '46'] pred:[37.093178 23.01829   7.780012 15.241989 29.363   ]
hatchback_-50_45_-4_48_28_140_30_420 gt:['-50', '45', '-4', '48', '28'] pred:[50.       27.007742  4.       25.866493 28.      ]
hybrid_-30_45_-36_10_28_230_30_420 gt:['-30', '45', '-36', '10', '28'] pred:[30.        48.263927  36.         3.5006378 33.642998 ]
hybrid_-17_15_-36_48_46_230_70_420 gt:['-17', '15', '-36', '48', '46'] pred:[24.762396  8.959102 12.775717 13.765034 26.1601  ]
hatchback_-30_45_-36_35_28_50_70_420 gt:['-30', '45', '-36', '35', '28'] pred:[29.77683  14.35602  23.502922 17.688936 16.940426]
suv_-50_15_-22_10_15_50_30_420 gt:['-50', '15', '-22', '10', '15'] pred:[35.903667 15.       26.164438 10.       15.      ]
sedan2door_-30_23_-4_48_15_140_70_420 gt:['-30', '23', '-4', '48', '15'] pred:[15.4427185 14.021556   8.317769  26.677044  11.083175 ]
sedan2door_-17_23_-22_35_28_50_30_420 gt:['-17', '23', '-22', '35', '28'] pred:[20.541697 23.       12.07635  35.       28.      ]
suv_-50_15_-22_48_46_140_30_420 gt:['-50', '15', '-22', '48', '46'] pred:[50.       18.00966  22.       17.928932 46.      ]
hatchback_-30_45_-4_48_15_140_70_420 gt:['-30', '45', '-4', '48', '15'] pred:[18.111643  28.672869   4.        26.260015   6.4040265]
sedan2door_-17_45_-22_48_46_50_70_420 gt:['-17', '45', '-22', '48', '46'] pred:[12.787242 39.99091  17.39902  14.329089 26.455359]
hybrid_-17_45_-22_35_46_230_30_420 gt:['-17', '45', '-22', '35', '46'] pred:[17.       51.033424 22.        7.21776  32.326927]
sedan4door_-30_45_-36_35_46_20_70_420 gt:['-30', '45', '-36', '35', '46'] pred:[36.937263  28.207745  28.547245  35.         7.1726418]
hybrid_-50_45_-22_10_46_20_30_420 gt:['-50', '45', '-22', '10', '46'] pred:[41.316803 45.       12.048498 10.        7.496207]
sedan2door_-50_15_-22_35_28_20_70_420 gt:['-50', '15', '-22', '35', '28'] pred:[39.336388 15.676254  4.003544 19.892885 10.529332]
hatchback_-50_45_-36_35_15_230_30_420 gt:['-50', '45', '-36', '35', '15'] pred:[50.       35.531456 36.       18.753876 18.161797]
sedan2door_-50_15_-22_48_46_20_70_420 gt:['-50', '15', '-22', '48', '46'] pred:[40.15658   14.901054   3.9953992 18.418379  18.62123  ]
hatchback_-17_45_-36_10_28_20_70_420 gt:['-17', '45', '-36', '10', '28'] pred:[30.20064  25.76003  31.976423 10.       21.205128]
