hybrid_0_20_-40_0_40_320_20_400:gt ['0', '20', '-40', '0', '40']:pred [ 0.22642326 20.         40.          0.         42.36026   ]
hatchback_-40_20_0_0_20_0_80_450:gt ['-40', '20', '0', '0', '20']:pred [40.57337   16.252052   1.6999023  7.641998  19.181084 ]
suv_-20_0_-40_0_20_0_40_450:gt ['-20', '0', '-40', '0', '20']:pred [19.465525  0.       31.228413  0.       22.64641 ]
hatchback_-20_40_-40_20_0_240_60_400:gt ['-20', '40', '-40', '20', '0']:pred [25.165245  41.974888  44.573795  24.207245   2.8939872]
hatchback_-20_20_-20_40_20_240_60_400:gt ['-20', '20', '-20', '40', '20']:pred [12.620436 21.041916 19.179453 39.45496  19.81567 ]
sedan2door_-40_0_0_40_0_160_80_450:gt ['-40', '0', '0', '40', '0']:pred [40.162594   2.133142   0.        40.         1.9715195]
hybrid_-40_0_0_20_20_80_60_400:gt ['-40', '0', '0', '20', '20']:pred [37.2649     1.2900933  0.        20.        12.588312 ]
hybrid_0_0_-20_20_40_320_20_400:gt ['0', '0', '-20', '20', '40']:pred [ 0.49817038  0.         20.         20.         44.389263  ]
hybrid_-20_0_-20_0_40_0_40_450:gt ['-20', '0', '-20', '0', '40']:pred [20.178326  0.       20.        0.       41.67506 ]
sedan4door_-20_20_-40_20_20_80_40_450:gt ['-20', '20', '-40', '20', '20']:pred [16.115753 16.726984 46.37975  20.       20.      ]
hybrid_0_0_-40_40_20_0_40_450:gt ['0', '0', '-40', '40', '20']:pred [ 0.20061807  0.         40.         40.         18.862215  ]
hatchback_0_0_-40_20_20_0_20_400:gt ['0', '0', '-40', '20', '20']:pred [ 0.2193718  0.        37.809086  20.        20.       ]
sedan4door_0_40_-20_20_20_0_40_450:gt ['0', '40', '-20', '20', '20']:pred [ 1.3408175 40.        11.517531  20.        25.412317 ]
hybrid_-40_0_-40_0_20_240_60_450:gt ['-40', '0', '-40', '0', '20']:pred [38.428764   1.4147841 40.         0.        17.005562 ]
suv_-20_0_-20_0_40_240_40_450:gt ['-20', '0', '-20', '0', '40']:pred [20.         0.8771426 20.         5.6232033 42.01466  ]
sedan2door_-20_20_0_40_20_320_40_450:gt ['-20', '20', '0', '40', '20']:pred [16.187887 20.        0.       40.       24.516325]
sedan2door_-40_0_-20_20_0_240_80_400:gt ['-40', '0', '-20', '20', '0']:pred [41.569653   1.5472565 20.        20.         2.6095746]
sedan4door_-20_40_-40_40_40_160_40_450:gt ['-20', '40', '-40', '40', '40']:pred [20.       39.350933 40.       40.87503  41.338753]
suv_0_0_-40_40_0_80_20_450:gt ['0', '0', '-40', '40', '0']:pred [20.544664  0.       25.074072 40.        0.      ]
suv_0_0_-20_40_0_0_60_450:gt ['0', '0', '-20', '40', '0']:pred [ 0.638779    0.         15.890428   40.          0.81221545]
hybrid_0_40_-40_20_20_240_40_450:gt ['0', '40', '-40', '20', '20']:pred [ 0.       38.711727 40.       20.       26.128363]
suv_-40_0_-40_0_20_80_80_450:gt ['-40', '0', '-40', '0', '20']:pred [38.462334   2.7925856 47.553017   2.7341821 20.       ]
hybrid_0_0_-20_0_40_320_20_400:gt ['0', '0', '-20', '0', '40']:pred [ 0.9205203  0.        20.         0.        45.518364 ]
hatchback_0_20_-40_40_40_0_60_450:gt ['0', '20', '-40', '40', '40']:pred [ 2.481208 13.919619 40.555786 40.       42.47725 ]
hatchback_-20_20_-20_20_40_240_60_450:gt ['-20', '20', '-20', '20', '40']:pred [16.895554 20.382969 19.082684 20.255932 44.07953 ]
suv_-20_0_-20_20_40_160_80_450:gt ['-20', '0', '-20', '20', '40']:pred [18.162592   3.0718145 26.69488   26.940502  38.392517 ]
sedan2door_-40_20_-40_20_40_320_20_400:gt ['-40', '20', '-40', '20', '40']:pred [42.894005 20.       40.       20.       38.6136  ]
hybrid_-20_20_-40_40_20_320_60_450:gt ['-20', '20', '-40', '40', '20']:pred [19.6587   23.906492 40.       40.       19.294317]
sedan2door_-20_20_-20_40_40_160_80_400:gt ['-20', '20', '-20', '40', '40']:pred [21.546396 22.043137 20.       40.       39.209366]
sedan4door_-40_40_0_0_20_0_80_450:gt ['-40', '40', '0', '0', '20']:pred [41.785843 40.614704  1.771468  5.613045 12.409318]
hybrid_-20_40_-20_0_20_0_80_450:gt ['-20', '40', '-20', '0', '20']:pred [17.016922 39.900116 20.        0.       23.783613]
hatchback_-20_20_-20_20_20_320_60_450:gt ['-20', '20', '-20', '20', '20']:pred [23.971146  25.936785  13.005862  21.631687   2.6792438]
suv_-20_40_-20_0_40_0_40_450:gt ['-20', '40', '-20', '0', '40']:pred [20.758194 40.       25.631006  0.       36.68781 ]
sedan2door_-20_40_-20_40_40_320_20_450:gt ['-20', '40', '-20', '40', '40']:pred [16.95789 40.      20.      40.      36.27903]
sedan4door_-40_40_0_40_0_0_40_400:gt ['-40', '40', '0', '40', '0']:pred [39.667156  40.         3.6358087 40.         1.4991962]
sedan2door_0_40_-20_20_40_240_60_400:gt ['0', '40', '-20', '20', '40']:pred [ 0.9959259 41.42434   20.        20.        39.04434  ]
hatchback_0_40_-40_0_0_160_40_450:gt ['0', '40', '-40', '0', '0']:pred [ 0.        40.60638   40.         3.0057042  1.441599 ]
sedan4door_-40_40_-20_20_0_320_60_450:gt ['-40', '40', '-20', '20', '0']:pred [41.0872    38.343224  16.543026  20.505964   3.7558522]
sedan4door_-40_0_-40_20_0_320_80_450:gt ['-40', '0', '-40', '20', '0']:pred [40.17415    2.1975276 41.91969   12.128361   5.308409 ]
hatchback_-20_20_0_0_20_0_80_450:gt ['-20', '20', '0', '0', '20']:pred [19.624294  19.59138    2.1726775  8.611003  27.883604 ]
suv_-40_0_-40_20_20_0_40_450:gt ['-40', '0', '-40', '20', '20']:pred [40.343746  0.       35.898727 20.       23.915585]
hatchback_-20_20_0_20_0_0_60_400:gt ['-20', '20', '0', '20', '0']:pred [20.170603  20.856651   1.4570563 20.         1.661216 ]
sedan4door_-40_40_-20_40_0_80_80_450:gt ['-40', '40', '-20', '40', '0']:pred [38.40199  42.755463 15.507723 44.547325  0.      ]
hatchback_-20_20_-40_0_20_160_20_450:gt ['-20', '20', '-40', '0', '20']:pred [20.         23.575165   40.          0.44759983 20.        ]
sedan4door_-20_20_-20_40_0_240_40_400:gt ['-20', '20', '-20', '40', '0']:pred [20.        17.615143  20.        40.384327   7.6276507]
sedan2door_-40_0_-40_0_40_0_80_400:gt ['-40', '0', '-40', '0', '40']:pred [40.43298     0.70909524 40.          0.         36.34654   ]
hybrid_0_20_-40_40_20_0_60_450:gt ['0', '20', '-40', '40', '20']:pred [ 2.3863294 24.043186  40.        40.        26.934269 ]
suv_-20_0_-20_0_20_320_20_400:gt ['-20', '0', '-20', '0', '20']:pred [17.19776  0.      18.9009   0.      25.01501]
hybrid_0_20_-20_20_20_240_80_450:gt ['0', '20', '-20', '20', '20']:pred [ 1.2038815 16.701998  20.        20.        34.903168 ]
sedan2door_-40_40_0_40_0_320_80_400:gt ['-40', '40', '0', '40', '0']:pred [40.749672  39.020123   0.        40.         7.0334845]
hatchback_-40_20_-40_0_40_80_40_450:gt ['-40', '20', '-40', '0', '40']:pred [35.714268 22.981497 39.025307  0.       40.      ]
hatchback_-40_40_-40_40_20_160_60_450:gt ['-40', '40', '-40', '40', '20']:pred [39.403282 39.013355 40.       43.209465 25.86084 ]
sedan2door_0_0_0_40_0_0_20_400:gt ['0', '0', '0', '40', '0']:pred [ 0.8048921  0.         0.        40.         0.       ]
hatchback_-40_40_-40_0_20_320_60_400:gt ['-40', '40', '-40', '0', '20']:pred [40.879314 40.649258 40.968185  0.       15.177328]
sedan4door_0_40_-20_40_0_160_60_450:gt ['0', '40', '-20', '40', '0']:pred [ 1.8325473 39.87428   20.        36.896313   8.209253 ]
sedan2door_-20_0_-20_0_20_160_60_400:gt ['-20', '0', '-20', '0', '20']:pred [22.52257    1.1610575 20.         0.        21.935528 ]
sedan4door_-40_20_-20_0_20_160_80_400:gt ['-40', '20', '-20', '0', '20']:pred [37.229576  19.294704  26.658403   4.2486353 16.254665 ]
sedan2door_0_0_-40_20_40_80_80_450:gt ['0', '0', '-40', '20', '40']:pred [ 0.26768276  2.59108    40.         20.         40.        ]
hybrid_-40_40_-20_20_20_160_20_400:gt ['-40', '40', '-20', '20', '20']:pred [40.     40.9706 20.     20.     20.    ]
hybrid_-20_20_-20_0_20_320_20_400:gt ['-20', '20', '-20', '0', '20']:pred [20.660084  20.        20.         0.        12.7249155]
suv_-20_40_0_0_20_240_40_400:gt ['-20', '40', '0', '0', '20']:pred [20.       41.939247  0.        2.196585 11.50955 ]
suv_-20_20_0_40_40_80_40_400:gt ['-20', '20', '0', '40', '40']:pred [23.456741  12.237359   6.7059617 40.        40.       ]
sedan2door_-20_0_-40_20_40_320_20_400:gt ['-20', '0', '-40', '20', '40']:pred [13.748231  0.       40.       20.       35.10444 ]
sedan2door_-20_20_-40_20_40_160_40_450:gt ['-20', '20', '-40', '20', '40']:pred [20.       20.335522 40.       20.       44.84998 ]
hybrid_-20_20_-40_0_0_240_20_450:gt ['-20', '20', '-40', '0', '0']:pred [20.         21.856716   40.          0.          0.44154185]
hybrid_-40_20_-20_20_0_320_80_400:gt ['-40', '20', '-20', '20', '0']:pred [41.444313  23.497406  20.        20.         1.8250211]
suv_0_40_-20_0_40_0_80_450:gt ['0', '40', '-20', '0', '40']:pred [ 3.2077217 38.92459   21.185211   0.        33.807102 ]
hatchback_-40_20_0_40_0_320_80_450:gt ['-40', '20', '0', '40', '0']:pred [37.92171   24.068684   4.129415  33.76605    5.8003325]
hybrid_-20_40_-20_20_20_240_80_400:gt ['-20', '40', '-20', '20', '20']:pred [16.27073  41.888515 20.       20.       16.497454]
hatchback_0_20_-20_0_40_320_80_400:gt ['0', '20', '-20', '0', '40']:pred [ 1.2167372 21.649614  15.920683   6.2693944 38.723644 ]
sedan4door_0_40_0_0_40_0_20_450:gt ['0', '40', '0', '0', '40']:pred [ 2.0309007 40.         7.4626856  0.        40.       ]
sedan4door_-40_0_-40_0_0_160_20_400:gt ['-40', '0', '-40', '0', '0']:pred [40.         1.4952967 40.         0.7754098  0.       ]
sedan2door_0_20_-40_0_20_80_80_400:gt ['0', '20', '-40', '0', '20']:pred [ 0.5502135 17.534563  40.         0.        20.       ]
sedan4door_-40_40_-40_40_40_240_40_400:gt ['-40', '40', '-40', '40', '40']:pred [40.       41.977238 40.       37.90741  38.39771 ]
suv_-40_40_0_0_0_80_60_400:gt ['-40', '40', '0', '0', '0']:pred [37.319687  45.611717   3.4061544  0.         9.303755 ]
sedan4door_-20_0_0_40_40_240_40_400:gt ['-20', '0', '0', '40', '40']:pred [20.         3.9334753  0.        38.557404  36.280945 ]
sedan4door_-20_0_0_40_0_240_20_450:gt ['-20', '0', '0', '40', '0']:pred [20.         2.7462974  0.        44.286873   1.3691341]
suv_-40_20_-20_40_0_160_60_450:gt ['-40', '20', '-20', '40', '0']:pred [41.852818 18.097843 20.       38.546722  8.63999 ]
hatchback_0_20_0_20_0_160_20_400:gt ['0', '20', '0', '20', '0']:pred [ 0.       19.974361  0.       31.207155  0.      ]
hybrid_-20_20_0_40_40_80_60_450:gt ['-20', '20', '0', '40', '40']:pred [23.252436 20.658976  0.       40.       31.46016 ]
suv_0_20_-40_40_0_160_40_400:gt ['0', '20', '-40', '40', '0']:pred [ 0.        28.727566  40.        33.089336   1.4112127]
sedan4door_0_20_-40_0_0_160_40_400:gt ['0', '20', '-40', '0', '0']:pred [ 0.        19.603249  40.         4.545664   3.3605928]
suv_-40_40_0_20_40_0_20_400:gt ['-40', '40', '0', '20', '40']:pred [43.944996  40.         0.6953116 20.        40.       ]
hatchback_-40_20_-20_40_40_320_40_400:gt ['-40', '20', '-20', '40', '40']:pred [43.005016 20.       17.234678 40.       43.513374]
hybrid_0_0_-20_40_0_320_80_400:gt ['0', '0', '-20', '40', '0']:pred [ 1.7174087   1.7839652  20.         40.          0.22666486]
hatchback_-20_40_-20_40_0_160_80_400:gt ['-20', '40', '-20', '40', '0']:pred [11.830924 42.195213 36.563183 39.022438 10.915125]
suv_0_0_-20_20_40_240_40_450:gt ['0', '0', '-20', '20', '40']:pred [ 0.         1.2275461 20.        23.616802  39.87552  ]
suv_-40_0_0_0_0_240_60_450:gt ['-40', '0', '0', '0', '0']:pred [41.686096    0.94218135  0.          1.084425    5.320622  ]
sedan2door_-20_20_0_0_20_0_60_400:gt ['-20', '20', '0', '0', '20']:pred [19.1148   13.919184  0.        0.       11.988711]
hatchback_-40_40_0_0_0_160_60_400:gt ['-40', '40', '0', '0', '0']:pred [37.91303   41.299164   0.         5.9621496  4.1041303]
hatchback_0_0_0_0_0_240_80_450:gt ['0', '0', '0', '0', '0']:pred [1.5679523 1.7054774 2.6567006 2.3040068 7.8761477]
hybrid_-20_20_-20_40_20_320_60_450:gt ['-20', '20', '-20', '40', '20']:pred [17.372417 28.808851 20.       40.       27.50108 ]
hatchback_-40_40_0_0_40_320_20_450:gt ['-40', '40', '0', '0', '40']:pred [37.563465  40.         2.2287416  0.        42.339294 ]
sedan2door_-40_40_-20_40_40_320_60_450:gt ['-40', '40', '-20', '40', '40']:pred [38.44337  39.402954 20.       40.       43.822754]
sedan4door_0_40_-20_40_40_0_60_450:gt ['0', '40', '-20', '40', '40']:pred [ 4.0557485 38.742455  14.677841  40.        39.128067 ]
hatchback_-40_20_-40_20_0_0_40_450:gt ['-40', '20', '-40', '20', '0']:pred [37.858543  20.        39.65084   20.         1.1694763]
hybrid_0_40_-20_20_20_320_20_450:gt ['0', '40', '-20', '20', '20']:pred [ 0.7026751 40.        20.        20.        26.089388 ]
hybrid_0_0_0_20_20_160_40_400:gt ['0', '0', '0', '20', '20']:pred [ 0.        0.523102  0.       20.       17.72098 ]
sedan4door_-20_20_-40_40_0_80_40_450:gt ['-20', '20', '-40', '40', '0']:pred [16.37308  13.686572 41.796185 40.        0.      ]
hatchback_-40_40_-40_20_20_0_60_400:gt ['-40', '40', '-40', '20', '20']:pred [37.428288 32.184258 38.187878 20.       21.228838]
sedan2door_0_0_-20_0_40_240_80_450:gt ['0', '0', '-20', '0', '40']:pred [ 1.8690267  1.77534   20.         0.        33.897934 ]
sedan2door_-20_0_-20_0_40_0_80_400:gt ['-20', '0', '-20', '0', '40']:pred [15.420417   4.6394196 20.         0.        43.101913 ]
suv_-40_20_-20_20_40_0_40_450:gt ['-40', '20', '-20', '20', '40']:pred [42.711987 20.       19.216742 20.       36.630436]
sedan2door_-20_0_-40_0_20_160_80_400:gt ['-20', '0', '-40', '0', '20']:pred [18.25081    1.4357672 40.         0.        27.713638 ]
sedan4door_-20_20_-40_0_20_80_20_400:gt ['-20', '20', '-40', '0', '20']:pred [13.985025 20.       37.110245  0.       20.      ]
sedan4door_-20_40_0_20_40_80_20_400:gt ['-20', '40', '0', '20', '40']:pred [16.907194  40.         2.2008386 20.        40.       ]
sedan4door_-40_0_-20_0_0_0_60_450:gt ['-40', '0', '-20', '0', '0']:pred [40.543045    2.395237   16.134876    0.          0.85360426]
sedan4door_0_40_0_0_0_160_80_450:gt ['0', '40', '0', '0', '0']:pred [ 2.4399192 33.47658    3.1518052  1.2451214  7.163423 ]
hybrid_-20_40_-40_20_20_80_60_450:gt ['-20', '40', '-40', '20', '20']:pred [21.75947  33.707054 40.       20.       28.231272]
hatchback_-20_40_-20_40_40_160_20_400:gt ['-20', '40', '-20', '40', '40']:pred [20.      39.26208 20.      37.55126 40.     ]
hatchback_0_20_-20_20_40_240_80_400:gt ['0', '20', '-20', '20', '40']:pred [ 2.4698944 25.990932  12.591169  21.572783  41.615444 ]
sedan2door_0_40_-20_0_20_320_60_450:gt ['0', '40', '-20', '0', '20']:pred [ 0.28269202 45.772247   20.          0.         23.575306  ]
sedan2door_-20_40_-20_40_40_240_60_450:gt ['-20', '40', '-20', '40', '40']:pred [19.07061  38.54701  20.       40.       37.577328]
hybrid_0_40_-40_0_20_80_80_450:gt ['0', '40', '-40', '0', '20']:pred [ 1.9169513 35.148235  40.         0.        20.       ]
hybrid_0_20_-40_0_20_0_40_400:gt ['0', '20', '-40', '0', '20']:pred [ 1.3068858 20.        40.         0.        27.43202  ]
hatchback_0_20_0_40_40_240_20_450:gt ['0', '20', '0', '40', '40']:pred [ 0.       15.151986  0.       42.8381   42.880646]
hatchback_-20_0_-40_40_40_320_80_400:gt ['-20', '0', '-40', '40', '40']:pred [17.540115   1.1529392 41.87212   41.805443  39.9219   ]
hatchback_-40_20_0_20_20_80_60_400:gt ['-40', '20', '0', '20', '20']:pred [39.829952  20.717001   1.0381926 19.492088  10.679213 ]
sedan4door_0_0_-20_20_20_0_40_450:gt ['0', '0', '-20', '20', '20']:pred [ 1.3707064  0.        13.531079  20.        20.736036 ]
hatchback_0_20_0_0_20_240_60_400:gt ['0', '20', '0', '0', '20']:pred [ 2.243191  16.467999   0.         2.9832516 29.504541 ]
hybrid_0_40_-40_40_0_160_20_400:gt ['0', '40', '-40', '40', '0']:pred [ 0.       38.636147 40.       40.        0.      ]
hatchback_-40_40_-40_0_40_80_40_400:gt ['-40', '40', '-40', '0', '40']:pred [43.299095 41.962685 41.62401   0.       40.      ]
hybrid_-40_0_0_40_20_320_40_450:gt ['-40', '0', '0', '40', '20']:pred [40.432674  0.        0.       40.       16.776772]
hatchback_-40_20_-20_40_20_160_40_450:gt ['-40', '20', '-20', '40', '20']:pred [40.       24.392532 20.       43.53561  33.0627  ]
suv_0_0_0_20_0_320_80_400:gt ['0', '0', '0', '20', '0']:pred [ 0.8242066  2.7368975  1.5982543 13.748652   2.4385178]
hybrid_-20_20_-20_20_20_240_60_400:gt ['-20', '20', '-20', '20', '20']:pred [15.714794 14.604255 20.       20.       28.185835]
sedan4door_-20_0_-40_20_40_320_80_400:gt ['-20', '0', '-40', '20', '40']:pred [20.427464   2.2628772 39.56485   12.965271  23.805395 ]
hatchback_-20_20_-40_40_20_80_20_400:gt ['-20', '20', '-40', '40', '20']:pred [18.940142 20.       39.532154 40.       20.      ]
hatchback_0_20_-40_40_0_160_80_400:gt ['0', '20', '-40', '40', '0']:pred [ 1.0664128 22.1657    42.280857  39.16883    2.2784572]
hybrid_-20_0_0_0_20_0_40_400:gt ['-20', '0', '0', '0', '20']:pred [19.37641   0.        0.        0.       15.878824]
sedan2door_-40_0_-20_0_0_320_40_450:gt ['-40', '0', '-20', '0', '0']:pred [40.14343    0.        20.         0.         6.2684336]
sedan4door_0_40_0_0_0_80_60_450:gt ['0', '40', '0', '0', '0']:pred [ 1.7964848 40.86279    2.7124393  1.6726934 11.898566 ]
hatchback_-40_40_0_40_40_160_20_450:gt ['-40', '40', '0', '40', '40']:pred [40.       37.551952  0.       36.67485  40.      ]
sedan4door_-40_20_-20_40_20_240_80_450:gt ['-40', '20', '-20', '40', '20']:pred [38.982307 22.169224 11.174282 33.16652  10.44071 ]
sedan4door_-20_40_0_0_40_0_80_450:gt ['-20', '40', '0', '0', '40']:pred [16.907288  38.420044   1.1236743  7.7902455 33.84987  ]
sedan4door_-40_20_-40_40_0_80_20_400:gt ['-40', '20', '-40', '40', '0']:pred [40.777725 20.       38.071182 40.        0.      ]
sedan4door_0_20_-20_40_0_160_20_450:gt ['0', '20', '-20', '40', '0']:pred [ 0.       21.772041 20.       15.55417   0.      ]
suv_0_0_0_40_20_320_60_450:gt ['0', '0', '0', '40', '20']:pred [ 1.8570805  0.         3.6747992 46.30122   15.364944 ]
suv_-40_20_-20_0_40_240_20_450:gt ['-40', '20', '-20', '0', '40']:pred [40.        18.644985  20.         2.6862135 39.55129  ]
suv_0_0_0_20_20_0_20_450:gt ['0', '0', '0', '20', '20']:pred [ 0.6371144  0.         4.334035  20.        20.       ]
sedan4door_-20_40_-40_20_40_0_40_400:gt ['-20', '40', '-40', '20', '40']:pred [25.660006 40.       31.426138 20.       31.02165 ]
sedan2door_0_40_-40_0_0_240_40_400:gt ['0', '40', '-40', '0', '0']:pred [ 0.        40.928658  40.         0.         0.9868249]
hybrid_-20_40_-40_20_0_160_20_450:gt ['-20', '40', '-40', '20', '0']:pred [20.      38.74116 40.      20.       0.     ]
sedan4door_0_40_-40_20_0_320_60_450:gt ['0', '40', '-40', '20', '0']:pred [ 2.735905  34.251476  41.074978  19.61882    1.8425106]
sedan2door_-20_20_0_40_20_0_80_400:gt ['-20', '20', '0', '40', '20']:pred [16.582151 22.39099   0.       40.       23.156681]
sedan4door_-20_20_0_0_20_320_80_450:gt ['-20', '20', '0', '0', '20']:pred [15.951521   18.086496    0.79892373  2.2834265   3.1250472 ]
hatchback_-20_20_0_20_20_0_20_400:gt ['-20', '20', '0', '20', '20']:pred [18.58883   20.         0.7228704 20.        20.       ]
sedan2door_-40_40_-40_0_40_320_40_450:gt ['-40', '40', '-40', '0', '40']:pred [38.19661 40.      40.       0.      33.40576]
sedan4door_0_40_-40_40_20_160_20_400:gt ['0', '40', '-40', '40', '20']:pred [ 0.       39.395866 40.       39.746838 20.      ]
suv_-20_20_0_20_0_80_20_400:gt ['-20', '20', '0', '20', '0']:pred [23.526257 20.        0.       20.        0.      ]
sedan2door_-40_0_0_40_0_240_40_400:gt ['-40', '0', '0', '40', '0']:pred [40.         1.658519   0.        40.         2.7858183]
hybrid_-40_20_-20_20_20_80_20_400:gt ['-40', '20', '-20', '20', '20']:pred [36.456104 20.       20.       20.       20.      ]
hybrid_-20_40_0_20_40_320_80_450:gt ['-20', '40', '0', '20', '40']:pred [18.693424 38.75372   0.       20.       41.853348]
suv_-20_0_-20_20_40_80_60_450:gt ['-20', '0', '-20', '20', '40']:pred [19.065733   2.2315514 18.126495  22.2672    38.24779  ]
sedan2door_0_20_-20_20_40_0_80_400:gt ['0', '20', '-20', '20', '40']:pred [ 0.8067569 15.532261  20.        20.        48.227028 ]
hatchback_-20_40_-40_40_20_80_80_450:gt ['-20', '40', '-40', '40', '20']:pred [19.402481 40.972935 39.37989  43.79591  20.      ]
hatchback_0_40_0_20_20_160_20_450:gt ['0', '40', '0', '20', '20']:pred [ 0.       36.045876  0.       19.468464 20.      ]
sedan2door_-40_20_-20_0_40_80_60_450:gt ['-40', '20', '-20', '0', '40']:pred [42.33666  22.820766 20.        0.       34.514645]
suv_0_0_-20_0_0_320_40_400:gt ['0', '0', '-20', '0', '0']:pred [ 0.23510551  0.         18.692257    0.          0.4606207 ]
hybrid_0_40_0_20_40_160_60_450:gt ['0', '40', '0', '20', '40']:pred [ 0.       43.73828   0.       20.       39.143223]
sedan4door_-20_40_-20_0_40_80_80_400:gt ['-20', '40', '-20', '0', '40']:pred [22.03668   40.131214  15.324763   1.8658688 40.       ]
sedan2door_0_0_0_0_20_320_20_450:gt ['0', '0', '0', '0', '20']:pred [ 0.31264883  0.          0.          0.         10.449293  ]
hatchback_0_40_-40_0_0_160_80_400:gt ['0', '40', '-40', '0', '0']:pred [ 3.243308  34.7675    39.20248    1.8234903  4.9037757]
hatchback_-40_0_0_40_0_0_80_450:gt ['-40', '0', '0', '40', '0']:pred [41.878082    1.4087585   0.94880205 47.746666    1.4613264 ]
sedan4door_-20_40_0_40_0_80_20_450:gt ['-20', '40', '0', '40', '0']:pred [24.101862  40.         2.6754646 40.         0.       ]
suv_-40_0_-20_20_0_160_40_400:gt ['-40', '0', '-20', '20', '0']:pred [40.        4.870023 20.       23.031904  7.543465]
suv_0_40_-20_0_40_160_20_450:gt ['0', '40', '-20', '0', '40']:pred [ 0.        34.902386  20.         1.3566912 40.       ]
sedan2door_-40_20_0_40_40_80_20_400:gt ['-40', '20', '0', '40', '40']:pred [36.338543 20.        0.       40.       40.      ]
sedan2door_-40_40_0_40_40_0_80_450:gt ['-40', '40', '0', '40', '40']:pred [43.923542 40.788017  0.       40.       43.026974]
sedan2door_-20_0_-20_40_0_0_80_450:gt ['-20', '0', '-20', '40', '0']:pred [20.553251   1.8929133 20.        40.         3.9629192]
hatchback_-40_20_0_0_20_320_40_400:gt ['-40', '20', '0', '0', '20']:pred [38.552864  20.         1.0192227  0.        16.699032 ]
sedan4door_0_40_-40_20_20_160_60_450:gt ['0', '40', '-40', '20', '20']:pred [ 8.010633 40.334206 40.       29.27448  23.70498 ]
hybrid_0_40_0_40_20_320_40_400:gt ['0', '40', '0', '40', '20']:pred [ 0.17881519 40.          0.         40.         25.8934    ]
hybrid_-20_40_0_0_20_240_60_400:gt ['-20', '40', '0', '0', '20']:pred [22.068079 38.358044  0.        0.       14.50558 ]
hatchback_-40_40_0_0_0_240_40_450:gt ['-40', '40', '0', '0', '0']:pred [40.         40.803318    0.          1.9903039   0.92166126]
hatchback_0_0_-40_0_20_80_60_450:gt ['0', '0', '-40', '0', '20']:pred [ 2.9590273  2.346179  39.235622   9.766375   1.8902311]
sedan2door_-20_0_-40_0_40_320_80_400:gt ['-20', '0', '-40', '0', '40']:pred [26.403046   4.0815625 40.         0.        33.29482  ]
hybrid_-20_0_-40_40_40_320_60_400:gt ['-20', '0', '-40', '40', '40']:pred [17.538063  0.       40.       40.       39.280834]
hatchback_-20_0_-40_0_40_240_80_450:gt ['-20', '0', '-40', '0', '40']:pred [27.955355  1.968485 42.932034  5.24668  36.228188]
sedan4door_-20_40_-20_40_20_240_60_400:gt ['-20', '40', '-20', '40', '20']:pred [16.223713 41.03408  20.927076 35.146862 15.818978]
sedan2door_0_20_0_20_20_80_20_400:gt ['0', '20', '0', '20', '20']:pred [ 1.0995742 20.         0.        20.        20.       ]
sedan4door_-40_40_0_40_40_320_60_450:gt ['-40', '40', '0', '40', '40']:pred [36.506134  45.96203    2.1670022 40.951466  33.23756  ]
suv_-40_0_-20_40_0_0_80_450:gt ['-40', '0', '-20', '40', '0']:pred [36.981586  10.162452   2.7919738 49.16214    1.4673426]
sedan2door_0_40_-20_20_20_240_80_400:gt ['0', '40', '-20', '20', '20']:pred [ 1.2819625 41.910854  20.        20.        25.901028 ]
hybrid_0_20_-40_40_20_240_20_400:gt ['0', '20', '-40', '40', '20']:pred [ 0.       23.070614 40.       40.       20.410234]
sedan4door_0_40_-20_20_20_0_60_400:gt ['0', '40', '-20', '20', '20']:pred [ 0.5275139 40.617058  20.07661   20.        15.7623625]
sedan2door_-20_40_0_20_0_0_40_450:gt ['-20', '40', '0', '20', '0']:pred [18.495077  40.         0.        20.         0.8967366]
sedan2door_-40_40_-40_0_40_240_20_400:gt ['-40', '40', '-40', '0', '40']:pred [40.       38.5129   40.        0.       35.125244]
sedan2door_-40_0_0_20_0_160_60_400:gt ['-40', '0', '0', '20', '0']:pred [34.588688   0.8733905  0.        20.         5.4653974]
hybrid_-20_40_-40_40_0_320_80_400:gt ['-20', '40', '-40', '40', '0']:pred [16.66572   40.986706  40.        40.         1.4623134]
sedan4door_0_20_0_20_20_80_80_400:gt ['0', '20', '0', '20', '20']:pred [ 0.99736446 17.574417    0.95463526 19.336279   20.        ]
sedan4door_0_0_0_20_20_160_80_400:gt ['0', '0', '0', '20', '20']:pred [ 0.9454759  4.214896   7.2596292  5.577379  18.723356 ]
hatchback_0_0_-20_40_0_320_20_450:gt ['0', '0', '-20', '40', '0']:pred [ 0.9980942   0.         20.785624   40.          0.80365986]
sedan2door_-40_0_-40_0_0_240_80_400:gt ['-40', '0', '-40', '0', '0']:pred [36.060944   1.6488206 40.         0.         4.896508 ]
suv_-40_40_0_40_0_0_60_450:gt ['-40', '40', '0', '40', '0']:pred [42.596252  44.564533   2.1893268 40.         3.78788  ]
sedan2door_0_40_-20_0_40_160_40_400:gt ['0', '40', '-20', '0', '40']:pred [ 0.      38.03135 20.       0.      38.04677]
sedan4door_-40_40_-20_20_40_0_60_400:gt ['-40', '40', '-20', '20', '40']:pred [45.12646  43.169086 13.515766 20.       26.80058 ]
