hybrid_-40_40_-40_40_20_360_80_400 gt:['-40', '40', '-40', '40', '20'] pred:[41.40255  41.323326 40.       40.       18.985538]
suv_0_0_0_20_40_240_60_400 gt:['0', '0', '0', '20', '40'] pred:[ 2.6913133  4.533167   0.        15.869183  41.366287 ]
sedan4door_-20_40_0_0_0_120_20_450 gt:['-20', '40', '0', '0', '0'] pred:[20.       46.818645  0.        3.712916  0.      ]
hybrid_-20_20_0_40_40_280_80_400 gt:['-20', '20', '0', '40', '40'] pred:[18.246159 18.531645  0.       40.       39.961857]
sedan2door_-20_20_-40_40_20_40_80_400 gt:['-20', '20', '-40', '40', '20'] pred:[19.017204 17.63161  40.       40.       16.75327 ]
hybrid_0_20_-20_20_20_120_40_450 gt:['0', '20', '-20', '20', '20'] pred:[ 0.      21.93598 20.      20.      20.     ]
sedan4door_0_40_-20_40_0_200_20_450 gt:['0', '40', '-20', '40', '0'] pred:[ 0.       44.313957 20.       46.790897  2.141552]
sedan2door_-40_40_0_40_0_280_20_400 gt:['-40', '40', '0', '40', '0'] pred:[47.253063  40.         0.        40.         1.8839396]
sedan4door_0_40_-20_40_40_280_60_450 gt:['0', '40', '-20', '40', '40'] pred:[ 2.9896631 44.913624  20.51728   44.06821   40.070377 ]
suv_0_0_-20_0_40_240_80_450 gt:['0', '0', '-20', '0', '40'] pred:[ 1.8291979  1.7993742 13.139382   1.7146844 46.4673   ]
hybrid_-20_20_-40_20_40_200_20_400 gt:['-20', '20', '-40', '20', '40'] pred:[20.       20.526487 40.       20.       46.33163 ]
sedan4door_-20_0_0_0_40_40_20_400 gt:['-20', '0', '0', '0', '40'] pred:[20.630413  0.        5.981338  0.       40.      ]
sedan2door_0_40_0_20_0_0_20_400 gt:['0', '40', '0', '20', '0'] pred:[ 1.9301133 40.         0.        20.         0.       ]
hatchback_-20_20_-20_40_20_360_20_400 gt:['-20', '20', '-20', '40', '20'] pred:[19.294304 20.       21.210314 40.       20.      ]
sedan2door_-20_20_-40_40_0_200_40_400 gt:['-20', '20', '-40', '40', '0'] pred:[20.       21.955547 40.       40.        1.286187]
suv_-20_40_0_0_40_200_80_450 gt:['-20', '40', '0', '0', '40'] pred:[17.230927  40.70011    0.         4.4957533 40.751347 ]
hybrid_-40_40_0_40_0_360_60_450 gt:['-40', '40', '0', '40', '0'] pred:[44.890938  42.44063    0.        40.         1.8522341]
hybrid_0_20_-40_0_20_320_20_450 gt:['0', '20', '-40', '0', '20'] pred:[ 3.910959 20.       40.        0.       13.879814]
hybrid_0_40_0_20_40_280_60_400 gt:['0', '40', '0', '20', '40'] pred:[ 3.5797918 46.369987   0.        20.        42.096676 ]
suv_-40_40_-40_0_0_0_60_450 gt:['-40', '40', '-40', '0', '0'] pred:[41.094597  39.888752  42.93217    0.         2.6123965]
suv_0_40_-40_0_20_80_40_400 gt:['0', '40', '-40', '0', '20'] pred:[ 6.539111 45.898552 42.273994  0.       20.      ]
hybrid_-40_40_-40_20_20_360_60_400 gt:['-40', '40', '-40', '20', '20'] pred:[41.07142  41.042854 40.       20.       20.811462]
suv_-20_20_-40_20_40_120_20_400 gt:['-20', '20', '-40', '20', '40'] pred:[20.       21.906292 40.       19.125666 40.      ]
sedan4door_-20_0_-20_0_20_240_80_450 gt:['-20', '0', '-20', '0', '20'] pred:[17.995388   2.9630632 18.09673    1.6185162 19.217613 ]
sedan2door_0_40_0_20_40_360_40_400 gt:['0', '40', '0', '20', '40'] pred:[ 3.221703 40.        0.       20.       40.701725]
hatchback_0_40_-20_0_0_160_20_400 gt:['0', '40', '-20', '0', '0'] pred:[ 0.        45.586945  20.         3.9056058  0.       ]
sedan4door_0_40_-40_0_0_0_80_450 gt:['0', '40', '-40', '0', '0'] pred:[ 3.718696  45.09392   41.947716   4.348471   1.7915113]
sedan2door_-40_0_-20_40_0_320_60_450 gt:['-40', '0', '-20', '40', '0'] pred:[42.139896   3.7716804 20.        40.         0.6312786]
suv_-20_0_0_0_0_240_60_400 gt:['-20', '0', '0', '0', '0'] pred:[21.663094   2.5960488  0.         2.0769873  0.6640556]
sedan4door_0_20_-40_20_40_0_60_450 gt:['0', '20', '-40', '20', '40'] pred:[ 4.114614 19.424963 39.542606 20.       39.187515]
hatchback_-40_20_0_20_40_0_60_450 gt:['-40', '20', '0', '20', '40'] pred:[41.937405  11.138049   2.1085765 20.        41.08372  ]
suv_-20_20_-20_40_40_120_80_450 gt:['-20', '20', '-20', '40', '40'] pred:[19.173273 19.81396  18.384838 41.900497 39.684593]
hatchback_-40_0_-40_40_40_240_60_400 gt:['-40', '0', '-40', '40', '40'] pred:[37.95903    5.3429804 45.94712   43.418575  37.745277 ]
suv_-40_20_-20_40_20_200_80_450 gt:['-40', '20', '-20', '40', '20'] pred:[43.042324 17.125507 23.60722  43.608845 20.773746]
hybrid_0_40_0_0_0_280_20_400 gt:['0', '40', '0', '0', '0'] pred:[ 0.         40.          0.          0.          0.64224595]
sedan2door_-20_20_-20_40_0_200_60_400 gt:['-20', '20', '-20', '40', '0'] pred:[14.025298  20.666737  20.        40.         1.8152316]
hybrid_0_0_-40_20_20_120_20_400 gt:['0', '0', '-40', '20', '20'] pred:[ 0.         2.8059428 40.        20.        20.       ]
hybrid_0_0_-20_20_40_120_80_450 gt:['0', '0', '-20', '20', '40'] pred:[ 2.302719   3.2805793 20.        20.        40.03956  ]
hybrid_0_20_-20_40_20_120_40_400 gt:['0', '20', '-20', '40', '20'] pred:[ 0.       19.432552 20.       40.       20.      ]
sedan4door_-40_0_-40_40_20_0_40_450 gt:['-40', '0', '-40', '40', '20'] pred:[39.37759   0.       45.296886 40.       22.709185]
hybrid_0_40_-40_40_0_320_80_400 gt:['0', '40', '-40', '40', '0'] pred:[ 3.3351161 48.535347  40.        40.         1.7363819]
hatchback_0_40_-20_0_40_40_80_450 gt:['0', '40', '-20', '0', '40'] pred:[ 3.4132953 43.778786  19.40143    3.8426309 43.453526 ]
sedan2door_-20_20_0_40_0_240_40_400 gt:['-20', '20', '0', '40', '0'] pred:[20.       22.796934  0.       40.        2.0058  ]
sedan2door_-20_0_-40_20_0_120_20_400 gt:['-20', '0', '-40', '20', '0'] pred:[20.         2.8232648 40.        20.         0.       ]
sedan2door_0_0_0_20_20_200_60_400 gt:['0', '0', '0', '20', '20'] pred:[ 4.287735  3.022118  0.       20.       17.212484]
sedan2door_0_0_-40_40_20_0_80_450 gt:['0', '0', '-40', '40', '20'] pred:[ 1.8996059  2.1503956 40.        40.        19.354542 ]
suv_-20_0_-40_40_20_240_40_400 gt:['-20', '0', '-40', '40', '20'] pred:[20.         4.6508837 40.        43.579506  19.643661 ]
hatchback_0_0_0_0_40_40_20_400 gt:['0', '0', '0', '0', '40'] pred:[ 1.7361741  0.         6.628599   0.        40.       ]
sedan4door_-20_0_-40_40_20_320_80_400 gt:['-20', '0', '-40', '40', '20'] pred:[20.056807   3.8704383 37.47087   47.871147  20.229937 ]
suv_0_40_-20_40_0_40_20_400 gt:['0', '40', '-20', '40', '0'] pred:[ 3.5469403 40.        13.556447  40.         0.       ]
sedan4door_0_0_-40_40_40_320_60_400 gt:['0', '0', '-40', '40', '40'] pred:[ 3.0491943  4.340227  42.067356  41.211975  41.414494 ]
sedan4door_-20_0_-20_0_20_320_20_450 gt:['-20', '0', '-20', '0', '20'] pred:[18.45915   0.       20.922014  0.       23.148552]
hybrid_-20_20_-40_40_40_80_60_450 gt:['-20', '20', '-40', '40', '40'] pred:[14.335949 19.805141 40.       40.       42.728516]
suv_-20_0_-20_40_40_240_40_450 gt:['-20', '0', '-20', '40', '40'] pred:[20.         5.0796475 20.        40.169136  41.48618  ]
sedan2door_-20_20_-40_20_20_200_60_450 gt:['-20', '20', '-40', '20', '20'] pred:[16.665298 18.8251   40.       20.       20.608458]
sedan4door_0_20_0_0_20_160_80_450 gt:['0', '20', '0', '0', '20'] pred:[ 1.5292003 27.085936   2.896525   4.0874863 23.058884 ]
suv_-20_0_-40_40_20_200_60_450 gt:['-20', '0', '-40', '40', '20'] pred:[18.972645   4.7612205 40.        37.85891   16.980484 ]
hybrid_0_0_0_40_0_240_80_400 gt:['0', '0', '0', '40', '0'] pred:[ 2.3586824  3.9475894  0.        40.         0.6894395]
hybrid_-40_20_0_20_40_0_20_450 gt:['-40', '20', '0', '20', '40'] pred:[45.537678 20.        0.       20.       40.      ]
sedan4door_0_0_0_40_20_240_40_400 gt:['0', '0', '0', '40', '20'] pred:[ 0.         4.8132105  0.        44.450226  18.309914 ]
hatchback_-20_20_-20_0_40_240_40_400 gt:['-20', '20', '-20', '0', '40'] pred:[20.        22.906172  20.         1.9272908 40.679745 ]
hybrid_0_0_-20_0_40_280_40_450 gt:['0', '0', '-20', '0', '40'] pred:[ 5.512509  0.       20.        0.       41.638226]
sedan4door_-20_20_-40_0_0_240_40_450 gt:['-20', '20', '-40', '0', '0'] pred:[20.        22.711304  40.         3.1936843  1.0515553]
sedan4door_-40_0_-20_20_40_280_60_450 gt:['-40', '0', '-20', '20', '40'] pred:[42.335907  4.399477 18.095097 17.920607 41.48395 ]
sedan2door_-20_40_0_20_20_280_40_450 gt:['-20', '40', '0', '20', '20'] pred:[21.224184 42.88474   0.       20.       20.088343]
sedan2door_-40_20_0_40_0_200_60_400 gt:['-40', '20', '0', '40', '0'] pred:[43.341667  20.626974   0.        40.         1.8313704]
sedan4door_-40_0_0_40_0_320_80_400 gt:['-40', '0', '0', '40', '0'] pred:[43.212322   3.2141128  4.682208  39.63875    2.132667 ]
hybrid_-40_20_-20_0_0_0_80_450 gt:['-40', '20', '-20', '0', '0'] pred:[41.01136   21.927822  20.         0.         1.5717491]
hybrid_0_0_-20_40_40_80_80_450 gt:['0', '0', '-20', '40', '40'] pred:[ 2.2970896  1.3126379 20.        40.        40.       ]
hatchback_-20_40_-40_0_0_0_20_400 gt:['-20', '40', '-40', '0', '0'] pred:[20.939058 40.       43.27261   0.        0.      ]
hybrid_-20_20_-20_40_40_280_40_450 gt:['-20', '20', '-20', '40', '40'] pred:[19.598022 22.364683 20.       40.       42.73504 ]
sedan2door_0_0_-20_40_0_160_20_400 gt:['0', '0', '-20', '40', '0'] pred:[ 0.         2.3152246 20.        40.         0.       ]
sedan2door_0_40_-20_20_0_200_60_450 gt:['0', '40', '-20', '20', '0'] pred:[ 2.6362665 47.54357   20.        20.         1.6353886]
hybrid_-40_40_0_20_20_320_20_450 gt:['-40', '40', '0', '20', '20'] pred:[46.05393  40.        0.       20.       20.622108]
sedan4door_0_20_-40_0_40_160_20_400 gt:['0', '20', '-40', '0', '40'] pred:[ 0.        21.958296  40.         2.7598403 40.       ]
sedan2door_-20_20_-40_40_40_120_80_450 gt:['-20', '20', '-40', '40', '40'] pred:[17.294535 21.188385 40.       40.       39.334145]
suv_-20_0_-40_20_20_0_40_400 gt:['-20', '0', '-40', '20', '20'] pred:[23.387133  0.       43.903522 20.       19.266827]
hybrid_0_40_-40_20_0_320_80_450 gt:['0', '40', '-40', '20', '0'] pred:[ 3.902392  43.587498  40.        20.         1.8848889]
sedan4door_0_20_0_0_0_40_20_400 gt:['0', '20', '0', '0', '0'] pred:[ 1.8320923 20.         1.9909527  0.         0.       ]
hybrid_-40_20_-40_0_0_0_80_400 gt:['-40', '20', '-40', '0', '0'] pred:[42.47777   19.922815  40.         0.         1.2537673]
hatchback_-20_20_-20_40_0_120_60_400 gt:['-20', '20', '-20', '40', '0'] pred:[19.040308 22.365414 20.       39.77626   2.239298]
hybrid_0_0_0_0_20_80_20_450 gt:['0', '0', '0', '0', '20'] pred:[ 2.1741078  0.         0.         0.        20.       ]
sedan2door_0_0_0_40_0_240_40_400 gt:['0', '0', '0', '40', '0'] pred:[ 0.         3.7982552  0.        40.         1.1966484]
hatchback_0_20_0_0_40_80_20_400 gt:['0', '20', '0', '0', '40'] pred:[ 1.8579509 20.         0.         0.        40.       ]
hatchback_-40_20_0_0_0_320_20_400 gt:['-40', '20', '0', '0', '0'] pred:[44.377304  20.         3.6268575  0.         1.2047012]
sedan4door_0_40_-40_40_40_200_20_450 gt:['0', '40', '-40', '40', '40'] pred:[ 0.       41.238518 40.       37.49057  40.55302 ]
hatchback_-40_0_-20_20_20_280_60_400 gt:['-40', '0', '-20', '20', '20'] pred:[38.803493   6.0758924 21.02663   15.854856  16.649836 ]
suv_-20_0_-40_40_40_360_80_450 gt:['-20', '0', '-40', '40', '40'] pred:[21.243048  4.060998 43.072723 42.02091  38.873055]
hybrid_0_0_-20_40_40_120_80_400 gt:['0', '0', '-20', '40', '40'] pred:[ 1.938462   3.8656042 20.        40.        43.100018 ]
sedan4door_-20_40_-20_0_40_120_60_400 gt:['-20', '40', '-20', '0', '40'] pred:[18.902681  44.93211   20.         1.8688875 40.95904  ]
suv_0_40_0_0_20_0_40_450 gt:['0', '40', '0', '0', '20'] pred:[ 2.205096  40.         2.1449106  0.        20.355547 ]
suv_-20_40_-40_40_20_40_80_450 gt:['-20', '40', '-40', '40', '20'] pred:[20.55387  40.791214 41.428444 42.215187 25.030529]
suv_0_40_-20_0_0_0_80_400 gt:['0', '40', '-20', '0', '0'] pred:[ 2.4544008  44.113792   20.24726     0.          0.65632075]
hybrid_-40_40_-40_20_0_80_40_400 gt:['-40', '40', '-40', '20', '0'] pred:[41.218224 42.08862  40.       20.        0.      ]
hatchback_0_0_-40_40_20_120_60_450 gt:['0', '0', '-40', '40', '20'] pred:[ 2.8968246  4.985616  40.        43.311996  21.220587 ]
sedan4door_0_0_0_20_20_360_60_450 gt:['0', '0', '0', '20', '20'] pred:[ 1.8612083  1.2350463  2.9282172 20.        20.339586 ]
hatchback_-20_40_-20_0_40_0_60_400 gt:['-20', '40', '-20', '0', '40'] pred:[19.27231  41.596786 19.76097   0.       40.579327]
suv_0_40_0_0_0_200_60_450 gt:['0', '40', '0', '0', '0'] pred:[ 0.        43.552834   0.         3.0905294  1.3166382]
hatchback_-40_40_-40_20_20_200_20_400 gt:['-40', '40', '-40', '20', '20'] pred:[40.       44.61941  40.       13.880015 20.354525]
hybrid_-20_20_-40_40_0_160_60_450 gt:['-20', '20', '-40', '40', '0'] pred:[20.401434  21.747274  40.        40.         1.2372028]
suv_-40_40_-40_20_40_240_60_400 gt:['-40', '40', '-40', '20', '40'] pred:[37.3823   37.172634 40.212677 18.711838 38.096916]
hatchback_-40_0_-40_40_40_80_20_450 gt:['-40', '0', '-40', '40', '40'] pred:[43.940186  0.       34.242672 40.       40.      ]
hatchback_-40_40_0_40_0_0_80_450 gt:['-40', '40', '0', '40', '0'] pred:[40.965664  41.555183   3.9490256 42.414047   3.4645295]
hybrid_0_40_-40_40_20_320_60_400 gt:['0', '40', '-40', '40', '20'] pred:[ 2.769013 48.062912 40.       40.       23.564674]
sedan4door_-20_40_-20_40_20_280_60_400 gt:['-20', '40', '-20', '40', '20'] pred:[18.825663 42.663956 19.82876  43.93596  25.035683]
hatchback_-40_20_-20_20_0_0_40_450 gt:['-40', '20', '-20', '20', '0'] pred:[40.79432   20.        16.352312  20.         2.2576404]
sedan2door_-40_40_-40_0_40_40_80_400 gt:['-40', '40', '-40', '0', '40'] pred:[42.21006  43.186317 40.        0.       39.85944 ]
suv_-40_40_-40_40_20_80_20_400 gt:['-40', '40', '-40', '40', '20'] pred:[42.798126 40.       46.201145 40.       20.      ]
suv_-20_0_0_20_0_320_80_400 gt:['-20', '0', '0', '20', '0'] pred:[18.069513    2.736612    3.4334815  21.10856     0.42400557]
sedan4door_-20_40_-20_0_20_120_80_450 gt:['-20', '40', '-20', '0', '20'] pred:[19.369617 43.440437 17.253414  2.86763  15.500152]
hatchback_0_0_-40_0_0_0_80_450 gt:['0', '0', '-40', '0', '0'] pred:[ 3.543022   1.5520837 41.954254   2.7959814  1.34613  ]
sedan2door_-40_20_0_0_40_320_20_450 gt:['-40', '20', '0', '0', '40'] pred:[41.564743 20.        0.        0.       41.46704 ]
hatchback_0_20_-20_0_40_80_40_450 gt:['0', '20', '-20', '0', '40'] pred:[ 2.9235623 22.304792  25.843853   0.        40.       ]
sedan2door_-40_0_-20_40_0_200_20_400 gt:['-40', '0', '-20', '40', '0'] pred:[40.         2.7213519 20.        40.         1.1371622]
sedan4door_0_0_0_0_40_360_60_400 gt:['0', '0', '0', '0', '40'] pred:[ 2.0487497  1.5228714  2.6518614  0.        44.94938  ]
hybrid_-20_20_0_0_20_240_80_400 gt:['-20', '20', '0', '0', '20'] pred:[16.899775 22.04178   0.        0.       20.652805]
suv_-40_20_-20_40_40_360_20_450 gt:['-40', '20', '-20', '40', '40'] pred:[43.276638 20.       20.402842 40.       40.      ]
suv_-20_20_-20_20_40_0_60_400 gt:['-20', '20', '-20', '20', '40'] pred:[19.931782 20.814192 20.311062 20.       40.499428]
sedan2door_-20_40_0_20_20_200_20_450 gt:['-20', '40', '0', '20', '20'] pred:[20.      44.49866  0.      20.      22.89534]
sedan4door_0_0_-40_20_40_360_20_450 gt:['0', '0', '-40', '20', '40'] pred:[ 3.5652843  0.        47.72621   20.        40.       ]
hybrid_-20_20_-40_40_40_360_60_400 gt:['-20', '20', '-40', '40', '40'] pred:[21.960342 21.258766 40.       40.       39.9866  ]
hybrid_-40_20_-20_40_40_320_40_400 gt:['-40', '20', '-20', '40', '40'] pred:[39.214382 20.       20.       40.       37.820766]
hatchback_-20_20_-40_0_20_240_60_400 gt:['-20', '20', '-40', '0', '20'] pred:[20.852066  24.111057  43.25594    3.4547753 19.247442 ]
sedan4door_0_40_0_40_0_40_20_400 gt:['0', '40', '0', '40', '0'] pred:[ 2.4652503 40.         1.0423235 40.         0.       ]
suv_-20_40_0_20_20_280_80_450 gt:['-20', '40', '0', '20', '20'] pred:[17.923159  49.07998    3.8726685 19.02739   24.941086 ]
sedan4door_-20_40_-20_0_40_80_60_400 gt:['-20', '40', '-20', '0', '40'] pred:[22.572077 41.71022  24.343885  5.504    41.07739 ]
sedan2door_-40_20_-40_40_0_160_60_400 gt:['-40', '20', '-40', '40', '0'] pred:[42.782158  23.136469  40.        40.         2.2884886]
sedan4door_-20_0_0_0_20_160_60_400 gt:['-20', '0', '0', '0', '20'] pred:[22.950603   2.5600111  0.         1.6917526 23.34527  ]
sedan4door_-40_0_-20_0_40_360_60_450 gt:['-40', '0', '-20', '0', '40'] pred:[39.047283   2.9142778 21.044197   0.        39.85616  ]
suv_0_20_0_40_0_120_80_450 gt:['0', '20', '0', '40', '0'] pred:[ 2.1752746 23.701511   2.6792195 49.001232   1.8563633]
hatchback_-20_0_0_0_40_120_40_450 gt:['-20', '0', '0', '0', '40'] pred:[20.         2.6569524  0.         3.3572097 40.       ]
suv_-40_40_0_40_40_200_40_450 gt:['-40', '40', '0', '40', '40'] pred:[40.       43.029873  0.       39.87303  40.720226]
hybrid_-20_40_0_20_40_200_20_450 gt:['-20', '40', '0', '20', '40'] pred:[20.       41.467937  0.       20.       40.331463]
sedan4door_-40_40_-20_40_0_240_40_450 gt:['-40', '40', '-20', '40', '0'] pred:[40.        41.97425   20.        40.255577   1.6563222]
suv_0_20_0_0_0_80_20_400 gt:['0', '20', '0', '0', '0'] pred:[ 1.7527779 20.         0.         0.         0.       ]
sedan2door_0_0_-40_20_0_0_60_400 gt:['0', '0', '-40', '20', '0'] pred:[ 2.3002355  3.6317255 40.        20.         1.2616974]
sedan4door_-40_40_-20_40_0_200_40_450 gt:['-40', '40', '-20', '40', '0'] pred:[40.        38.754227  20.        42.50302    1.5912699]
hybrid_0_0_-40_0_0_280_80_400 gt:['0', '0', '-40', '0', '0'] pred:[ 2.3720877  3.1276453 40.         0.         1.1095567]
suv_-40_40_0_0_0_200_80_450 gt:['-40', '40', '0', '0', '0'] pred:[43.27527   42.864895   0.         4.0118675  1.5137513]
hybrid_-20_0_-40_20_20_200_20_400 gt:['-20', '0', '-40', '20', '20'] pred:[20.         3.6884668 40.        20.        21.038021 ]
suv_0_0_0_0_40_240_40_450 gt:['0', '0', '0', '0', '40'] pred:[ 0.         3.7936995  0.         2.272044  43.290844 ]
suv_-40_20_0_20_0_0_60_450 gt:['-40', '20', '0', '20', '0'] pred:[42.171814  17.009775   2.498936  20.         1.7941972]
sedan2door_-20_0_-20_20_0_280_40_400 gt:['-20', '0', '-20', '20', '0'] pred:[17.165216   4.883505  20.        20.         1.2634313]
hatchback_-20_20_0_0_40_0_80_400 gt:['-20', '20', '0', '0', '40'] pred:[20.926699  20.540733   2.0779023  0.        41.98027  ]
hatchback_-20_20_-40_40_0_80_40_400 gt:['-20', '20', '-40', '40', '0'] pred:[17.08271  15.564349 43.40181  40.        0.      ]
hatchback_-20_0_-20_20_0_200_80_450 gt:['-20', '0', '-20', '20', '0'] pred:[15.224238   2.6564004 19.292461  21.632359   2.2675128]
sedan4door_-40_0_-40_0_0_160_80_400 gt:['-40', '0', '-40', '0', '0'] pred:[36.11843    3.5684826 47.192974   4.9994063  1.823227 ]
hybrid_0_40_0_0_0_360_20_450 gt:['0', '40', '0', '0', '0'] pred:[ 1.626657 40.        0.        0.        0.      ]
sedan4door_0_20_0_0_40_0_60_400 gt:['0', '20', '0', '0', '40'] pred:[ 3.039295  16.545685   3.7527993  0.        42.18823  ]
sedan4door_0_40_-20_0_20_0_80_400 gt:['0', '40', '-20', '0', '20'] pred:[ 3.3327703 45.623524  18.456892   3.1425564 13.933858 ]
hybrid_-40_20_-40_0_20_0_20_450 gt:['-40', '20', '-40', '0', '20'] pred:[46.011364 20.       40.        0.       20.      ]
hatchback_-20_0_-40_0_0_120_40_400 gt:['-20', '0', '-40', '0', '0'] pred:[20.         2.6685379 40.         6.2082014  0.       ]
suv_0_0_-40_0_0_360_20_400 gt:['0', '0', '-40', '0', '0'] pred:[ 3.4461758  0.        43.73538    0.         0.       ]
hatchback_-40_20_0_20_0_280_20_450 gt:['-40', '20', '0', '20', '0'] pred:[39.725956  20.         3.0994    20.         6.6665974]
sedan4door_-20_20_-20_0_40_120_40_450 gt:['-20', '20', '-20', '0', '40'] pred:[20.       22.863115 20.        1.789162 40.      ]
suv_0_0_-40_20_40_200_20_400 gt:['0', '0', '-40', '20', '40'] pred:[ 0.        4.130747 40.       16.127705 42.20418 ]
hatchback_-20_0_-40_0_0_360_60_400 gt:['-20', '0', '-40', '0', '0'] pred:[16.194008   2.7348006 40.88988    0.         1.3119802]
sedan4door_-20_20_0_40_40_120_60_450 gt:['-20', '20', '0', '40', '40'] pred:[16.614658 25.177593  0.       41.465584 41.937187]
sedan2door_-20_40_-20_0_20_280_60_450 gt:['-20', '40', '-20', '0', '20'] pred:[19.565737 43.54273  20.        0.       21.040302]
hatchback_0_0_0_20_20_360_20_400 gt:['0', '0', '0', '20', '20'] pred:[ 1.2800002  0.         3.039466  20.        20.       ]
sedan4door_-40_20_-40_40_0_80_40_450 gt:['-40', '20', '-40', '40', '0'] pred:[43.53942  19.656359 40.436256 40.        0.      ]
sedan4door_0_40_0_0_40_200_80_400 gt:['0', '40', '0', '0', '40'] pred:[ 1.6545185 46.47989    4.041322   2.4071953 41.341732 ]
suv_-20_0_-40_20_40_40_60_400 gt:['-20', '0', '-40', '20', '40'] pred:[28.78454    3.5527985 38.672134  20.        40.044064 ]
sedan2door_0_20_-20_20_20_200_20_400 gt:['0', '20', '-20', '20', '20'] pred:[ 0.       21.677155 20.       20.       19.412346]
sedan4door_-20_0_0_20_20_360_40_400 gt:['-20', '0', '0', '20', '20'] pred:[21.719946   0.         1.9946495 20.        16.894127 ]
sedan2door_-20_40_-40_40_40_200_80_400 gt:['-20', '40', '-40', '40', '40'] pred:[17.338633 45.98691  40.       40.       39.321785]
sedan2door_-20_0_-20_20_40_40_20_450 gt:['-20', '0', '-20', '20', '40'] pred:[21.70256  0.      20.      20.      40.     ]
suv_-40_0_0_20_0_200_60_400 gt:['-40', '0', '0', '20', '0'] pred:[43.772438   4.0446944  0.        21.413559   1.9486616]
hybrid_-20_40_-20_20_0_0_80_400 gt:['-20', '40', '-20', '20', '0'] pred:[20.100754   41.076202   20.         20.          0.85108054]
suv_-20_20_-40_40_40_360_80_400 gt:['-20', '20', '-40', '40', '40'] pred:[20.864208 20.323523 42.09036  37.08145  39.67634 ]
hybrid_-40_20_-20_40_40_40_60_400 gt:['-40', '20', '-20', '40', '40'] pred:[40.12766  23.9451   20.       40.       39.694195]
sedan4door_-40_40_0_40_20_200_40_400 gt:['-40', '40', '0', '40', '20'] pred:[40.       40.18426   0.       40.905586 20.079828]
sedan4door_-20_40_-40_20_20_280_80_400 gt:['-20', '40', '-40', '20', '20'] pred:[20.61987  43.233772 41.264297 19.085855 24.59897 ]
sedan2door_0_40_0_40_20_0_20_450 gt:['0', '40', '0', '40', '20'] pred:[ 1.1999199 40.         0.        40.        20.       ]
hatchback_-40_40_-20_20_0_0_80_400 gt:['-40', '40', '-20', '20', '0'] pred:[43.04818   42.673725  17.377731  20.098253   2.2374887]
sedan4door_0_0_-40_0_20_0_20_400 gt:['0', '0', '-40', '0', '20'] pred:[ 2.417172  0.       46.95928   0.       20.      ]
sedan4door_-20_20_0_40_40_360_60_400 gt:['-20', '20', '0', '40', '40'] pred:[22.333961  18.847406   2.8938558 40.        38.188843 ]
hybrid_0_20_-20_0_40_120_40_450 gt:['0', '20', '-20', '0', '40'] pred:[ 0.       19.351706 20.        0.       40.      ]
sedan4door_0_0_0_20_40_200_20_400 gt:['0', '0', '0', '20', '40'] pred:[ 0.         2.6340737  0.        18.695444  44.31963  ]
hatchback_0_0_0_0_40_320_20_450 gt:['0', '0', '0', '0', '40'] pred:[ 3.9537156  0.         1.9189404  0.        48.87946  ]
sedan4door_0_40_-40_40_0_160_80_450 gt:['0', '40', '-40', '40', '0'] pred:[ 5.1553664 41.001293  45.19857   42.649666   2.487025 ]
sedan4door_0_40_-20_20_20_360_60_400 gt:['0', '40', '-20', '20', '20'] pred:[ 2.9953346 44.266796  19.929604  20.        24.249914 ]
sedan2door_0_40_-40_20_40_160_80_450 gt:['0', '40', '-40', '20', '40'] pred:[ 2.382204 44.825764 40.       20.       39.358204]
sedan4door_-20_0_-40_20_40_160_80_400 gt:['-20', '0', '-40', '20', '40'] pred:[17.136208   4.2312384 42.951317  19.76986   35.047253 ]
hybrid_-40_0_0_0_20_360_80_450 gt:['-40', '0', '0', '0', '20'] pred:[43.14378    2.5413709  0.         0.        19.836891 ]
hatchback_0_0_-40_0_20_0_20_400 gt:['0', '0', '-40', '0', '20'] pred:[ 2.5729191  0.        43.668346   0.        20.       ]
hybrid_0_40_-20_40_40_0_20_450 gt:['0', '40', '-20', '40', '40'] pred:[ 1.3496214 40.        20.        40.        40.       ]
sedan4door_-40_0_-40_0_40_200_60_450 gt:['-40', '0', '-40', '0', '40'] pred:[45.462845   4.2368784 40.         3.037835  41.484383 ]
hybrid_-40_0_-20_0_0_240_40_400 gt:['-40', '0', '-20', '0', '0'] pred:[40.         1.8516381 20.         0.         0.8168289]
sedan4door_-20_40_-20_0_40_360_40_450 gt:['-20', '40', '-20', '0', '40'] pred:[18.821499 40.       23.169783  0.       42.922203]
hybrid_-20_20_-20_40_20_80_20_400 gt:['-20', '20', '-20', '40', '20'] pred:[21.718405 20.       20.       40.       20.      ]
sedan4door_-40_20_-20_0_20_40_40_400 gt:['-40', '20', '-20', '0', '20'] pred:[39.278454 20.       12.582457  0.       18.934505]
suv_-40_0_-20_40_20_240_80_450 gt:['-40', '0', '-20', '40', '20'] pred:[43.693043  4.521705 21.009851 37.704807 24.183062]
suv_0_20_0_0_20_120_60_400 gt:['0', '20', '0', '0', '20'] pred:[ 2.5496988 21.780088   0.         3.0259154 16.03516  ]
hatchback_-20_40_0_20_20_280_60_400 gt:['-20', '40', '0', '20', '20'] pred:[20.462034  41.88351    4.0787554 17.850534  18.320374 ]
