hatchback_-30_23_-36_48_15_50_70_420:gt ['-30', '23', '-36', '48', '15']:pred [22.140604 32.98356  23.272306 27.071785 17.089697]
sedan2door_-50_15_-4_10_28_20_30_420:gt ['-50', '15', '-4', '10', '28']:pred [28.092632 15.        4.       10.       29.161716]
hatchback_-30_15_-36_10_28_50_70_420:gt ['-30', '15', '-36', '10', '28']:pred [15.6952305 25.07502   20.688103  18.484924  21.449564 ]
hatchback_-50_23_-4_35_46_140_70_420:gt ['-50', '23', '-4', '35', '46']:pred [23.523788   6.1981277  9.291006  23.915472  41.30715  ]
sedan2door_-17_15_-36_48_28_230_30_420:gt ['-17', '15', '-36', '48', '28']:pred [17.       11.130256 36.       48.       23.159607]
hatchback_-30_15_-4_48_46_20_30_420:gt ['-30', '15', '-4', '48', '46']:pred [19.57907  15.       18.2523   48.       39.260426]
hybrid_-17_45_-36_48_15_140_30_420:gt ['-17', '45', '-36', '48', '15']:pred [ 9.074098 28.367134 36.       48.        3.998208]
suv_-50_45_-22_10_15_20_30_420:gt ['-50', '45', '-22', '10', '15']:pred [29.056898 45.       21.801592 10.       14.685602]
sedan4door_-30_23_-4_48_15_230_30_420:gt ['-30', '23', '-4', '48', '15']:pred [30.       16.519098  4.       36.78662  23.87044 ]
sedan2door_-50_45_-22_35_46_230_70_420:gt ['-50', '45', '-22', '35', '46']:pred [27.811388 31.148726 22.       35.       20.571005]
hybrid_-50_45_-36_10_28_50_30_420:gt ['-50', '45', '-36', '10', '28']:pred [16.80698  15.509111 36.       10.       15.294496]
sedan4door_-17_45_-36_35_28_140_70_420:gt ['-17', '45', '-36', '35', '28']:pred [25.072174 13.88982  34.20531  15.091665 17.212992]
sedan2door_-17_23_-36_48_15_140_30_420:gt ['-17', '23', '-36', '48', '15']:pred [ 5.1878123 11.712447  36.        48.         4.543529 ]
sedan4door_-50_45_-22_10_28_230_70_420:gt ['-50', '45', '-22', '10', '28']:pred [40.882923 34.77132  22.847311 10.722971 25.74894 ]
hatchback_-50_15_-36_48_46_140_70_420:gt ['-50', '15', '-36', '48', '46']:pred [32.21761   5.826056 21.193989 33.810505 38.381786]
sedan4door_-30_15_-22_10_15_20_30_420:gt ['-30', '15', '-22', '10', '15']:pred [30.428488 15.       17.47422  10.       21.992779]
sedan2door_-50_15_-22_35_46_20_30_420:gt ['-50', '15', '-22', '35', '46']:pred [26.40823 15.      22.      35.      33.95412]
sedan2door_-50_45_-36_48_15_230_30_420:gt ['-50', '45', '-36', '48', '15']:pred [50.       33.73987  36.       48.       11.211036]
sedan4door_-17_45_-22_10_15_20_30_420:gt ['-17', '45', '-22', '10', '15']:pred [32.703487 45.       10.764723 10.       21.566221]
hatchback_-30_23_-22_48_28_50_70_420:gt ['-30', '23', '-22', '48', '28']:pred [22.643438 30.68573  19.296814 27.687538 24.204197]
sedan2door_-17_23_-4_48_15_20_70_420:gt ['-17', '23', '-4', '48', '15']:pred [22.44039 23.07193  4.      48.      24.58424]
hatchback_-50_15_-4_48_28_50_70_420:gt ['-50', '15', '-4', '48', '28']:pred [21.228115 25.074728  8.522691 23.063059 17.623543]
sedan2door_-17_23_-4_35_15_50_30_420:gt ['-17', '23', '-4', '35', '15']:pred [26.091587   6.0627885  4.        35.        15.       ]
sedan4door_-17_15_-4_48_28_50_30_420:gt ['-17', '15', '-4', '48', '28']:pred [27.035656  15.         7.8536377 48.        16.78899  ]
hatchback_-50_15_-22_35_46_230_30_420:gt ['-50', '15', '-22', '35', '46']:pred [50.        8.798044 22.       15.192812 45.1486  ]
hybrid_-30_15_-22_35_28_50_30_420:gt ['-30', '15', '-22', '35', '28']:pred [27.138159 15.       22.       35.       12.398365]
hybrid_-30_23_-4_10_15_230_70_420:gt ['-30', '23', '-4', '10', '15']:pred [38.067966 16.079132  4.       10.       10.946482]
sedan2door_-50_15_-36_35_28_230_30_420:gt ['-50', '15', '-36', '35', '28']:pred [50.       11.465236 36.       35.       22.142164]
sedan4door_-50_15_-22_48_46_230_70_420:gt ['-50', '15', '-22', '48', '46']:pred [34.50917  17.376385 23.861835 36.670315 21.425335]
sedan2door_-17_23_-36_10_46_230_30_420:gt ['-17', '23', '-36', '10', '46']:pred [17.       19.979624 36.       10.       29.956818]
sedan2door_-50_45_-4_35_28_50_70_420:gt ['-50', '45', '-4', '35', '28']:pred [24.19618  31.892248  4.       35.       18.213703]
sedan2door_-30_45_-4_35_28_50_70_420:gt ['-30', '45', '-4', '35', '28']:pred [27.216312 31.763493  4.       35.       24.842604]
sedan2door_-30_15_-4_48_28_20_30_420:gt ['-30', '15', '-4', '48', '28']:pred [31.95876  15.        4.       48.       33.661743]
hatchback_-30_23_-36_48_46_50_70_420:gt ['-30', '23', '-36', '48', '46']:pred [18.391909 34.088463 26.697094 30.34739  27.488918]
suv_-50_23_-22_48_15_140_70_420:gt ['-50', '23', '-22', '48', '15']:pred [21.563732  7.718846 20.124094 37.752304 20.408005]
sedan2door_-30_23_-36_48_28_230_30_420:gt ['-30', '23', '-36', '48', '28']:pred [30.       16.66175  36.       48.       17.608498]
hybrid_-50_15_-22_35_28_140_30_420:gt ['-50', '15', '-22', '35', '28']:pred [ 9.593536  9.202637 22.       35.        8.18118 ]
sedan4door_-50_15_-36_10_46_230_70_420:gt ['-50', '15', '-36', '10', '46']:pred [40.751038  12.846859  17.66601    7.0443535 32.532677 ]
sedan2door_-17_23_-22_35_15_50_30_420:gt ['-17', '23', '-22', '35', '15']:pred [26.459875   5.7911706 22.        35.        15.       ]
sedan2door_-30_15_-36_35_46_140_30_420:gt ['-30', '15', '-36', '35', '46']:pred [ 6.7828636  6.3419313 36.        35.         8.488039 ]
sedan4door_-17_23_-22_35_46_50_30_420:gt ['-17', '23', '-22', '35', '46']:pred [28.18182  23.        8.797746 35.       18.158892]
suv_-30_15_-22_35_28_140_70_420:gt ['-30', '15', '-22', '35', '28']:pred [35.55005    4.3678083 19.838318  19.13104   26.3418   ]
sedan4door_-30_23_-36_48_46_230_70_420:gt ['-30', '23', '-36', '48', '46']:pred [36.175995 18.245932 31.147078 38.24875  22.046162]
hybrid_-30_15_-4_35_28_230_30_420:gt ['-30', '15', '-4', '35', '28']:pred [30.        5.967023  4.       35.       29.039715]
hatchback_-30_15_-22_48_46_140_70_420:gt ['-30', '15', '-22', '48', '46']:pred [33.099846   5.8513384 26.429583  29.588243  38.171455 ]
sedan2door_-30_23_-22_35_28_20_70_420:gt ['-30', '23', '-22', '35', '28']:pred [27.60614   31.22293    6.2291646 35.        13.709098 ]
sedan4door_-50_15_-4_35_46_230_70_420:gt ['-50', '15', '-4', '35', '46']:pred [27.720043  12.5180235  5.331844  20.324562  30.370148 ]
sedan2door_-17_23_-4_10_15_140_30_420:gt ['-17', '23', '-4', '10', '15']:pred [ 5.320096 12.151903  4.       10.        4.551554]
hatchback_-50_45_-4_48_28_50_30_420:gt ['-50', '45', '-4', '48', '28']:pred [26.037542 45.       10.86698  48.       28.      ]
hybrid_-17_23_-4_35_28_140_70_420:gt ['-17', '23', '-4', '35', '28']:pred [15.164895   6.8803806 10.89658   11.680479  33.000343 ]
hatchback_-50_15_-4_35_15_140_70_420:gt ['-50', '15', '-4', '35', '15']:pred [17.535282  4.253104  4.       18.02508  15.248271]
sedan2door_-30_15_-22_48_28_50_30_420:gt ['-30', '15', '-22', '48', '28']:pred [24.001814 15.       22.       48.       28.      ]
suv_-30_23_-36_48_28_50_30_420:gt ['-30', '23', '-36', '48', '28']:pred [20.574337 23.       15.25533  48.        9.749149]
sedan2door_-50_23_-22_35_15_230_70_420:gt ['-50', '23', '-22', '35', '15']:pred [32.39582   19.89008   22.        35.         6.0332694]
sedan2door_-50_15_-4_10_15_140_30_420:gt ['-50', '15', '-4', '10', '15']:pred [ 6.0871944  9.948419   4.        10.         4.88826  ]
hatchback_-17_15_-22_48_28_230_30_420:gt ['-17', '15', '-22', '48', '28']:pred [17.        9.90209  22.       22.755777 28.987709]
sedan2door_-17_45_-4_48_28_50_30_420:gt ['-17', '45', '-4', '48', '28']:pred [28.617853 45.        4.       48.       28.      ]
hybrid_-17_45_-22_48_15_140_30_420:gt ['-17', '45', '-22', '48', '15']:pred [ 8.486891 28.506956 22.       48.        3.664076]
suv_-17_45_-4_48_46_140_70_420:gt ['-17', '45', '-4', '48', '46']:pred [20.096087 14.887324 19.404694 28.332182 38.610218]
sedan2door_-50_15_-36_35_46_230_70_420:gt ['-50', '15', '-36', '35', '46']:pred [30.55944  15.222407 36.       35.       20.348907]
hybrid_-50_45_-36_48_46_50_70_420:gt ['-50', '45', '-36', '48', '46']:pred [15.688205 27.157114 36.       48.       31.333723]
sedan4door_-17_45_-36_48_46_230_30_420:gt ['-17', '45', '-36', '48', '46']:pred [17.       42.53178  36.       40.553955 45.339333]
sedan4door_-30_15_-36_10_46_140_30_420:gt ['-30', '15', '-36', '10', '46']:pred [10.081948   9.367097  36.        12.6969385 11.436169 ]
sedan4door_-50_23_-4_10_15_140_70_420:gt ['-50', '23', '-4', '10', '15']:pred [19.531717  9.418953 10.503993 17.840216 20.823257]
sedan2door_-50_23_-4_48_28_140_70_420:gt ['-50', '23', '-4', '48', '28']:pred [27.88052   9.099305  5.61532   9.994232 16.573847]
hatchback_-17_23_-36_35_28_20_30_420:gt ['-17', '23', '-36', '35', '28']:pred [18.819475 23.       23.320583 35.       22.61028 ]
sedan2door_-30_23_-22_35_15_50_70_420:gt ['-30', '23', '-22', '35', '15']:pred [25.303728 29.571434  4.468075 35.       19.499727]
sedan2door_-17_45_-36_10_28_140_70_420:gt ['-17', '45', '-36', '10', '28']:pred [17.726236 16.172523 12.391893 12.797711 19.154736]
hybrid_-17_23_-22_10_28_50_70_420:gt ['-17', '23', '-22', '10', '28']:pred [14.236093 20.70047  22.       10.       21.22774 ]
suv_-17_45_-4_48_28_50_30_420:gt ['-17', '45', '-4', '48', '28']:pred [18.052225 45.       18.514498 48.        8.044192]
suv_-30_15_-36_10_28_140_30_420:gt ['-30', '15', '-36', '10', '28']:pred [11.002667   6.2108665 36.        15.165874   5.651476 ]
sedan2door_-50_23_-22_48_15_230_30_420:gt ['-50', '23', '-22', '48', '15']:pred [50.       14.606182 22.       48.        6.73881 ]
hatchback_-17_15_-4_10_46_230_70_420:gt ['-17', '15', '-4', '10', '46']:pred [12.330886 17.559547  8.857525 12.425813 38.164444]
hatchback_-50_15_-4_48_28_140_30_420:gt ['-50', '15', '-4', '48', '28']:pred [10.714571 10.404077  4.       33.14078  18.311562]
suv_-17_15_-36_10_15_140_30_420:gt ['-17', '15', '-36', '10', '15']:pred [10.0292635  6.5614657 36.        13.34592    3.6431572]
hybrid_-30_23_-4_35_28_50_70_420:gt ['-30', '23', '-4', '35', '28']:pred [19.754887 25.301083  8.642681 14.79234  17.718126]
suv_-50_15_-4_48_28_50_70_420:gt ['-50', '15', '-4', '48', '28']:pred [18.931036 30.546238  8.697274 16.004889 10.583326]
hatchback_-30_45_-22_35_46_50_30_420:gt ['-30', '45', '-22', '35', '46']:pred [28.390413  8.651226  9.393268 35.       20.70053 ]
hybrid_-30_15_-4_35_28_140_70_420:gt ['-30', '15', '-4', '35', '28']:pred [26.857235  7.280313  8.538087 35.       33.063503]
sedan4door_-17_23_-36_35_46_50_30_420:gt ['-17', '23', '-36', '35', '46']:pred [26.508232 23.       16.09269  35.       46.      ]
hybrid_-30_23_-22_35_46_20_30_420:gt ['-30', '23', '-22', '35', '46']:pred [13.406193 23.       22.       35.       34.776913]
sedan2door_-17_23_-4_35_46_230_30_420:gt ['-17', '23', '-4', '35', '46']:pred [17.       19.64852   4.       35.       29.742414]
suv_-17_23_-36_35_46_140_30_420:gt ['-17', '23', '-36', '35', '46']:pred [ 5.721998   6.7341504 36.        38.235172   6.915208 ]
hatchback_-50_15_-22_10_28_20_70_420:gt ['-50', '15', '-22', '10', '28']:pred [32.02628   13.083124  12.8755665 15.55418   26.049593 ]
hybrid_-17_15_-36_10_28_140_70_420:gt ['-17', '15', '-36', '10', '28']:pred [16.169811  4.810028 10.52448  10.       36.82996 ]
hybrid_-17_45_-36_35_15_20_30_420:gt ['-17', '45', '-36', '35', '15']:pred [12.5892315 45.        36.        35.        21.21767  ]
hatchback_-50_15_-4_10_28_50_70_420:gt ['-50', '15', '-4', '10', '28']:pred [16.34158  22.712263  6.50144  20.90869  19.691774]
sedan2door_-50_15_-4_35_28_230_70_420:gt ['-50', '15', '-4', '35', '28']:pred [32.538372 16.690575  4.       35.       16.76377 ]
sedan2door_-17_15_-36_10_15_20_70_420:gt ['-17', '15', '-36', '10', '15']:pred [21.114073 12.266977 36.       10.       26.258322]
hybrid_-17_15_-22_35_46_50_30_420:gt ['-17', '15', '-22', '35', '46']:pred [24.752218 11.165857 22.       35.       24.088755]
hatchback_-50_45_-4_35_15_140_70_420:gt ['-50', '45', '-4', '35', '15']:pred [19.641756 23.877731  8.695284 28.253883 18.187584]
sedan4door_-30_45_-22_48_28_230_30_420:gt ['-30', '45', '-22', '48', '28']:pred [30.       40.267506 22.       39.506226 28.31718 ]
hatchback_-30_45_-36_10_15_140_70_420:gt ['-30', '45', '-36', '10', '15']:pred [23.84275  23.514921 19.166155 19.977192 18.770985]
suv_-17_15_-36_48_46_50_70_420:gt ['-17', '15', '-36', '48', '46']:pred [24.243868 17.509727 15.206017  9.516354 17.672602]
hatchback_-17_45_-36_48_15_50_70_420:gt ['-17', '45', '-36', '48', '15']:pred [34.85091  34.64125  22.559273 48.       14.315851]
hatchback_-30_15_-36_35_15_20_70_420:gt ['-30', '15', '-36', '35', '15']:pred [22.881102 20.328434 18.462574 35.       14.815411]
sedan4door_-30_15_-36_48_46_140_30_420:gt ['-30', '15', '-36', '48', '46']:pred [10.951979 11.443464 36.       27.16687  11.241312]
sedan2door_-50_45_-4_10_28_20_30_420:gt ['-50', '45', '-4', '10', '28']:pred [33.83761  45.        4.       10.       30.310904]
suv_-17_23_-22_10_46_50_30_420:gt ['-17', '23', '-22', '10', '46']:pred [14.513204 23.       20.584574 10.        9.331611]
sedan2door_-50_15_-36_48_46_230_30_420:gt ['-50', '15', '-36', '48', '46']:pred [50.      14.16687 36.      48.      34.28026]
suv_-50_45_-36_10_28_50_30_420:gt ['-50', '45', '-36', '10', '28']:pred [22.05886   45.        13.226601  10.         4.9573884]
hybrid_-30_15_-4_35_28_50_30_420:gt ['-30', '15', '-4', '35', '28']:pred [26.974342 15.        4.       35.       11.599323]
sedan4door_-50_23_-36_48_28_230_30_420:gt ['-50', '23', '-36', '48', '28']:pred [50.       17.447702 36.       29.205797 29.510757]
hatchback_-30_23_-4_48_46_50_70_420:gt ['-30', '23', '-4', '48', '46']:pred [21.225582 28.583666 20.276663 26.011398 28.650875]
sedan2door_-30_15_-36_35_15_50_30_420:gt ['-30', '15', '-36', '35', '15']:pred [24.472313 15.       36.       35.       15.      ]
sedan4door_-17_15_-22_35_28_230_30_420:gt ['-17', '15', '-22', '35', '28']:pred [17.       13.54369  22.       19.950138 22.705017]
sedan4door_-30_45_-4_35_28_230_70_420:gt ['-30', '45', '-4', '35', '28']:pred [38.779152 35.113075 10.415815 22.854855 22.211407]
hybrid_-50_23_-4_35_15_50_70_420:gt ['-50', '23', '-4', '35', '15']:pred [15.108333 25.146738  4.       35.       13.76736 ]
sedan4door_-30_23_-36_48_15_20_30_420:gt ['-30', '23', '-36', '48', '15']:pred [29.110638 23.       20.130823 48.       16.060448]
sedan4door_-17_15_-22_35_28_140_70_420:gt ['-17', '15', '-22', '35', '28']:pred [27.914845   3.6132748 19.045612  11.844793  17.81271  ]
hybrid_-50_15_-4_35_15_50_30_420:gt ['-50', '15', '-4', '35', '15']:pred [19.146053 23.930843  4.       35.       13.816029]
sedan4door_-50_15_-22_10_28_140_30_420:gt ['-50', '15', '-22', '10', '28']:pred [10.873812 10.718475 22.       15.172262 11.998785]
sedan2door_-30_23_-36_10_46_50_70_420:gt ['-30', '23', '-36', '10', '46']:pred [19.527885 26.215715  5.530496 10.       24.109505]
sedan4door_-30_45_-22_48_46_140_70_420:gt ['-30', '45', '-22', '48', '46']:pred [32.589058 14.765723 23.775957 28.063692 29.391676]
hatchback_-50_23_-22_35_15_50_70_420:gt ['-50', '23', '-22', '35', '15']:pred [25.865322 36.2364   12.112113 30.069777 12.48192 ]
hybrid_-50_23_-36_48_28_50_30_420:gt ['-50', '23', '-36', '48', '28']:pred [18.769075 23.       36.       48.       14.009122]
hybrid_-50_15_-22_10_15_230_70_420:gt ['-50', '15', '-22', '10', '15']:pred [37.075993 14.014052 22.       10.       12.469976]
sedan2door_-50_15_-22_48_46_20_70_420:gt ['-50', '15', '-22', '48', '46']:pred [31.214382  15.1303425  7.920509  48.        28.19221  ]
hybrid_-17_15_-22_48_28_230_70_420:gt ['-17', '15', '-22', '48', '28']:pred [17.437847  8.045569 22.       48.       20.935534]
hatchback_-50_45_-4_48_28_140_70_420:gt ['-50', '45', '-4', '48', '28']:pred [19.720808 21.531599  9.430502 37.312706 38.215935]
hybrid_-50_15_-22_35_46_20_30_420:gt ['-50', '15', '-22', '35', '46']:pred [20.824116 15.       17.36491  35.       32.72937 ]
hybrid_-30_23_-36_10_15_20_70_420:gt ['-30', '23', '-36', '10', '15']:pred [26.04073  32.930008 36.       10.       17.839212]
suv_-30_45_-4_10_15_20_30_420:gt ['-30', '45', '-4', '10', '15']:pred [20.858284  45.         5.7216196 10.        18.091688 ]
hybrid_-50_23_-22_48_46_140_30_420:gt ['-50', '23', '-22', '48', '46']:pred [ 5.688534 12.451852 22.       48.       12.524168]
sedan2door_-30_23_-22_10_28_50_70_420:gt ['-30', '23', '-22', '10', '28']:pred [24.36643   28.803478   4.4913287 10.        20.81643  ]
sedan4door_-50_23_-4_35_28_140_30_420:gt ['-50', '23', '-4', '35', '28']:pred [ 8.579358 12.688851  4.       22.237688 14.423755]
sedan2door_-30_45_-36_35_46_20_30_420:gt ['-30', '45', '-36', '35', '46']:pred [33.129612 45.       36.       35.       39.71408 ]
sedan2door_-30_23_-4_48_28_140_70_420:gt ['-30', '23', '-4', '48', '28']:pred [35.39924   10.253524   7.1070023 10.001858  15.992943 ]
hatchback_-30_23_-22_10_28_230_70_420:gt ['-30', '23', '-22', '10', '28']:pred [39.21182  23.800917 14.762511 15.270105 20.712698]
suv_-30_15_-4_10_15_50_70_420:gt ['-30', '15', '-4', '10', '15']:pred [18.125177 19.883568  8.621545 18.553892  8.393969]
hybrid_-17_23_-22_48_46_140_70_420:gt ['-17', '23', '-22', '48', '46']:pred [16.226711  7.853261 11.748185 10.83841  42.46039 ]
suv_-17_45_-4_10_15_20_70_420:gt ['-17', '45', '-4', '10', '15']:pred [26.465914 18.555136  5.073061 10.       15.477913]
hatchback_-50_23_-4_48_28_140_30_420:gt ['-50', '23', '-4', '48', '28']:pred [ 9.885622 14.870193  4.       35.43689  18.496603]
suv_-30_45_-22_35_46_20_30_420:gt ['-30', '45', '-22', '35', '46']:pred [22.948284 45.       22.113276 35.       31.613205]
hybrid_-50_15_-4_10_28_140_30_420:gt ['-50', '15', '-4', '10', '28']:pred [ 9.588352  9.731033  4.       10.        8.588329]
sedan4door_-50_15_-36_10_28_50_70_420:gt ['-50', '15', '-36', '10', '28']:pred [20.530972 27.27266  17.268728 10.       10.037449]
suv_-30_45_-36_35_46_230_30_420:gt ['-30', '45', '-36', '35', '46']:pred [30.       41.357876 36.       24.265858 32.503014]
sedan2door_-50_45_-36_10_15_230_30_420:gt ['-50', '45', '-36', '10', '15']:pred [50.       33.976673 36.       10.       11.488566]
sedan4door_-17_23_-36_10_46_50_30_420:gt ['-17', '23', '-36', '10', '46']:pred [26.886381 23.       16.024803 10.       46.      ]
hybrid_-17_23_-22_35_28_20_70_420:gt ['-17', '23', '-22', '35', '28']:pred [21.045925 29.836735 22.       35.       40.310917]
sedan2door_-17_15_-4_10_46_140_70_420:gt ['-17', '15', '-4', '10', '46']:pred [20.050714   8.405034   7.122359   6.1279263 20.91354  ]
sedan4door_-17_15_-36_35_46_230_70_420:gt ['-17', '15', '-36', '35', '46']:pred [21.567373 11.042595 20.732594 24.03015  33.956505]
hatchback_-30_23_-36_48_15_230_30_420:gt ['-30', '23', '-36', '48', '15']:pred [30.       10.370454 36.       23.113132 21.886938]
sedan4door_-17_45_-4_10_46_140_70_420:gt ['-17', '45', '-4', '10', '46']:pred [14.918097 14.533671 24.760008 15.26929  24.69674 ]
suv_-17_15_-4_35_28_50_70_420:gt ['-17', '15', '-4', '35', '28']:pred [23.531902 13.693104 11.342923  8.825594 11.354968]
hatchback_-17_23_-4_10_46_20_30_420:gt ['-17', '23', '-4', '10', '46']:pred [20.375166 23.       14.326096 10.       42.227074]
suv_-30_15_-22_35_46_20_70_420:gt ['-30', '15', '-22', '35', '46']:pred [28.392252 37.437935 16.350716 29.920475 32.54061 ]
hybrid_-50_23_-36_48_28_230_30_420:gt ['-50', '23', '-36', '48', '28']:pred [50.        8.055411 36.       48.       25.130707]
suv_-30_15_-22_35_28_50_70_420:gt ['-30', '15', '-22', '35', '28']:pred [17.766453 28.868484 15.101418 16.806797  6.845838]
hybrid_-17_15_-4_35_15_50_70_420:gt ['-17', '15', '-4', '35', '15']:pred [10.350363 16.877157  4.       35.       18.053566]
hybrid_-50_23_-4_10_28_140_30_420:gt ['-50', '23', '-4', '10', '28']:pred [ 6.537658  8.86994   4.       10.        8.372779]
suv_-17_23_-22_10_15_50_70_420:gt ['-17', '23', '-22', '10', '15']:pred [28.847801  26.79025    8.7296295 28.540064   9.538893 ]
hybrid_-30_23_-22_35_28_140_70_420:gt ['-30', '23', '-22', '35', '28']:pred [24.961266  9.701367  9.505064 13.2752   31.051937]
hybrid_-30_23_-22_48_28_140_30_420:gt ['-30', '23', '-22', '48', '28']:pred [ 8.179769 10.029388 22.       48.        5.873246]
hybrid_-50_23_-36_10_28_20_30_420:gt ['-50', '23', '-36', '10', '28']:pred [21.17472  23.       17.425077 10.       30.07148 ]
hatchback_-30_45_-4_35_46_50_70_420:gt ['-30', '45', '-4', '35', '46']:pred [26.985888 37.673294 23.830687 25.513794 28.529305]
sedan4door_-30_45_-22_48_46_230_30_420:gt ['-30', '45', '-22', '48', '46']:pred [30.       43.34275  22.       41.187572 45.06403 ]
suv_-50_45_-22_48_15_230_30_420:gt ['-50', '45', '-22', '48', '15']:pred [50.       31.821514 22.       29.613726 13.036689]
sedan2door_-30_15_-22_35_15_50_30_420:gt ['-30', '15', '-22', '35', '15']:pred [23.99913 15.      22.      35.      15.     ]
hatchback_-30_15_-22_35_46_140_30_420:gt ['-30', '15', '-22', '35', '46']:pred [ 9.182113   7.1228104 22.        34.48909   25.578043 ]
hybrid_-30_15_-36_48_46_140_70_420:gt ['-30', '15', '-36', '48', '46']:pred [27.471298   7.5871344  9.183179  10.094073  40.02986  ]
hybrid_-50_15_-22_35_46_230_30_420:gt ['-50', '15', '-22', '35', '46']:pred [50.        9.294801 22.       35.       41.090576]
suv_-30_45_-4_48_15_50_30_420:gt ['-30', '45', '-4', '48', '15']:pred [20.150213  45.        13.721331  48.         3.1777797]
sedan2door_-17_15_-4_35_28_140_30_420:gt ['-17', '15', '-4', '35', '28']:pred [ 5.8762903  8.086227   4.        35.         6.2585044]
hatchback_-17_15_-4_48_28_50_30_420:gt ['-17', '15', '-4', '48', '28']:pred [22.432444 15.       15.398479 48.       21.066172]
hatchback_-17_45_-36_10_15_50_70_420:gt ['-17', '45', '-36', '10', '15']:pred [25.392057 33.945522 22.512459 10.       14.082026]
hybrid_-50_45_-22_10_28_140_30_420:gt ['-50', '45', '-22', '10', '28']:pred [ 7.7070665 27.645838  22.        10.         8.815965 ]
sedan2door_-50_23_-22_35_15_140_30_420:gt ['-50', '23', '-22', '35', '15']:pred [ 5.498371  12.588309  22.        35.         5.0635424]
sedan4door_-50_45_-36_10_15_50_70_420:gt ['-50', '45', '-36', '10', '15']:pred [26.314037 35.767498 21.16532  10.        9.448037]
sedan2door_-30_45_-22_48_15_140_70_420:gt ['-30', '45', '-22', '48', '15']:pred [32.301315 18.267744  9.290538 14.914831 13.196389]
hatchback_-50_23_-36_10_15_50_70_420:gt ['-50', '23', '-36', '10', '15']:pred [23.019901 38.465622 14.678024 35.750416 16.5832  ]
hybrid_-50_45_-36_48_15_50_30_420:gt ['-50', '45', '-36', '48', '15']:pred [17.361376 20.251333 36.       48.       15.257977]
hybrid_-17_23_-36_35_46_140_70_420:gt ['-17', '23', '-36', '35', '46']:pred [16.105202   7.9808297 12.168266  11.289882  41.91565  ]
suv_-50_15_-36_35_46_50_30_420:gt ['-50', '15', '-36', '35', '46']:pred [16.884054  15.        15.908763  35.         3.9679189]
hatchback_-50_23_-4_48_15_230_70_420:gt ['-50', '23', '-4', '48', '15']:pred [37.086445  25.754442   8.7589855 39.102646   7.820606 ]
hatchback_-50_45_-4_10_28_230_30_420:gt ['-50', '45', '-4', '10', '28']:pred [50.       37.342964  4.       18.624882 36.259666]
suv_-17_23_-22_48_46_230_30_420:gt ['-17', '23', '-22', '48', '46']:pred [17.       27.230776 22.       35.91792  35.15273 ]
sedan2door_-50_23_-36_48_15_230_70_420:gt ['-50', '23', '-36', '48', '15']:pred [32.21302  20.342836 36.       48.        5.966281]
suv_-30_45_-22_35_28_140_70_420:gt ['-30', '45', '-22', '35', '28']:pred [33.517025 17.88125  19.368107 24.883406 25.762413]
sedan4door_-30_45_-22_10_15_230_30_420:gt ['-30', '45', '-22', '10', '15']:pred [30.       37.793385 22.       24.11695  22.461143]
sedan2door_-30_15_-22_35_15_140_30_420:gt ['-30', '15', '-22', '35', '15']:pred [ 7.0747027  8.727564  22.        35.         4.8707604]
sedan4door_-50_45_-22_10_15_20_30_420:gt ['-50', '45', '-22', '10', '15']:pred [38.713253  45.        14.0186615 10.        16.832386 ]
sedan4door_-17_15_-4_48_46_20_30_420:gt ['-17', '15', '-4', '48', '46']:pred [25.195736 15.       10.56032  48.       34.903603]
sedan2door_-17_23_-36_35_46_140_30_420:gt ['-17', '23', '-36', '35', '46']:pred [ 5.9134645  9.41458   36.        35.         6.7602553]
hatchback_-30_45_-36_10_46_50_70_420:gt ['-30', '45', '-36', '10', '46']:pred [20.003618 38.460297 24.703197 31.738398 27.155918]
hybrid_-50_23_-4_48_28_140_70_420:gt ['-50', '23', '-4', '48', '28']:pred [16.59405  10.790763  9.590096 14.276084 33.580376]
hybrid_-30_15_-36_35_15_230_30_420:gt ['-30', '15', '-36', '35', '15']:pred [30.         5.0199413 36.        35.        16.690691 ]
hybrid_-17_45_-4_10_46_140_70_420:gt ['-17', '45', '-4', '10', '46']:pred [15.57351  16.574291 15.112914 18.888895 42.40051 ]
hybrid_-17_23_-22_10_46_230_70_420:gt ['-17', '23', '-22', '10', '46']:pred [13.786905 13.716284 22.       10.       27.609734]
suv_-30_45_-22_10_28_140_70_420:gt ['-30', '45', '-22', '10', '28']:pred [32.98678  14.98719  21.42821  13.914625 22.231518]
sedan2door_-30_15_-36_48_28_230_30_420:gt ['-30', '15', '-36', '48', '28']:pred [30.       11.206127 36.       48.       22.331425]
sedan2door_-50_45_-36_35_46_50_70_420:gt ['-50', '45', '-36', '35', '46']:pred [20.63333  30.071547 36.       35.       22.633884]
hatchback_-17_23_-36_10_46_230_30_420:gt ['-17', '23', '-36', '10', '46']:pred [17.        9.594879 36.       12.240732 44.60967 ]
sedan4door_-17_15_-36_35_28_20_70_420:gt ['-17', '15', '-36', '35', '28']:pred [23.70281  26.802818 18.10402  35.       19.6269  ]
hatchback_-17_45_-36_10_15_20_70_420:gt ['-17', '45', '-36', '10', '15']:pred [14.5141   26.449919 11.480933 10.       21.078512]
hybrid_-30_23_-36_35_15_230_30_420:gt ['-30', '23', '-36', '35', '15']:pred [30.        6.429838 36.       35.       14.160834]
