hatchback_-17_23_-22_35_46_50_30_420 gt:['-17', '23', '-22', '35', '46'] pred:[16.039074  23.        53.794945  38.30845    1.0227133]
hybrid_-30_23_-4_10_46_140_70_420 gt:['-30', '23', '-4', '10', '46'] pred:[17.152746  33.96856   33.88358    7.8554087 28.085114 ]
sedan4door_-17_23_-4_10_46_50_70_420 gt:['-17', '23', '-4', '10', '46'] pred:[25.012661  18.487818   8.773409   6.2655563 19.547876 ]
sedan2door_-17_23_-36_48_28_230_70_420 gt:['-17', '23', '-36', '48', '28'] pred:[ 6.7282686 12.836422  28.27012   11.212689  17.853014 ]
sedan2door_-17_23_-22_35_15_20_30_420 gt:['-17', '23', '-22', '35', '15'] pred:[23.546366 23.       34.46243  35.       18.436007]
hybrid_-50_23_-22_10_46_140_70_420 gt:['-50', '23', '-22', '10', '46'] pred:[24.904028  34.99149   29.767202   4.9855757 30.303465 ]
sedan2door_-50_15_-22_10_15_230_30_420 gt:['-50', '15', '-22', '10', '15'] pred:[50.        17.382982  22.         6.0193844 13.211582 ]
hybrid_-50_23_-36_48_46_230_30_420 gt:['-50', '23', '-36', '48', '46'] pred:[50.       15.940411 36.       18.468405 45.36519 ]
suv_-17_45_-22_35_15_50_30_420 gt:['-17', '45', '-22', '35', '15'] pred:[17.244247 45.       36.273907 50.60286   1.097029]
suv_-17_15_-22_10_28_140_70_420 gt:['-17', '15', '-22', '10', '28'] pred:[10.585821 16.118496 39.46914   8.967113 24.251396]
suv_-17_23_-4_10_15_50_70_420 gt:['-17', '23', '-4', '10', '15'] pred:[14.930461 30.830286  7.533238  2.887522 11.880602]
sedan2door_-30_15_-36_10_46_20_70_420 gt:['-30', '15', '-36', '10', '46'] pred:[32.13287  10.267181 17.140266 17.587437 38.290222]
sedan2door_-17_23_-4_48_46_50_30_420 gt:['-17', '23', '-4', '48', '46'] pred:[23.017939  23.        28.017303  31.313978   5.5058265]
suv_-50_23_-4_10_46_50_70_420 gt:['-50', '23', '-4', '10', '46'] pred:[24.921286  34.696796   7.5212965  3.1522195 21.670334 ]
hatchback_-30_23_-36_48_28_140_30_420 gt:['-30', '23', '-36', '48', '28'] pred:[30.       13.743761 36.       46.285637 28.      ]
suv_-50_15_-36_10_15_50_70_420 gt:['-50', '15', '-36', '10', '15'] pred:[24.925217 19.628422 21.622337  8.628166 15.782929]
hatchback_-50_23_-22_10_28_20_70_420 gt:['-50', '23', '-22', '10', '28'] pred:[25.051786 13.45406  32.936466 30.543251 14.763821]
sedan2door_-50_15_-4_10_46_140_30_420 gt:['-50', '15', '-4', '10', '46'] pred:[50.       20.29657   4.       27.171751 46.      ]
suv_-30_15_-36_10_46_50_30_420 gt:['-30', '15', '-36', '10', '46'] pred:[19.43457   15.        52.073803  10.         1.6431203]
sedan2door_-17_45_-36_35_15_230_70_420 gt:['-17', '45', '-36', '35', '15'] pred:[ 5.689289 24.234652 21.540562  4.263286 15.094362]
suv_-30_23_-22_10_28_20_70_420 gt:['-30', '23', '-22', '10', '28'] pred:[21.65608  10.111997 29.620178 10.       12.574312]
sedan2door_-50_23_-22_48_46_50_70_420 gt:['-50', '23', '-22', '48', '46'] pred:[25.572926 22.812654 23.066196 23.205248 34.13185 ]
hybrid_-50_15_-4_48_28_140_70_420 gt:['-50', '15', '-4', '48', '28'] pred:[31.64694   28.326572  32.826992   9.620897   6.3531747]
hybrid_-50_15_-4_35_15_140_30_420 gt:['-50', '15', '-4', '35', '15'] pred:[50.       18.182241  4.       14.186246 15.      ]
hatchback_-30_45_-4_48_28_230_70_420 gt:['-30', '45', '-4', '48', '28'] pred:[17.81122   15.3657875 29.164139  17.153656  30.210583 ]
suv_-30_23_-4_10_28_50_30_420 gt:['-30', '23', '-4', '10', '28'] pred:[17.389835  23.        13.453219  10.         3.4591715]
suv_-17_15_-36_10_46_230_30_420 gt:['-17', '15', '-36', '10', '46'] pred:[17.       14.581878 36.       13.473027 21.146349]
sedan2door_-17_45_-22_35_46_140_30_420 gt:['-17', '45', '-22', '35', '46'] pred:[ 7.175877 22.933155 22.       36.32191  46.      ]
suv_-17_15_-4_35_46_230_30_420 gt:['-17', '15', '-4', '35', '46'] pred:[17.       18.73465   4.       37.633533 17.052023]
hybrid_-30_45_-4_10_15_230_30_420 gt:['-30', '45', '-4', '10', '15'] pred:[30.       30.647846  4.       25.377958 18.782722]
hatchback_-30_23_-36_10_28_50_70_420 gt:['-30', '23', '-36', '10', '28'] pred:[26.280966 19.339144 43.563744  8.556378 24.87891 ]
sedan4door_-17_45_-22_35_28_230_30_420 gt:['-17', '45', '-22', '35', '28'] pred:[17.       38.121624 22.       32.341896 30.475315]
hatchback_-30_45_-4_48_15_230_30_420 gt:['-30', '45', '-4', '48', '15'] pred:[30.       23.019896  4.       48.225674 22.984947]
sedan4door_-50_23_-22_48_46_140_70_420 gt:['-50', '23', '-22', '48', '46'] pred:[29.780006 14.134863 42.92555  12.039034 16.667515]
suv_-30_23_-36_10_46_50_30_420 gt:['-30', '23', '-36', '10', '46'] pred:[21.117105  23.        54.151215  10.         1.4379215]
suv_-50_45_-36_10_15_140_70_420 gt:['-50', '45', '-36', '10', '15'] pred:[40.51863   38.647285  23.722012   6.6618433  6.0382476]
suv_-30_45_-4_35_28_20_30_420 gt:['-30', '45', '-4', '35', '28'] pred:[16.82145  45.       54.70843  35.        6.928905]
hatchback_-50_23_-22_48_46_230_30_420 gt:['-50', '23', '-22', '48', '46'] pred:[50.       15.635213 22.       46.227634 27.421698]
sedan4door_-50_23_-36_10_15_50_30_420 gt:['-50', '23', '-36', '10', '15'] pred:[26.34307   23.        54.312763  10.         1.1550024]
hatchback_-50_45_-36_10_15_140_30_420 gt:['-50', '45', '-36', '10', '15'] pred:[50.       24.066961 36.       32.71949  15.      ]
sedan2door_-17_23_-22_10_28_140_70_420 gt:['-17', '23', '-22', '10', '28'] pred:[11.360807 18.581064 22.        9.749383 21.63897 ]
sedan2door_-17_45_-22_35_15_230_30_420 gt:['-17', '45', '-22', '35', '15'] pred:[17.       36.919403 22.       18.909588 15.662602]
sedan4door_-30_23_-22_10_28_20_70_420 gt:['-30', '23', '-22', '10', '28'] pred:[29.879509 10.838192 25.191515 10.       13.396032]
sedan2door_-50_23_-4_35_28_230_70_420 gt:['-50', '23', '-4', '35', '28'] pred:[11.005462 15.108227 28.19668  15.338287 14.755308]
suv_-30_45_-4_48_15_140_70_420 gt:['-30', '45', '-4', '48', '15'] pred:[29.140272 28.140715 36.44629  19.58711   7.761089]
hatchback_-30_15_-22_48_15_140_70_420 gt:['-30', '15', '-22', '48', '15'] pred:[21.498495 10.922185 31.970884 23.302448 12.736466]
sedan2door_-30_23_-36_10_46_50_70_420 gt:['-30', '23', '-36', '10', '46'] pred:[19.57959  19.288115 15.790392 21.010729 38.746925]
sedan2door_-17_23_-22_48_46_230_30_420 gt:['-17', '23', '-22', '48', '46'] pred:[17.       16.291145 22.       14.629593 36.83241 ]
sedan2door_-50_15_-36_10_46_140_30_420 gt:['-50', '15', '-36', '10', '46'] pred:[50.       19.823086 36.       27.93006  46.      ]
hatchback_-30_23_-36_10_28_20_30_420 gt:['-30', '23', '-36', '10', '28'] pred:[26.41826  23.       55.74054  10.        8.035603]
sedan2door_-30_23_-36_35_28_50_30_420 gt:['-30', '23', '-36', '35', '28'] pred:[29.738674 23.       35.59712  35.        4.840946]
sedan2door_-30_45_-36_48_15_20_70_420 gt:['-30', '45', '-36', '48', '15'] pred:[26.147139 39.562454 16.470045 17.863617 15.904396]
sedan4door_-17_15_-4_35_15_140_30_420 gt:['-17', '15', '-4', '35', '15'] pred:[17.       12.675345  4.       43.004898 15.      ]
sedan4door_-50_23_-4_48_15_20_70_420 gt:['-50', '23', '-4', '48', '15'] pred:[26.378986 16.059399 18.599081 13.06613   8.59329 ]
sedan4door_-17_45_-22_48_15_20_30_420 gt:['-17', '45', '-22', '48', '15'] pred:[18.280745  45.        47.79119   48.         7.7304554]
hybrid_-50_45_-22_48_28_230_70_420 gt:['-50', '45', '-22', '48', '28'] pred:[ 8.296627 12.364065 28.178286 12.373437 17.281012]
sedan2door_-30_23_-4_10_28_20_70_420 gt:['-30', '23', '-4', '10', '28'] pred:[30.711496 17.761095 18.474104 25.469952 31.957516]
suv_-30_23_-4_48_15_20_70_420 gt:['-30', '23', '-4', '48', '15'] pred:[33.421528 16.839266  9.465408 12.019891  6.589598]
hybrid_-17_23_-4_48_28_140_70_420 gt:['-17', '23', '-4', '48', '28'] pred:[14.687491 24.852936 27.642504  6.822604  5.313875]
sedan4door_-50_23_-22_35_15_50_30_420 gt:['-50', '23', '-22', '35', '15'] pred:[27.041838   23.         53.203915   49.815014    0.44598177]
hybrid_-30_45_-22_10_46_230_30_420 gt:['-30', '45', '-22', '10', '46'] pred:[30.       31.065134 22.       35.305355 40.819443]
hatchback_-17_15_-36_10_28_230_70_420 gt:['-17', '15', '-36', '10', '28'] pred:[ 5.9380946  6.240971  45.134907   7.813856  17.392418 ]
hatchback_-17_45_-4_10_46_20_30_420 gt:['-17', '45', '-4', '10', '46'] pred:[11.318061 45.       50.76769  10.        8.497185]
hatchback_-30_45_-36_10_15_230_30_420 gt:['-30', '45', '-36', '10', '15'] pred:[30.       26.521187 36.       37.84278  11.712116]
suv_-30_45_-22_10_15_230_70_420 gt:['-30', '45', '-22', '10', '15'] pred:[13.951962  17.08748   36.837326   5.4510155  5.6598153]
sedan4door_-50_15_-4_10_28_140_30_420 gt:['-50', '15', '-4', '10', '28'] pred:[50.         6.8732038  4.        24.786457  28.       ]
sedan2door_-17_23_-36_35_15_230_70_420 gt:['-17', '23', '-36', '35', '15'] pred:[ 8.116011 17.64472  29.178272  7.495444 11.910305]
hybrid_-30_45_-36_10_46_20_30_420 gt:['-30', '45', '-36', '10', '46'] pred:[21.849075 45.       46.19108  10.       12.911203]
sedan4door_-17_23_-36_48_28_20_30_420 gt:['-17', '23', '-36', '48', '28'] pred:[19.590757 23.       52.984734 48.        7.18932 ]
suv_-17_23_-22_10_46_230_30_420 gt:['-17', '23', '-22', '10', '46'] pred:[17.       12.585018 22.       18.660048 17.293072]
hybrid_-30_23_-36_48_46_20_70_420 gt:['-30', '23', '-36', '48', '46'] pred:[28.518734   7.0143046 29.604967  48.        11.209423 ]
sedan4door_-17_23_-22_10_46_50_30_420 gt:['-17', '23', '-22', '10', '46'] pred:[19.933533 23.       49.532772 47.97383   2.362465]
sedan2door_-17_45_-4_35_15_140_30_420 gt:['-17', '45', '-4', '35', '15'] pred:[17.       23.288355  4.       35.457485 15.      ]
hatchback_-50_45_-22_35_46_20_30_420 gt:['-50', '45', '-22', '35', '46'] pred:[20.140821  45.        52.268627  35.         6.9559336]
sedan4door_-30_15_-22_48_28_20_70_420 gt:['-30', '15', '-22', '48', '28'] pred:[30.642046   5.2389274 26.01615   48.        11.806709 ]
suv_-30_23_-22_48_28_20_70_420 gt:['-30', '23', '-22', '48', '28'] pred:[20.876408  10.9864855 31.087961  48.         9.2288475]
sedan4door_-30_45_-22_35_15_140_30_420 gt:['-30', '45', '-22', '35', '15'] pred:[ 7.38005 32.29298 35.33644 36.59107 15.     ]
sedan4door_-30_15_-36_48_15_50_30_420 gt:['-30', '15', '-36', '48', '15'] pred:[23.118395   4.5353413 49.573723  46.38958    0.4380648]
hatchback_-50_45_-22_35_46_230_30_420 gt:['-50', '45', '-22', '35', '46'] pred:[50.       31.082823 22.       44.059258 25.551928]
hybrid_-17_45_-36_48_46_50_30_420 gt:['-17', '45', '-36', '48', '46'] pred:[13.28992  45.       28.923412 48.       13.791281]
hatchback_-50_23_-22_10_28_50_70_420 gt:['-50', '23', '-22', '10', '28'] pred:[37.451946  25.255604  27.10944    7.5207515 27.530615 ]
hatchback_-30_23_-36_48_28_230_70_420 gt:['-30', '23', '-36', '48', '28'] pred:[19.39141  10.568854 40.453003 22.466808 20.24635 ]
hybrid_-50_15_-22_10_28_50_70_420 gt:['-50', '15', '-22', '10', '28'] pred:[31.303719 14.309801 37.803036 25.899607 29.144506]
hatchback_-30_15_-36_35_15_140_70_420 gt:['-30', '15', '-36', '35', '15'] pred:[21.718012 11.930355 34.792515 19.115    11.454872]
sedan4door_-17_45_-22_35_28_140_30_420 gt:['-17', '45', '-22', '35', '28'] pred:[ 8.413412 32.3698   34.59551  40.849712 28.      ]
hatchback_-50_45_-36_10_15_230_30_420 gt:['-50', '45', '-36', '10', '15'] pred:[50.       27.75012  36.       39.389328 11.159091]
sedan2door_-17_15_-36_35_15_50_70_420 gt:['-17', '15', '-36', '35', '15'] pred:[20.010748 12.677185 18.598993 14.749094 34.349915]
sedan2door_-50_15_-36_48_46_230_30_420 gt:['-50', '15', '-36', '48', '46'] pred:[50.       16.092163 36.        9.862592 39.36763 ]
hybrid_-50_23_-4_10_28_140_70_420 gt:['-50', '23', '-4', '10', '28'] pred:[26.427366  34.062717  28.371042   4.3824024  4.9011345]
hybrid_-30_23_-4_10_28_20_70_420 gt:['-30', '23', '-4', '10', '28'] pred:[27.958523  10.4849615 23.15832   10.        12.248367 ]
sedan4door_-30_45_-22_10_28_140_70_420 gt:['-30', '45', '-22', '10', '28'] pred:[30.753197 30.908875 34.458263 11.640192 11.049593]
hybrid_-17_45_-4_48_46_140_30_420 gt:['-17', '45', '-4', '48', '46'] pred:[ 6.913501 30.75157  42.455948 14.336828 46.      ]
hatchback_-30_23_-22_48_28_140_70_420 gt:['-30', '23', '-22', '48', '28'] pred:[24.220076 17.37683  37.58697  23.025457 14.162793]
sedan2door_-30_15_-36_10_15_140_30_420 gt:['-30', '15', '-36', '10', '15'] pred:[30.       18.65756  36.       31.534184 15.      ]
hybrid_-17_45_-22_10_28_230_30_420 gt:['-17', '45', '-22', '10', '28'] pred:[17.       27.210749 22.       37.250187 24.118376]
suv_-30_15_-22_10_15_230_30_420 gt:['-30', '15', '-22', '10', '15'] pred:[30.       18.126163 22.       15.951342 11.831849]
suv_-50_45_-22_10_28_230_30_420 gt:['-50', '45', '-22', '10', '28'] pred:[50.       33.06868  22.       30.194336 15.302294]
hybrid_-30_45_-36_35_46_140_30_420 gt:['-30', '45', '-36', '35', '46'] pred:[ 6.866811 32.0767   40.389324 16.838083 46.      ]
hybrid_-50_23_-4_10_46_50_70_420 gt:['-50', '23', '-4', '10', '46'] pred:[28.51567  19.756105 35.126278 25.91375  34.69658 ]
sedan4door_-17_45_-36_10_28_50_70_420 gt:['-17', '45', '-36', '10', '28'] pred:[26.877117  24.45771   19.266163   5.1707854 15.513772 ]
sedan4door_-50_23_-22_35_15_20_70_420 gt:['-50', '23', '-22', '35', '15'] pred:[27.191658 12.671782 29.543308 35.       10.077026]
sedan2door_-50_23_-22_48_28_50_70_420 gt:['-50', '23', '-22', '48', '28'] pred:[29.405304 20.248564 18.64622  25.048525 32.079628]
suv_-30_15_-4_10_15_20_70_420 gt:['-30', '15', '-4', '10', '15'] pred:[34.508396 12.442769 14.33901  13.369417  7.646279]
sedan2door_-17_45_-22_48_28_230_30_420 gt:['-17', '45', '-22', '48', '28'] pred:[17.       33.745384 22.       19.182825 31.262669]
hatchback_-50_23_-4_10_46_20_30_420 gt:['-50', '23', '-4', '10', '46'] pred:[20.207138 23.       49.15399  10.       16.293459]
sedan4door_-17_15_-36_10_28_140_70_420 gt:['-17', '15', '-36', '10', '28'] pred:[19.726124 12.690686 36.       14.366915 10.616761]
hatchback_-17_45_-36_35_46_50_70_420 gt:['-17', '45', '-36', '35', '46'] pred:[20.999323 17.471764 46.815666 17.613358 14.42137 ]
suv_-50_15_-36_35_15_140_30_420 gt:['-50', '15', '-36', '35', '15'] pred:[50.       11.856317 46.971085 41.85757  15.      ]
hybrid_-17_45_-4_35_15_230_30_420 gt:['-17', '45', '-4', '35', '15'] pred:[17.       30.464956  4.       27.167507 10.59591 ]
hybrid_-17_23_-22_35_15_140_30_420 gt:['-17', '23', '-22', '35', '15'] pred:[17.       18.98373  22.       27.249254 15.      ]
sedan2door_-50_23_-36_35_46_140_30_420 gt:['-50', '23', '-36', '35', '46'] pred:[50.       26.872717 36.       36.871635 46.      ]
hybrid_-50_23_-22_35_28_20_70_420 gt:['-50', '23', '-22', '35', '28'] pred:[33.24157   9.076457 26.17316  35.       13.999212]
hybrid_-50_15_-36_48_46_20_70_420 gt:['-50', '15', '-36', '48', '46'] pred:[32.901886   5.107524  34.892017  48.        12.8359785]
sedan4door_-50_15_-4_10_15_50_30_420 gt:['-50', '15', '-4', '10', '15'] pred:[31.124811   4.452692  51.84574   47.792747   1.3603646]
sedan2door_-30_45_-22_10_46_230_70_420 gt:['-30', '45', '-22', '10', '46'] pred:[14.0133095 21.178816  17.813143  12.296231  39.698723 ]
suv_-30_45_-4_10_15_140_30_420 gt:['-30', '45', '-4', '10', '15'] pred:[30.       32.023453 39.73445  34.705917 15.      ]
hatchback_-17_15_-36_10_46_140_70_420 gt:['-17', '15', '-36', '10', '46'] pred:[18.209167 10.58698  39.59742   8.837298 30.82249 ]
sedan2door_-17_45_-36_10_46_230_70_420 gt:['-17', '45', '-36', '10', '46'] pred:[ 6.661171 19.28347  18.661623  9.473427 39.56092 ]
suv_-30_15_-36_10_28_140_30_420 gt:['-30', '15', '-36', '10', '28'] pred:[30.       11.731081 36.       37.557835 28.      ]
sedan4door_-17_45_-22_35_15_20_30_420 gt:['-17', '45', '-22', '35', '15'] pred:[17.729502 45.       45.2332   35.        8.4192  ]
hybrid_-30_15_-4_48_15_230_70_420 gt:['-30', '15', '-4', '48', '15'] pred:[13.784661   9.303365  26.517948   6.9889255 11.565459 ]
sedan4door_-50_23_-4_35_28_50_30_420 gt:['-50', '23', '-4', '35', '28'] pred:[29.952133   5.731925  54.87173   45.37118    1.0122828]
sedan2door_-50_45_-4_48_46_230_30_420 gt:['-50', '45', '-4', '48', '46'] pred:[50.       33.508675  4.       25.707867 36.67166 ]
sedan4door_-30_23_-36_35_28_20_30_420 gt:['-30', '23', '-36', '35', '28'] pred:[24.02542   23.        53.10261   35.         7.9781055]
sedan2door_-50_15_-4_35_46_230_30_420 gt:['-50', '15', '-4', '35', '46'] pred:[50.       16.77201   4.        9.371269 38.437824]
sedan2door_-17_23_-4_48_28_20_70_420 gt:['-17', '23', '-4', '48', '28'] pred:[22.954836 11.908285 24.564692 31.060623 27.668829]
hybrid_-50_15_-4_10_28_230_30_420 gt:['-50', '15', '-4', '10', '28'] pred:[50.       10.165041  4.       13.603754 28.387999]
hatchback_-30_15_-4_10_15_50_70_420 gt:['-30', '15', '-4', '10', '15'] pred:[28.913666  10.026633  15.396217   7.3012896 26.298815 ]
sedan2door_-17_45_-22_48_15_50_70_420 gt:['-17', '45', '-22', '48', '15'] pred:[17.948471 36.75823  22.76859   8.661521 35.284195]
sedan4door_-50_23_-36_10_46_20_30_420 gt:['-50', '23', '-36', '10', '46'] pred:[24.11206  23.       53.24198  10.       20.532425]
sedan4door_-30_15_-4_10_46_230_70_420 gt:['-30', '15', '-4', '10', '46'] pred:[ 9.867246 13.595105 29.985569  6.995648 28.412605]
sedan4door_-17_23_-4_35_15_140_30_420 gt:['-17', '23', '-4', '35', '15'] pred:[17.       18.549978  4.       45.403458 15.      ]
sedan4door_-17_15_-4_10_28_20_70_420 gt:['-17', '15', '-4', '10', '28'] pred:[30.634947  5.813228 12.81774  10.       14.845755]
sedan2door_-17_23_-36_48_15_50_30_420 gt:['-17', '23', '-36', '48', '15'] pred:[21.192434 23.       28.26948  33.788857 11.385436]
hybrid_-50_15_-22_10_15_230_30_420 gt:['-50', '15', '-22', '10', '15'] pred:[50.         9.33137   22.         6.4844847 19.054781 ]
hatchback_-30_45_-22_35_28_140_70_420 gt:['-30', '45', '-22', '35', '28'] pred:[24.013994 27.371737 31.642256 19.710405 12.33207 ]
hatchback_-30_45_-22_48_46_140_30_420 gt:['-30', '45', '-22', '48', '46'] pred:[30.      22.4919  22.      46.18946 46.     ]
sedan4door_-17_45_-22_48_46_20_70_420 gt:['-17', '45', '-22', '48', '46'] pred:[27.354664 17.88004  31.04366  48.       14.390095]
sedan4door_-30_45_-4_35_28_20_30_420 gt:['-30', '45', '-4', '35', '28'] pred:[16.03322   45.        41.84478   35.         3.3817866]
sedan4door_-30_23_-4_10_15_20_70_420 gt:['-30', '23', '-4', '10', '15'] pred:[31.217648  13.116241   8.8155775 10.         9.106248 ]
hybrid_-50_15_-22_35_46_230_70_420 gt:['-50', '15', '-22', '35', '46'] pred:[12.976313  9.942639 31.668774 15.799151 20.448664]
sedan2door_-17_15_-36_48_15_20_30_420 gt:['-17', '15', '-36', '48', '15'] pred:[22.741835 15.       36.499355 48.       15.938328]
hybrid_-17_23_-4_10_46_20_30_420 gt:['-17', '23', '-4', '10', '46'] pred:[17.503174 23.       45.70429  10.       10.623825]
sedan4door_-17_15_-36_35_15_50_70_420 gt:['-17', '15', '-36', '35', '15'] pred:[22.240547 19.647028 23.487106 11.366529  5.971717]
hatchback_-17_15_-22_10_46_230_70_420 gt:['-17', '15', '-22', '10', '46'] pred:[ 7.001091   6.6086187 44.118286   4.09631   35.185986 ]
suv_-50_45_-22_35_28_20_30_420 gt:['-50', '45', '-22', '35', '28'] pred:[22.683676  45.        54.89305   46.06707    5.3337255]
sedan4door_-50_15_-36_35_15_230_70_420 gt:['-50', '15', '-36', '35', '15'] pred:[19.962826 18.751509 46.17463  11.040046  4.320358]
hatchback_-30_45_-4_48_28_230_30_420 gt:['-30', '45', '-4', '48', '28'] pred:[30.       22.353682  4.       51.382664 28.29121 ]
hybrid_-17_15_-22_10_28_50_30_420 gt:['-17', '15', '-22', '10', '28'] pred:[14.965675 15.       20.848358 10.       10.714895]
hybrid_-30_15_-36_48_28_20_70_420 gt:['-30', '15', '-36', '48', '28'] pred:[29.801098  8.298564 25.040588 48.       10.850155]
hybrid_-17_23_-36_10_46_20_70_420 gt:['-17', '23', '-36', '10', '46'] pred:[23.466639   4.1710243 34.689682  10.        15.555566 ]
sedan2door_-50_15_-22_48_46_140_30_420 gt:['-50', '15', '-22', '48', '46'] pred:[50.       20.986313 22.       27.180168 46.      ]
sedan4door_-30_23_-36_35_28_230_30_420 gt:['-30', '23', '-36', '35', '28'] pred:[30.       30.202286 36.       25.693213 30.86962 ]
sedan2door_-50_45_-22_48_15_20_30_420 gt:['-50', '45', '-22', '48', '15'] pred:[30.125353 45.       35.083035 48.       16.389086]
hybrid_-30_23_-4_48_15_50_30_420 gt:['-30', '23', '-4', '48', '15'] pred:[20.769972 23.       36.442875 48.       19.331352]
sedan2door_-30_23_-36_35_15_20_30_420 gt:['-30', '23', '-36', '35', '15'] pred:[28.719254 23.       39.159607 35.       12.34731 ]
hybrid_-17_15_-4_35_15_50_30_420 gt:['-17', '15', '-4', '35', '15'] pred:[16.47361  15.       22.277163 35.        7.203909]
hybrid_-30_45_-36_48_28_230_70_420 gt:['-30', '45', '-36', '48', '28'] pred:[ 8.839321 12.24359  29.735794  8.241122 24.25456 ]
hybrid_-17_15_-36_35_15_140_70_420 gt:['-17', '15', '-36', '35', '15'] pred:[19.830587 20.605728 30.63287  13.137226 10.693187]
sedan2door_-50_23_-22_48_46_230_30_420 gt:['-50', '23', '-22', '48', '46'] pred:[50.       15.052602 22.       12.75607  33.903156]
suv_-30_45_-4_10_15_20_30_420 gt:['-30', '45', '-4', '10', '15'] pred:[20.657732 45.       53.193275 10.        9.114983]
suv_-50_45_-22_35_15_50_30_420 gt:['-50', '45', '-22', '35', '15'] pred:[23.74891   45.        44.336033  35.         0.7621154]
suv_-30_23_-36_48_46_230_70_420 gt:['-30', '23', '-36', '48', '46'] pred:[15.837659  13.890808  48.214676  23.597807   6.3055763]
sedan2door_-17_15_-22_10_15_140_70_420 gt:['-17', '15', '-22', '10', '15'] pred:[12.25396  13.469392 22.       15.028494 19.228863]
hatchback_-50_15_-22_48_46_50_70_420 gt:['-50', '15', '-22', '48', '46'] pred:[33.46811  17.904362 26.91775  15.783144 23.889242]
sedan2door_-17_45_-4_10_28_140_30_420 gt:['-17', '45', '-4', '10', '28'] pred:[ 6.624813 24.37209   4.       35.336792 28.      ]
sedan4door_-30_15_-36_48_15_20_70_420 gt:['-30', '15', '-36', '48', '15'] pred:[30.278671   6.6826644 30.363546  48.         6.8502827]
suv_-50_45_-36_10_15_20_70_420 gt:['-50', '45', '-36', '10', '15'] pred:[26.008066  34.140686  23.090134   8.448269   2.7876391]
hybrid_-17_15_-22_10_15_50_70_420 gt:['-17', '15', '-22', '10', '15'] pred:[24.329084  8.203961 27.289248 23.729076 24.398237]
suv_-30_45_-36_35_46_20_30_420 gt:['-30', '45', '-36', '35', '46'] pred:[19.458618  45.        55.282574  42.13529    1.4813402]
suv_-50_23_-36_48_28_140_70_420 gt:['-50', '23', '-36', '48', '28'] pred:[28.306545 31.413406 44.669796 16.775124 20.495848]
suv_-30_45_-22_48_28_50_30_420 gt:['-30', '45', '-22', '48', '28'] pred:[18.190617  45.        26.520523  48.         1.2762743]
suv_-17_45_-36_48_15_140_70_420 gt:['-17', '45', '-36', '48', '15'] pred:[18.968704  27.654177  45.01294   21.321379   4.6529284]
sedan4door_-30_45_-36_35_28_140_70_420 gt:['-30', '45', '-36', '35', '28'] pred:[30.512753 29.711927 38.749645 19.53608   6.937848]
sedan2door_-30_45_-22_10_28_50_70_420 gt:['-30', '45', '-22', '10', '28'] pred:[19.830534 34.19687  17.692797 13.08933  37.51571 ]
hatchback_-50_45_-36_10_15_20_30_420 gt:['-50', '45', '-36', '10', '15'] pred:[23.210924  45.        52.388622  10.         2.4242973]
sedan2door_-50_45_-4_10_46_230_30_420 gt:['-50', '45', '-4', '10', '46'] pred:[50.       33.374756  4.       25.43505  37.785107]
hybrid_-50_45_-36_35_28_230_70_420 gt:['-50', '45', '-36', '35', '28'] pred:[ 8.200078  12.2121725 28.238419  13.094194  18.52777  ]
hybrid_-17_15_-36_10_15_20_70_420 gt:['-17', '15', '-36', '10', '15'] pred:[27.82002    6.5330873 23.76514   10.        19.55652  ]
hatchback_-50_15_-36_10_28_20_30_420 gt:['-50', '15', '-36', '10', '28'] pred:[25.731462  15.        54.357914  10.         5.5356355]
hatchback_-30_45_-4_48_28_20_70_420 gt:['-30', '45', '-4', '48', '28'] pred:[23.788239 17.012201 11.210094 22.542797 13.832427]
suv_-50_23_-22_10_15_230_70_420 gt:['-50', '23', '-22', '10', '15'] pred:[13.99659   13.668556  38.11078    7.1455297  3.974596 ]
hybrid_-30_23_-36_48_28_230_30_420 gt:['-30', '23', '-36', '48', '28'] pred:[30.        8.873381 36.       14.696062 32.26662 ]
sedan2door_-17_15_-22_10_46_230_70_420 gt:['-17', '15', '-22', '10', '46'] pred:[ 9.918385   9.8650465 30.126461  11.945403  34.48174  ]
sedan4door_-17_15_-4_10_46_230_30_420 gt:['-17', '15', '-4', '10', '46'] pred:[17.        8.418487  4.       18.982674 44.850838]
suv_-50_23_-36_35_15_230_30_420 gt:['-50', '23', '-36', '35', '15'] pred:[50.       23.37052  36.       48.389194 17.968378]
suv_-30_23_-4_48_46_20_70_420 gt:['-30', '23', '-4', '48', '46'] pred:[30.824629 18.940802 16.010813 12.347274 16.744946]
suv_-50_15_-36_10_46_230_30_420 gt:['-50', '15', '-36', '10', '46'] pred:[50.       14.723128 36.       13.341649 20.936922]
sedan2door_-50_45_-4_48_28_20_30_420 gt:['-50', '45', '-4', '48', '28'] pred:[29.615273 45.       31.723345 48.       19.428188]
suv_-17_15_-4_48_15_230_70_420 gt:['-17', '15', '-4', '48', '15'] pred:[ 4.138579  6.596613 38.42635   9.145764 11.254593]
sedan4door_-17_45_-4_48_15_230_70_420 gt:['-17', '45', '-4', '48', '15'] pred:[ 7.3006053 19.821075  21.683004  12.393008   5.182116 ]
