sedan2door_-40_40_0_0_20_280_40_450 gt:['-40', '40', '0', '0', '20'] pred:[39.060196  42.63761    7.7773824 15.438688  16.695766 ]
hybrid_-20_20_-20_40_0_120_60_400 gt:['-20', '20', '-20', '40', '0'] pred:[16.664585  18.643883  20.         9.296155   1.5375099]
hatchback_-20_40_-20_20_20_200_60_400 gt:['-20', '40', '-20', '20', '20'] pred:[18.112356 43.72469  20.       15.16421  18.472912]
suv_0_0_-40_40_20_120_60_400 gt:['0', '0', '-40', '40', '20'] pred:[ 2.1195173  2.9871728 40.        44.02845   20.07033  ]
sedan2door_0_40_-40_20_0_40_60_400 gt:['0', '40', '-40', '20', '0'] pred:[ 2.414616  48.08626    8.739893  20.         1.4025218]
suv_-20_40_-40_40_0_320_40_450 gt:['-20', '40', '-40', '40', '0'] pred:[18.929718  40.        44.57798   40.         1.0495447]
suv_-20_40_-20_40_40_240_80_400 gt:['-20', '40', '-20', '40', '40'] pred:[16.228394 41.54856  13.278415 38.709038 37.240005]
hatchback_-20_40_-20_40_20_240_40_450 gt:['-20', '40', '-20', '40', '20'] pred:[20.       38.377464 20.       40.31505  18.660927]
sedan2door_-40_40_-20_0_20_320_80_400 gt:['-40', '40', '-20', '0', '20'] pred:[42.07201  41.79035  22.398418 15.817071 19.253384]
sedan4door_-40_20_-40_40_20_280_20_400 gt:['-40', '20', '-40', '40', '20'] pred:[30.694178 20.       40.749332 40.       16.124222]
sedan2door_0_0_0_40_0_40_60_450 gt:['0', '0', '0', '40', '0'] pred:[ 3.0435266  2.6870615 10.234173  40.         1.3029263]
sedan2door_0_20_-40_40_40_200_20_400 gt:['0', '20', '-40', '40', '40'] pred:[ 0.       18.154613 40.       25.498756 41.752266]
sedan2door_-20_40_-40_0_0_120_20_450 gt:['-20', '40', '-40', '0', '0'] pred:[20.       46.74972  40.       16.680618  0.      ]
suv_-20_20_-40_0_40_280_60_400 gt:['-20', '20', '-40', '0', '40'] pred:[17.455036 18.564054 39.139603 10.732836 39.788166]
sedan4door_0_40_-40_0_40_160_20_400 gt:['0', '40', '-40', '0', '40'] pred:[ 0.       43.63287  40.        3.112196 40.      ]
suv_0_20_-20_40_0_120_60_450 gt:['0', '20', '-20', '40', '0'] pred:[ 1.6548617 16.964615  20.        37.99871    6.0057855]
sedan4door_-40_40_0_20_20_0_40_450 gt:['-40', '40', '0', '20', '20'] pred:[41.73659   40.         3.0036843 20.        19.10669  ]
suv_-20_0_-20_20_0_120_60_400 gt:['-20', '0', '-20', '20', '0'] pred:[16.396368   2.0777366 20.        12.726879   3.0625062]
hatchback_0_40_-20_40_20_240_60_400 gt:['0', '40', '-20', '40', '20'] pred:[ 2.2078855 38.89323   16.313011  42.172775  19.711037 ]
hybrid_-20_20_-40_20_20_320_80_450 gt:['-20', '20', '-40', '20', '20'] pred:[18.082075 16.833015 16.52517  15.633672 18.131586]
sedan4door_-20_20_0_40_20_320_60_450 gt:['-20', '20', '0', '40', '20'] pred:[20.033495 22.906973  4.536044 42.443096 21.274849]
hybrid_-20_40_-20_20_40_0_80_450 gt:['-20', '40', '-20', '20', '40'] pred:[20.270998 44.64231  19.31844  21.285995 41.53221 ]
sedan4door_-20_40_-40_0_20_200_40_450 gt:['-20', '40', '-40', '0', '20'] pred:[20.       39.681973 40.        2.6351   16.508488]
hatchback_-40_20_-40_20_40_120_80_450 gt:['-40', '20', '-40', '20', '40'] pred:[36.099377 19.244543 37.415703 20.439554 39.162888]
hatchback_-20_20_-20_0_40_360_80_400 gt:['-20', '20', '-20', '0', '40'] pred:[18.470922 22.804224 14.097831 10.282759 43.079987]
suv_-20_40_0_40_20_240_40_400 gt:['-20', '40', '0', '40', '20'] pred:[20.       39.60134   0.       40.815308 18.367107]
sedan2door_-40_40_-20_20_20_0_20_400 gt:['-40', '40', '-20', '20', '20'] pred:[44.99781  40.       16.587706 20.       20.      ]
hybrid_-20_0_0_0_20_280_60_450 gt:['-20', '0', '0', '0', '20'] pred:[16.12399    2.1479945 13.477313   8.688501  16.233248 ]
suv_-20_40_0_20_0_360_20_450 gt:['-20', '40', '0', '20', '0'] pred:[19.419714  40.         1.1508296 20.         0.       ]
sedan4door_-40_0_-40_40_0_280_40_400 gt:['-40', '0', '-40', '40', '0'] pred:[37.008205 19.066193 34.33101  38.183807  1.178012]
hatchback_0_20_-20_20_20_120_20_400 gt:['0', '20', '-20', '20', '20'] pred:[ 0.       17.594389 20.       19.305138 20.      ]
suv_-40_20_-20_0_40_40_40_400 gt:['-40', '20', '-20', '0', '40'] pred:[40.17572 20.      14.78405  0.      42.44008]
hatchback_-20_0_0_40_0_160_20_450 gt:['-20', '0', '0', '40', '0'] pred:[20.         2.7895617  0.        43.450516   0.       ]
hybrid_0_40_-40_20_40_80_20_400 gt:['0', '40', '-40', '20', '40'] pred:[ 0.9587041 40.         3.029656  20.        40.       ]
sedan2door_0_40_-20_0_0_0_80_450 gt:['0', '40', '-20', '0', '0'] pred:[ 2.4716673 42.75769    9.81043   13.183987   1.518668 ]
sedan2door_-40_40_0_20_0_360_40_400 gt:['-40', '40', '0', '20', '0'] pred:[43.13523   40.        13.862749  20.         1.6917781]
sedan4door_0_0_-40_20_40_0_40_450 gt:['0', '0', '-40', '20', '40'] pred:[ 2.9852595  0.        45.413113  20.        40.275402 ]
hybrid_-20_40_-40_0_20_120_40_450 gt:['-20', '40', '-40', '0', '20'] pred:[20.       42.644527 40.       14.639086 20.      ]
sedan2door_0_40_-20_40_0_280_60_400 gt:['0', '40', '-20', '40', '0'] pred:[ 2.0599513 44.387794   5.855394  16.896582   1.7857164]
sedan4door_0_40_-40_20_20_120_60_450 gt:['0', '40', '-40', '20', '20'] pred:[ 3.2663736 42.27862   40.        14.586526  18.80797  ]
sedan4door_-20_40_0_40_20_40_60_400 gt:['-20', '40', '0', '40', '20'] pred:[21.40097   48.65452    3.9115243 40.        15.242173 ]
suv_-20_20_-40_40_40_40_60_400 gt:['-20', '20', '-40', '40', '40'] pred:[15.404354 12.898617 44.245308 40.       36.781113]
hatchback_0_0_-40_40_20_360_20_450 gt:['0', '0', '-40', '40', '20'] pred:[ 2.3160303  0.        47.76977   40.        20.       ]
hybrid_-20_20_-40_20_0_320_60_400 gt:['-20', '20', '-40', '20', '0'] pred:[18.155321 20.31066  11.826313 15.988834  1.332345]
sedan4door_-40_40_-20_20_0_40_20_450 gt:['-40', '40', '-20', '20', '0'] pred:[46.15282 40.      17.15299 20.       0.     ]
sedan2door_0_20_-20_40_40_360_80_400 gt:['0', '20', '-20', '40', '40'] pred:[ 3.1940103 19.607166  13.072625  17.699425  41.433384 ]
hatchback_0_0_-20_20_40_240_20_450 gt:['0', '0', '-20', '20', '40'] pred:[ 0.         4.2399907 20.        19.468258  45.81526  ]
hybrid_0_20_0_0_40_200_20_400 gt:['0', '20', '0', '0', '40'] pred:[ 0.       13.447958  0.       20.92791  45.25294 ]
sedan2door_-40_20_0_20_20_80_40_450 gt:['-40', '20', '0', '20', '20'] pred:[42.72774  19.290123  7.813939 20.       20.      ]
hybrid_-20_40_-40_20_40_80_40_400 gt:['-20', '40', '-40', '20', '40'] pred:[16.607595 44.349663  9.747971 20.       40.      ]
hatchback_-20_40_-20_0_20_120_40_450 gt:['-20', '40', '-20', '0', '20'] pred:[20.       41.831993 20.        7.840805 20.      ]
suv_-40_20_0_0_0_360_80_400 gt:['-40', '20', '0', '0', '0'] pred:[42.908928  19.753649   2.348885   9.368381   2.4895134]
sedan4door_-20_0_-20_40_20_40_60_400 gt:['-20', '0', '-20', '40', '20'] pred:[20.534496   3.2498388 21.70741   40.        17.40417  ]
hatchback_0_20_-40_0_0_280_20_400 gt:['0', '20', '-40', '0', '0'] pred:[ 7.3115263 20.        41.537746   0.         1.0969756]
sedan2door_0_40_-20_20_20_40_80_400 gt:['0', '40', '-20', '20', '20'] pred:[ 1.7017301 45.41282    9.979984  20.429016  16.913666 ]
hybrid_0_40_-20_40_0_160_80_450 gt:['0', '40', '-20', '40', '0'] pred:[ 1.8327779 45.10933    7.3993645 11.530951   2.8867993]
hatchback_-40_40_-20_40_20_120_20_400 gt:['-40', '40', '-20', '40', '20'] pred:[40.       43.221027 20.       38.73506  20.      ]
hatchback_0_0_-40_20_20_320_80_450 gt:['0', '0', '-40', '20', '20'] pred:[ 3.4525597  3.1012857 40.347713   7.415167  14.935292 ]
hatchback_-40_40_-40_0_20_320_40_400 gt:['-40', '40', '-40', '0', '20'] pred:[43.392242 40.       37.918724  0.       17.116001]
hybrid_-20_20_-40_20_20_280_60_400 gt:['-20', '20', '-40', '20', '20'] pred:[17.515812 19.808792  9.062088 15.344504 15.377344]
suv_0_40_-40_0_0_240_20_450 gt:['0', '40', '-40', '0', '0'] pred:[ 0.        42.427467  40.         1.3233695  0.7715608]
sedan2door_0_0_-40_40_0_0_20_400 gt:['0', '0', '-40', '40', '0'] pred:[ 1.0507772  0.         3.5407035 40.         0.       ]
hatchback_0_0_-20_20_20_120_80_400 gt:['0', '0', '-20', '20', '20'] pred:[ 1.2363551  2.1483095 17.549362  15.175714  17.155926 ]
sedan2door_0_0_-40_0_20_360_20_450 gt:['0', '0', '-40', '0', '20'] pred:[ 1.2004917  0.         5.4637694  0.        20.       ]
hatchback_-20_0_0_20_40_160_20_450 gt:['-20', '0', '0', '20', '40'] pred:[20.         2.0606642  0.        18.614971  40.       ]
hatchback_0_20_-20_20_40_240_80_400 gt:['0', '20', '-20', '20', '40'] pred:[ 2.5990736 13.045991  17.511478  17.224018  40.15704  ]
sedan4door_0_40_-20_40_20_280_80_450 gt:['0', '40', '-20', '40', '20'] pred:[ 2.8806949 43.846825  21.758255  44.36235   14.961824 ]
hatchback_-40_0_0_0_20_320_20_450 gt:['-40', '0', '0', '0', '20'] pred:[40.77969    0.         1.9341006  0.        22.253824 ]
hybrid_-40_40_-20_0_20_40_60_450 gt:['-40', '40', '-20', '0', '20'] pred:[43.313583 44.220493 17.660841  0.       22.607502]
hybrid_-20_20_-20_0_20_360_80_450 gt:['-20', '20', '-20', '0', '20'] pred:[20.85264   19.520578  16.318768  13.5314245 18.480398 ]
hybrid_0_0_0_40_40_160_20_400 gt:['0', '0', '0', '40', '40'] pred:[ 0.         1.2690288  0.         4.5001082 40.       ]
sedan2door_0_40_-20_40_40_40_40_400 gt:['0', '40', '-20', '40', '40'] pred:[ 2.4774137 40.         9.893735  40.        44.414764 ]
sedan4door_0_40_-40_0_0_200_40_400 gt:['0', '40', '-40', '0', '0'] pred:[ 0.        40.358242  40.         2.6443374  2.295039 ]
hatchback_0_40_0_40_20_240_20_450 gt:['0', '40', '0', '40', '20'] pred:[ 0.       43.376972  0.       43.97552  18.61682 ]
suv_0_40_-40_20_40_120_40_400 gt:['0', '40', '-40', '20', '40'] pred:[ 0.       42.68823  40.       14.264032 40.      ]
sedan4door_0_20_-20_20_20_0_20_450 gt:['0', '20', '-20', '20', '20'] pred:[ 1.1548538 20.        18.426682  20.        20.       ]
sedan4door_-20_0_-20_40_0_240_80_400 gt:['-20', '0', '-20', '40', '0'] pred:[18.031485   2.2716215 14.689544  40.885315   1.1826243]
sedan4door_0_0_-20_40_20_240_80_450 gt:['0', '0', '-20', '40', '20'] pred:[ 2.4251013  1.6695554 19.061642  41.901955  12.694457 ]
sedan2door_-20_20_-20_40_40_360_20_450 gt:['-20', '20', '-20', '40', '40'] pred:[20.082449 20.        9.971684 40.       40.      ]
sedan2door_-40_40_-40_40_40_360_40_450 gt:['-40', '40', '-40', '40', '40'] pred:[42.151886 40.       18.986498 40.       39.380272]
hatchback_-40_20_-40_40_0_280_20_450 gt:['-40', '20', '-40', '40', '0'] pred:[36.1642    20.        28.221405  40.         1.9134879]
hatchback_-40_20_0_20_40_320_40_450 gt:['-40', '20', '0', '20', '40'] pred:[40.026184  20.         2.9334023 20.        41.078976 ]
suv_-40_40_-40_0_0_40_60_450 gt:['-40', '40', '-40', '0', '0'] pred:[40.349854  39.23955   40.969475   0.         1.7308724]
suv_0_20_-40_20_20_40_60_450 gt:['0', '20', '-40', '20', '20'] pred:[ 3.4338608 16.98404   41.389645  20.        14.691202 ]
sedan4door_-40_0_0_40_0_320_80_450 gt:['-40', '0', '0', '40', '0'] pred:[39.367085   4.936275   2.8441339 43.98797    2.7424068]
sedan2door_-20_20_-20_0_0_200_60_450 gt:['-20', '20', '-20', '0', '0'] pred:[14.72796   18.124073  20.        13.517556   1.3301575]
suv_0_40_-20_20_20_280_80_400 gt:['0', '40', '-20', '20', '20'] pred:[ 1.7969342 45.34598   16.246485  17.23373   15.739283 ]
hatchback_0_40_0_40_40_40_60_450 gt:['0', '40', '0', '40', '40'] pred:[ 2.7300315 47.20107    4.672137  40.        39.97119  ]
suv_-20_40_-40_40_0_0_20_400 gt:['-20', '40', '-40', '40', '0'] pred:[17.278038 40.       46.03546  40.        0.      ]
sedan4door_0_0_0_40_0_280_80_400 gt:['0', '0', '0', '40', '0'] pred:[ 1.9886122  1.4512812  2.732572  45.42289    1.3840861]
sedan4door_-40_40_-20_40_0_40_60_400 gt:['-40', '40', '-20', '40', '0'] pred:[44.68793  42.606003 19.600763 40.        3.203754]
sedan2door_0_0_0_0_20_240_20_450 gt:['0', '0', '0', '0', '20'] pred:[ 0.         2.9536662  0.         7.234022  19.982681 ]
sedan4door_-40_20_-20_20_20_160_40_400 gt:['-40', '20', '-20', '20', '20'] pred:[40.       20.713278 20.       21.242657 16.452173]
sedan4door_-40_0_-40_0_40_80_40_400 gt:['-40', '0', '-40', '0', '40'] pred:[44.55331   2.823009 45.932167  0.       40.      ]
suv_-40_0_-20_40_20_120_60_450 gt:['-40', '0', '-20', '40', '20'] pred:[41.089527   3.8696103 20.        42.06437   17.31249  ]
hatchback_-20_40_-20_40_0_280_40_400 gt:['-20', '40', '-20', '40', '0'] pred:[13.512131  45.453606  17.465199  45.13122    2.3951035]
hatchback_-20_20_-40_40_20_200_40_400 gt:['-20', '20', '-40', '40', '20'] pred:[20.       19.16401  40.       44.961193 22.96505 ]
suv_-20_0_-40_40_20_320_60_450 gt:['-20', '0', '-40', '40', '20'] pred:[19.205618  8.243987 38.914894 41.924953 19.314062]
sedan4door_0_0_0_0_0_280_20_400 gt:['0', '0', '0', '0', '0'] pred:[2.8782158  0.         2.4401736  0.         0.37286368]
hatchback_-40_0_0_40_40_320_60_450 gt:['-40', '0', '0', '40', '40'] pred:[41.8752     7.0388174  4.875555  41.01645   39.746986 ]
hatchback_0_20_-20_20_40_0_60_400 gt:['0', '20', '-20', '20', '40'] pred:[ 2.4819438 16.712845  17.753521  20.        41.677353 ]
suv_-40_20_-40_20_0_160_40_450 gt:['-40', '20', '-40', '20', '0'] pred:[40.        17.972078  40.        16.736814   2.4594607]
suv_0_40_-20_40_20_320_20_450 gt:['0', '40', '-20', '40', '20'] pred:[ 2.3757734 40.        15.942349  40.        19.66909  ]
hybrid_-40_0_-40_0_0_320_40_400 gt:['-40', '0', '-40', '0', '0'] pred:[42.697937   0.        11.770127   0.         1.5169735]
sedan2door_-40_20_-40_40_40_120_60_400 gt:['-40', '20', '-40', '40', '40'] pred:[40.46074  18.645437 40.       14.102899 39.851826]
sedan2door_-40_40_-20_40_0_160_60_400 gt:['-40', '40', '-20', '40', '0'] pred:[42.32643  41.39406  20.       10.895472  2.580907]
sedan2door_-20_20_0_0_0_120_60_400 gt:['-20', '20', '0', '0', '0'] pred:[17.673182 19.117737  0.        8.807889  2.597121]
sedan4door_-40_20_-40_40_20_0_20_400 gt:['-40', '20', '-40', '40', '20'] pred:[42.347706 20.       46.126106 40.       20.      ]
sedan2door_-40_0_-40_0_20_280_40_450 gt:['-40', '0', '-40', '0', '20'] pred:[40.116474   2.0499163 10.808532   8.704607  18.013767 ]
sedan4door_-20_20_-20_0_20_200_40_400 gt:['-20', '20', '-20', '0', '20'] pred:[20.        21.748997  20.         1.9587506 17.741976 ]
suv_0_40_-40_0_40_280_80_400 gt:['0', '40', '-40', '0', '40'] pred:[ 2.9988017 45.378193  38.642017   1.316726  41.605087 ]
sedan4door_-40_40_0_40_20_320_20_400 gt:['-40', '40', '0', '40', '20'] pred:[39.3768   40.        3.101975 40.       21.326393]
hybrid_-20_0_-20_40_40_200_80_450 gt:['-20', '0', '-20', '40', '40'] pred:[16.508465   2.4784653  7.1117525  7.5642138 43.29793  ]
sedan2door_-20_40_-40_0_0_280_60_400 gt:['-20', '40', '-40', '0', '0'] pred:[20.89432   43.790775   7.122779  15.791711   2.3765893]
hybrid_0_40_-40_20_0_320_40_400 gt:['0', '40', '-40', '20', '0'] pred:[ 1.8667203 40.         5.9581227 20.         0.8282362]
hybrid_-20_40_-40_0_40_200_60_400 gt:['-20', '40', '-40', '0', '40'] pred:[20.036493 45.581997 40.       10.315954 40.660828]
suv_-20_20_0_0_40_320_60_400 gt:['-20', '20', '0', '0', '40'] pred:[16.945574  17.483038   2.1428235 11.523215  39.643486 ]
sedan4door_-20_0_-40_40_20_0_40_400 gt:['-20', '0', '-40', '40', '20'] pred:[19.773588  0.       43.724037 40.       17.40145 ]
sedan4door_-40_20_-40_20_40_360_80_450 gt:['-40', '20', '-40', '20', '40'] pred:[42.407967 15.938953 44.469048 17.952814 40.196144]
hatchback_-20_40_-40_0_0_280_40_400 gt:['-20', '40', '-40', '0', '0'] pred:[15.385541  46.39698   43.408043  22.165466   2.2382526]
sedan4door_0_20_0_40_20_200_80_450 gt:['0', '20', '0', '40', '20'] pred:[ 3.4800794 23.996891   2.409775  42.13998   16.147116 ]
sedan2door_-40_40_-20_20_0_160_20_450 gt:['-40', '40', '-20', '20', '0'] pred:[40.       46.1629   20.       19.369862  0.      ]
sedan2door_0_0_0_40_40_80_80_400 gt:['0', '0', '0', '40', '40'] pred:[ 0.72536    2.3258488 11.593461   7.610101  40.       ]
sedan4door_-40_0_-20_20_20_280_60_450 gt:['-40', '0', '-20', '20', '20'] pred:[44.352425   3.6039155 18.765001  15.985953  19.62926  ]
sedan2door_-40_40_0_20_0_80_40_400 gt:['-40', '40', '0', '20', '0'] pred:[41.290848 42.1801    7.15802  20.        0.      ]
hatchback_-20_40_0_40_20_320_80_400 gt:['-20', '40', '0', '40', '20'] pred:[17.64304   41.568485   2.9415476 46.48928   21.467722 ]
suv_0_20_-40_0_0_40_80_450 gt:['0', '20', '-40', '0', '0'] pred:[ 3.8534734  22.054766   38.518135    3.3021457   0.72352564]
hatchback_-20_40_-20_20_0_280_20_450 gt:['-20', '40', '-20', '20', '0'] pred:[13.089252  40.        12.537297  20.         1.2423031]
sedan4door_0_20_-40_0_0_0_40_400 gt:['0', '20', '-40', '0', '0'] pred:[ 1.6862243 20.        42.210804   0.         1.4247903]
hybrid_-40_40_-40_20_40_360_20_400 gt:['-40', '40', '-40', '20', '40'] pred:[45.02431  40.       10.951717 20.       40.      ]
suv_0_40_0_20_20_320_80_450 gt:['0', '40', '0', '20', '20'] pred:[ 1.5491399 43.659138   3.0649073 27.773708  19.101345 ]
suv_-40_20_-40_0_20_240_60_450 gt:['-40', '20', '-40', '0', '20'] pred:[39.038033  17.085613  40.11677    2.8612823 21.183634 ]
hybrid_-40_20_0_20_0_120_60_450 gt:['-40', '20', '0', '20', '0'] pred:[37.548058  20.045023   0.         8.317244   2.2282178]
hybrid_-20_20_-20_20_40_280_20_450 gt:['-20', '20', '-20', '20', '40'] pred:[20.191557  20.         6.9200315 20.        45.0143   ]
sedan2door_-20_20_0_20_0_200_40_450 gt:['-20', '20', '0', '20', '0'] pred:[20.        16.525011   0.        15.210478   1.1408658]
hybrid_0_40_0_0_40_200_40_400 gt:['0', '40', '0', '0', '40'] pred:[ 0.       37.811653  0.       14.191968 43.155533]
suv_-40_20_-40_40_0_280_20_450 gt:['-40', '20', '-40', '40', '0'] pred:[29.75394   20.        42.01566   40.         1.1677376]
suv_-40_20_0_20_40_280_60_400 gt:['-40', '20', '0', '20', '40'] pred:[38.845432 17.587444  2.190148 17.83489  41.38829 ]
hatchback_-40_40_-20_40_20_240_80_450 gt:['-40', '40', '-20', '40', '20'] pred:[40.26784  40.003136 16.593813 37.017437 20.391788]
suv_-40_40_-40_0_40_80_60_400 gt:['-40', '40', '-40', '0', '40'] pred:[40.162067 39.717712 42.814373  7.147366 40.557705]
hatchback_0_40_-40_40_0_200_80_400 gt:['0', '40', '-40', '40', '0'] pred:[ 3.7528212 40.58364   40.086155  42.321938   1.7277906]
sedan4door_-20_20_-20_20_40_280_40_400 gt:['-20', '20', '-20', '20', '40'] pred:[18.555426 18.289383 14.667139 18.73799  45.082577]
hybrid_-40_20_-40_20_20_80_80_450 gt:['-40', '20', '-40', '20', '20'] pred:[44.567924 19.692114 17.338167 13.156028 20.      ]
suv_-40_20_0_20_40_240_80_450 gt:['-40', '20', '0', '20', '40'] pred:[40.13306   16.482283   3.1754487 13.686605  42.524933 ]
sedan4door_-40_0_-20_40_0_320_20_400 gt:['-40', '0', '-20', '40', '0'] pred:[44.696487   0.        17.932175  40.         2.7924385]
hatchback_-40_40_-40_20_20_160_80_400 gt:['-40', '40', '-40', '20', '20'] pred:[44.442276 41.058903 40.52763  15.452105 19.994526]
sedan4door_0_0_-40_20_20_320_20_450 gt:['0', '0', '-40', '20', '20'] pred:[ 4.268119  0.       44.331688 20.       18.001842]
suv_-40_0_-20_20_20_120_80_450 gt:['-40', '0', '-20', '20', '20'] pred:[42.708996   3.5821037 21.276356  16.053478  21.302362 ]
suv_-20_40_-40_40_40_200_20_450 gt:['-20', '40', '-40', '40', '40'] pred:[20.       40.41459  40.       41.361618 39.905094]
hatchback_-40_20_0_20_0_0_20_450 gt:['-40', '20', '0', '20', '0'] pred:[45.51375 20.       1.54228 20.       0.     ]
sedan2door_0_40_-40_20_40_200_80_400 gt:['0', '40', '-40', '20', '40'] pred:[ 2.4706368 44.302567  12.423307  16.167423  36.325626 ]
hatchback_-20_40_-40_0_0_320_40_450 gt:['-20', '40', '-40', '0', '0'] pred:[22.164017   40.         41.816776    0.          0.27938178]
hatchback_-20_0_-40_0_0_0_80_400 gt:['-20', '0', '-40', '0', '0'] pred:[20.023542   2.0759695 43.0627     8.05608    1.2603935]
sedan2door_-20_20_0_20_0_200_60_450 gt:['-20', '20', '0', '20', '0'] pred:[14.463154  17.816013   0.        14.429587   1.3110467]
sedan4door_-40_40_0_40_40_280_60_400 gt:['-40', '40', '0', '40', '40'] pred:[42.077236  41.262745   3.0356152 41.871372  42.977573 ]
suv_-20_20_0_20_0_320_80_400 gt:['-20', '20', '0', '20', '0'] pred:[14.253942  19.649063   2.0773377 21.890627   1.1666881]
sedan2door_-20_40_0_0_20_160_40_400 gt:['-20', '40', '0', '0', '20'] pred:[20.       40.74311   0.       14.151189 21.109556]
hatchback_-20_40_-40_0_20_160_60_450 gt:['-20', '40', '-40', '0', '20'] pred:[13.546557 42.399082 40.        4.701102 23.317204]
suv_-20_0_-20_20_0_160_20_450 gt:['-20', '0', '-20', '20', '0'] pred:[20.         2.1374066 20.        19.620798   0.       ]
sedan2door_-20_20_-20_20_40_120_60_450 gt:['-20', '20', '-20', '20', '40'] pred:[21.277029 20.747936 20.        7.438881 42.50225 ]
sedan4door_0_20_-20_20_0_320_80_450 gt:['0', '20', '-20', '20', '0'] pred:[ 1.9909136 20.014158  21.794147  11.748606   1.153058 ]
sedan4door_-20_0_-40_20_0_320_40_400 gt:['-20', '0', '-40', '20', '0'] pred:[20.335087   0.        44.406586  20.         1.4232928]
sedan4door_-20_20_-40_40_0_320_40_400 gt:['-20', '20', '-40', '40', '0'] pred:[21.11661   20.        46.586006  40.         1.2054603]
suv_0_40_0_20_40_240_60_450 gt:['0', '40', '0', '20', '40'] pred:[ 4.587762 41.778328 13.845908 13.270622 44.35614 ]
sedan2door_0_40_0_20_20_80_40_400 gt:['0', '40', '0', '20', '20'] pred:[ 2.677563 41.098194 12.721403 20.       20.      ]
hatchback_-40_20_-40_40_0_200_80_450 gt:['-40', '20', '-40', '40', '0'] pred:[44.85773  16.617178 43.694168 41.406338  2.721438]
hatchback_-20_20_-40_40_40_80_20_400 gt:['-20', '20', '-40', '40', '40'] pred:[15.787742 20.       41.471794 40.       40.      ]
hatchback_0_40_0_0_40_0_20_450 gt:['0', '40', '0', '0', '40'] pred:[ 1.6316493 40.         1.339494   0.        40.       ]
sedan4door_0_40_0_0_0_280_60_450 gt:['0', '40', '0', '0', '0'] pred:[ 2.4317567 44.025284   4.709812   2.3091385  1.2600377]
hatchback_0_40_-20_20_0_200_40_400 gt:['0', '40', '-20', '20', '0'] pred:[ 0.        39.052654  20.        15.993043   1.8406361]
hatchback_0_40_-40_40_40_360_40_400 gt:['0', '40', '-40', '40', '40'] pred:[ 2.662085 40.       40.752502 40.       41.02499 ]
hatchback_-40_0_0_0_0_0_40_450 gt:['-40', '0', '0', '0', '0'] pred:[42.802574   0.         2.623774   0.         2.1337552]
sedan2door_-40_20_-20_20_0_240_80_450 gt:['-40', '20', '-20', '20', '0'] pred:[41.750023  20.658619   9.545554   9.5724125  1.6897856]
hatchback_-40_20_-20_20_20_160_80_400 gt:['-40', '20', '-20', '20', '20'] pred:[41.162075 16.074171 14.018    13.717354 19.831337]
hatchback_-20_20_-40_40_20_320_80_400 gt:['-20', '20', '-40', '40', '20'] pred:[17.28042  15.958232 40.79239  45.57185  19.24821 ]
sedan4door_0_0_-20_40_40_200_60_450 gt:['0', '0', '-20', '40', '40'] pred:[ 4.071056  1.941819 20.       39.249626 39.858356]
hatchback_0_0_-40_40_40_280_20_400 gt:['0', '0', '-40', '40', '40'] pred:[ 6.7856703  0.        42.856045  40.        47.029125 ]
suv_0_20_0_0_20_280_20_400 gt:['0', '20', '0', '0', '20'] pred:[ 7.700304 20.        6.133746  0.       11.281402]
hybrid_-40_40_-20_0_20_200_60_450 gt:['-40', '40', '-20', '0', '20'] pred:[41.572033 42.33146  20.       20.283745 21.13454 ]
suv_-20_40_0_0_20_40_80_400 gt:['-20', '40', '0', '0', '20'] pred:[18.73988   45.44799    3.3430283  7.1148047 18.495098 ]
hatchback_-20_20_-40_0_0_360_40_400 gt:['-20', '20', '-40', '0', '0'] pred:[19.013172 20.       46.365047  0.        1.104393]
hybrid_-40_40_-40_20_0_360_60_400 gt:['-40', '40', '-40', '20', '0'] pred:[43.533142  41.500744  16.848104  20.         1.6924489]
suv_0_0_-20_40_0_320_60_450 gt:['0', '0', '-20', '40', '0'] pred:[ 2.2051296  9.786865  17.03452   38.906902   1.171173 ]
suv_-40_20_0_20_40_0_40_400 gt:['-40', '20', '0', '20', '40'] pred:[40.406105  20.         1.3728503 20.        42.47917  ]
hybrid_-20_0_0_40_20_280_20_450 gt:['-20', '0', '0', '40', '20'] pred:[20.486906   0.        10.1189785 40.        15.345951 ]
hatchback_-40_40_-40_40_40_0_20_400 gt:['-40', '40', '-40', '40', '40'] pred:[42.12249  40.       40.183064 40.       40.      ]
hybrid_0_20_-40_20_40_360_60_400 gt:['0', '20', '-40', '20', '40'] pred:[ 1.961983  18.760925   6.2794766 20.        44.198814 ]
suv_-40_40_-40_20_0_240_20_400 gt:['-40', '40', '-40', '20', '0'] pred:[40.        42.06248   40.        28.938602   1.1027046]
hybrid_0_20_0_20_40_360_40_450 gt:['0', '20', '0', '20', '40'] pred:[ 1.4128546 20.        16.7623    20.        43.23918  ]
hatchback_-40_40_0_40_20_240_60_450 gt:['-40', '40', '0', '40', '20'] pred:[34.421345 39.584133 18.292664 33.66048  19.314472]
hybrid_-40_0_-40_40_40_320_80_400 gt:['-40', '0', '-40', '40', '40'] pred:[44.300777   2.505657   7.3568826  7.1840386 42.742947 ]
hybrid_-20_20_-40_0_0_120_60_450 gt:['-20', '20', '-40', '0', '0'] pred:[12.484592  20.365412  40.         8.997895   1.7848169]
