hatchback_-30_23_-4_35_15_140_70_420:gt ['-30', '23', '-4', '35', '15']:pred [15.760828  14.163528   4.        22.537062   5.9635487]
sedan4door_-30_15_-22_35_46_50_70_420:gt ['-30', '15', '-22', '35', '46']:pred [13.9830675 26.938147  26.769321  35.        21.74175  ]
sedan4door_-17_15_-36_10_15_20_30_420:gt ['-17', '15', '-36', '10', '15']:pred [13.859321 15.       41.37046  10.       16.291882]
hatchback_-50_15_-36_10_15_50_30_420:gt ['-50', '15', '-36', '10', '15']:pred [39.87938  15.       45.395706 10.       15.      ]
hatchback_-30_45_-36_35_15_140_70_420:gt ['-30', '45', '-36', '35', '15']:pred [13.768341 28.95972  36.       33.000217  8.538666]
hybrid_-30_23_-36_35_28_50_30_420:gt ['-30', '23', '-36', '35', '28']:pred [30.16159  23.       36.       35.        8.727353]
hybrid_-50_15_-4_10_28_20_70_420:gt ['-50', '15', '-4', '10', '28']:pred [32.35584   8.845992  4.       10.       15.985698]
hybrid_-50_45_-4_35_15_230_30_420:gt ['-50', '45', '-4', '35', '15']:pred [50.       34.17215   4.       35.       23.385303]
sedan4door_-30_15_-36_35_28_140_70_420:gt ['-30', '15', '-36', '35', '28']:pred [28.989632  5.560794 36.       27.603119 21.376326]
hatchback_-30_45_-36_35_28_50_70_420:gt ['-30', '45', '-36', '35', '28']:pred [17.546898 39.804016 37.25083  35.       21.489262]
suv_-50_45_-4_35_28_50_70_420:gt ['-50', '45', '-4', '35', '28']:pred [32.389263 41.477055 18.485413 35.       10.110441]
suv_-17_45_-4_35_15_20_30_420:gt ['-17', '45', '-4', '35', '15']:pred [11.621454 45.        5.132348 35.       19.755466]
suv_-30_23_-22_10_46_230_30_420:gt ['-30', '23', '-22', '10', '46']:pred [30.       16.790945 22.        8.859323 47.90153 ]
suv_-30_23_-4_10_15_20_30_420:gt ['-30', '23', '-4', '10', '15']:pred [39.82681  23.        8.238174 10.       22.289408]
hatchback_-17_15_-36_48_15_140_70_420:gt ['-17', '15', '-36', '48', '15']:pred [ 6.7669783  8.92361   36.        33.50028    5.3604274]
sedan2door_-30_23_-22_48_28_50_30_420:gt ['-30', '23', '-22', '48', '28']:pred [39.924118 23.       22.       48.       28.      ]
suv_-30_45_-4_35_28_140_70_420:gt ['-30', '45', '-4', '35', '28']:pred [30.011347 27.39668   4.       26.469494 14.646249]
sedan4door_-50_45_-4_35_28_50_70_420:gt ['-50', '45', '-4', '35', '28']:pred [33.378555 47.551754 18.23316  35.       10.984122]
hybrid_-50_23_-4_10_28_50_70_420:gt ['-50', '23', '-4', '10', '28']:pred [30.290197 27.242434  4.       10.       22.41043 ]
sedan4door_-17_15_-36_35_15_230_70_420:gt ['-17', '15', '-36', '35', '15']:pred [ 2.4049678 23.37514   44.30407   35.73754    3.8247201]
hybrid_-30_23_-4_35_15_230_70_420:gt ['-30', '23', '-4', '35', '15']:pred [24.516428 22.583656  4.       35.        8.377188]
suv_-17_45_-4_10_15_230_70_420:gt ['-17', '45', '-4', '10', '15']:pred [ 2.2840204 42.098236  22.91544   20.187181   3.4899879]
hybrid_-30_23_-22_48_46_20_30_420:gt ['-30', '23', '-22', '48', '46']:pred [23.537569 23.       22.       48.       31.115177]
hatchback_-50_23_-4_48_28_140_70_420:gt ['-50', '23', '-4', '48', '28']:pred [32.98382  18.001493 14.060958 28.247496 16.376688]
sedan2door_-50_23_-4_35_28_140_70_420:gt ['-50', '23', '-4', '35', '28']:pred [39.63348  20.13614   4.       35.       20.274403]
sedan4door_-50_23_-36_10_28_230_70_420:gt ['-50', '23', '-36', '10', '28']:pred [28.5033   36.319614 37.809433 24.302809  8.619807]
hybrid_-17_15_-4_48_15_230_30_420:gt ['-17', '15', '-4', '48', '15']:pred [17.       11.559421  4.       48.       14.382952]
sedan2door_-30_45_-4_48_15_140_70_420:gt ['-30', '45', '-4', '48', '15']:pred [31.5254   35.075844  4.       48.       17.050282]
hybrid_-50_23_-4_35_46_20_70_420:gt ['-50', '23', '-4', '35', '46']:pred [35.689365 13.526492  4.       35.       25.929266]
suv_-30_45_-4_10_15_140_70_420:gt ['-30', '45', '-4', '10', '15']:pred [30.016676  29.960072   4.        12.415812   4.5160103]
sedan2door_-30_45_-22_10_28_20_30_420:gt ['-30', '45', '-22', '10', '28']:pred [32.388546 45.       22.       10.       29.281158]
sedan2door_-17_23_-36_10_28_50_30_420:gt ['-17', '23', '-36', '10', '28']:pred [23.106297 23.       36.       10.       13.087569]
sedan4door_-17_15_-22_35_15_20_70_420:gt ['-17', '15', '-22', '35', '15']:pred [11.203242 19.592508 29.178492 24.137962  6.293525]
hybrid_-17_15_-36_35_28_140_30_420:gt ['-17', '15', '-36', '35', '28']:pred [17.       16.308743 36.       35.       28.      ]
hybrid_-30_45_-36_35_46_50_70_420:gt ['-30', '45', '-36', '35', '46']:pred [22.572016 38.806786 36.       35.       30.507095]
hatchback_-30_23_-22_10_15_140_30_420:gt ['-30', '23', '-22', '10', '15']:pred [30.        25.447926  22.         3.8830824 15.       ]
suv_-17_23_-22_35_15_50_70_420:gt ['-17', '23', '-22', '35', '15']:pred [ 9.094918 27.615046 27.492077 22.402517  8.192559]
suv_-50_15_-36_48_46_230_70_420:gt ['-50', '15', '-36', '48', '46']:pred [21.29662  25.06021  46.69202  45.180958 25.99763 ]
suv_-50_45_-36_10_46_140_30_420:gt ['-50', '45', '-36', '10', '46']:pred [50.        28.562603  36.         1.5766413 46.       ]
hatchback_-30_15_-36_35_28_50_70_420:gt ['-30', '15', '-36', '35', '28']:pred [18.331356 21.031937 37.935814 35.       23.947704]
hybrid_-50_23_-22_10_28_20_70_420:gt ['-50', '23', '-22', '10', '28']:pred [36.532684 14.102918 22.       10.       17.698692]
suv_-50_23_-22_35_15_140_70_420:gt ['-50', '23', '-22', '35', '15']:pred [35.14026  22.591784 22.       22.645803  2.289771]
suv_-30_15_-36_48_28_20_70_420:gt ['-30', '15', '-36', '48', '28']:pred [26.150772 26.680939 47.50408  48.       27.025482]
sedan2door_-50_15_-4_35_46_140_30_420:gt ['-50', '15', '-4', '35', '46']:pred [50.      12.55641  4.      35.      46.     ]
suv_-50_45_-22_35_15_50_70_420:gt ['-50', '45', '-22', '35', '15']:pred [34.075443  44.389427  30.345322  35.         5.6156673]
hybrid_-17_23_-4_48_15_20_70_420:gt ['-17', '23', '-4', '48', '15']:pred [ 4.8194366 17.64434    4.        48.         6.2601757]
suv_-50_15_-36_35_15_20_70_420:gt ['-50', '15', '-36', '35', '15']:pred [29.30938  20.00892  47.543045 35.       11.711503]
hybrid_-17_45_-22_35_15_230_70_420:gt ['-17', '45', '-22', '35', '15']:pred [ 9.222662 34.67527  22.       35.        7.173565]
suv_-30_15_-4_48_15_230_70_420:gt ['-30', '15', '-4', '48', '15']:pred [ 8.852741  18.77715   31.277859  42.56428    6.2253714]
hybrid_-30_45_-36_48_15_230_70_420:gt ['-30', '45', '-36', '48', '15']:pred [23.886307 33.530853 36.       48.        7.943183]
suv_-30_23_-4_48_46_230_70_420:gt ['-30', '23', '-4', '48', '46']:pred [10.641359 28.836784 36.132866 41.793034 29.725853]
sedan4door_-50_23_-22_35_15_50_70_420:gt ['-50', '23', '-22', '35', '15']:pred [30.78027   36.731422  31.13471   35.        10.7377205]
suv_-17_23_-22_35_28_230_30_420:gt ['-17', '23', '-22', '35', '28']:pred [17.       10.880411 22.       37.150047 37.898464]
hybrid_-50_45_-4_48_15_20_30_420:gt ['-50', '45', '-4', '48', '15']:pred [39.836903 45.        4.       48.        7.59752 ]
hatchback_-30_15_-4_10_15_20_30_420:gt ['-30', '15', '-4', '10', '15']:pred [22.175474  15.         2.8999557 10.        13.205008 ]
hatchback_-30_45_-4_48_46_230_30_420:gt ['-30', '45', '-4', '48', '46']:pred [30.       31.36125   4.       37.852676 51.13789 ]
sedan4door_-30_15_-22_35_15_230_30_420:gt ['-30', '15', '-22', '35', '15']:pred [30.         6.5745597 22.        24.788147  38.057213 ]
sedan4door_-17_15_-36_10_15_50_30_420:gt ['-17', '15', '-36', '10', '15']:pred [17.071783 15.       45.019405 10.       15.      ]
hatchback_-17_15_-4_35_15_20_30_420:gt ['-17', '15', '-4', '35', '15']:pred [10.984772  15.         3.9156246 35.        12.426156 ]
sedan2door_-50_45_-36_48_15_50_30_420:gt ['-50', '45', '-36', '48', '15']:pred [45.11789  45.       46.300846 48.       20.326946]
hybrid_-17_15_-22_48_15_20_30_420:gt ['-17', '15', '-22', '48', '15']:pred [10.08233 15.      22.      48.       6.36877]
suv_-17_45_-4_48_28_230_30_420:gt ['-17', '45', '-4', '48', '28']:pred [17.       32.184475  4.       38.213493 34.59034 ]
suv_-50_23_-36_35_28_50_70_420:gt ['-50', '23', '-36', '35', '28']:pred [27.1689   33.243427 42.666187 35.       14.027161]
hatchback_-30_45_-4_48_28_50_30_420:gt ['-30', '45', '-4', '48', '28']:pred [33.062664  45.         5.1556644 48.        28.       ]
sedan2door_-50_23_-4_48_46_140_70_420:gt ['-50', '23', '-4', '48', '46']:pred [32.82474  22.639973  4.       48.       18.059113]
suv_-30_15_-36_48_28_20_30_420:gt ['-30', '15', '-36', '48', '28']:pred [36.433037 15.       40.682777 48.       35.488102]
sedan4door_-30_23_-36_35_15_140_70_420:gt ['-30', '23', '-36', '35', '15']:pred [27.668951  7.258279 36.       33.05415  12.220951]
sedan2door_-17_45_-36_48_28_230_70_420:gt ['-17', '45', '-36', '48', '28']:pred [ 4.487228 37.024467 36.       48.       13.749932]
hatchback_-50_23_-36_35_46_20_30_420:gt ['-50', '23', '-36', '35', '46']:pred [32.71698  23.       35.441814 35.       39.89009 ]
sedan2door_-17_23_-22_48_15_20_70_420:gt ['-17', '23', '-22', '48', '15']:pred [ 8.812561 17.68196  22.       48.       19.272219]
sedan4door_-30_45_-36_10_15_230_70_420:gt ['-30', '45', '-36', '10', '15']:pred [12.660542 45.85625  41.71448  30.944235  4.680908]
sedan4door_-50_45_-36_35_46_230_70_420:gt ['-50', '45', '-36', '35', '46']:pred [26.859612 46.74585  42.25622  42.560993 12.206714]
suv_-50_23_-4_10_15_230_70_420:gt ['-50', '23', '-4', '10', '15']:pred [12.989572  30.053766  33.14469   22.458317   4.6018195]
hybrid_-30_45_-22_10_28_230_30_420:gt ['-30', '45', '-22', '10', '28']:pred [30.       35.671562 22.       10.       28.070778]
hatchback_-17_45_-22_48_28_230_70_420:gt ['-17', '45', '-22', '48', '28']:pred [ 8.372278 40.092804 37.38756  37.07605  21.478392]
sedan4door_-50_23_-4_48_28_20_30_420:gt ['-50', '23', '-4', '48', '28']:pred [35.057964 23.       22.936691 48.       36.64783 ]
sedan2door_-30_45_-22_35_46_230_70_420:gt ['-30', '45', '-22', '35', '46']:pred [12.329917 33.39319  22.       35.       19.185246]
hatchback_-50_45_-36_48_15_50_30_420:gt ['-50', '45', '-36', '48', '15']:pred [41.004013 45.       43.99753  48.       15.      ]
hatchback_-17_23_-36_35_28_140_70_420:gt ['-17', '23', '-36', '35', '28']:pred [ 8.101401 12.041834 15.638799 22.613424 34.07012 ]
sedan2door_-17_45_-4_48_28_20_30_420:gt ['-17', '45', '-4', '48', '28']:pred [14.473206 45.        4.       48.       30.76673 ]
sedan4door_-50_23_-22_35_46_230_30_420:gt ['-50', '23', '-22', '35', '46']:pred [50.       15.164803 22.       36.407635 53.23838 ]
suv_-17_45_-4_48_15_20_30_420:gt ['-17', '45', '-4', '48', '15']:pred [11.224542  45.         4.4169827 48.        17.140902 ]
sedan2door_-30_45_-22_35_15_230_30_420:gt ['-30', '45', '-22', '35', '15']:pred [30.       33.57585  22.       35.       18.263254]
sedan2door_-50_15_-36_35_15_230_30_420:gt ['-50', '15', '-36', '35', '15']:pred [50.         7.5974455 36.        35.        12.686633 ]
hatchback_-17_45_-22_10_28_230_30_420:gt ['-17', '45', '-22', '10', '28']:pred [17.       36.342487 22.       10.765339 37.967625]
sedan4door_-17_23_-22_48_15_230_30_420:gt ['-17', '23', '-22', '48', '15']:pred [17.        8.252361 22.       32.34861  38.875134]
hybrid_-50_23_-22_48_15_50_30_420:gt ['-50', '23', '-22', '48', '15']:pred [42.76273 23.      22.      48.      15.     ]
hybrid_-50_45_-22_35_15_140_30_420:gt ['-50', '45', '-22', '35', '15']:pred [50.      40.85863 22.      35.      15.     ]
sedan4door_-17_15_-36_10_46_230_70_420:gt ['-17', '15', '-36', '10', '46']:pred [ 3.4444525 26.607119  34.784756  14.572869  15.540055 ]
suv_-50_23_-22_35_15_230_70_420:gt ['-50', '23', '-22', '35', '15']:pred [12.178228  26.533764  38.730797  38.132343   4.5400424]
hatchback_-50_45_-4_35_28_230_30_420:gt ['-50', '45', '-4', '35', '28']:pred [50.       36.261063  4.       43.064503 41.390675]
sedan2door_-50_45_-22_10_46_20_70_420:gt ['-50', '45', '-22', '10', '46']:pred [34.017204 29.84427  22.       10.       18.49765 ]
sedan2door_-30_23_-22_10_28_20_30_420:gt ['-30', '23', '-22', '10', '28']:pred [30.650707 23.       22.       10.       28.516573]
suv_-17_23_-4_48_46_230_70_420:gt ['-17', '23', '-4', '48', '46']:pred [ 3.9093983 33.264217  32.107464  41.75238   28.993176 ]
sedan2door_-17_23_-36_48_15_20_70_420:gt ['-17', '23', '-36', '48', '15']:pred [ 8.192615 18.380423 36.       48.       19.29672 ]
hatchback_-17_15_-4_48_46_230_70_420:gt ['-17', '15', '-4', '48', '46']:pred [11.114265 23.020466 34.06258  40.57478  31.370527]
suv_-50_15_-4_35_46_230_70_420:gt ['-50', '15', '-4', '35', '46']:pred [19.35824  22.109324 36.73222  42.082306 26.573942]
hybrid_-17_45_-22_48_15_140_30_420:gt ['-17', '45', '-22', '48', '15']:pred [17.       38.291016 22.       48.       15.      ]
sedan2door_-17_15_-4_48_28_50_70_420:gt ['-17', '15', '-4', '48', '28']:pred [13.512772 23.284647  4.       48.       23.992203]
suv_-50_45_-4_48_46_230_70_420:gt ['-50', '45', '-4', '48', '46']:pred [20.342009 41.330254 33.729435 41.65563  20.437214]
hatchback_-30_15_-22_10_15_140_70_420:gt ['-30', '15', '-22', '10', '15']:pred [17.224201   8.865323  22.         6.539657   7.4004803]
hatchback_-30_23_-36_10_15_20_30_420:gt ['-30', '23', '-36', '10', '15']:pred [22.970144 23.       34.869465 10.       12.100748]
hatchback_-17_15_-4_48_15_230_30_420:gt ['-17', '15', '-4', '48', '15']:pred [17.         7.6760836  4.        40.649628  40.854927 ]
suv_-17_23_-22_10_46_230_70_420:gt ['-17', '23', '-22', '10', '46']:pred [ 2.9373589 35.435097  33.775974  22.53665   25.3348   ]
hybrid_-17_23_-36_48_28_230_30_420:gt ['-17', '23', '-36', '48', '28']:pred [17.       14.436004 36.       48.       21.385698]
hatchback_-30_45_-22_10_15_230_70_420:gt ['-30', '45', '-22', '10', '15']:pred [21.30236  38.824863 38.3336   22.84653   9.579209]
hybrid_-17_23_-4_35_28_230_70_420:gt ['-17', '23', '-4', '35', '28']:pred [11.54257  24.049086  4.       35.       20.762785]
suv_-50_45_-22_10_15_20_70_420:gt ['-50', '45', '-22', '10', '15']:pred [36.108448 37.449627 42.62177  10.        9.015092]
sedan2door_-30_15_-4_35_28_50_30_420:gt ['-30', '15', '-4', '35', '28']:pred [39.2534 15.      4.     35.     28.    ]
hatchback_-50_15_-36_35_28_20_70_420:gt ['-50', '15', '-36', '35', '28']:pred [33.977116 14.074805 40.50772  35.       29.307522]
hatchback_-17_15_-36_10_46_20_70_420:gt ['-17', '15', '-36', '10', '46']:pred [ 6.1172733 13.802531  33.08425   10.        25.570889 ]
suv_-17_23_-36_35_28_230_30_420:gt ['-17', '23', '-36', '35', '28']:pred [17.        10.3174305 36.        36.62853   36.814396 ]
hatchback_-17_45_-4_48_28_230_70_420:gt ['-17', '45', '-4', '48', '28']:pred [ 8.979359 42.088184 33.06012  40.42958  17.40737 ]
hybrid_-30_45_-22_10_15_20_30_420:gt ['-30', '45', '-22', '10', '15']:pred [25.79388   45.        22.        10.         7.1453876]
suv_-30_23_-4_48_28_50_70_420:gt ['-30', '23', '-4', '48', '28']:pred [22.788633  26.09725    5.9748907 23.210165   8.554068 ]
suv_-17_23_-36_35_15_140_70_420:gt ['-17', '23', '-36', '35', '15']:pred [15.331112  15.798326  25.644537  19.31432    4.0050225]
hybrid_-17_15_-22_35_28_230_30_420:gt ['-17', '15', '-22', '35', '28']:pred [17.       12.424175 22.       35.       26.14504 ]
sedan4door_-17_23_-36_35_28_230_70_420:gt ['-17', '23', '-36', '35', '28']:pred [ 4.2622786 36.23265   38.892784  38.174072  11.919644 ]
sedan4door_-30_23_-22_35_15_50_70_420:gt ['-30', '23', '-22', '35', '15']:pred [12.782131 33.99722  26.196009 35.       11.858919]
sedan4door_-17_45_-22_10_15_20_70_420:gt ['-17', '45', '-22', '10', '15']:pred [13.417325 37.840088 28.478764 22.690395  6.126924]
sedan4door_-30_15_-4_35_28_20_70_420:gt ['-30', '15', '-4', '35', '28']:pred [28.63227   28.628393  11.826193  36.12676    7.9412913]
suv_-17_45_-4_10_46_140_30_420:gt ['-17', '45', '-4', '10', '46']:pred [17.        27.163754   4.         1.4100846 46.       ]
sedan4door_-30_15_-22_35_28_230_70_420:gt ['-30', '15', '-22', '35', '28']:pred [10.199043 24.95008  39.126568 39.268208  9.189959]
sedan2door_-17_23_-4_35_28_140_30_420:gt ['-17', '23', '-4', '35', '28']:pred [17.       24.924604  4.       35.       28.      ]
suv_-30_45_-4_48_28_50_30_420:gt ['-30', '45', '-4', '48', '28']:pred [26.278969 45.        8.608133 48.       32.497963]
hatchback_-50_23_-4_10_46_140_30_420:gt ['-50', '23', '-4', '10', '46']:pred [50.       27.082106  4.        5.125904 46.      ]
sedan4door_-30_23_-36_48_28_20_70_420:gt ['-30', '23', '-36', '48', '28']:pred [27.163939 30.429665 41.60642  38.022743 13.738181]
hybrid_-17_45_-4_35_15_140_30_420:gt ['-17', '45', '-4', '35', '15']:pred [17.       39.270493  4.       35.       15.      ]
suv_-50_45_-4_10_46_20_70_420:gt ['-50', '45', '-4', '10', '46']:pred [33.31377  35.098217 30.487232 10.       31.563198]
hybrid_-30_45_-36_10_46_230_30_420:gt ['-30', '45', '-36', '10', '46']:pred [30.       32.60179  36.       10.       48.475388]
hybrid_-30_45_-22_48_28_230_30_420:gt ['-30', '45', '-22', '48', '28']:pred [30.       35.152313 22.       48.       28.674238]
hybrid_-50_23_-36_35_15_20_30_420:gt ['-50', '23', '-36', '35', '15']:pred [39.548553  23.        36.        35.         7.0310383]
hatchback_-50_23_-22_48_15_20_30_420:gt ['-50', '23', '-22', '48', '15']:pred [35.242905 23.       29.954107 48.       14.124614]
hybrid_-50_23_-4_35_15_20_30_420:gt ['-50', '23', '-4', '35', '15']:pred [39.325165 23.        4.       35.        6.699186]
sedan2door_-50_23_-4_35_15_230_30_420:gt ['-50', '23', '-4', '35', '15']:pred [50.       15.608078  4.       35.       14.867138]
sedan4door_-17_15_-4_48_46_230_30_420:gt ['-17', '15', '-4', '48', '46']:pred [17.        7.83536   4.       39.910892 50.837467]
suv_-30_45_-36_35_28_20_30_420:gt ['-30', '45', '-36', '35', '28']:pred [35.05002  45.       41.734074 35.       31.456972]
hatchback_-17_23_-22_48_28_50_70_420:gt ['-17', '23', '-22', '48', '28']:pred [12.086662 29.778305 30.564266 48.       19.538185]
suv_-50_23_-36_10_15_230_70_420:gt ['-50', '23', '-36', '10', '15']:pred [12.68133  31.659782 41.16416  23.890528  3.692083]
sedan2door_-50_23_-4_10_15_140_30_420:gt ['-50', '23', '-4', '10', '15']:pred [50.       27.214235  4.       10.       15.      ]
hybrid_-17_23_-4_35_28_140_30_420:gt ['-17', '23', '-4', '35', '28']:pred [17.       21.694336  4.       35.       28.      ]
hybrid_-30_23_-36_10_46_230_70_420:gt ['-30', '23', '-36', '10', '46']:pred [27.23264  24.625156 36.       10.       32.835236]
hybrid_-17_23_-36_35_15_140_70_420:gt ['-17', '23', '-36', '35', '15']:pred [14.160739  13.439091  36.        35.         7.4953146]
hatchback_-30_45_-22_48_15_140_70_420:gt ['-30', '45', '-22', '48', '15']:pred [15.651533  33.76288   22.        33.26188    6.3391075]
sedan4door_-17_23_-4_10_46_20_30_420:gt ['-17', '23', '-4', '10', '46']:pred [ 6.9361863 23.         8.340751  10.        36.432415 ]
hatchback_-30_45_-4_48_46_230_70_420:gt ['-30', '45', '-4', '48', '46']:pred [23.831423 38.04241  36.8236   41.61956  33.020138]
hybrid_-50_15_-4_10_46_230_70_420:gt ['-50', '15', '-4', '10', '46']:pred [37.20337  18.468807  4.       10.       27.491127]
hybrid_-17_45_-22_35_15_50_30_420:gt ['-17', '45', '-22', '35', '15']:pred [10.897594 45.       22.       35.       15.      ]
sedan2door_-30_15_-22_10_46_140_70_420:gt ['-30', '15', '-22', '10', '46']:pred [25.103376 12.719021 22.       10.       21.570856]
sedan4door_-17_15_-4_35_46_20_70_420:gt ['-17', '15', '-4', '35', '46']:pred [10.021742 11.821464  8.578204 35.       15.177396]
sedan2door_-30_23_-4_48_46_230_30_420:gt ['-30', '23', '-4', '48', '46']:pred [30.       15.858475  4.       48.       31.764196]
sedan2door_-17_45_-22_10_15_230_70_420:gt ['-17', '45', '-22', '10', '15']:pred [ 5.6482244 38.41151   22.        10.         6.6754045]
sedan2door_-17_23_-4_35_15_50_30_420:gt ['-17', '23', '-4', '35', '15']:pred [24.755346 23.        4.       35.        8.323181]
sedan2door_-17_15_-22_35_15_140_70_420:gt ['-17', '15', '-22', '35', '15']:pred [18.573463 10.606834 22.       35.       14.743262]
hybrid_-50_23_-4_48_28_20_30_420:gt ['-50', '23', '-4', '48', '28']:pred [37.937172 23.        4.       48.       22.868319]
suv_-50_23_-36_48_15_230_70_420:gt ['-50', '23', '-36', '48', '15']:pred [14.60157  29.694668 41.290833 41.77757   4.74665 ]
hybrid_-17_15_-22_10_28_140_70_420:gt ['-17', '15', '-22', '10', '28']:pred [21.509872 10.50678  22.       10.       25.038559]
hybrid_-30_15_-4_35_28_230_30_420:gt ['-30', '15', '-4', '35', '28']:pred [30.       11.460392  4.       35.       26.014174]
hatchback_-30_15_-22_48_28_20_30_420:gt ['-30', '15', '-22', '48', '28']:pred [20.42392  15.       22.45169  48.       24.937237]
hatchback_-17_45_-22_10_46_20_70_420:gt ['-17', '45', '-22', '10', '46']:pred [ 7.3041773 30.613861  28.641245  36.55364   27.822536 ]
suv_-50_23_-36_35_46_140_70_420:gt ['-50', '23', '-36', '35', '46']:pred [37.91536  19.682907 36.       22.911135 26.476805]
hybrid_-50_15_-4_10_46_140_70_420:gt ['-50', '15', '-4', '10', '46']:pred [46.547752 16.078405  4.       10.       38.37574 ]
sedan2door_-17_23_-36_48_15_230_30_420:gt ['-17', '23', '-36', '48', '15']:pred [17.       15.146924 36.       48.       17.773197]
hatchback_-17_23_-22_48_15_50_30_420:gt ['-17', '23', '-22', '48', '15']:pred [20.133205 23.       43.603134 48.       15.      ]
sedan4door_-50_45_-36_10_46_50_70_420:gt ['-50', '45', '-36', '10', '46']:pred [35.577663 44.804478 40.315277 10.       17.61682 ]
sedan4door_-17_23_-22_35_28_50_70_420:gt ['-17', '23', '-22', '35', '28']:pred [ 9.085324 36.711803 25.34649  35.       17.44178 ]
sedan4door_-30_23_-4_35_28_230_30_420:gt ['-30', '23', '-4', '35', '28']:pred [30.       13.273392  4.       30.359365 48.468903]
sedan2door_-30_15_-22_48_15_230_30_420:gt ['-30', '15', '-22', '48', '15']:pred [30.         7.7224813 22.        48.        12.183651 ]
suv_-17_15_-4_48_28_50_30_420:gt ['-17', '15', '-4', '48', '28']:pred [11.018555 15.        7.082682 48.       32.246048]
suv_-17_15_-22_35_28_50_70_420:gt ['-17', '15', '-22', '35', '28']:pred [ 7.852523 16.845407 29.496431 19.386595 19.61287 ]
sedan4door_-50_45_-4_48_15_140_70_420:gt ['-50', '45', '-4', '48', '15']:pred [38.733704  30.28613    4.        39.94165    2.6227555]
sedan4door_-30_23_-22_10_28_50_70_420:gt ['-30', '23', '-22', '10', '28']:pred [16.083385 36.54422  21.275494 10.       14.365852]
hatchback_-30_15_-4_10_28_230_70_420:gt ['-30', '15', '-4', '10', '28']:pred [24.400267 18.649889 36.12783  22.967169 17.128874]
hatchback_-30_45_-36_35_28_230_30_420:gt ['-30', '45', '-36', '35', '28']:pred [30.       36.22327  36.       40.55839  37.758667]
sedan4door_-30_23_-4_35_28_50_30_420:gt ['-30', '23', '-4', '35', '28']:pred [34.604435  23.         7.8420515 35.        28.       ]
hybrid_-50_15_-36_35_28_230_70_420:gt ['-50', '15', '-36', '35', '28']:pred [38.064365 16.81305  36.       35.       16.330826]
hybrid_-50_23_-22_48_28_140_30_420:gt ['-50', '23', '-22', '48', '28']:pred [50.      21.77801 22.      48.      28.     ]
hybrid_-30_45_-4_48_15_20_30_420:gt ['-30', '45', '-4', '48', '15']:pred [25.821424  45.         4.        48.         7.4412727]
hatchback_-30_23_-4_10_28_50_30_420:gt ['-30', '23', '-4', '10', '28']:pred [31.792599  23.         4.9846187 10.        28.       ]
hatchback_-17_45_-22_48_46_140_30_420:gt ['-17', '45', '-22', '48', '46']:pred [17.       40.657566 22.       37.595783 46.      ]
hybrid_-17_15_-22_35_46_140_70_420:gt ['-17', '15', '-22', '35', '46']:pred [23.821781 11.998718 22.       35.       41.44639 ]
sedan4door_-30_45_-22_35_15_20_30_420:gt ['-30', '45', '-22', '35', '15']:pred [26.464888 45.       20.908274 35.       19.969168]
sedan4door_-30_15_-36_10_15_50_70_420:gt ['-30', '15', '-36', '10', '15']:pred [17.777084 21.571182 37.749596 10.       11.628885]
suv_-50_23_-22_10_28_230_70_420:gt ['-50', '23', '-22', '10', '28']:pred [10.585837 31.84695  39.993465 22.11756   9.942074]
hybrid_-17_23_-4_10_46_50_30_420:gt ['-17', '23', '-4', '10', '46']:pred [10.736365 23.        4.       10.       27.572   ]
sedan2door_-30_23_-22_10_46_20_70_420:gt ['-30', '23', '-22', '10', '46']:pred [23.546665 24.68196  22.       10.       31.326456]
suv_-50_15_-4_48_15_230_70_420:gt ['-50', '15', '-4', '48', '15']:pred [17.499008 20.407467 33.2993   42.314983  4.720289]
sedan2door_-17_23_-4_10_28_230_70_420:gt ['-17', '23', '-4', '10', '28']:pred [ 2.3515356 24.669888   4.        10.        19.012217 ]
suv_-50_15_-36_48_15_230_70_420:gt ['-50', '15', '-36', '48', '15']:pred [17.133736  22.424395  41.843597  43.28649    4.4141483]
hatchback_-17_23_-22_35_46_50_30_420:gt ['-17', '23', '-22', '35', '46']:pred [20.696833 23.       44.34886  35.       46.      ]
hybrid_-17_23_-22_48_46_50_30_420:gt ['-17', '23', '-22', '48', '46']:pred [11.371591 23.       22.       48.       28.245472]
suv_-50_15_-4_35_28_140_30_420:gt ['-50', '15', '-4', '35', '28']:pred [50.       16.08789   4.       24.227444 28.      ]
sedan2door_-30_15_-36_35_28_230_30_420:gt ['-30', '15', '-36', '35', '28']:pred [30.        6.925083 36.       35.       25.72666 ]
sedan2door_-30_45_-22_10_28_20_70_420:gt ['-30', '45', '-22', '10', '28']:pred [30.423203 42.64972  22.       10.       14.955678]
sedan4door_-50_45_-22_48_28_50_70_420:gt ['-50', '45', '-22', '48', '28']:pred [33.65177  47.084114 27.288136 48.       13.397042]
suv_-50_45_-36_10_15_50_70_420:gt ['-50', '45', '-36', '10', '15']:pred [30.690054  42.969444  40.96156   10.         5.9015846]
sedan4door_-17_15_-36_35_46_140_30_420:gt ['-17', '15', '-36', '35', '46']:pred [17.       10.913002 36.       21.875662 46.      ]
sedan2door_-50_23_-36_10_15_230_30_420:gt ['-50', '23', '-36', '10', '15']:pred [50.       14.390033 36.       10.       15.4083  ]
