7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [ 9.269759   4.1059837  1.1479808 16.215416  44.8137   ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [ 5.327516 12.346171  1.727438 20.       38.709957]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_20_20_40_240_40_400:gt ['20', '40', '20', '20', '40']:pred [20.       13.725146 20.       10.38611  13.729561]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_40_20_40_80_80_400:gt ['20', '20', '40', '20', '40']:pred [ 4.7443733 27.83863    7.343384   1.6845349 15.33614  ]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [15.935694 14.309076 40.       14.728613 56.68301 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_40_40_40_80_40_400:gt ['40', '20', '40', '40', '40']:pred [10.608976 30.352781  6.416806 40.       32.715275]
2f7cf2c2d170e3c936f37029483b3e41_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [10.90051    6.2787905  2.1623318 16.924515  53.81416  ]
2f7cf2c2d170e3c936f37029483b3e41_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [ 6.0994625  8.342907   5.2589417 18.075556  41.512558 ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [ 8.373277  14.3933935 20.        33.04441   57.456383 ]
7dac31838b627748eb631ba05bd8dfe_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [40.         6.5303783 40.        40.         8.287647 ]
7c46bfff2f90f11044592db9be5db5c8_40_20_20_40_20_160_80_400:gt ['40', '20', '20', '40', '20']:pred [ 5.217792 13.891047  2.651733 38.244297 44.86735 ]
a387407d49e209fdeea60824a43a0b_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [40.       37.038895 40.       14.142797 15.732268]
a387407d49e209fdeea60824a43a0b_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [12.323867  37.65397   13.432662   6.9114895 54.300106 ]
c61ec8875746ab78227375499b768057_40_20_20_40_20_160_80_400:gt ['40', '20', '20', '40', '20']:pred [ 4.948853 21.669325 20.       40.       37.249374]
86c8a3137a716d70e742b0b5e87bec54_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [15.847227   4.552879   2.8044605 22.394958  44.1858   ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [20.       26.416914 20.       16.315813 55.11837 ]
216d910f71942f205df3c6413d40ccb2_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [ 8.337508  13.722613   2.4431114 12.609291  44.599648 ]
ffe0a5b165461eb66a2345809e2bb169_20_20_20_40_20_240_80_400:gt ['20', '20', '20', '40', '20']:pred [ 1.1950103   7.758158    0.44420567  1.5413656  18.126764  ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [10.69307   22.395193   2.7890368 16.487484  46.499073 ]
a88d69e53a01aab9ff1370452e3a0154_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [8.427404  7.2401686 8.88695   9.458595  6.693323 ]
9c827e532de4967285089a13cc567dbd_20_20_20_40_20_160_80_400:gt ['20', '20', '20', '40', '20']:pred [ 5.4992466 52.102     26.795387  12.064181  38.969326 ]
425ba801e904cb50f3aaed7e86215c7b_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [ 8.085358  6.295171 20.       20.       11.074237]
b9786e1b059a1712ca92a4cdad802b45_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [ 7.1421404 15.5507     9.768808  40.        34.832733 ]
825fb860d71c78a477c771b4b7eed82c_20_20_40_20_20_160_40_400:gt ['20', '20', '40', '20', '20']:pred [ 6.8519588 14.33113    4.4534707 16.61898   52.57093  ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [ 6.2052903 48.845707   9.112941  44.040443  36.9235   ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [22.19961   11.8435545 10.324264  11.855735  40.       ]
9d2b7938d426633b28044fe9244db50a_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.          0.05319083 20.         20.          5.2841325 ]
b9786e1b059a1712ca92a4cdad802b45_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [21.553854   6.1020703 20.        40.        20.       ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [ 9.595287   7.4305186  1.109506  20.22354   38.798416 ]
a88d69e53a01aab9ff1370452e3a0154_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [ 5.6176534  6.883518  11.673265  15.936427  11.458155 ]
7dac31838b627748eb631ba05bd8dfe_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [ 5.727564 24.88484  40.       40.        4.840878]
5ec3322293a39816ad7e7cea4034d226_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [35.62327    5.0787044 40.        20.        40.       ]
425ba801e904cb50f3aaed7e86215c7b_20_20_40_20_20_240_80_400:gt ['20', '20', '40', '20', '20']:pred [ 1.7791535  10.833943    8.228458    0.14352284 34.713203  ]
4ac021653126a29e98618a1ba17f086b_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [ 6.3455606   3.5691438   0.87023324  6.4543357  54.548622  ]
70e27da90dec2de49604bf8c981ad1eb_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [11.036575  8.094468 12.518314 20.       19.743961]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [ 3.171337  43.088737  26.339926   1.8273889 48.2476   ]
b9786e1b059a1712ca92a4cdad802b45_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [15.768963 12.428663 40.        8.54453  37.343437]
216d910f71942f205df3c6413d40ccb2_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [10.412958 55.024055 10.265464 20.       17.474457]
2f7cf2c2d170e3c936f37029483b3e41_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20.       43.323185 20.       15.330677 58.841724]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [ 5.353332   7.5666037  3.4920084  5.140488  17.585022 ]
cde88b5900e8dfba725a7749daae1afa_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [ 6.3638587 14.734368  20.        40.        50.598988 ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [ 9.208456  6.493656 40.       40.       51.51878 ]
d72ffa185738bccd10b75223b5be6dbb_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [ 1.6250057 22.298286  20.        20.         9.971271 ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [ 5.062266   9.982181   3.3303907  7.699295  11.054833 ]
a88d69e53a01aab9ff1370452e3a0154_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.         5.737071  20.         8.850189   2.0479965]
1790131f5f74b1ed973aff268eb6b00c_40_40_20_40_20_160_40_400:gt ['40', '40', '20', '40', '20']:pred [15.865672 27.220917  4.795016 20.459923 25.963377]
a387407d49e209fdeea60824a43a0b_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [20.       40.085533 20.        8.891484 57.251167]
d0cf2f187acda5736be7348aa770e4ca_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [10.130071 40.460693 10.33859  40.       41.591576]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [ 8.141773   8.145257  40.        20.         2.5306094]
12f2905dc029f59a2479fbc7da5ed22b_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [ 3.066545 10.943959 20.       20.       24.951496]
1a64bf1e658652ddb11647ffa4306609_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [ 5.5969567 18.10893    3.7941093 22.068037  14.799672 ]
86c8a3137a716d70e742b0b5e87bec54_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [10.813927   6.7372384 40.        12.163218  27.080269 ]
a387407d49e209fdeea60824a43a0b_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [27.59928   26.555746   7.1828136 38.76904   12.414064 ]
12f2905dc029f59a2479fbc7da5ed22b_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [ 5.7583575 19.530434  40.        40.        24.896715 ]
d72ffa185738bccd10b75223b5be6dbb_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [40.         5.8488235 40.        40.         5.899926 ]
825fb860d71c78a477c771b4b7eed82c_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [ 5.150414  3.295827 20.       40.       16.212315]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_40_20_40_80_80_400:gt ['40', '40', '40', '20', '40']:pred [10.989809   8.424296   1.4064127 21.707184  37.748886 ]
12f2905dc029f59a2479fbc7da5ed22b_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [ 4.072977  7.523286 40.       40.       33.440865]
70e27da90dec2de49604bf8c981ad1eb_20_40_20_20_40_80_40_400:gt ['20', '40', '20', '20', '40']:pred [17.989975   6.095276  10.0249815 20.        17.211714 ]
a387407d49e209fdeea60824a43a0b_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [16.225855 46.65609  10.508324 14.037394 31.46548 ]
70e27da90dec2de49604bf8c981ad1eb_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [ 4.8088765  8.267449  10.327662   4.1305304  4.8616643]
4f17af1ca7ae689d409b2c4484d833cc_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [ 8.336081  44.024113   2.7894647  1.9478407 43.665833 ]
1790131f5f74b1ed973aff268eb6b00c_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [ 2.1518657  10.4149685   0.71407115 20.          7.1501784 ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [ 8.714138 16.78962  22.198792 20.       22.332638]
5e87b04efd58cc8922412d2a728de1d5_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [26.498045  14.116776   7.3482056 40.        36.428936 ]
4ac021653126a29e98618a1ba17f086b_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [ 9.239309  14.85273    6.2808533  9.23286    5.539238 ]
9d2b7938d426633b28044fe9244db50a_40_40_40_40_40_240_80_400:gt ['40', '40', '40', '40', '40']:pred [ 1.4334786   0.14713156 40.         40.          4.9061284 ]
216d910f71942f205df3c6413d40ccb2_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [12.578492  12.728402   2.2473114 35.351654  44.4624   ]
d72ffa185738bccd10b75223b5be6dbb_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [10.305048  7.709088 20.       40.       15.349912]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [11.916754   3.7125225  4.5490355 15.189351  28.542545 ]
86c8a3137a716d70e742b0b5e87bec54_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [32.910133 13.90256  10.172836 40.       20.      ]
216d910f71942f205df3c6413d40ccb2_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [ 9.512264  11.519555   1.4384801 31.774872  42.98046  ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [20.        17.16751   23.567081   3.2677124 38.066902 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [25.575788   5.762431   1.7297261 29.992899  43.99118  ]
4458ed2a746e61a3b11647ffa4306609_40_40_20_20_40_240_80_400:gt ['40', '40', '20', '20', '40']:pred [12.5710125 24.975048   5.9370437 13.343151  17.33976  ]
4ac021653126a29e98618a1ba17f086b_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [17.197535   2.5237346  0.8313891 10.16074   54.037506 ]
a88d69e53a01aab9ff1370452e3a0154_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [15.711798   3.4892986  9.559037  20.        18.585493 ]
70e27da90dec2de49604bf8c981ad1eb_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [5.1801376 4.2833767 9.351416  2.303077  5.9272447]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_20_40_20_80_40_400:gt ['20', '20', '20', '40', '20']:pred [18.364315 14.052638 17.17274  40.       20.      ]
4ac021653126a29e98618a1ba17f086b_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [11.05748  16.471855 20.       40.       59.108654]
923007b377bb1cab473f10e6caaeca56_20_20_20_20_20_80_40_400:gt ['20', '20', '20', '20', '20']:pred [ 4.226856 16.95554  24.876184 20.       20.      ]
1a64bf1e658652ddb11647ffa4306609_20_20_40_20_20_240_40_400:gt ['20', '20', '40', '20', '20']:pred [20.       10.626839 40.       22.893873 10.873295]
7dac31838b627748eb631ba05bd8dfe_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.        8.782071 40.       40.        8.140005]
9d2b7938d426633b28044fe9244db50a_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [ 2.049218   0.133517  40.        40.         3.2031152]
c61ec8875746ab78227375499b768057_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [20.       21.095768 40.       15.355862  7.868032]
b9786e1b059a1712ca92a4cdad802b45_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [ 6.908695  10.162874  20.        40.         4.4432616]
7dac31838b627748eb631ba05bd8dfe_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [20.         7.7532606 20.        40.        10.554277 ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [ 8.031002   6.4382615 40.        40.        14.624732 ]
425ba801e904cb50f3aaed7e86215c7b_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [ 2.7214584   2.8130116  40.          0.13523598 31.021893  ]
a88d69e53a01aab9ff1370452e3a0154_40_20_40_20_40_160_40_400:gt ['40', '20', '40', '20', '40']:pred [40.        14.171385  40.        11.887788   6.8124156]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [13.285231  4.218966  5.33511  12.019689 28.755758]
c4941d6a2266813c3a2b1a2e5e169910_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [ 4.3766117  6.4435167  2.1171212 12.81532   40.9741   ]
c61ec8875746ab78227375499b768057_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [21.234144   6.6273723  3.7392604 40.        10.86388  ]
7dac31838b627748eb631ba05bd8dfe_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [40.         6.858371  40.        16.733358   2.9679286]
6265f0745d3f40546bcd32c43682e841_40_40_20_20_40_80_40_400:gt ['40', '40', '20', '20', '40']:pred [ 9.441975   3.6110063 20.        20.        10.504336 ]
fabcb04fc015f822ca8bf2993ca245b_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [30.84157  48.938377 31.02303  31.249985 54.59367 ]
fabcb04fc015f822ca8bf2993ca245b_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [20.718178  26.613966   4.3942423 20.062918  37.322212 ]
1a64bf1e658652ddb11647ffa4306609_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [14.240797 28.32724  11.273169 20.       20.      ]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [ 3.9292736  2.5856473 40.        20.        29.05618  ]
ffe0a5b165461eb66a2345809e2bb169_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [ 3.686639  28.915565   2.9506087  4.377136  34.46929  ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [20.       25.814411 40.       11.907469 33.80377 ]
1790131f5f74b1ed973aff268eb6b00c_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [ 4.868364  12.285898   1.6727039 40.        20.       ]
cde88b5900e8dfba725a7749daae1afa_20_20_40_20_20_240_40_400:gt ['20', '20', '40', '20', '20']:pred [20.       13.521688 40.       18.979942  9.157513]
1a64bf1e658652ddb11647ffa4306609_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [20.539446 16.142586 14.635667 40.       20.      ]
9d2b7938d426633b28044fe9244db50a_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [40.          0.10305142 20.         20.          3.1627104 ]
86c8a3137a716d70e742b0b5e87bec54_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [12.422275   6.055439   4.9854527  6.2475667 37.29699  ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [14.605615   5.9654098  1.5641296 24.487621  39.81293  ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [ 5.7597575 41.1545    17.269169   8.279042  19.704319 ]
425ba801e904cb50f3aaed7e86215c7b_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [ 2.546973    4.091567    2.7319362   0.36799487 26.583681  ]
4458ed2a746e61a3b11647ffa4306609_40_40_20_40_20_240_80_400:gt ['40', '40', '20', '40', '20']:pred [12.687705 24.031807  5.960737 13.672506 17.297216]
2f7cf2c2d170e3c936f37029483b3e41_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [10.318007  9.151966  5.506157 16.048172 42.136765]
4ac021653126a29e98618a1ba17f086b_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [ 2.9129825 34.665688  20.         0.7885536 11.870478 ]
4458ed2a746e61a3b11647ffa4306609_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [12.932083  18.812057   5.1571937 24.190205  39.156483 ]
4458ed2a746e61a3b11647ffa4306609_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [ 8.780398  10.740316   5.0654206 14.914216  40.91901  ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [12.522242  46.906345  16.964506   4.2748322 51.045647 ]
6265f0745d3f40546bcd32c43682e841_40_20_20_40_20_160_40_400:gt ['40', '20', '20', '40', '20']:pred [40.        8.807451 20.       24.366117  8.871558]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [ 5.373126   7.6919346  3.5105908  4.8105173 17.129787 ]
b9786e1b059a1712ca92a4cdad802b45_40_40_20_40_20_160_40_400:gt ['40', '40', '20', '40', '20']:pred [ 6.5159445 15.890531   9.561988  40.        21.73206  ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_40_40_20_80_40_400:gt ['40', '20', '40', '40', '20']:pred [ 7.79306  10.443622 40.       40.       20.      ]
216d910f71942f205df3c6413d40ccb2_40_20_20_20_40_160_40_400:gt ['40', '20', '20', '20', '40']:pred [ 7.296914  10.91482    2.0612118 27.726555  44.24169  ]
fabcb04fc015f822ca8bf2993ca245b_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [14.109198  50.163055   6.1184025 49.42437   58.015057 ]
4458ed2a746e61a3b11647ffa4306609_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [ 8.486441  10.908183   4.9940257 14.455919  40.917572 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [ 3.9550688 39.786293  13.339956   3.2709463 36.871876 ]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [ 3.0156116  5.9779243  8.1944275  7.2603464 54.185436 ]
1a64bf1e658652ddb11647ffa4306609_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [ 5.456441 20.928196  3.160372 16.55699  24.714628]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [ 3.224517   2.8100226  8.2994795  1.5205315 54.347187 ]
216d910f71942f205df3c6413d40ccb2_40_20_20_20_20_80_80_400:gt ['40', '20', '20', '20', '20']:pred [ 9.68204   11.449188   1.4813087 31.829817  42.808235 ]
a387407d49e209fdeea60824a43a0b_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [11.878031  22.443203   6.154023   5.351774   1.3818817]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_20_40_20_160_80_400:gt ['20', '20', '20', '40', '20']:pred [ 7.8452783 42.6436    33.883007   1.8430517 30.905392 ]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_20_20_20_80_80_400:gt ['20', '20', '20', '20', '20']:pred [20.098015 46.626633  3.415255 10.421309  9.466928]
c61ec8875746ab78227375499b768057_40_40_20_40_40_160_80_400:gt ['40', '40', '20', '40', '40']:pred [ 8.389053 29.494453 20.       40.       43.781216]
12f2905dc029f59a2479fbc7da5ed22b_40_20_20_20_40_160_40_400:gt ['40', '20', '20', '20', '40']:pred [40.       17.562357 20.       20.       52.243034]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_20_40_80_80_400:gt ['40', '40', '40', '20', '40']:pred [23.450687  13.4878435 13.931168  12.056891  40.       ]
923007b377bb1cab473f10e6caaeca56_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [40.       13.762503 40.       26.050558 11.661274]
a88d69e53a01aab9ff1370452e3a0154_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [19.178585  4.090873 10.762766 20.       14.939316]
1a64bf1e658652ddb11647ffa4306609_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [ 4.149033 17.94007  12.307068 15.382245 35.977947]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [23.20759   15.76939    2.2255154 40.        51.20603  ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [ 6.8357086 50.981453  20.782675  20.        40.       ]
425ba801e904cb50f3aaed7e86215c7b_40_40_20_40_20_160_80_400:gt ['40', '40', '20', '40', '20']:pred [ 2.8001912   3.3750343  20.          0.12969273 28.891127  ]
5e87b04efd58cc8922412d2a728de1d5_20_20_20_20_20_80_40_400:gt ['20', '20', '20', '20', '20']:pred [ 2.3229544 14.830746  17.657156  20.        10.85294  ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [ 4.532048 55.24688  20.216087 20.       15.198277]
d0cf2f187acda5736be7348aa770e4ca_40_40_20_40_40_160_40_400:gt ['40', '40', '20', '40', '40']:pred [12.779152 44.437843  5.192663 11.832621 55.6261  ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [12.558939  59.479393   4.4755282 20.        57.32615  ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [10.072406  2.074321  2.290953 11.872052 45.693527]
9c827e532de4967285089a13cc567dbd_40_40_40_20_20_80_40_400:gt ['40', '40', '40', '20', '20']:pred [27.815008 46.154167 15.544304 20.       38.34651 ]
d72ffa185738bccd10b75223b5be6dbb_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [20.         3.8066103 40.        20.         7.861729 ]
c61ec8875746ab78227375499b768057_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [19.358511 20.514462 20.       20.       12.490287]
9d2b7938d426633b28044fe9244db50a_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [ 1.8094794  0.1394777 40.        20.         3.056647 ]
c4941d6a2266813c3a2b1a2e5e169910_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [ 4.2612934  6.2462935  2.1156354 12.539936  41.1503   ]
7dac31838b627748eb631ba05bd8dfe_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [ 5.730516 25.04749  20.       40.        4.991823]
c61ec8875746ab78227375499b768057_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [ 5.044441 21.906116 40.       20.       36.51598 ]
1790131f5f74b1ed973aff268eb6b00c_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [17.187195  27.614302   4.6059494 19.610115  25.865147 ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_40_20_20_40_80_40_400:gt ['20', '40', '20', '20', '40']:pred [ 9.325658   7.5586286 20.        20.        40.       ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [40.       14.375847 40.       20.       12.191065]
70e27da90dec2de49604bf8c981ad1eb_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [ 3.8192985  3.6033964  6.2241244  1.104295  34.996128 ]
86c8a3137a716d70e742b0b5e87bec54_40_40_40_20_40_240_80_400:gt ['40', '40', '40', '20', '40']:pred [13.210731 12.701814  4.896486  8.085661 45.780994]
4458ed2a746e61a3b11647ffa4306609_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [10.237034 19.569984 20.       11.062667 34.94455 ]
70e27da90dec2de49604bf8c981ad1eb_40_40_20_40_40_160_40_400:gt ['40', '40', '20', '40', '40']:pred [ 6.4459815 14.319589   9.369565  40.        45.95344  ]
ffe0a5b165461eb66a2345809e2bb169_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [ 3.6669266 28.89796    2.7300832  3.793923  33.293987 ]
5e87b04efd58cc8922412d2a728de1d5_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [16.444424  12.678751   5.7639227 24.827465  16.97991  ]
