suv_-30_15_-4_10_15_140_30_420:gt ['-30', '15', '-4', '10', '15']:pred [30.        10.4353075  4.         8.330314  15.       ]
sedan4door_-50_15_-36_10_15_20_30_420:gt ['-50', '15', '-36', '10', '15']:pred [33.010468 15.       35.800514 10.       19.236645]
suv_-30_45_-36_48_46_230_70_420:gt ['-30', '45', '-36', '48', '46']:pred [38.60395  35.450363 41.155922 40.86538  37.934364]
hybrid_-30_23_-22_10_15_20_70_420:gt ['-30', '23', '-22', '10', '15']:pred [25.177265 20.308477 22.       10.       21.801916]
sedan4door_-50_23_-4_48_46_230_70_420:gt ['-50', '23', '-4', '48', '46']:pred [41.826717 21.148987 10.381971 36.44069  36.576298]
suv_-17_23_-4_48_46_20_70_420:gt ['-17', '23', '-4', '48', '46']:pred [27.997097 28.613207 23.96649  48.       39.540794]
hatchback_-17_45_-36_35_28_230_30_420:gt ['-17', '45', '-36', '35', '28']:pred [17.       37.287857 36.       31.100365 26.613232]
hatchback_-30_45_-36_10_15_140_30_420:gt ['-30', '45', '-36', '10', '15']:pred [30.       21.224018 36.       16.752245 15.      ]
hatchback_-50_15_-22_10_15_20_30_420:gt ['-50', '15', '-22', '10', '15']:pred [32.880737  15.        21.44618   10.         1.2961818]
hatchback_-17_15_-4_35_15_230_30_420:gt ['-17', '15', '-4', '35', '15']:pred [17.        8.765059  4.       23.787977 19.108658]
suv_-50_23_-36_10_46_140_70_420:gt ['-50', '23', '-36', '10', '46']:pred [31.580297 20.05416  36.       17.868412 37.6689  ]
suv_-17_45_-22_48_28_230_30_420:gt ['-17', '45', '-22', '48', '28']:pred [17.       31.191917 22.       37.808655 28.60939 ]
hatchback_-50_15_-36_35_15_50_30_420:gt ['-50', '15', '-36', '35', '15']:pred [21.463264 15.       25.348017 35.       15.      ]
sedan2door_-17_15_-36_48_46_50_30_420:gt ['-17', '15', '-36', '48', '46']:pred [26.67974 15.      36.      48.      46.     ]
sedan4door_-50_15_-36_10_28_20_70_420:gt ['-50', '15', '-36', '10', '28']:pred [35.80519  21.038532 27.322668 10.       23.741837]
sedan4door_-17_23_-36_10_28_140_70_420:gt ['-17', '23', '-36', '10', '28']:pred [25.55363  13.836787 36.       14.81727  27.702059]
hybrid_-17_15_-4_35_46_140_70_420:gt ['-17', '15', '-4', '35', '46']:pred [22.467913 19.982632  4.       35.       36.859703]
suv_-17_23_-36_10_15_20_70_420:gt ['-17', '23', '-36', '10', '15']:pred [24.71207  25.14809  37.625885 10.       16.554943]
sedan4door_-17_45_-4_35_15_50_70_420:gt ['-17', '45', '-4', '35', '15']:pred [31.806032  29.92417   20.577715  35.         3.2579112]
sedan2door_-50_45_-36_10_28_230_70_420:gt ['-50', '45', '-36', '10', '28']:pred [39.418434 39.87882  36.       10.       27.40454 ]
hatchback_-17_15_-36_10_46_140_70_420:gt ['-17', '15', '-36', '10', '46']:pred [20.744448 20.409473 36.       18.155897 32.336502]
suv_-50_23_-4_48_46_230_30_420:gt ['-50', '23', '-4', '48', '46']:pred [50.       11.960298  4.       43.195164 29.675013]
sedan2door_-50_45_-4_48_15_230_30_420:gt ['-50', '45', '-4', '48', '15']:pred [50.       46.5797    4.       48.       20.313465]
hybrid_-17_23_-36_35_28_230_30_420:gt ['-17', '23', '-36', '35', '28']:pred [17.       18.218468 36.       35.       34.14353 ]
suv_-50_45_-4_10_46_20_70_420:gt ['-50', '45', '-4', '10', '46']:pred [38.93396  34.55923  12.051074 10.       34.301125]
sedan2door_-30_23_-36_48_28_50_70_420:gt ['-30', '23', '-36', '48', '28']:pred [33.64471  18.423927 36.       48.       27.627539]
sedan2door_-30_23_-4_35_15_230_70_420:gt ['-30', '23', '-4', '35', '15']:pred [34.46224   24.071177   4.        35.         4.9039702]
hatchback_-30_45_-22_10_28_140_30_420:gt ['-30', '45', '-22', '10', '28']:pred [30.       22.089304 22.       17.058878 28.      ]
sedan2door_-30_45_-22_10_15_50_30_420:gt ['-30', '45', '-22', '10', '15']:pred [22.997194 45.       22.       10.       15.      ]
suv_-50_45_-22_48_46_230_30_420:gt ['-50', '45', '-22', '48', '46']:pred [50.       21.31897  22.       42.551548 31.414236]
sedan4door_-50_45_-22_10_28_230_30_420:gt ['-50', '45', '-22', '10', '28']:pred [50.       37.53942  22.       11.288043 21.931349]
sedan4door_-50_15_-4_35_15_20_70_420:gt ['-50', '15', '-4', '35', '15']:pred [33.811054 25.443527 11.048082 35.       10.301997]
hybrid_-50_23_-36_10_15_50_70_420:gt ['-50', '23', '-36', '10', '15']:pred [33.386875 25.917547 36.       10.       19.550938]
sedan2door_-30_23_-36_48_15_230_30_420:gt ['-30', '23', '-36', '48', '15']:pred [30.       19.237268 36.       48.       25.16663 ]
hatchback_-17_15_-4_48_15_50_30_420:gt ['-17', '15', '-4', '48', '15']:pred [18.345608 15.       13.502914 48.       15.      ]
sedan4door_-50_15_-4_10_15_140_30_420:gt ['-50', '15', '-4', '10', '15']:pred [50.       25.527502  4.       10.629806 15.      ]
sedan2door_-17_15_-22_48_46_230_70_420:gt ['-17', '15', '-22', '48', '46']:pred [26.310982 21.998472 22.       48.       39.11885 ]
hybrid_-30_15_-4_35_46_50_70_420:gt ['-30', '15', '-4', '35', '46']:pred [31.507114 17.71394   4.       35.       28.519474]
hatchback_-30_45_-36_48_28_230_30_420:gt ['-30', '45', '-36', '48', '28']:pred [30.       36.03149  36.       34.60266  26.375446]
suv_-17_15_-22_35_46_20_70_420:gt ['-17', '15', '-22', '35', '46']:pred [23.72229  23.906279 29.13652  35.       41.011684]
hatchback_-30_15_-22_35_46_230_30_420:gt ['-30', '15', '-22', '35', '46']:pred [30.         6.3344297 22.        27.291618  33.525166 ]
hybrid_-30_45_-36_10_46_20_30_420:gt ['-30', '45', '-36', '10', '46']:pred [33.786766 45.       36.       10.       34.722553]
suv_-17_15_-36_10_28_20_30_420:gt ['-17', '15', '-36', '10', '28']:pred [29.37059  15.       35.7715   10.       25.508726]
hatchback_-50_23_-22_48_28_230_70_420:gt ['-50', '23', '-22', '48', '28']:pred [39.80924  22.480314 19.525711 32.6504   25.87753 ]
hybrid_-30_15_-36_10_15_50_70_420:gt ['-30', '15', '-36', '10', '15']:pred [32.191486 18.643202 36.       10.       18.820322]
sedan2door_-17_15_-36_10_15_50_70_420:gt ['-17', '15', '-36', '10', '15']:pred [31.020798 17.720701 36.       10.       23.854467]
sedan2door_-50_45_-4_35_15_20_70_420:gt ['-50', '45', '-4', '35', '15']:pred [37.002037 27.783245  4.       35.       23.786617]
hatchback_-50_23_-36_10_28_230_70_420:gt ['-50', '23', '-36', '10', '28']:pred [41.223583 24.17943  39.61718  15.518509 27.08649 ]
sedan2door_-50_23_-22_48_28_50_30_420:gt ['-50', '23', '-22', '48', '28']:pred [29.539703 23.       22.       48.       28.      ]
sedan4door_-30_23_-22_48_46_20_30_420:gt ['-30', '23', '-22', '48', '46']:pred [28.374868 23.       23.722565 48.       25.481344]
suv_-30_23_-4_48_46_230_30_420:gt ['-30', '23', '-4', '48', '46']:pred [30.       11.73134   4.       41.618214 30.791273]
suv_-50_45_-22_35_46_230_70_420:gt ['-50', '45', '-22', '35', '46']:pred [41.572506 36.83863  20.445053 32.42334  36.957417]
sedan2door_-17_23_-22_10_46_20_30_420:gt ['-17', '23', '-22', '10', '46']:pred [17.82289  23.       22.       10.       28.134314]
sedan2door_-50_45_-36_48_15_140_70_420:gt ['-50', '45', '-36', '48', '15']:pred [37.52586 31.99566 36.      48.      21.28147]
sedan4door_-50_45_-4_48_28_140_70_420:gt ['-50', '45', '-4', '48', '28']:pred [36.216156 29.870522  4.       39.243534 24.60036 ]
hatchback_-17_15_-22_35_15_20_70_420:gt ['-17', '15', '-22', '35', '15']:pred [11.707601 16.154873 19.181087 35.       29.764517]
sedan4door_-17_45_-22_48_28_230_30_420:gt ['-17', '45', '-22', '48', '28']:pred [17.       39.829052 22.       30.6078   24.93271 ]
hatchback_-30_15_-22_10_15_140_70_420:gt ['-30', '15', '-22', '10', '15']:pred [24.144821 19.597914 22.       19.55511  11.670327]
sedan2door_-17_15_-22_48_46_140_30_420:gt ['-17', '15', '-22', '48', '46']:pred [17.       11.332211 22.       48.       46.      ]
sedan2door_-50_45_-22_10_46_20_70_420:gt ['-50', '45', '-22', '10', '46']:pred [34.210434 20.780046 22.       10.       33.72509 ]
sedan4door_-17_23_-22_48_15_50_70_420:gt ['-17', '23', '-22', '48', '15']:pred [30.837315  21.68372   28.343342  48.         1.6353548]
suv_-17_15_-4_48_15_20_70_420:gt ['-17', '15', '-4', '48', '15']:pred [26.603598 24.686152 24.10124  48.       17.69595 ]
sedan2door_-17_23_-4_48_28_140_70_420:gt ['-17', '23', '-4', '48', '28']:pred [30.023993 23.567204  4.       48.       27.922972]
sedan4door_-50_23_-4_48_15_140_70_420:gt ['-50', '23', '-4', '48', '15']:pred [35.131283 16.902678  4.       31.567158 12.806211]
sedan4door_-50_15_-36_35_46_50_30_420:gt ['-50', '15', '-36', '35', '46']:pred [24.064415 15.       41.393642 35.       46.      ]
sedan4door_-17_23_-36_35_46_50_70_420:gt ['-17', '23', '-36', '35', '46']:pred [30.95472  28.720234 32.914623 35.       11.034816]
sedan2door_-50_15_-4_10_28_20_70_420:gt ['-50', '15', '-4', '10', '28']:pred [30.457176 10.798252  4.       10.       29.017242]
suv_-17_45_-22_48_46_50_70_420:gt ['-17', '45', '-22', '48', '46']:pred [27.899193 22.888649 21.870584 48.       21.59751 ]
hatchback_-30_45_-22_35_15_50_70_420:gt ['-30', '45', '-22', '35', '15']:pred [30.66977  29.1862   26.48272  35.       23.800251]
hatchback_-50_15_-4_35_28_230_70_420:gt ['-50', '15', '-4', '35', '28']:pred [39.230293 23.788958 10.196384 18.551836 26.24814 ]
sedan2door_-17_15_-36_35_15_20_30_420:gt ['-17', '15', '-36', '35', '15']:pred [16.986963 15.       36.       35.       26.80122 ]
sedan4door_-30_15_-4_48_28_230_30_420:gt ['-30', '15', '-4', '48', '28']:pred [30.       16.40446   4.       30.097115 35.79423 ]
suv_-17_15_-22_10_15_20_70_420:gt ['-17', '15', '-22', '10', '15']:pred [23.139349 18.172281 27.352694 10.       16.472563]
hatchback_-50_23_-22_10_15_140_70_420:gt ['-50', '23', '-22', '10', '15']:pred [25.23194  21.752504 22.       19.258268 15.776222]
hatchback_-17_45_-22_48_15_50_70_420:gt ['-17', '45', '-22', '48', '15']:pred [28.542032 22.604288 18.930433 48.       25.71383 ]
sedan4door_-17_45_-22_10_15_140_30_420:gt ['-17', '45', '-22', '10', '15']:pred [17.       36.142628 22.       16.578636 15.      ]
sedan2door_-50_45_-22_10_46_230_30_420:gt ['-50', '45', '-22', '10', '46']:pred [50.       46.963524 22.       10.       28.800743]
hatchback_-50_15_-36_35_46_20_70_420:gt ['-50', '15', '-36', '35', '46']:pred [31.84458  16.30542  37.405174 35.       38.23072 ]
sedan4door_-30_15_-22_48_28_50_70_420:gt ['-30', '15', '-22', '48', '28']:pred [30.551168  25.100782  28.416746  48.         3.0196047]
hatchback_-50_15_-36_35_28_20_30_420:gt ['-50', '15', '-36', '35', '28']:pred [36.808945 15.       36.93152  35.       17.83566 ]
hybrid_-30_45_-22_48_46_140_70_420:gt ['-30', '45', '-22', '48', '46']:pred [31.812609 35.453236 22.       48.       39.161163]
sedan4door_-50_23_-4_35_15_230_70_420:gt ['-50', '23', '-4', '35', '15']:pred [39.33291   23.679592  10.096675  22.358648   7.8598013]
sedan4door_-17_15_-22_48_15_230_30_420:gt ['-17', '15', '-22', '48', '15']:pred [17.       18.124533 22.       29.240126 23.751642]
suv_-30_23_-36_48_46_20_30_420:gt ['-30', '23', '-36', '48', '46']:pred [35.05729  23.       39.892612 48.       21.513401]
hatchback_-30_23_-22_48_15_50_30_420:gt ['-30', '23', '-22', '48', '15']:pred [21.858578 23.       15.917661 48.       15.      ]
sedan2door_-17_45_-22_10_46_50_30_420:gt ['-17', '45', '-22', '10', '46']:pred [24.798908 45.       22.       10.       46.      ]
hybrid_-50_45_-4_48_46_20_30_420:gt ['-50', '45', '-4', '48', '46']:pred [39.14011  45.        4.       48.       34.726295]
sedan2door_-30_45_-36_35_46_20_70_420:gt ['-30', '45', '-36', '35', '46']:pred [31.130894 17.352463 36.       35.       33.518288]
hatchback_-17_15_-36_10_46_20_30_420:gt ['-17', '15', '-36', '10', '46']:pred [26.585056 15.       17.171915 10.       25.218288]
hybrid_-17_15_-4_10_15_50_30_420:gt ['-17', '15', '-4', '10', '15']:pred [28.863552 15.        4.       10.       15.      ]
sedan4door_-50_15_-4_48_46_20_30_420:gt ['-50', '15', '-4', '48', '46']:pred [34.655533 15.       11.062715 48.       25.837294]
hatchback_-50_45_-22_48_46_50_70_420:gt ['-50', '45', '-22', '48', '46']:pred [34.878155 27.984259 31.858595 48.       23.802816]
suv_-17_15_-22_48_15_140_70_420:gt ['-17', '15', '-22', '48', '15']:pred [32.13112  15.753675 22.       33.190414 23.598984]
hybrid_-30_23_-36_35_28_20_70_420:gt ['-30', '23', '-36', '35', '28']:pred [24.626118 20.399977 36.       35.       24.496864]
hybrid_-17_23_-22_10_46_50_30_420:gt ['-17', '23', '-22', '10', '46']:pred [26.44069 23.      22.      10.      46.     ]
hybrid_-50_45_-36_10_46_50_70_420:gt ['-50', '45', '-36', '10', '46']:pred [34.62605  30.784014 36.       10.       23.399021]
hybrid_-30_23_-36_48_46_20_30_420:gt ['-30', '23', '-36', '48', '46']:pred [37.34212 23.      36.      48.      27.73005]
hybrid_-50_15_-36_48_28_20_30_420:gt ['-50', '15', '-36', '48', '28']:pred [38.162354 15.       36.       48.       28.246164]
hybrid_-17_45_-36_10_46_20_30_420:gt ['-17', '45', '-36', '10', '46']:pred [22.467264 45.       36.       10.       29.988178]
sedan4door_-17_15_-22_10_46_50_70_420:gt ['-17', '15', '-22', '10', '46']:pred [26.130444 19.1476   31.453833 10.       12.321718]
hatchback_-30_23_-22_48_46_140_30_420:gt ['-30', '23', '-22', '48', '46']:pred [30.       13.630556 22.       27.582489 46.      ]
sedan2door_-50_23_-22_48_46_20_70_420:gt ['-50', '23', '-22', '48', '46']:pred [31.791208 15.683965 22.       48.       32.167145]
hybrid_-30_15_-22_48_15_20_30_420:gt ['-30', '15', '-22', '48', '15']:pred [27.183933 15.       22.       48.       23.486174]
hatchback_-30_15_-4_48_28_20_30_420:gt ['-30', '15', '-4', '48', '28']:pred [31.66616  15.       19.643913 48.       23.873783]
sedan4door_-50_45_-36_35_46_50_70_420:gt ['-50', '45', '-36', '35', '46']:pred [38.853024 35.44339  40.097534 35.        5.706025]
suv_-30_15_-36_48_15_140_30_420:gt ['-30', '15', '-36', '48', '15']:pred [30.       15.293404 36.       29.299015 15.      ]
suv_-17_23_-22_10_28_20_70_420:gt ['-17', '23', '-22', '10', '28']:pred [24.611866 22.703243 29.303713 10.       30.481585]
hatchback_-30_45_-4_10_15_230_30_420:gt ['-30', '45', '-4', '10', '15']:pred [30.       34.62085   4.       11.949388  9.737584]
hybrid_-30_45_-4_48_28_50_30_420:gt ['-30', '45', '-4', '48', '28']:pred [25.279343 45.        4.       48.       28.      ]
suv_-50_45_-4_10_46_20_30_420:gt ['-50', '45', '-4', '10', '46']:pred [34.26738  45.       20.138779 10.       27.604189]
suv_-30_15_-4_10_46_20_30_420:gt ['-30', '15', '-4', '10', '46']:pred [32.829742 15.       15.422886 10.       25.910679]
hatchback_-50_23_-36_48_15_20_30_420:gt ['-50', '23', '-36', '48', '15']:pred [33.37298   23.        37.947212  48.         3.0446908]
hybrid_-50_15_-36_10_46_50_30_420:gt ['-50', '15', '-36', '10', '46']:pred [25.793713 15.       36.       10.       46.      ]
hybrid_-17_45_-4_35_28_50_30_420:gt ['-17', '45', '-4', '35', '28']:pred [27.331875 45.        4.       35.       28.      ]
sedan2door_-30_45_-36_10_15_230_70_420:gt ['-30', '45', '-36', '10', '15']:pred [35.955486 37.81007  36.       10.        4.316195]
hybrid_-50_45_-36_48_15_20_30_420:gt ['-50', '45', '-36', '48', '15']:pred [32.44073  45.       36.       48.       30.288116]
sedan4door_-30_45_-36_10_46_20_70_420:gt ['-30', '45', '-36', '10', '46']:pred [28.544325 15.111915 33.23789  10.       35.757515]
sedan4door_-30_15_-36_10_46_50_70_420:gt ['-30', '15', '-36', '10', '46']:pred [31.026339  22.889473  33.636402  10.         8.1819315]
hatchback_-50_45_-36_48_46_20_30_420:gt ['-50', '45', '-36', '48', '46']:pred [38.66881  45.       36.3182   48.       27.119251]
hybrid_-30_15_-36_35_15_230_70_420:gt ['-30', '15', '-36', '35', '15']:pred [34.58559  17.755291 36.       35.       12.059222]
sedan2door_-30_45_-36_35_28_20_30_420:gt ['-30', '45', '-36', '35', '28']:pred [34.682114 45.       36.       35.       22.313293]
sedan2door_-17_23_-36_10_15_50_30_420:gt ['-17', '23', '-36', '10', '15']:pred [27.766098 23.       36.       10.       15.      ]
sedan4door_-30_45_-4_48_15_50_30_420:gt ['-30', '45', '-4', '48', '15']:pred [29.058092 45.       13.518543 48.       15.      ]
hatchback_-50_23_-22_35_15_20_70_420:gt ['-50', '23', '-22', '35', '15']:pred [35.94428  23.788998 30.509655 35.       30.569176]
sedan4door_-30_45_-36_10_28_50_70_420:gt ['-30', '45', '-36', '10', '28']:pred [31.479456  29.517653  29.254284  10.         4.2035966]
sedan4door_-30_23_-36_48_46_20_70_420:gt ['-30', '23', '-36', '48', '46']:pred [26.030163 14.893463 35.81104  48.       35.724514]
suv_-30_23_-36_35_46_230_70_420:gt ['-30', '23', '-36', '35', '46']:pred [36.699497 20.899084 42.95569  32.40847  35.860542]
suv_-50_15_-36_10_28_50_30_420:gt ['-50', '15', '-36', '10', '28']:pred [28.284674 15.       32.152817 10.       28.      ]
hybrid_-30_45_-4_10_28_50_30_420:gt ['-30', '45', '-4', '10', '28']:pred [25.647589 45.        4.       10.       28.      ]
sedan4door_-17_23_-36_10_28_230_70_420:gt ['-17', '23', '-36', '10', '28']:pred [30.157536 24.933205 34.949043 14.134616 30.32871 ]
sedan4door_-17_23_-22_35_46_50_70_420:gt ['-17', '23', '-22', '35', '46']:pred [30.257717 25.77139  31.507774 35.       13.999766]
hatchback_-30_23_-36_10_46_230_70_420:gt ['-30', '23', '-36', '10', '46']:pred [37.70683  22.51146  42.755596 20.264753 39.22101 ]
hatchback_-50_15_-36_48_46_140_70_420:gt ['-50', '15', '-36', '48', '46']:pred [32.0476   22.794987 36.       37.184925 38.64444 ]
sedan2door_-50_45_-22_10_28_140_70_420:gt ['-50', '45', '-22', '10', '28']:pred [37.918167 34.33608  22.       10.       24.438496]
suv_-50_23_-22_10_46_140_70_420:gt ['-50', '23', '-22', '10', '46']:pred [31.367619 18.079031 22.       17.847908 36.81131 ]
hybrid_-50_45_-22_10_46_20_30_420:gt ['-50', '45', '-22', '10', '46']:pred [39.2021   45.       22.       10.       34.436787]
hybrid_-50_45_-4_35_15_20_70_420:gt ['-50', '45', '-4', '35', '15']:pred [36.747395 25.113382  4.       35.       19.620028]
sedan2door_-17_15_-22_35_46_140_70_420:gt ['-17', '15', '-22', '35', '46']:pred [23.623215 16.441143 22.       35.       28.862934]
hatchback_-50_23_-36_10_15_50_30_420:gt ['-50', '23', '-36', '10', '15']:pred [21.01633  23.       24.895119 10.       15.      ]
suv_-30_23_-36_48_15_20_30_420:gt ['-30', '23', '-36', '48', '15']:pred [32.648216 23.       38.189224 48.       20.238094]
sedan4door_-50_23_-22_10_15_50_30_420:gt ['-50', '23', '-22', '10', '15']:pred [25.728508 23.       37.358353 10.       15.      ]
hatchback_-17_45_-22_35_28_20_70_420:gt ['-17', '45', '-22', '35', '28']:pred [15.693149 25.136906 20.554792 35.       30.494598]
sedan4door_-17_15_-4_35_46_140_30_420:gt ['-17', '15', '-4', '35', '46']:pred [17.       19.172144  4.       26.051987 46.      ]
hatchback_-17_15_-4_48_28_230_70_420:gt ['-17', '15', '-4', '48', '28']:pred [26.710537 14.558895 15.067876 39.4046   26.333158]
hatchback_-17_45_-36_35_46_230_70_420:gt ['-17', '45', '-36', '35', '46']:pred [26.321735 36.056343 37.704212 33.849316 37.48387 ]
hybrid_-30_15_-36_35_15_140_30_420:gt ['-30', '15', '-36', '35', '15']:pred [30.         9.8358555 36.        35.        15.       ]
hatchback_-17_23_-22_48_28_230_30_420:gt ['-17', '23', '-22', '48', '28']:pred [17.       13.176583 22.       28.556427 26.214611]
sedan4door_-17_23_-4_10_46_140_30_420:gt ['-17', '23', '-4', '10', '46']:pred [17.       19.28262   4.       16.122002 46.      ]
hybrid_-50_15_-22_48_15_50_70_420:gt ['-50', '15', '-22', '48', '15']:pred [32.341007 24.043541 22.       48.       20.900846]
suv_-50_23_-36_10_15_140_70_420:gt ['-50', '23', '-36', '10', '15']:pred [33.906525 20.878557 36.       15.099317 23.57801 ]
sedan2door_-17_45_-36_10_46_230_70_420:gt ['-17', '45', '-36', '10', '46']:pred [29.876787 39.462006 36.       10.       35.60645 ]
hatchback_-30_45_-36_35_15_140_30_420:gt ['-30', '45', '-36', '35', '15']:pred [30.       21.59586  36.       27.251919 15.      ]
suv_-17_23_-4_35_15_230_70_420:gt ['-17', '23', '-4', '35', '15']:pred [24.623352 20.891125 23.532314 33.796288 13.943485]
sedan4door_-30_45_-36_10_28_20_30_420:gt ['-30', '45', '-36', '10', '28']:pred [32.658554 45.       34.710526 10.       22.018791]
hatchback_-50_45_-4_48_46_20_30_420:gt ['-50', '45', '-4', '48', '46']:pred [39.85668  45.       19.584953 48.       26.458267]
hatchback_-17_15_-22_48_28_140_70_420:gt ['-17', '15', '-22', '48', '28']:pred [24.964733 13.321287 22.       30.344357 31.53102 ]
suv_-30_45_-22_35_15_140_70_420:gt ['-30', '45', '-22', '35', '15']:pred [32.53888  31.277508 22.       29.445642 22.205185]
suv_-30_23_-22_10_28_140_70_420:gt ['-30', '23', '-22', '10', '28']:pred [29.009806 19.588345 22.       13.208246 28.450695]
hybrid_-30_23_-4_10_46_20_30_420:gt ['-30', '23', '-4', '10', '46']:pred [37.205803 23.        4.       10.       26.751118]
hybrid_-17_45_-22_10_15_50_30_420:gt ['-17', '45', '-22', '10', '15']:pred [27.016598 45.       22.       10.       15.      ]
hatchback_-50_23_-36_35_15_230_70_420:gt ['-50', '23', '-36', '35', '15']:pred [37.74213  23.43514  35.56     27.780596  7.541767]
hatchback_-30_23_-4_35_46_50_70_420:gt ['-30', '23', '-4', '35', '46']:pred [30.556604 21.97415  26.318224 35.       18.606462]
suv_-17_23_-22_35_46_140_70_420:gt ['-17', '23', '-22', '35', '46']:pred [30.498726 17.260836 22.       26.328108 40.127594]
hatchback_-17_23_-4_48_28_140_70_420:gt ['-17', '23', '-4', '48', '28']:pred [26.38823  20.08209   4.       26.053013 31.090372]
sedan4door_-30_15_-36_10_28_20_30_420:gt ['-30', '15', '-36', '10', '28']:pred [29.909842 15.       32.781097 10.       23.35822 ]
sedan4door_-30_45_-22_35_46_50_30_420:gt ['-30', '45', '-22', '35', '46']:pred [25.84841  45.       27.416565 35.       46.      ]
hatchback_-17_15_-36_10_15_50_70_420:gt ['-17', '15', '-36', '10', '15']:pred [25.44652  20.702072 22.065336 10.       19.81787 ]
hybrid_-17_23_-22_10_28_230_70_420:gt ['-17', '23', '-22', '10', '28']:pred [24.078175 19.83012  22.       10.       23.991201]
sedan2door_-17_45_-36_35_28_50_30_420:gt ['-17', '45', '-36', '35', '28']:pred [25.098454 45.       36.       35.       28.      ]
hybrid_-50_45_-22_48_15_230_30_420:gt ['-50', '45', '-22', '48', '15']:pred [50.       41.19754  22.       48.       15.180643]
suv_-30_45_-22_48_46_230_30_420:gt ['-30', '45', '-22', '48', '46']:pred [30.       22.781124 22.       42.20632  30.79205 ]
sedan4door_-50_23_-4_35_28_140_70_420:gt ['-50', '23', '-4', '35', '28']:pred [33.21542  19.096169  4.       20.711262 26.598707]
hybrid_-30_45_-36_48_46_140_70_420:gt ['-30', '45', '-36', '48', '46']:pred [31.601032 35.296234 36.       48.       39.557106]
suv_-30_45_-4_10_15_20_70_420:gt ['-30', '45', '-4', '10', '15']:pred [35.182777 29.663233 25.468445 10.       13.203503]
sedan2door_-50_45_-4_35_46_50_30_420:gt ['-50', '45', '-4', '35', '46']:pred [27.803799 45.        4.       35.       46.      ]
sedan4door_-50_45_-36_35_15_50_30_420:gt ['-50', '45', '-36', '35', '15']:pred [20.68566 45.      39.17168 35.      15.     ]
sedan2door_-17_45_-36_48_28_20_30_420:gt ['-17', '45', '-36', '48', '28']:pred [16.244507 45.       36.       48.       28.381695]
suv_-50_15_-22_48_15_50_70_420:gt ['-50', '15', '-22', '48', '15']:pred [33.61638  13.889991 39.91644  48.        8.268247]
sedan2door_-30_15_-36_48_15_230_70_420:gt ['-30', '15', '-36', '48', '15']:pred [33.70867  21.672949 36.       48.        5.192087]
sedan2door_-50_45_-22_35_28_140_70_420:gt ['-50', '45', '-22', '35', '28']:pred [37.90303  34.688038 22.       35.       24.799408]
suv_-30_15_-4_35_15_230_70_420:gt ['-30', '15', '-4', '35', '15']:pred [38.393433 14.088842 22.196405 32.509346 15.682962]
suv_-50_15_-4_35_46_20_30_420:gt ['-50', '15', '-4', '35', '46']:pred [31.581818 15.       16.274607 35.       31.430786]
sedan2door_-50_15_-4_48_28_140_30_420:gt ['-50', '15', '-4', '48', '28']:pred [50.      14.97563  4.      48.      28.     ]
hatchback_-17_45_-22_35_15_140_30_420:gt ['-17', '45', '-22', '35', '15']:pred [17.      23.00809 22.      26.03156 15.     ]
sedan4door_-30_45_-22_35_15_20_70_420:gt ['-30', '45', '-22', '35', '15']:pred [30.367048 26.319221 25.808445 35.       13.328895]
sedan2door_-50_45_-4_10_15_50_30_420:gt ['-50', '45', '-4', '10', '15']:pred [27.775248 45.        4.       10.       15.      ]
sedan4door_-50_23_-36_35_46_140_30_420:gt ['-50', '23', '-36', '35', '46']:pred [50.       23.12012  36.       35.784607 46.      ]
hybrid_-50_45_-22_10_28_140_30_420:gt ['-50', '45', '-22', '10', '28']:pred [50.       35.307713 22.       10.       28.      ]
hybrid_-50_45_-22_48_15_140_70_420:gt ['-50', '45', '-22', '48', '15']:pred [36.058037 34.630333 22.       48.       30.122587]
hybrid_-30_23_-22_35_46_140_70_420:gt ['-30', '23', '-22', '35', '46']:pred [28.594954 27.396492 22.       35.       36.554863]
sedan4door_-17_15_-4_35_28_50_30_420:gt ['-17', '15', '-4', '35', '28']:pred [17.791044 15.       16.166622 35.       28.      ]
sedan2door_-17_15_-22_10_28_20_70_420:gt ['-17', '15', '-22', '10', '28']:pred [27.036566 10.935563 22.       10.       29.301117]
suv_-17_45_-36_35_28_140_30_420:gt ['-17', '45', '-36', '35', '28']:pred [17.       33.452614 36.       29.73156  28.      ]
sedan4door_-17_45_-22_10_28_20_70_420:gt ['-17', '45', '-22', '10', '28']:pred [27.56268  23.88947  25.774403 10.       25.505217]
sedan4door_-17_45_-36_35_28_140_30_420:gt ['-17', '45', '-36', '35', '28']:pred [17.      36.85137 36.      34.38    28.     ]
sedan2door_-17_15_-4_48_46_230_70_420:gt ['-17', '15', '-4', '48', '46']:pred [26.254635 22.120869  4.       48.       39.020847]
sedan2door_-50_23_-4_10_28_230_30_420:gt ['-50', '23', '-4', '10', '28']:pred [50.       20.067196  4.       10.       31.922256]
suv_-17_15_-36_35_28_20_30_420:gt ['-17', '15', '-36', '35', '28']:pred [32.043835 15.       38.079018 35.       25.740217]
sedan2door_-30_45_-4_35_15_20_70_420:gt ['-30', '45', '-4', '35', '15']:pred [35.67045  23.701977  4.       35.       22.622335]
sedan4door_-17_45_-22_48_46_50_70_420:gt ['-17', '45', '-22', '48', '46']:pred [31.326012 30.460772 26.31676  48.       13.201924]
