Sedan4Door_-20_0_-20_0_20_80_60_400:gt ['-20', '0', '-20', '0', '20']:pred [16.840204   2.1327503 23.62803    7.3245435 11.5215435]
Sedan2Door_0_0_-20_20_20_320_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 3.3455071  0.        20.        20.        17.528154 ]
Hybrid_0_20_-20_0_0_320_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 4.3570056  5.8372526 20.         0.         2.743324 ]
Hatchback_0_0_-20_20_20_320_60_450:gt ['0', '0', '-20', '20', '20']:pred [ 4.347051  6.43102  23.842113 28.394299 21.059395]
Sedan4Door_0_0_-20_0_0_80_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 3.4482884  0.        24.758501   0.         0.       ]
Sedan4Door_0_0_0_0_0_160_20_400:gt ['0', '0', '0', '0', '0']:pred [0.        2.8144076 0.        6.748734  0.       ]
Hatchback_0_0_0_20_20_160_20_400:gt ['0', '0', '0', '20', '20']:pred [ 0.         3.7521162  0.        25.077566  20.       ]
Suv_-20_20_0_0_0_0_20_450:gt ['-20', '20', '0', '0', '0']:pred [22.569155 20.        3.846319  0.        0.      ]
Sedan4Door_0_20_0_0_20_80_20_400:gt ['0', '20', '0', '0', '20']:pred [ 3.7154465 20.         0.         0.        20.       ]
Hatchback_-20_20_0_20_0_0_60_400:gt ['-20', '20', '0', '20', '0']:pred [22.563553  14.768194   5.291578  20.         2.6828218]
Sedan2Door_0_20_-20_20_0_320_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 3.1708627 13.733037  20.        20.         2.485487 ]
Suv_-20_20_0_0_20_0_60_450:gt ['-20', '20', '0', '0', '20']:pred [20.056652 16.408722  5.291589  0.       20.731785]
Suv_0_0_-20_0_20_160_60_400:gt ['0', '0', '-20', '0', '20']:pred [ 8.429996   2.6970267 20.         5.294178  10.822369 ]
Suv_-20_0_0_0_20_160_20_450:gt ['-20', '0', '0', '0', '20']:pred [20.         3.9797025  0.         8.840754  20.       ]
Hybrid_0_0_-20_20_0_320_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 4.754938   0.        20.        20.         3.3946955]
Sedan2Door_0_20_-20_0_0_240_20_450:gt ['0', '20', '-20', '0', '0']:pred [ 0.        16.90462   20.         0.         3.6980085]
Suv_0_0_0_20_20_320_60_400:gt ['0', '0', '0', '20', '20']:pred [ 2.9570982  5.7838     3.3392324 20.        14.468006 ]
Suv_0_0_0_0_20_160_60_450:gt ['0', '0', '0', '0', '20']:pred [ 6.937627   3.1504874  0.         6.364793  16.811907 ]
Suv_0_20_0_20_0_160_20_400:gt ['0', '20', '0', '20', '0']:pred [ 0.       17.003819  0.       19.27272   0.      ]
Hatchback_-20_20_-20_0_0_320_20_400:gt ['-20', '20', '-20', '0', '0']:pred [16.808496  20.        21.67818    0.         2.5559168]
Sedan4Door_0_0_0_20_20_240_20_450:gt ['0', '0', '0', '20', '20']:pred [ 0.        3.618872  0.       16.068497 20.513884]
Hybrid_-20_20_0_20_20_80_20_400:gt ['-20', '20', '0', '20', '20']:pred [19.083141 20.        0.       20.       20.      ]
Hybrid_-20_0_0_0_0_320_60_400:gt ['-20', '0', '0', '0', '0']:pred [19.52479    6.6140738  0.         0.         3.0486383]
Sedan2Door_0_0_-20_0_0_240_60_400:gt ['0', '0', '-20', '0', '0']:pred [ 4.0393095  2.3950715 20.         0.         2.9331558]
Hatchback_-20_20_-20_0_20_240_60_400:gt ['-20', '20', '-20', '0', '20']:pred [17.762453 13.853519 28.868238  9.502775 20.7596  ]
Hybrid_0_0_0_0_0_0_60_450:gt ['0', '0', '0', '0', '0']:pred [3.3600397 9.50287   0.        0.        2.4175797]
Hybrid_0_20_-20_20_20_320_20_400:gt ['0', '20', '-20', '20', '20']:pred [ 4.5714736 20.        20.        20.        15.3316   ]
Hybrid_0_20_-20_0_0_80_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 4.1640162 20.        20.         0.         0.       ]
Hatchback_0_20_-20_0_20_160_20_400:gt ['0', '20', '-20', '0', '20']:pred [ 0.        14.966029  20.         7.7307076 20.       ]
Suv_-20_20_-20_20_0_320_20_400:gt ['-20', '20', '-20', '20', '0']:pred [15.749888 20.       19.438208 20.        4.116449]
Sedan4Door_0_0_-20_0_20_240_20_450:gt ['0', '0', '-20', '0', '20']:pred [ 0.         4.070242  20.         6.6858234 13.220795 ]
Hatchback_-20_0_-20_20_0_320_20_450:gt ['-20', '0', '-20', '20', '0']:pred [18.92503   0.       19.34595  20.        3.789382]
Sedan4Door_0_0_0_0_20_240_20_400:gt ['0', '0', '0', '0', '20']:pred [ 0.         2.2496367  0.         6.505512  13.11413  ]
Suv_-20_0_0_20_0_0_20_400:gt ['-20', '0', '0', '20', '0']:pred [17.740873   0.         5.4615993 20.         0.       ]
Suv_-20_0_-20_20_0_160_60_450:gt ['-20', '0', '-20', '20', '0']:pred [17.527554   5.97922   20.        24.82769    4.5160904]
Sedan4Door_0_20_-20_20_0_320_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 3.353863 20.       23.400694 20.        6.876837]
Sedan4Door_0_20_-20_20_20_0_60_450:gt ['0', '20', '-20', '20', '20']:pred [ 3.928864 15.346956 24.261562 20.       16.47534 ]
Suv_-20_20_0_20_0_0_20_450:gt ['-20', '20', '0', '20', '0']:pred [19.759182 20.        3.878142 20.        0.      ]
Hybrid_-20_0_-20_20_0_320_20_450:gt ['-20', '0', '-20', '20', '0']:pred [20.854382   0.        20.        20.         4.5461664]
Hybrid_0_20_-20_0_20_160_20_450:gt ['0', '20', '-20', '0', '20']:pred [ 0.      13.67518 20.       0.      20.     ]
Suv_0_20_-20_20_0_320_60_450:gt ['0', '20', '-20', '20', '0']:pred [ 2.6424782 16.583654  18.90465   26.481636   5.47869  ]
Sedan4Door_0_20_0_20_0_320_60_400:gt ['0', '20', '0', '20', '0']:pred [ 2.662352   4.721952   5.4384055 27.962206   4.03617  ]
Hatchback_-20_0_-20_0_0_240_20_400:gt ['-20', '0', '-20', '0', '0']:pred [20.         3.5740004 20.         7.5982804  2.9180527]
Sedan2Door_0_20_-20_20_0_80_60_450:gt ['0', '20', '-20', '20', '0']:pred [ 3.1582162 16.171238   3.5982702 20.        10.32723  ]
Sedan4Door_0_0_0_20_0_240_20_400:gt ['0', '0', '0', '20', '0']:pred [ 0.        2.834075  0.       18.485838  4.501429]
Sedan2Door_-20_0_0_20_0_320_60_450:gt ['-20', '0', '0', '20', '0']:pred [17.93776   5.9742    0.       20.        7.915582]
Suv_-20_0_0_0_0_80_60_450:gt ['-20', '0', '0', '0', '0']:pred [20.396446   3.656414   7.0756407 10.231655   8.190193 ]
Hatchback_-20_0_0_20_20_160_60_400:gt ['-20', '0', '0', '20', '20']:pred [18.22476    3.9235833  0.        21.448996  14.2491865]
Suv_0_0_0_0_0_80_20_450:gt ['0', '0', '0', '0', '0']:pred [3.5515757 0.        0.        0.        0.       ]
Sedan4Door_0_20_0_0_20_320_60_400:gt ['0', '20', '0', '0', '20']:pred [ 2.7010636  5.2584486  5.355032   0.        19.004425 ]
Hatchback_-20_0_0_0_0_0_20_400:gt ['-20', '0', '0', '0', '0']:pred [22.613644  0.        5.904839  0.        0.      ]
Sedan4Door_0_20_0_0_20_80_60_450:gt ['0', '20', '0', '0', '20']:pred [ 3.1210375 19.014645   4.555168  11.933166  13.498063 ]
Suv_0_0_0_0_20_320_20_450:gt ['0', '0', '0', '0', '20']:pred [ 3.4494758  0.         3.4955442  0.        17.194424 ]
Suv_0_0_-20_20_20_0_60_450:gt ['0', '0', '-20', '20', '20']:pred [ 3.016314  8.298168 18.063873 20.       22.289244]
Sedan2Door_-20_0_-20_20_0_160_60_450:gt ['-20', '0', '-20', '20', '0']:pred [19.051151   3.0508506 20.        20.         3.9172533]
Suv_0_20_-20_0_20_80_60_400:gt ['0', '20', '-20', '0', '20']:pred [ 2.5709798 14.444575  14.711471  18.775063  13.22672  ]
Sedan2Door_0_0_-20_0_0_160_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 0.         2.8770647 20.         0.         0.       ]
Hybrid_-20_0_0_0_20_160_20_450:gt ['-20', '0', '0', '0', '20']:pred [20.         4.8531976  0.         0.        20.       ]
Hatchback_-20_0_-20_20_0_240_20_450:gt ['-20', '0', '-20', '20', '0']:pred [20.         5.0490003 20.        17.347961   4.3374968]
Suv_-20_20_0_0_20_240_60_450:gt ['-20', '20', '0', '0', '20']:pred [20.004784  16.228779   0.         4.7183127 12.88127  ]
Sedan2Door_-20_0_-20_0_20_240_20_400:gt ['-20', '0', '-20', '0', '20']:pred [20.         3.0468297 20.         0.        21.738869 ]
Sedan4Door_0_20_-20_20_0_320_20_400:gt ['0', '20', '-20', '20', '0']:pred [ 2.7940454 20.        18.938063  20.         4.1123157]
Suv_0_20_0_0_20_320_20_400:gt ['0', '20', '0', '0', '20']:pred [ 2.1603992 20.         5.119637   0.        13.7373705]
Hybrid_-20_20_0_20_0_320_60_450:gt ['-20', '20', '0', '20', '0']:pred [20.973442  15.516384   0.        20.         3.2052145]
Hybrid_0_0_-20_0_20_160_60_400:gt ['0', '0', '-20', '0', '20']:pred [ 9.738345   4.3848786 20.         0.        15.475921 ]
Suv_-20_0_0_0_20_320_60_450:gt ['-20', '0', '0', '0', '20']:pred [23.480774   5.8579483  5.523229   0.        20.079727 ]
Suv_-20_0_0_0_0_160_60_450:gt ['-20', '0', '0', '0', '0']:pred [17.409958   3.3420653  0.         6.8559675  5.408357 ]
Sedan2Door_-20_0_0_0_0_240_60_400:gt ['-20', '0', '0', '0', '0']:pred [17.302996  2.189307  0.        0.        4.955562]
Hatchback_0_20_0_20_20_80_20_450:gt ['0', '20', '0', '20', '20']:pred [ 2.7728443 20.        10.135144  20.        20.       ]
Hatchback_0_20_0_0_0_80_20_400:gt ['0', '20', '0', '0', '0']:pred [ 3.0555391 20.         0.         0.         0.       ]
Sedan2Door_0_20_0_20_20_160_20_450:gt ['0', '20', '0', '20', '20']:pred [ 0.       16.155855  0.       20.       20.      ]
Sedan4Door_0_0_0_0_0_240_60_400:gt ['0', '0', '0', '0', '0']:pred [3.6638696 2.7267008 0.        3.094496  3.728858 ]
Suv_0_20_-20_20_20_160_20_400:gt ['0', '20', '-20', '20', '20']:pred [ 0.       14.63568  20.       20.258497 20.      ]
Hybrid_-20_0_0_0_0_240_60_450:gt ['-20', '0', '0', '0', '0']:pred [19.626347   3.2365947  0.         0.         3.8987992]
Suv_-20_0_0_20_0_0_60_400:gt ['-20', '0', '0', '20', '0']:pred [22.96277   11.388623   3.4992132 20.         4.9674125]
Sedan2Door_0_0_0_20_0_0_60_450:gt ['0', '0', '0', '20', '0']:pred [ 3.3599424  4.4880896  0.        20.         4.481338 ]
Sedan4Door_-20_0_0_20_20_240_60_450:gt ['-20', '0', '0', '20', '20']:pred [21.113459   3.9965396  0.        15.411852  14.744579 ]
Sedan4Door_0_20_0_0_20_0_60_400:gt ['0', '20', '0', '0', '20']:pred [ 2.95644   23.068174   3.9574118  0.        14.9779415]
Hybrid_-20_20_-20_0_20_80_60_450:gt ['-20', '20', '-20', '0', '20']:pred [22.395588 16.791187 20.        0.       10.180391]
Sedan4Door_0_0_0_0_20_80_20_400:gt ['0', '0', '0', '0', '20']:pred [ 2.9099226  0.         0.         0.        20.       ]
Hybrid_-20_0_0_0_20_240_20_450:gt ['-20', '0', '0', '0', '20']:pred [20.        5.413583  0.        0.       10.088788]
Sedan2Door_0_0_0_0_0_240_60_400:gt ['0', '0', '0', '0', '0']:pred [3.5806031 3.057064  0.        0.        5.1982203]
Hybrid_-20_20_-20_0_20_0_60_400:gt ['-20', '20', '-20', '0', '20']:pred [16.951906 15.647587 20.        0.       12.667915]
Sedan4Door_-20_0_-20_20_0_240_60_400:gt ['-20', '0', '-20', '20', '0']:pred [18.842703   3.0802183 28.56478   20.237766   3.993561 ]
Sedan4Door_-20_20_0_20_20_0_20_400:gt ['-20', '20', '0', '20', '20']:pred [18.852339  20.         7.3262253 20.        20.       ]
Hatchback_0_20_0_20_0_0_20_400:gt ['0', '20', '0', '20', '0']:pred [ 3.5721133 20.         5.762957  20.         0.       ]
Sedan4Door_-20_20_0_20_20_160_60_450:gt ['-20', '20', '0', '20', '20']:pred [15.771485 17.846792  0.       19.244745 14.817642]
Sedan2Door_-20_0_-20_20_20_160_20_400:gt ['-20', '0', '-20', '20', '20']:pred [20.         2.5519922 20.        20.        20.       ]
Sedan2Door_-20_20_-20_0_0_80_60_400:gt ['-20', '20', '-20', '0', '0']:pred [19.859802  18.253273   5.9838204  0.        11.227786 ]
Sedan2Door_0_20_0_20_20_320_20_450:gt ['0', '20', '0', '20', '20']:pred [ 3.4838235 20.         0.        20.        21.27808  ]
Hatchback_-20_20_0_0_0_0_60_400:gt ['-20', '20', '0', '0', '0']:pred [23.02529   13.36097    5.259852   0.         3.6229603]
Sedan4Door_0_0_0_20_0_80_20_400:gt ['0', '0', '0', '20', '0']:pred [ 3.7973127  0.         0.        20.         0.       ]
Suv_-20_20_-20_20_20_240_20_450:gt ['-20', '20', '-20', '20', '20']:pred [20.       14.51825  20.       26.040262 18.903433]
Hatchback_0_0_0_0_0_80_20_450:gt ['0', '0', '0', '0', '0']:pred [ 3.0032475  0.        10.182864   0.         0.       ]
Hybrid_-20_0_0_20_0_80_60_400:gt ['-20', '0', '0', '20', '0']:pred [18.144909   4.2169137  0.        20.         7.304944 ]
Sedan4Door_0_0_-20_0_0_0_60_450:gt ['0', '0', '-20', '0', '0']:pred [ 3.2293525  5.191989  24.115976   0.         5.2070546]
Hatchback_-20_0_0_0_0_160_60_450:gt ['-20', '0', '0', '0', '0']:pred [17.836428   2.4505343  0.         6.6493073  4.4662976]
Hatchback_0_0_-20_20_20_80_20_400:gt ['0', '0', '-20', '20', '20']:pred [ 2.9831738  0.        26.375439  20.        20.       ]
Sedan4Door_-20_20_-20_20_20_160_20_400:gt ['-20', '20', '-20', '20', '20']:pred [20.       18.049955 20.       20.753424 20.      ]
Sedan4Door_-20_20_-20_0_20_160_60_450:gt ['-20', '20', '-20', '0', '20']:pred [18.497698 15.632397 20.        8.860409 20.31847 ]
Sedan2Door_-20_20_-20_20_0_80_60_400:gt ['-20', '20', '-20', '20', '0']:pred [16.85172   15.4916115  7.86032   20.        18.058231 ]
Hybrid_0_20_-20_20_0_320_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 3.7243862 20.        20.        20.         4.0603375]
Hatchback_0_0_-20_20_0_320_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 4.304817  0.       19.667107 20.        3.523073]
Sedan4Door_0_0_-20_0_20_80_20_400:gt ['0', '0', '-20', '0', '20']:pred [ 4.1093163  0.        24.99127    0.        20.       ]
Sedan2Door_-20_20_0_20_0_80_60_450:gt ['-20', '20', '0', '20', '0']:pred [22.104948 15.835739  8.7102    9.523258  8.615854]
Hatchback_0_0_0_0_20_160_60_400:gt ['0', '0', '0', '0', '20']:pred [ 6.5651517  2.9957297  0.         6.975987  18.737255 ]
Sedan4Door_-20_0_-20_20_0_80_20_400:gt ['-20', '0', '-20', '20', '0']:pred [19.236578  0.       21.82122  20.        0.      ]
Hybrid_-20_0_0_20_0_240_20_400:gt ['-20', '0', '0', '20', '0']:pred [20.         3.1566522  0.        20.         3.7944286]
Hatchback_-20_0_-20_0_20_0_20_400:gt ['-20', '0', '-20', '0', '20']:pred [20.3919    0.       23.895393  0.       20.      ]
Hatchback_0_20_-20_20_0_240_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 5.644894 16.901337 25.532585 22.68213   4.146402]
Sedan4Door_-20_0_0_20_0_320_60_450:gt ['-20', '0', '0', '20', '0']:pred [21.89854    4.754523   5.2450204 34.24424    5.480208 ]
Sedan2Door_-20_0_0_20_20_160_20_400:gt ['-20', '0', '0', '20', '20']:pred [20.         3.6648448  0.        20.        20.       ]
Hybrid_0_20_0_0_0_80_20_400:gt ['0', '20', '0', '0', '0']:pred [ 3.9956925 20.         0.         0.         0.       ]
Sedan2Door_-20_0_-20_0_0_80_20_450:gt ['-20', '0', '-20', '0', '0']:pred [21.642958  0.       20.        0.        0.      ]
Sedan2Door_0_0_0_20_0_160_60_400:gt ['0', '0', '0', '20', '0']:pred [ 5.9848557  2.985701   0.        20.         4.447292 ]
Hatchback_0_0_-20_20_0_80_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 4.1769414  0.        25.457682  20.         0.       ]
Hatchback_0_20_0_0_0_240_60_450:gt ['0', '20', '0', '0', '0']:pred [ 7.547788  12.974723   0.         7.2918224  5.533597 ]
Hybrid_-20_20_0_20_20_80_20_450:gt ['-20', '20', '0', '20', '20']:pred [21.711948 20.        0.       20.       20.      ]
Suv_0_20_-20_20_20_0_60_400:gt ['0', '20', '-20', '20', '20']:pred [ 3.262726 18.906494 16.85122  20.       16.616806]
Sedan2Door_-20_20_-20_20_0_0_60_400:gt ['-20', '20', '-20', '20', '0']:pred [22.15372   13.44819   20.        20.         3.7574766]
Hybrid_-20_0_0_0_20_320_20_400:gt ['-20', '0', '0', '0', '20']:pred [23.15989   0.        0.        0.       15.739311]
Suv_0_20_-20_0_0_320_60_450:gt ['0', '20', '-20', '0', '0']:pred [ 2.5968668 16.434559  19.06154    0.         6.435848 ]
Sedan2Door_-20_0_0_0_20_160_20_450:gt ['-20', '0', '0', '0', '20']:pred [20.         3.0474958  0.         0.        20.       ]
Hatchback_-20_20_-20_20_0_320_60_450:gt ['-20', '20', '-20', '20', '0']:pred [16.943813  10.706488  21.725046  32.860462   5.5310254]
Suv_-20_20_0_20_0_240_20_400:gt ['-20', '20', '0', '20', '0']:pred [20.        11.171749   0.        15.992491   2.7711728]
Hybrid_-20_20_-20_20_0_0_20_400:gt ['-20', '20', '-20', '20', '0']:pred [22.49438 20.      20.      20.       0.     ]
Suv_-20_0_0_0_0_160_60_400:gt ['-20', '0', '0', '0', '0']:pred [22.008419   2.973877   0.         6.746025   3.6474903]
Suv_-20_0_0_0_20_80_20_450:gt ['-20', '0', '0', '0', '20']:pred [20.917688  0.        0.        0.       20.      ]
Suv_0_20_-20_0_0_240_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 0.         9.9828    20.         6.833904   3.1703944]
Sedan4Door_0_0_-20_20_0_0_60_450:gt ['0', '0', '-20', '20', '0']:pred [ 3.0269234  6.6511674 24.65562   20.         5.2594266]
Hatchback_0_20_0_0_20_160_20_400:gt ['0', '20', '0', '0', '20']:pred [ 0.       18.244244  0.        8.096721 20.      ]
Suv_-20_20_-20_0_20_320_60_400:gt ['-20', '20', '-20', '0', '20']:pred [22.994896 20.592768 23.29958  23.700071 19.48325 ]
Hybrid_0_20_-20_20_20_240_60_400:gt ['0', '20', '-20', '20', '20']:pred [ 5.369368 19.218771 20.       20.       17.22256 ]
Sedan4Door_0_0_-20_20_20_80_60_400:gt ['0', '0', '-20', '20', '20']:pred [ 4.424833   3.4919803 23.038212  21.379011  11.312795 ]
Hatchback_-20_20_-20_0_0_80_60_400:gt ['-20', '20', '-20', '0', '0']:pred [15.749077  14.938868  14.254725  14.637937   5.0188775]
Sedan4Door_0_0_-20_20_20_240_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 0.        3.831115 20.       18.528973 18.022718]
Hatchback_-20_0_0_0_20_320_60_400:gt ['-20', '0', '0', '0', '20']:pred [19.099133  4.640577  5.472184  0.       21.133013]
Sedan4Door_0_0_-20_0_20_80_20_450:gt ['0', '0', '-20', '0', '20']:pred [ 3.549238  0.       23.632097  0.       20.      ]
Suv_-20_20_0_0_20_320_20_450:gt ['-20', '20', '0', '0', '20']:pred [17.686882  20.         3.8358436  0.        17.780722 ]
Sedan2Door_-20_20_-20_20_20_80_20_400:gt ['-20', '20', '-20', '20', '20']:pred [21.372765 20.       20.       20.       20.      ]
Sedan2Door_-20_0_0_20_20_320_20_450:gt ['-20', '0', '0', '20', '20']:pred [23.159351  0.        0.       20.       17.858866]
Suv_0_20_-20_0_20_240_60_450:gt ['0', '20', '-20', '0', '20']:pred [ 6.1476455 10.899174  23.652615   6.3580785 19.934528 ]
Hybrid_-20_20_0_20_0_80_20_450:gt ['-20', '20', '0', '20', '0']:pred [22.77664 20.       0.      20.       0.     ]
Hatchback_-20_20_-20_20_20_160_20_450:gt ['-20', '20', '-20', '20', '20']:pred [20.       13.165323 20.       23.07078  20.      ]
Hybrid_-20_0_-20_0_0_80_20_450:gt ['-20', '0', '-20', '0', '0']:pred [20.999357  0.       20.        0.        0.      ]
Sedan2Door_0_20_-20_0_20_160_60_450:gt ['0', '20', '-20', '0', '20']:pred [ 6.0200286 15.907349  20.         0.        25.350653 ]
Sedan2Door_-20_20_-20_0_20_80_60_450:gt ['-20', '20', '-20', '0', '20']:pred [22.342625 18.668154 20.        0.       22.672457]
Hybrid_0_0_0_0_0_320_60_450:gt ['0', '0', '0', '0', '0']:pred [4.3564997 7.7897687 0.        0.        4.169497 ]
Hatchback_-20_0_0_20_0_320_20_400:gt ['-20', '0', '0', '20', '0']:pred [20.447855   0.         6.913653  20.         2.5660262]
Hatchback_-20_0_0_0_20_320_60_450:gt ['-20', '0', '0', '0', '20']:pred [17.087278   6.565302   4.6224785  0.        21.511238 ]
Suv_-20_0_0_20_0_240_60_450:gt ['-20', '0', '0', '20', '0']:pred [ 5.6204653  3.6308582  0.        19.232065   3.1953573]
Suv_-20_0_-20_20_20_0_60_400:gt ['-20', '0', '-20', '20', '20']:pred [23.167107   9.1280775 17.652462  20.        20.227324 ]
Sedan4Door_-20_20_-20_20_0_240_20_400:gt ['-20', '20', '-20', '20', '0']:pred [20.       15.800859 20.       18.939312  5.668819]
Sedan2Door_0_0_0_0_20_160_20_400:gt ['0', '0', '0', '0', '20']:pred [ 0.         3.2401729  0.         0.        20.       ]
Sedan4Door_-20_0_-20_20_20_80_20_450:gt ['-20', '0', '-20', '20', '20']:pred [19.873552  0.       22.59906  20.       20.      ]
Hatchback_0_20_0_0_0_320_20_400:gt ['0', '20', '0', '0', '0']:pred [ 3.1719413 20.         4.554123   0.         3.1394513]
Suv_-20_0_0_0_0_0_60_400:gt ['-20', '0', '0', '0', '0']:pred [23.625303   0.         3.8038864  0.         4.9758906]
Hybrid_-20_20_-20_0_20_0_60_450:gt ['-20', '20', '-20', '0', '20']:pred [17.85894  19.277075 20.        0.       16.3719  ]
Sedan2Door_0_0_0_20_0_240_60_450:gt ['0', '0', '0', '20', '0']:pred [ 5.2950315  2.7950377  0.        20.         3.9989653]
Hybrid_-20_0_0_20_0_80_60_450:gt ['-20', '0', '0', '20', '0']:pred [20.829048   5.118538   0.        20.         5.7581625]
Hatchback_0_20_-20_20_20_160_60_400:gt ['0', '20', '-20', '20', '20']:pred [ 6.530357 16.0743   20.       21.831806 19.22011 ]
Sedan4Door_0_0_0_20_0_320_20_400:gt ['0', '0', '0', '20', '0']:pred [ 3.478969   0.         7.5019274 20.         7.3373566]
Sedan4Door_-20_20_-20_0_20_160_20_400:gt ['-20', '20', '-20', '0', '20']:pred [20.       16.52513  20.        7.026413 20.      ]
Suv_0_20_0_0_0_160_60_400:gt ['0', '20', '0', '0', '0']:pred [ 5.7241597 16.175613   0.         6.96437    4.2026563]
Hatchback_-20_20_0_0_20_0_20_450:gt ['-20', '20', '0', '0', '20']:pred [19.457159 20.        4.810878  0.       20.      ]
Sedan4Door_-20_0_0_0_20_320_20_400:gt ['-20', '0', '0', '0', '20']:pred [19.801565  0.        8.494508  0.       10.967499]
Suv_0_0_0_0_20_80_20_450:gt ['0', '0', '0', '0', '20']:pred [ 3.0959208  0.         0.         0.        20.       ]
Sedan4Door_-20_0_0_20_0_0_20_400:gt ['-20', '0', '0', '20', '0']:pred [15.462114  0.        8.449807 20.        0.      ]
Sedan2Door_0_20_0_0_0_320_20_450:gt ['0', '20', '0', '0', '0']:pred [ 3.5554209 20.         0.         0.         4.055797 ]
Hatchback_0_20_-20_0_20_320_60_400:gt ['0', '20', '-20', '0', '20']:pred [ 4.1335087 12.2486105 26.24741   25.822847  22.873474 ]
Suv_0_0_0_0_0_240_20_400:gt ['0', '0', '0', '0', '0']:pred [0.        2.8518898 0.        8.437532  3.6508298]
Sedan2Door_-20_0_-20_20_20_80_20_450:gt ['-20', '0', '-20', '20', '20']:pred [22.24131  0.      20.      20.      20.     ]
Hybrid_0_20_-20_0_0_0_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 4.851645 20.       20.        0.        0.      ]
Hybrid_0_0_-20_0_0_160_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 0.         4.4059806 20.         0.         0.       ]
Hybrid_0_20_-20_0_20_0_20_450:gt ['0', '20', '-20', '0', '20']:pred [ 3.9868197 20.        20.         0.        20.       ]
Suv_-20_20_0_20_20_160_60_400:gt ['-20', '20', '0', '20', '20']:pred [17.783566 18.547373  0.       27.33542  14.408914]
Sedan2Door_0_20_0_0_0_80_60_400:gt ['0', '20', '0', '0', '0']:pred [ 2.5871344 12.821006   0.         0.        16.667831 ]
Suv_0_20_-20_20_0_0_20_400:gt ['0', '20', '-20', '20', '0']:pred [ 4.4875965 20.        17.4727    20.         0.       ]
Sedan4Door_-20_20_0_0_0_240_20_400:gt ['-20', '20', '0', '0', '0']:pred [20.       12.998368  0.        8.639776  5.933357]
Hatchback_0_20_-20_0_0_160_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 0.       16.021334 20.        6.176745  0.      ]
Sedan4Door_-20_20_0_20_20_320_60_450:gt ['-20', '20', '0', '20', '20']:pred [21.884369  14.014634   6.2592874 35.77423   19.424023 ]
Sedan2Door_0_0_0_0_0_80_60_400:gt ['0', '0', '0', '0', '0']:pred [ 2.7557821  2.366717   0.         0.        15.114931 ]
Sedan4Door_0_0_0_0_20_80_20_450:gt ['0', '0', '0', '0', '20']:pred [ 3.408556  0.        0.        0.       20.      ]
Hatchback_0_0_-20_20_0_240_20_400:gt ['0', '0', '-20', '20', '0']:pred [ 0.         3.9708169 20.        21.34996    2.5949023]
Hatchback_-20_20_-20_20_0_320_60_400:gt ['-20', '20', '-20', '20', '0']:pred [20.70812   12.416499  23.560188  32.0687     4.2293396]
Hybrid_-20_0_0_0_0_160_60_450:gt ['-20', '0', '0', '0', '0']:pred [21.587557   3.811535   0.         0.         4.6796484]
Sedan4Door_-20_20_-20_0_0_80_20_450:gt ['-20', '20', '-20', '0', '0']:pred [20.087486 20.       22.31326   0.        0.      ]
Hatchback_0_20_-20_20_20_320_20_400:gt ['0', '20', '-20', '20', '20']:pred [ 3.0933535 20.        23.72546   20.        16.594223 ]
Sedan2Door_-20_0_-20_20_0_80_20_400:gt ['-20', '0', '-20', '20', '0']:pred [20.90464  0.      20.      20.       0.     ]
Hybrid_0_20_0_0_20_240_60_450:gt ['0', '20', '0', '0', '20']:pred [ 6.5661883 18.481276   0.         0.        20.565184 ]
Suv_0_0_0_20_20_320_20_450:gt ['0', '0', '0', '20', '20']:pred [ 3.2256005  0.         2.5220065 20.        12.930846 ]
Sedan4Door_-20_0_0_0_0_160_20_450:gt ['-20', '0', '0', '0', '0']:pred [20.         2.6982508  0.         7.6790133  0.       ]
Hybrid_-20_0_0_20_20_320_60_450:gt ['-20', '0', '0', '20', '20']:pred [21.731392  6.633883  0.       20.       23.71609 ]
Hybrid_-20_20_0_20_20_320_60_400:gt ['-20', '20', '0', '20', '20']:pred [21.338434 20.082783  0.       20.       17.070435]
Sedan4Door_0_0_-20_20_0_80_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 3.7456625  0.        24.085041  20.         0.       ]
Hatchback_0_0_-20_0_20_320_60_400:gt ['0', '0', '-20', '0', '20']:pred [ 4.471724   5.2175217 25.26668    0.        20.311657 ]
