Sedan2Door_-20_20_0_20_0_160_60_450:gt ['-20', '20', '0', '20', '0']:pred [26.792864   6.47869    0.        31.790073   6.5915446]
Sedan2Door_-20_0_-20_20_20_80_20_400:gt ['-20', '0', '-20', '20', '20']:pred [44.577526  0.        7.435614 20.       20.      ]
Suv_0_20_0_0_0_160_60_450:gt ['0', '20', '0', '0', '0']:pred [34.188946  16.02316   14.448489   8.6052475 14.515533 ]
Sedan4Door_0_0_-20_0_20_80_60_400:gt ['0', '0', '-20', '0', '20']:pred [ 3.7521336 16.090075  27.915909  25.812754  36.234035 ]
Hybrid_0_0_0_0_0_160_60_450:gt ['0', '0', '0', '0', '0']:pred [ 7.4396043 22.440168   5.930345  34.068634   2.2627928]
Hybrid_-20_0_0_20_20_160_60_400:gt ['-20', '0', '0', '20', '20']:pred [12.472777 12.088066 20.144865 17.441896 37.161674]
Suv_-20_0_0_0_0_80_60_400:gt ['-20', '0', '0', '0', '0']:pred [16.766064   3.881512   3.7406178  2.4546857 13.092258 ]
Hatchback_0_0_0_0_20_240_60_400:gt ['0', '0', '0', '0', '20']:pred [35.43447   7.310888  0.       30.931133 10.842091]
Hybrid_0_20_-20_20_20_320_20_400:gt ['0', '20', '-20', '20', '20']:pred [ 4.059937 20.       20.       20.       33.03153 ]
Hybrid_0_20_0_0_0_320_60_400:gt ['0', '20', '0', '0', '0']:pred [ 0.52805245 20.          0.          0.         20.759712  ]
Hatchback_0_20_0_0_20_320_60_400:gt ['0', '20', '0', '0', '20']:pred [ 1.7285479 44.09037    2.603564  17.197248   4.7293973]
Hatchback_-20_0_-20_0_20_80_60_400:gt ['-20', '0', '-20', '0', '20']:pred [16.74621  14.095055 21.825901 15.321644 28.31766 ]
Hatchback_-20_0_0_20_20_80_20_400:gt ['-20', '0', '0', '20', '20']:pred [ 9.452079  0.       12.167826 20.       20.      ]
Sedan4Door_0_20_0_20_20_0_20_400:gt ['0', '20', '0', '20', '20']:pred [ 1.7229868 20.         2.5055387 20.        20.       ]
Sedan2Door_-20_0_0_0_20_320_20_450:gt ['-20', '0', '0', '0', '20']:pred [33.3375    0.        0.        0.       10.192516]
Sedan2Door_0_0_0_0_0_0_60_450:gt ['0', '0', '0', '0', '0']:pred [ 5.837815  24.152943   0.        20.51471    2.5700748]
Suv_-20_20_-20_20_20_80_20_450:gt ['-20', '20', '-20', '20', '20']:pred [23.03396  20.       16.254162 20.       20.      ]
Hatchback_-20_20_-20_20_20_80_20_400:gt ['-20', '20', '-20', '20', '20']:pred [12.133462 20.       18.87552  20.       20.      ]
Hybrid_-20_20_-20_0_0_80_20_450:gt ['-20', '20', '-20', '0', '0']:pred [22.531015 20.       20.        0.        0.      ]
Suv_0_20_0_20_20_240_20_400:gt ['0', '20', '0', '20', '20']:pred [ 0.       18.975578  0.       33.017033 37.916058]
Sedan2Door_0_20_0_0_20_320_60_450:gt ['0', '20', '0', '0', '20']:pred [ 3.391567 33.70616   1.56204  26.285347 11.728582]
Hybrid_0_20_-20_0_0_240_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 0.       18.435162 20.       11.333802 12.269868]
Suv_-20_20_-20_0_0_160_60_450:gt ['-20', '20', '-20', '0', '0']:pred [21.319324 18.50103  20.        6.526615 15.657866]
Sedan2Door_0_20_0_0_20_320_20_400:gt ['0', '20', '0', '0', '20']:pred [ 2.7948236 20.         0.         0.        25.279282 ]
Sedan4Door_-20_0_0_0_0_80_60_450:gt ['-20', '0', '0', '0', '0']:pred [ 3.9994378  3.1013691  2.014866  27.23886   36.682156 ]
Hybrid_-20_20_0_20_0_160_60_400:gt ['-20', '20', '0', '20', '0']:pred [23.255604 19.207138  0.       25.891111 22.771984]
Hatchback_-20_0_0_0_0_160_60_450:gt ['-20', '0', '0', '0', '0']:pred [13.700979   4.8637195 12.515349  27.487099  32.959522 ]
Hatchback_0_0_-20_20_20_0_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 1.0491402  0.        23.230347  20.        20.       ]
Hatchback_0_0_0_20_0_160_20_400:gt ['0', '0', '0', '20', '0']:pred [ 0.       21.103472  0.       16.853777  0.      ]
Sedan4Door_-20_20_0_20_0_160_20_400:gt ['-20', '20', '0', '20', '0']:pred [20.       27.041178  0.       26.697447 34.373936]
Sedan2Door_-20_0_0_20_0_0_20_400:gt ['-20', '0', '0', '20', '0']:pred [17.662737  0.       25.713764 20.        0.      ]
Suv_0_0_0_20_20_80_20_450:gt ['0', '0', '0', '20', '20']:pred [ 3.4890451  0.         0.        20.        20.       ]
Sedan4Door_0_0_0_20_0_320_20_450:gt ['0', '0', '0', '20', '0']:pred [ 9.197695   0.         1.3296121 20.         8.784259 ]
Hybrid_0_20_-20_0_20_240_20_450:gt ['0', '20', '-20', '0', '20']:pred [ 0.        9.985019 20.        0.       18.342302]
Hatchback_-20_20_0_20_20_160_20_450:gt ['-20', '20', '0', '20', '20']:pred [20.       25.996962  0.       37.284916 20.      ]
Suv_0_0_0_20_0_320_60_400:gt ['0', '0', '0', '20', '0']:pred [ 1.1552416  0.        14.200086   8.4417925  4.038301 ]
Suv_0_20_-20_0_0_80_60_450:gt ['0', '20', '-20', '0', '0']:pred [ 4.6775026 16.12759   21.790195  19.045572  19.930513 ]
Hatchback_-20_20_-20_0_0_320_60_450:gt ['-20', '20', '-20', '0', '0']:pred [12.0640545 15.402264  16.513845  32.896706   3.3264458]
Hybrid_-20_0_-20_0_0_80_60_450:gt ['-20', '0', '-20', '0', '0']:pred [18.85027  15.557603  3.995249 38.842125 29.537228]
Hybrid_-20_20_0_20_0_80_20_450:gt ['-20', '20', '0', '20', '0']:pred [21.316055 20.        0.       20.        0.      ]
Suv_0_0_0_0_0_80_60_400:gt ['0', '0', '0', '0', '0']:pred [ 9.810401 29.588049 13.447934 14.525023 28.774406]
Hatchback_0_0_-20_20_0_0_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 2.2793941  0.        17.374187  20.         0.       ]
Sedan4Door_-20_0_-20_0_20_240_20_400:gt ['-20', '0', '-20', '0', '20']:pred [20.        8.750238 20.       42.253548 40.006832]
Sedan2Door_-20_20_-20_20_20_80_20_450:gt ['-20', '20', '-20', '20', '20']:pred [ 5.915477 20.       14.965461 20.       16.130333]
Suv_-20_0_0_0_20_80_60_450:gt ['-20', '0', '0', '0', '20']:pred [10.502489   3.4429185  8.207388  30.675623  42.37143  ]
Sedan4Door_0_0_-20_20_20_80_60_450:gt ['0', '0', '-20', '20', '20']:pred [ 3.1204367 12.01327   18.190529  28.89394   19.873787 ]
Hatchback_-20_20_0_20_20_0_60_400:gt ['-20', '20', '0', '20', '20']:pred [30.112038  27.128752   4.4058022 20.         6.9686513]
Hatchback_-20_20_0_20_0_240_20_400:gt ['-20', '20', '0', '20', '0']:pred [20.       21.37369   0.       35.1954    5.639395]
Sedan2Door_0_20_0_0_0_160_60_450:gt ['0', '20', '0', '0', '0']:pred [18.546555 13.944338 10.512278 41.72975  18.09611 ]
Sedan2Door_0_20_-20_20_0_320_20_400:gt ['0', '20', '-20', '20', '0']:pred [ 5.346255  20.        20.        20.         3.1123886]
Sedan4Door_0_20_-20_0_20_160_20_400:gt ['0', '20', '-20', '0', '20']:pred [ 0.       24.467947 20.       10.520035 34.264854]
Hybrid_0_0_-20_20_20_160_60_400:gt ['0', '0', '-20', '20', '20']:pred [19.553726 14.034626 20.       15.552322 13.295528]
Sedan2Door_0_20_0_20_0_320_20_450:gt ['0', '20', '0', '20', '0']:pred [11.011845 20.        0.       20.        8.654445]
Sedan2Door_0_20_0_20_0_0_20_400:gt ['0', '20', '0', '20', '0']:pred [ 2.5682065 20.         4.1541038 20.         0.       ]
Sedan4Door_-20_0_0_0_20_240_20_400:gt ['-20', '0', '0', '0', '20']:pred [20.       13.578261  0.       19.025902 42.487923]
Hybrid_-20_0_-20_0_0_320_60_400:gt ['-20', '0', '-20', '0', '0']:pred [30.267433 16.657066 20.       43.0062   29.17826 ]
Sedan4Door_0_0_-20_0_20_80_60_450:gt ['0', '0', '-20', '0', '20']:pred [ 3.1683218  6.5741944 16.162004  31.385376  23.374458 ]
Sedan4Door_-20_0_0_0_0_80_60_400:gt ['-20', '0', '0', '0', '0']:pred [ 2.0688756  5.282408   5.779924  10.734089  27.626184 ]
Sedan4Door_-20_0_0_20_0_240_60_400:gt ['-20', '0', '0', '20', '0']:pred [ 4.526514  6.267765 24.98588  24.38033  23.190254]
Sedan4Door_-20_0_0_20_0_0_20_400:gt ['-20', '0', '0', '20', '0']:pred [32.466587   0.         6.3418612 20.         0.       ]
Sedan2Door_-20_20_-20_20_0_160_20_400:gt ['-20', '20', '-20', '20', '0']:pred [20.       21.530163  2.916996 20.        0.      ]
Sedan2Door_-20_20_0_0_20_320_20_400:gt ['-20', '20', '0', '0', '20']:pred [15.3171   20.        0.        0.        9.719339]
Sedan2Door_0_0_-20_0_0_0_60_400:gt ['0', '0', '-20', '0', '0']:pred [ 4.4127846 17.592113   6.625081  16.359486   4.5211987]
Sedan4Door_0_20_0_20_0_160_20_400:gt ['0', '20', '0', '20', '0']:pred [ 0.       13.142302  0.       34.924862 24.237915]
Sedan4Door_-20_20_0_20_0_160_60_400:gt ['-20', '20', '0', '20', '0']:pred [32.098007 29.990604 14.782876 31.086231 18.936783]
Hybrid_-20_20_-20_20_20_80_60_450:gt ['-20', '20', '-20', '20', '20']:pred [ 9.915541 16.26791  20.       49.365223 15.083139]
Suv_0_20_0_0_20_80_20_450:gt ['0', '20', '0', '0', '20']:pred [ 2.0083475 20.         0.         0.        20.       ]
Hybrid_-20_0_0_0_0_240_20_450:gt ['-20', '0', '0', '0', '0']:pred [20.        9.339572  0.       20.84853  10.061646]
Hybrid_-20_20_0_0_0_80_60_450:gt ['-20', '20', '0', '0', '0']:pred [13.186318 17.966597 14.187844 40.876926 36.34253 ]
Hybrid_-20_0_-20_20_0_160_20_450:gt ['-20', '0', '-20', '20', '0']:pred [20.       18.656895 20.       20.        0.      ]
Sedan4Door_0_0_0_20_20_0_20_450:gt ['0', '0', '0', '20', '20']:pred [ 1.9484739  0.         3.2029288 20.        20.       ]
Hatchback_-20_0_0_0_20_0_60_400:gt ['-20', '0', '0', '0', '20']:pred [20.814816  11.946377  13.301846  17.30098    3.7322884]
Sedan2Door_-20_0_-20_0_0_0_60_450:gt ['-20', '0', '-20', '0', '0']:pred [19.104702 21.201317 20.        0.       31.263126]
Suv_-20_0_0_20_0_320_60_450:gt ['-20', '0', '0', '20', '0']:pred [ 2.5256877  22.556068    6.4720097  10.920955    0.68622196]
Hybrid_-20_0_0_20_20_80_20_400:gt ['-20', '0', '0', '20', '20']:pred [10.889119  0.        0.       20.       20.      ]
Sedan4Door_-20_20_0_20_20_160_20_400:gt ['-20', '20', '0', '20', '20']:pred [20.       20.12671  14.016138 26.795986 47.45296 ]
Sedan4Door_0_20_-20_0_0_320_20_450:gt ['0', '20', '-20', '0', '0']:pred [ 3.6744652 20.        22.650335   0.        10.626886 ]
Hybrid_-20_0_-20_20_20_240_20_400:gt ['-20', '0', '-20', '20', '20']:pred [20.         3.7659042 20.        25.506004  38.59667  ]
Sedan2Door_-20_0_-20_0_20_160_20_450:gt ['-20', '0', '-20', '0', '20']:pred [20.         5.4650726 20.        22.38663   20.       ]
Sedan2Door_0_0_-20_0_0_240_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 0.        7.939132 20.       10.699545 35.069744]
Sedan2Door_0_20_-20_0_20_80_60_450:gt ['0', '20', '-20', '0', '20']:pred [ 2.8542047 14.430864   2.0793493 53.318417  37.17956  ]
Sedan2Door_0_20_-20_0_20_320_60_400:gt ['0', '20', '-20', '0', '20']:pred [ 0.97564125 28.790453    4.714776   12.681232   48.213223  ]
Sedan2Door_-20_0_0_20_20_80_20_400:gt ['-20', '0', '0', '20', '20']:pred [ 5.3748817  0.        18.440376  20.        20.       ]
Hybrid_0_20_0_20_0_80_20_450:gt ['0', '20', '0', '20', '0']:pred [ 2.0169892 20.         3.7164657 20.         0.       ]
Hybrid_-20_20_-20_0_20_80_60_450:gt ['-20', '20', '-20', '0', '20']:pred [ 3.7493448  5.149895  20.        40.15786   12.560384 ]
Hybrid_0_20_0_20_20_80_20_450:gt ['0', '20', '0', '20', '20']:pred [ 5.5043364 20.         0.        20.        20.       ]
Sedan2Door_0_0_-20_0_0_0_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 2.6966116  0.        20.         0.         0.       ]
Sedan4Door_-20_0_-20_0_20_240_20_450:gt ['-20', '0', '-20', '0', '20']:pred [20.       13.391932 20.       13.3522   42.60133 ]
Sedan4Door_0_20_-20_20_20_240_60_450:gt ['0', '20', '-20', '20', '20']:pred [20.386244 15.613534 18.836018 31.91467  44.184746]
Sedan2Door_0_0_-20_0_0_320_20_450:gt ['0', '0', '-20', '0', '0']:pred [16.140026   0.        20.         0.         3.4630992]
Suv_-20_20_-20_0_0_80_60_400:gt ['-20', '20', '-20', '0', '0']:pred [ 1.3252184  8.136496   7.262525  22.246351   4.2179084]
Hatchback_-20_20_0_0_20_240_20_450:gt ['-20', '20', '0', '0', '20']:pred [20.      14.42763  0.      34.86573 33.46174]
Sedan4Door_-20_0_0_0_0_160_20_400:gt ['-20', '0', '0', '0', '0']:pred [20.         7.8849006  0.         5.155663   0.       ]
Sedan2Door_0_20_-20_20_0_160_20_400:gt ['0', '20', '-20', '20', '0']:pred [ 0.       21.883463 20.        7.435955 18.97166 ]
Sedan4Door_-20_20_-20_0_20_320_60_400:gt ['-20', '20', '-20', '0', '20']:pred [ 2.319609 15.050227  7.877427  0.       33.211807]
Hybrid_-20_0_0_20_0_160_20_400:gt ['-20', '0', '0', '20', '0']:pred [20.       21.564184  0.       20.        0.      ]
Hatchback_-20_0_0_0_20_240_60_400:gt ['-20', '0', '0', '0', '20']:pred [12.601749   3.8552356 14.825044  13.556528   5.1844125]
Suv_-20_0_0_0_20_80_20_400:gt ['-20', '0', '0', '0', '20']:pred [26.018988   0.         9.1119375  0.        20.       ]
Suv_0_0_0_20_20_240_60_450:gt ['0', '0', '0', '20', '20']:pred [ 9.450438 11.848788  0.       30.286663 23.014881]
Sedan2Door_-20_0_-20_0_0_320_60_400:gt ['-20', '0', '-20', '0', '0']:pred [ 1.8869655 12.552846   6.7707314 24.596142  16.578686 ]
Suv_0_20_-20_20_0_160_20_400:gt ['0', '20', '-20', '20', '0']:pred [ 0.       25.859936 35.51692  19.247229  0.      ]
Sedan2Door_0_20_-20_20_20_160_60_400:gt ['0', '20', '-20', '20', '20']:pred [28.961353 15.902265 19.161938  9.262782 33.64929 ]
Hatchback_0_0_-20_20_0_320_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 3.2696574  0.        24.245302  20.        12.071415 ]
Hybrid_-20_20_-20_20_20_160_60_400:gt ['-20', '20', '-20', '20', '20']:pred [11.994261 29.237278 20.       20.       13.936739]
Sedan2Door_-20_0_0_20_0_160_60_450:gt ['-20', '0', '0', '20', '0']:pred [ 5.3411903 23.113712   0.         6.0703783  5.333921 ]
Sedan2Door_-20_0_0_0_20_160_60_400:gt ['-20', '0', '0', '0', '20']:pred [ 3.0171194 14.584343  21.539787   3.2257504 38.8862   ]
Hatchback_0_20_0_20_20_240_20_400:gt ['0', '20', '0', '20', '20']:pred [ 6.93609  17.00826  16.145542 29.713675 39.700817]
Hatchback_0_0_-20_0_0_240_60_400:gt ['0', '0', '-20', '0', '0']:pred [ 8.540454  1.448231 19.151222 28.374958 10.400612]
Sedan2Door_0_20_-20_20_20_320_60_400:gt ['0', '20', '-20', '20', '20']:pred [11.744039 24.511538 20.       38.146317 29.142109]
Sedan2Door_0_20_-20_20_20_320_60_450:gt ['0', '20', '-20', '20', '20']:pred [ 5.1068997 48.303238  20.        35.373623  40.348618 ]
Hatchback_-20_0_-20_20_0_240_60_450:gt ['-20', '0', '-20', '20', '0']:pred [13.091946   3.6409774 13.986149  42.239037  18.475868 ]
Sedan4Door_0_20_-20_0_20_0_60_450:gt ['0', '20', '-20', '0', '20']:pred [ 1.5134492 16.691841  22.284796  15.41146   20.416365 ]
Sedan2Door_-20_20_0_20_20_240_20_450:gt ['-20', '20', '0', '20', '20']:pred [20.        19.963182   0.         3.4950285 47.403942 ]
Sedan2Door_0_20_-20_0_20_0_60_400:gt ['0', '20', '-20', '0', '20']:pred [ 4.7730246 12.714938   8.993999   5.2159133  6.9392257]
Sedan2Door_-20_20_0_20_0_160_20_450:gt ['-20', '20', '0', '20', '0']:pred [20.        18.522686  13.326668  18.521936  12.1978035]
Sedan2Door_0_0_-20_0_0_80_20_400:gt ['0', '0', '-20', '0', '0']:pred [ 3.5230765  0.        20.         0.         0.       ]
Sedan4Door_-20_0_0_20_0_240_60_450:gt ['-20', '0', '0', '20', '0']:pred [26.023642  6.076916  0.       45.53144  22.182863]
Suv_-20_20_-20_0_20_80_20_450:gt ['-20', '20', '-20', '0', '20']:pred [10.767373  20.        15.3513155  5.8905687 20.       ]
Hybrid_-20_20_0_0_0_160_20_400:gt ['-20', '20', '0', '0', '0']:pred [20.       24.800169  0.        0.        0.      ]
Suv_0_0_-20_0_0_320_60_400:gt ['0', '0', '-20', '0', '0']:pred [ 0.59653676 28.654419   18.265203   18.208485    0.65510976]
Hybrid_-20_0_0_20_20_160_20_450:gt ['-20', '0', '0', '20', '20']:pred [20.       15.870971  0.       20.       20.      ]
Hatchback_-20_20_0_0_0_240_60_450:gt ['-20', '20', '0', '0', '0']:pred [13.242288 18.394724  0.       30.287464 21.087584]
Hybrid_0_20_0_20_20_320_20_450:gt ['0', '20', '0', '20', '20']:pred [ 7.190772 20.        0.       20.       24.013933]
Sedan2Door_0_20_0_20_0_160_60_450:gt ['0', '20', '0', '20', '0']:pred [ 6.2757587 24.267868  12.109158  24.7661     6.978478 ]
Hatchback_0_20_-20_0_0_320_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 2.3970509 26.297705  29.00337   32.53305   22.997189 ]
Sedan2Door_0_20_-20_0_0_240_20_450:gt ['0', '20', '-20', '0', '0']:pred [ 0.         5.2420564 20.         5.3334937 10.211607 ]
Hybrid_-20_0_0_0_20_160_20_450:gt ['-20', '0', '0', '0', '20']:pred [20.       13.580248  0.       27.359915 20.      ]
Hatchback_0_0_0_0_20_160_60_450:gt ['0', '0', '0', '0', '20']:pred [15.478903 15.243416 11.259585 20.53947  14.584977]
Sedan4Door_0_0_0_0_20_0_60_450:gt ['0', '0', '0', '0', '20']:pred [ 5.767608 19.528828 17.91789   0.       10.009243]
Sedan4Door_0_0_-20_20_20_0_60_450:gt ['0', '0', '-20', '20', '20']:pred [ 1.2222508 17.245981  40.187866  20.        35.227283 ]
Sedan2Door_-20_20_0_20_0_240_20_450:gt ['-20', '20', '0', '20', '0']:pred [20.       25.589788  0.       23.407606 37.521946]
Sedan2Door_-20_0_-20_0_0_0_20_400:gt ['-20', '0', '-20', '0', '0']:pred [31.333849   0.         7.7465878  0.         0.       ]
Sedan4Door_-20_0_-20_0_0_0_20_400:gt ['-20', '0', '-20', '0', '0']:pred [17.178988  0.       19.094193  0.        0.      ]
Sedan2Door_-20_20_-20_20_0_240_20_400:gt ['-20', '20', '-20', '20', '0']:pred [20.       18.264885 20.       19.098286 23.696085]
Suv_-20_0_0_0_20_0_20_400:gt ['-20', '0', '0', '0', '20']:pred [20.60072    0.         3.3016546  0.        20.       ]
Hybrid_0_20_-20_20_20_240_20_400:gt ['0', '20', '-20', '20', '20']:pred [ 0.       19.69276  20.       20.       15.532803]
Sedan2Door_-20_20_0_20_20_320_20_450:gt ['-20', '20', '0', '20', '20']:pred [25.226591 20.        0.       20.       19.239626]
Suv_-20_20_-20_0_20_0_60_400:gt ['-20', '20', '-20', '0', '20']:pred [21.638052 24.222507 34.310623 21.865135 11.911092]
Sedan4Door_-20_0_0_20_0_320_20_450:gt ['-20', '0', '0', '20', '0']:pred [39.665005   0.         4.6875143 20.        15.096997 ]
Suv_-20_20_-20_0_20_160_60_400:gt ['-20', '20', '-20', '0', '20']:pred [ 8.633571  24.260803  13.58262    7.3081656 11.348143 ]
Sedan2Door_0_20_0_20_0_80_20_450:gt ['0', '20', '0', '20', '0']:pred [ 4.351841 20.        0.       20.        0.      ]
Hybrid_0_0_0_20_0_0_60_400:gt ['0', '0', '0', '20', '0']:pred [2.5795166 0.        0.        5.9390707 5.450402 ]
Sedan4Door_0_0_0_0_0_240_60_400:gt ['0', '0', '0', '0', '0']:pred [ 7.4785523  4.9159536  0.         7.623493  12.353448 ]
Sedan2Door_0_0_0_0_0_160_20_400:gt ['0', '0', '0', '0', '0']:pred [ 0.         3.4266315 10.087047   4.750886  38.68741  ]
Sedan2Door_-20_0_-20_20_20_320_20_450:gt ['-20', '0', '-20', '20', '20']:pred [25.995817  0.       20.       20.        5.841256]
Hatchback_-20_20_0_20_0_160_60_400:gt ['-20', '20', '0', '20', '0']:pred [20.344128 28.11599  15.682487 11.747216 20.47016 ]
Hybrid_-20_0_0_0_20_240_60_400:gt ['-20', '0', '0', '0', '20']:pred [29.167027   7.6884403  0.        19.9049     4.6939597]
Sedan4Door_-20_20_0_0_0_80_60_400:gt ['-20', '20', '0', '0', '0']:pred [11.1597395  3.355385   2.1943653 43.94546   34.881187 ]
Suv_-20_0_-20_20_20_160_60_450:gt ['-20', '0', '-20', '20', '20']:pred [12.699935 29.275373 16.353508 24.022697 36.16883 ]
Hybrid_0_20_0_0_0_80_20_400:gt ['0', '20', '0', '0', '0']:pred [ 4.9101844 20.         0.         0.         0.       ]
Suv_0_0_0_0_20_240_20_450:gt ['0', '0', '0', '0', '20']:pred [ 0.       15.85121   0.        6.258509 39.54738 ]
Hybrid_0_0_0_20_0_240_60_400:gt ['0', '0', '0', '20', '0']:pred [23.946379   5.3064694 13.101386  29.777056   4.353729 ]
Hatchback_0_0_-20_0_20_240_20_450:gt ['0', '0', '-20', '0', '20']:pred [ 0.         2.7447944 20.        26.786835  24.401718 ]
Hybrid_-20_20_0_0_20_80_60_400:gt ['-20', '20', '0', '0', '20']:pred [23.5044     7.1447477 16.802977  12.398694  35.96497  ]
Sedan4Door_0_20_-20_0_0_320_20_400:gt ['0', '20', '-20', '0', '0']:pred [18.336363 20.       21.38082   0.       38.265614]
Sedan4Door_-20_20_0_0_20_0_20_450:gt ['-20', '20', '0', '0', '20']:pred [23.94343   20.         0.5461864  0.        20.       ]
Hatchback_0_20_0_0_0_160_20_400:gt ['0', '20', '0', '0', '0']:pred [ 0.        17.315739   0.        15.938664   6.9035115]
Suv_-20_20_-20_20_0_240_60_450:gt ['-20', '20', '-20', '20', '0']:pred [14.002724  4.928466 24.728117 21.809135 32.595238]
Hatchback_0_0_-20_0_0_160_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 0.         5.8011417 20.         3.68085    0.       ]
Sedan4Door_-20_20_0_20_20_80_20_400:gt ['-20', '20', '0', '20', '20']:pred [22.002129 20.        8.349556 20.       20.      ]
Hatchback_0_0_-20_0_20_240_20_400:gt ['0', '0', '-20', '0', '20']:pred [ 0.        5.149377 20.       21.729607 26.867874]
Sedan4Door_0_20_0_20_20_320_60_450:gt ['0', '20', '0', '20', '20']:pred [11.48636  33.573097 25.056486 36.946423 13.966398]
Suv_-20_0_-20_20_0_320_60_400:gt ['-20', '0', '-20', '20', '0']:pred [ 8.109447 17.553816 22.41155  31.694881 22.383656]
Hybrid_0_0_0_20_20_0_20_400:gt ['0', '0', '0', '20', '20']:pred [ 4.5212045  0.         0.        20.        20.       ]
Suv_-20_20_-20_20_20_160_60_400:gt ['-20', '20', '-20', '20', '20']:pred [15.525139 26.376534 20.93564  13.749142 10.25795 ]
Hybrid_0_0_-20_20_20_0_20_400:gt ['0', '0', '-20', '20', '20']:pred [ 0.9595718  0.         5.2171717 20.        20.       ]
Sedan2Door_-20_0_0_0_20_320_60_400:gt ['-20', '0', '0', '0', '20']:pred [19.397379 30.387253  0.       39.199158 11.340059]
Sedan2Door_-20_0_0_20_0_240_20_400:gt ['-20', '0', '0', '20', '0']:pred [20.         5.3590226  0.        15.261578  26.075207 ]
Sedan2Door_-20_20_-20_20_20_160_20_400:gt ['-20', '20', '-20', '20', '20']:pred [20.        17.403685   1.4772235  9.150169  52.03504  ]
Sedan4Door_0_20_0_20_20_160_60_450:gt ['0', '20', '0', '20', '20']:pred [ 1.8335266 18.060915   0.         7.093733  35.872433 ]
Sedan4Door_-20_20_0_0_20_80_60_400:gt ['-20', '20', '0', '0', '20']:pred [ 4.012191  12.052223   1.1465786 21.058979  27.77879  ]
Suv_0_20_0_20_0_240_20_400:gt ['0', '20', '0', '20', '0']:pred [ 0.       31.630926  0.       12.033985 24.065641]
Sedan4Door_0_0_0_20_20_320_60_400:gt ['0', '0', '0', '20', '20']:pred [ 3.289606   0.         6.0647154 35.06187    1.064811 ]
Hybrid_0_20_-20_0_0_80_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 5.9978175 13.242085  20.        35.321907  17.74834  ]
Sedan2Door_0_20_0_0_20_160_60_450:gt ['0', '20', '0', '0', '20']:pred [ 3.0535057 13.432355  13.80322    0.        23.181026 ]
Sedan4Door_0_20_0_0_0_80_20_400:gt ['0', '20', '0', '0', '0']:pred [ 0.8592698 20.         0.         0.         0.       ]
Hybrid_-20_0_-20_20_0_0_60_400:gt ['-20', '0', '-20', '20', '0']:pred [ 6.05042  15.976746  8.38106  10.794995  8.963581]
Sedan4Door_0_20_-20_0_0_80_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 2.3562865 19.006552  16.340654  11.47188   13.9475975]
Suv_-20_20_0_20_0_160_60_450:gt ['-20', '20', '0', '20', '0']:pred [18.608765 22.903944 10.86241  37.781483 15.415312]
Sedan4Door_0_0_0_0_0_0_60_450:gt ['0', '0', '0', '0', '0']:pred [ 3.437274  19.09573    8.288576  14.316073   5.6510296]
Sedan2Door_0_20_-20_0_0_320_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 1.9241503 21.365423   3.3974183 21.311028  18.034056 ]
Hybrid_-20_20_0_20_20_320_60_450:gt ['-20', '20', '0', '20', '20']:pred [15.528153 36.433937  0.       49.76972  24.555351]
Sedan4Door_-20_20_0_0_20_240_60_400:gt ['-20', '20', '0', '0', '20']:pred [23.225101 11.951604  0.        8.923296 25.026201]
Sedan4Door_-20_20_0_0_20_160_60_400:gt ['-20', '20', '0', '0', '20']:pred [34.976543 16.015816  0.       23.65354  28.51804 ]
Hybrid_0_20_-20_20_20_320_60_450:gt ['0', '20', '-20', '20', '20']:pred [ 1.1406003 37.524063  20.        20.        25.28424  ]
Suv_-20_20_0_20_0_240_20_450:gt ['-20', '20', '0', '20', '0']:pred [20.       11.215132  0.       20.936165  3.487563]
Sedan4Door_0_0_-20_0_20_160_20_400:gt ['0', '0', '-20', '0', '20']:pred [ 0.         4.992782  20.         1.2585253 20.       ]
Suv_0_0_0_20_0_240_60_450:gt ['0', '0', '0', '20', '0']:pred [ 9.067455  8.703171 11.664765 33.273777  4.136626]
Sedan4Door_-20_0_-20_0_20_80_20_450:gt ['-20', '0', '-20', '0', '20']:pred [24.996199  0.       28.209663  0.       20.      ]
Hatchback_-20_20_-20_20_0_320_20_450:gt ['-20', '20', '-20', '20', '0']:pred [22.56193  20.       28.626791 20.       11.923657]
Suv_0_20_-20_0_20_320_60_400:gt ['0', '20', '-20', '0', '20']:pred [ 2.799012 22.787376 12.328314 43.74191  20.913977]
Hybrid_0_0_0_0_20_160_20_400:gt ['0', '0', '0', '0', '20']:pred [ 0.      14.24288  0.       0.      20.     ]
Hybrid_0_0_-20_20_20_160_60_450:gt ['0', '0', '-20', '20', '20']:pred [12.617383 11.92614  20.       20.       32.15857 ]
