7dac31838b627748eb631ba05bd8dfe_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [13.406195 21.326334 20.       20.       40.      ]
d72ffa185738bccd10b75223b5be6dbb_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [13.958107    0.66294295 20.         20.         40.        ]
b9786e1b059a1712ca92a4cdad802b45_40_20_20_20_20_240_40_400:gt ['40', '20', '20', '20', '20']:pred [40.        4.095447 20.       20.       19.701664]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_20_40_20_80_40_400:gt ['20', '20', '20', '40', '20']:pred [12.051495  25.067045  12.9673605 40.        20.       ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [40.         2.9816697 20.        20.        31.04465  ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_20_40_40_80_40_400:gt ['40', '40', '20', '40', '40']:pred [25.020546 26.104677 18.081553 40.       40.      ]
a387407d49e209fdeea60824a43a0b_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [26.866909  12.2041     7.7730517 46.57903   20.       ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_40_20_40_240_80_400:gt ['40', '40', '40', '20', '40']:pred [27.92134   7.938839 40.       20.       21.437675]
4f17af1ca7ae689d409b2c4484d833cc_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [18.252293  8.823448 20.       20.       21.13625 ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_40_40_20_80_80_400:gt ['40', '20', '40', '40', '20']:pred [13.9576645  5.7598867 40.        40.        20.       ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40.         7.6129713 20.        18.703959  16.628784 ]
a387407d49e209fdeea60824a43a0b_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [32.925014 17.926413  8.411926 31.341595 26.73127 ]
6265f0745d3f40546bcd32c43682e841_20_20_20_40_40_80_40_400:gt ['20', '20', '20', '40', '40']:pred [ 9.214379   6.0449347 20.        40.        40.       ]
c61ec8875746ab78227375499b768057_20_20_20_40_20_160_40_400:gt ['20', '20', '20', '40', '20']:pred [20.        22.183966  20.        40.         1.3837779]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [23.432951 19.660692 19.126518 40.       40.      ]
425ba801e904cb50f3aaed7e86215c7b_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [20.       20.       40.       20.       17.203848]
425ba801e904cb50f3aaed7e86215c7b_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       40.       40.       40.       26.400661]
70e27da90dec2de49604bf8c981ad1eb_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [20.       12.780955 20.       20.       19.565226]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [40.          0.46211016 40.         20.         32.828617  ]
c61ec8875746ab78227375499b768057_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [18.613945 13.536638 20.       40.       29.184092]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [28.155392 14.300395 29.087297 16.75555  16.678848]
ffe0a5b165461eb66a2345809e2bb169_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [23.570595 33.813442 17.381218 40.       20.      ]
216d910f71942f205df3c6413d40ccb2_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [28.216347 33.3752   20.       20.       40.      ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_20_20_20_240_40_400:gt ['20', '20', '20', '20', '20']:pred [20.        6.736098 20.       20.       20.      ]
fabcb04fc015f822ca8bf2993ca245b_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [20.         3.1286867 40.        20.        25.607231 ]
4ac021653126a29e98618a1ba17f086b_40_20_40_40_40_160_40_400:gt ['40', '20', '40', '40', '40']:pred [40.       30.482237 40.       40.       36.85507 ]
6265f0745d3f40546bcd32c43682e841_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [ 9.541152 18.252121 20.       20.       40.      ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [40.       20.049242 40.       37.76255  26.686478]
1790131f5f74b1ed973aff268eb6b00c_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [23.010763 11.959285  9.106335 15.23028  40.      ]
a115d534edec6f89afe1d4530f4c6e24_20_20_20_40_20_240_40_400:gt ['20', '20', '20', '40', '20']:pred [20.         1.4708726 20.        40.        17.057596 ]
4ac021653126a29e98618a1ba17f086b_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [18.340845 26.83955  20.       40.       40.      ]
7dac31838b627748eb631ba05bd8dfe_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [12.44281  14.434401 20.       20.       40.      ]
d72ffa185738bccd10b75223b5be6dbb_40_20_20_20_40_160_40_400:gt ['40', '20', '20', '20', '40']:pred [40.       18.248695 20.       20.       40.      ]
825fb860d71c78a477c771b4b7eed82c_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [24.360424 17.074112 20.       40.       17.524834]
5ec3322293a39816ad7e7cea4034d226_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [20.          0.46572578 40.         20.          0.2803154 ]
1a64bf1e658652ddb11647ffa4306609_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [23.745237 15.617287 19.163525 37.616146 30.140118]
4f17af1ca7ae689d409b2c4484d833cc_40_20_40_20_20_80_80_400:gt ['40', '20', '40', '20', '20']:pred [13.951195   1.6213979 40.        20.        20.       ]
5ec3322293a39816ad7e7cea4034d226_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.          1.6400168  40.         20.          0.16908497]
a387407d49e209fdeea60824a43a0b_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [34.196983 32.35968  12.763301 37.14131  40.      ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [ 9.555601 25.907284 40.       40.       35.105522]
4458ed2a746e61a3b11647ffa4306609_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [40.       19.648436 20.       40.       20.      ]
ffe0a5b165461eb66a2345809e2bb169_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [23.609146    8.362606    0.98025227 32.076633   40.        ]
4ac021653126a29e98618a1ba17f086b_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [25.414295 40.58603  40.       20.       33.72276 ]
a115d534edec6f89afe1d4530f4c6e24_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [20.         2.0814767 40.        20.        17.115995 ]
d72ffa185738bccd10b75223b5be6dbb_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [40.         6.8266726 40.        40.        20.       ]
9d2b7938d426633b28044fe9244db50a_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [20. 40. 20. 20. 40.]
216d910f71942f205df3c6413d40ccb2_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [40.       26.379335 20.       40.       40.      ]
5ec3322293a39816ad7e7cea4034d226_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [20.          0.5092588  40.         40.          0.25598136]
4f17af1ca7ae689d409b2c4484d833cc_20_20_20_20_20_80_80_400:gt ['20', '20', '20', '20', '20']:pred [29.924047 29.68733  20.       20.       20.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [40.        22.175716  20.        20.         5.4941845]
9c827e532de4967285089a13cc567dbd_40_20_40_40_40_240_40_400:gt ['40', '20', '40', '40', '40']:pred [40.       17.056252 40.       40.       40.      ]
a88d69e53a01aab9ff1370452e3a0154_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [20.       11.75657  20.        9.794004  8.774231]
fabcb04fc015f822ca8bf2993ca245b_20_40_20_20_40_240_40_400:gt ['20', '40', '20', '20', '40']:pred [20.       21.734728 20.       20.       20.420015]
2f7cf2c2d170e3c936f37029483b3e41_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [31.972864 38.28429  40.       40.       40.      ]
4458ed2a746e61a3b11647ffa4306609_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [40.       19.354446 40.       40.       20.      ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [20.      20.      40.      40.      37.00111]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [23.312077 20.       20.       40.       24.909002]
4f17af1ca7ae689d409b2c4484d833cc_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [27.041899  6.465857 20.       20.       14.358859]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_40_40_20_240_80_400:gt ['20', '20', '40', '40', '20']:pred [20.189684 24.614706 40.       40.       20.      ]
86c8a3137a716d70e742b0b5e87bec54_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [14.663119 30.653843 16.810886 25.266832 24.627453]
d2592adba4e8e62648368c1a2f71c5f3_40_40_40_20_40_160_40_400:gt ['40', '40', '40', '20', '40']:pred [40.       21.78985  40.       38.48954  28.099886]
fabcb04fc015f822ca8bf2993ca245b_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [20.048267 21.142706 10.151332 48.66399  20.      ]
6265f0745d3f40546bcd32c43682e841_20_40_40_20_20_80_80_400:gt ['20', '40', '40', '20', '20']:pred [15.410283  8.665802 40.       20.       20.      ]
4ac021653126a29e98618a1ba17f086b_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [14.42676  24.30032  40.       40.       32.357246]
a88d69e53a01aab9ff1370452e3a0154_40_20_20_40_40_240_80_400:gt ['40', '20', '20', '40', '40']:pred [28.617304  17.774157   2.7235851  9.450003  24.24494  ]
cde88b5900e8dfba725a7749daae1afa_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [40.       15.053495 40.       20.       20.      ]
cde88b5900e8dfba725a7749daae1afa_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [25.228804 11.849969 20.       40.       40.      ]
9c827e532de4967285089a13cc567dbd_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [17.57666  31.789738 20.       40.       40.      ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [20.       47.09041  40.       34.859028 22.906534]
ffe0a5b165461eb66a2345809e2bb169_20_20_20_20_20_240_40_400:gt ['20', '20', '20', '20', '20']:pred [20.       10.58344  20.       20.       20.744003]
cde88b5900e8dfba725a7749daae1afa_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [20.        7.561277 40.       20.       20.      ]
9c827e532de4967285089a13cc567dbd_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [ 8.116997 24.070927 40.       20.       20.      ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_20_20_20_80_80_400:gt ['20', '40', '20', '20', '20']:pred [23.785961  35.49762    4.5826907 14.451605  20.       ]
4458ed2a746e61a3b11647ffa4306609_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [20.         7.0043426 40.        40.        40.       ]
5e87b04efd58cc8922412d2a728de1d5_20_40_40_20_40_160_40_400:gt ['20', '40', '40', '20', '40']:pred [20.       24.012964 40.       36.80052  25.46112 ]
5e87b04efd58cc8922412d2a728de1d5_40_40_20_40_40_240_80_400:gt ['40', '40', '20', '40', '40']:pred [29.846416   1.8752332 15.449773  29.959215  16.739883 ]
825fb860d71c78a477c771b4b7eed82c_20_40_40_40_20_240_80_400:gt ['20', '40', '40', '40', '20']:pred [26.561773 25.060223 40.       40.       18.868439]
c4941d6a2266813c3a2b1a2e5e169910_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [ 7.8540998  1.1454512 40.        20.        20.       ]
6265f0745d3f40546bcd32c43682e841_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [22.041754 13.120775 40.       20.       20.      ]
12f2905dc029f59a2479fbc7da5ed22b_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20.        15.665052  20.        40.         8.2243595]
86c8a3137a716d70e742b0b5e87bec54_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [42.02117  44.05726  21.906807 21.29681  12.03975 ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [20. 20. 20. 40. 40.]
fabcb04fc015f822ca8bf2993ca245b_20_20_40_20_20_80_80_400:gt ['20', '20', '40', '20', '20']:pred [20.        3.939094  8.22095  40.15026  20.      ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_40_40_20_240_80_400:gt ['20', '40', '40', '40', '20']:pred [40.38138  29.54637  23.19873  31.708324 32.61154 ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_20_20_20_240_40_400:gt ['20', '20', '20', '20', '20']:pred [20.       28.879303 20.       20.       23.887209]
d0cf2f187acda5736be7348aa770e4ca_40_40_40_20_40_160_40_400:gt ['40', '40', '40', '20', '40']:pred [40.       32.87073  40.       27.127144 40.      ]
2f7cf2c2d170e3c936f37029483b3e41_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [29.30948  34.602623 20.       20.       20.      ]
4ac021653126a29e98618a1ba17f086b_20_40_20_20_20_240_80_400:gt ['20', '40', '20', '20', '20']:pred [26.025677 39.30957  20.       20.       37.87139 ]
4f17af1ca7ae689d409b2c4484d833cc_40_40_40_40_20_160_40_400:gt ['40', '40', '40', '40', '20']:pred [40.       19.318468 40.       40.       11.739476]
1a64bf1e658652ddb11647ffa4306609_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [22.326681 18.681705 11.595218 20.       40.      ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_40_40_40_80_80_400:gt ['20', '40', '40', '40', '40']:pred [21.836205   5.0068655 40.        40.        40.       ]
a115d534edec6f89afe1d4530f4c6e24_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [20.       37.702877 20.       20.       27.807577]
c4941d6a2266813c3a2b1a2e5e169910_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [ 9.978911  14.127508  40.        40.         5.0895596]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_40_20_20_80_80_400:gt ['20', '20', '40', '20', '20']:pred [10.975343 12.395839 40.       20.       20.      ]
1790131f5f74b1ed973aff268eb6b00c_40_20_20_40_20_160_80_400:gt ['40', '20', '20', '40', '20']:pred [12.216385 10.896612  5.892702 13.156283 20.      ]
4ac021653126a29e98618a1ba17f086b_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [16.170544 26.454268 20.       20.       33.173573]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [20.       22.977146 40.       40.       20.      ]
825fb860d71c78a477c771b4b7eed82c_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [24.290518 24.182394 20.       20.       23.435545]
2f7cf2c2d170e3c936f37029483b3e41_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [35.350765 28.071186 20.       20.       40.      ]
425ba801e904cb50f3aaed7e86215c7b_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [40.       20.       40.       40.       26.362375]
ffe0a5b165461eb66a2345809e2bb169_40_20_40_20_20_80_80_400:gt ['40', '20', '40', '20', '20']:pred [23.883984    6.199798    0.79627585 19.596786   20.        ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [41.883118 28.812778 14.581489 17.359875 22.159487]
70e27da90dec2de49604bf8c981ad1eb_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [23.706335 15.764476 40.       20.       20.157156]
fabcb04fc015f822ca8bf2993ca245b_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [20.        13.801136   2.7951787 44.43318   20.       ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [40.       33.264027 40.       20.       20.      ]
70e27da90dec2de49604bf8c981ad1eb_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [25.594902 15.183113 20.       40.       23.070856]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_40_40_20_160_40_400:gt ['20', '40', '40', '40', '20']:pred [20.       34.320526 40.       40.       27.771221]
7c46bfff2f90f11044592db9be5db5c8_20_40_20_20_40_80_40_400:gt ['20', '40', '20', '20', '40']:pred [10.731739 27.481024 20.       20.       40.      ]
ffe0a5b165461eb66a2345809e2bb169_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       38.396675 40.       37.40893  11.740497]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [25.606085 23.949081 40.       20.       12.717721]
d0cf2f187acda5736be7348aa770e4ca_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [20.326647  11.824864   3.4293604 17.678337  20.       ]
a387407d49e209fdeea60824a43a0b_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [ 2.7007098 30.304556   5.2268505 10.862061   9.519716 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [15.4529   24.610615  8.685304 40.       40.      ]
6265f0745d3f40546bcd32c43682e841_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       30.183407 20.       20.       20.      ]
cde88b5900e8dfba725a7749daae1afa_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [22.742674   5.9649076 40.        20.        20.       ]
6265f0745d3f40546bcd32c43682e841_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [10.179594  6.186213 40.       40.       40.      ]
216d910f71942f205df3c6413d40ccb2_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [24.08897  24.510616 20.       20.       40.      ]
7dac31838b627748eb631ba05bd8dfe_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [21.430077  9.90905  20.       40.       40.      ]
6265f0745d3f40546bcd32c43682e841_40_40_40_20_40_160_40_400:gt ['40', '40', '40', '20', '40']:pred [40.       29.585752 40.       20.       40.      ]
7dac31838b627748eb631ba05bd8dfe_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [15.207247 14.629267 40.       20.       20.      ]
a387407d49e209fdeea60824a43a0b_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [40.831703 36.747086 36.90341  42.100655 29.346428]
923007b377bb1cab473f10e6caaeca56_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [ 3.226475 33.189423 40.       20.       20.      ]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [40.       20.726313 20.       28.610556 18.726929]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [36.70278  23.253841 20.       40.        2.055967]
216d910f71942f205df3c6413d40ccb2_40_20_40_40_40_240_40_400:gt ['40', '20', '40', '40', '40']:pred [40.       16.939173 40.       40.       40.      ]
9c827e532de4967285089a13cc567dbd_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [40.       36.233303 20.       20.       40.      ]
ffe0a5b165461eb66a2345809e2bb169_20_20_40_20_20_160_40_400:gt ['20', '20', '40', '20', '20']:pred [20.       27.338945 40.       27.93588  15.069791]
d72ffa185738bccd10b75223b5be6dbb_20_20_40_20_20_240_80_400:gt ['20', '20', '40', '20', '20']:pred [21.785366   8.8278475 40.        20.        20.       ]
86c8a3137a716d70e742b0b5e87bec54_40_40_20_40_40_80_40_400:gt ['40', '40', '20', '40', '40']:pred [30.590017 34.467068 14.74283  40.       40.      ]
b9786e1b059a1712ca92a4cdad802b45_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [20.064085 21.057827 40.       20.       35.410767]
a387407d49e209fdeea60824a43a0b_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [20.         3.1172955 40.        14.006337  17.533695 ]
1790131f5f74b1ed973aff268eb6b00c_20_20_20_40_20_80_80_400:gt ['20', '20', '20', '40', '20']:pred [ 8.638053 10.766129 20.       20.210205 20.      ]
a115d534edec6f89afe1d4530f4c6e24_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [30.28361    2.2826617 20.        20.        40.       ]
7dac31838b627748eb631ba05bd8dfe_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [26.551582 22.449553 20.       20.       40.      ]
a88d69e53a01aab9ff1370452e3a0154_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [20.        8.855895 40.        8.995048  9.279466]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [20. 20. 20. 20. 40.]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_40_20_20_80_80_400:gt ['20', '40', '40', '20', '20']:pred [ 7.7390223  5.187181  40.        20.        20.       ]
5ec3322293a39816ad7e7cea4034d226_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [30.538788   26.592596   20.         20.          0.19333547]
9c827e532de4967285089a13cc567dbd_40_40_20_20_40_80_40_400:gt ['40', '40', '20', '20', '40']:pred [11.805477 29.965912 20.       20.       40.      ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [26.148058  9.531976 40.       20.       20.079744]
c4941d6a2266813c3a2b1a2e5e169910_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [15.128329  7.499957 40.       40.       40.      ]
b9786e1b059a1712ca92a4cdad802b45_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [16.29022 14.70558 20.      20.      40.8709 ]
4ac021653126a29e98618a1ba17f086b_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       32.629654 20.       20.       35.152058]
d2592adba4e8e62648368c1a2f71c5f3_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [27.243439   2.2951717 15.578372  44.58965   18.695898 ]
1a64bf1e658652ddb11647ffa4306609_20_40_40_40_40_80_80_400:gt ['20', '40', '40', '40', '40']:pred [24.97851   11.953525   2.4726942 38.239994  40.       ]
a387407d49e209fdeea60824a43a0b_20_40_40_20_40_160_40_400:gt ['20', '40', '40', '20', '40']:pred [20.       45.280746 40.       28.06725  31.269375]
c61ec8875746ab78227375499b768057_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [20.         9.024948  40.        40.         0.9916177]
4458ed2a746e61a3b11647ffa4306609_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [20.260622 33.096684 40.       40.       20.      ]
a115d534edec6f89afe1d4530f4c6e24_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [20.         1.5912279 40.        40.        16.607145 ]
ffe0a5b165461eb66a2345809e2bb169_20_20_20_40_20_80_40_400:gt ['20', '20', '20', '40', '20']:pred [28.941696  30.668835   6.5924816 40.        20.       ]
825fb860d71c78a477c771b4b7eed82c_20_20_40_20_20_240_40_400:gt ['20', '20', '40', '20', '20']:pred [20.         6.5912066 40.        20.        18.085096 ]
923007b377bb1cab473f10e6caaeca56_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [ 3.7398076 34.087925  40.        20.        40.       ]
12f2905dc029f59a2479fbc7da5ed22b_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       14.357057 20.       20.       14.656488]
a115d534edec6f89afe1d4530f4c6e24_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [18.28176  7.5242  40.      40.      20.     ]
fabcb04fc015f822ca8bf2993ca245b_40_40_20_40_20_240_80_400:gt ['40', '40', '20', '40', '20']:pred [38.184803 20.13217  38.89883  45.42855  20.833511]
4458ed2a746e61a3b11647ffa4306609_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [20.        6.962277 40.       20.       40.      ]
4ac021653126a29e98618a1ba17f086b_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [28.065163 37.71175  20.       20.       33.333355]
a387407d49e209fdeea60824a43a0b_40_20_20_40_20_160_80_400:gt ['40', '20', '20', '40', '20']:pred [38.169193 29.5128   35.052677 33.63295  34.244015]
d72ffa185738bccd10b75223b5be6dbb_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [22.813437 30.242304 20.       20.       20.      ]
ffe0a5b165461eb66a2345809e2bb169_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [40.       33.937923 40.       31.337217 13.953862]
c61ec8875746ab78227375499b768057_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [40.        2.511436 40.       20.        8.121843]
72ba2195087f80d8b7e8c57d131d2ca7_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [24.725351 20.232567  9.339884 33.711735 40.      ]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [17.136885 40.       20.       40.       22.195656]
a387407d49e209fdeea60824a43a0b_40_40_20_40_40_160_40_400:gt ['40', '40', '20', '40', '40']:pred [40.       35.721    20.       25.576523 31.9276  ]
cde88b5900e8dfba725a7749daae1afa_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.       11.899718 40.       20.       40.      ]
cde88b5900e8dfba725a7749daae1afa_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [40.         4.5315385 20.        40.        40.       ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_40_20_20_160_40_400:gt ['20', '20', '40', '20', '20']:pred [20. 20. 40. 20. 20.]
1790131f5f74b1ed973aff268eb6b00c_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [23.000788  9.969577  5.906544 23.677206 20.      ]
9d2b7938d426633b28044fe9244db50a_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [40. 40. 20. 20. 20.]
