70e27da90dec2de49604bf8c981ad1eb_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [33.386055   7.6558614 40.        40.        14.459921 ]
923007b377bb1cab473f10e6caaeca56_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [16.504387 18.26065  40.       20.       20.      ]
d0cf2f187acda5736be7348aa770e4ca_20_40_40_40_40_80_80_400:gt ['20', '40', '40', '40', '40']:pred [21.035444 19.563885 20.941141 20.743103 40.      ]
9c827e532de4967285089a13cc567dbd_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [20.       10.480629 20.       40.       40.      ]
c4941d6a2266813c3a2b1a2e5e169910_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [ 4.903262   0.9898261 40.        20.        21.57419  ]
825fb860d71c78a477c771b4b7eed82c_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [40.         1.9924412 40.        20.         8.027419 ]
86c8a3137a716d70e742b0b5e87bec54_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [27.793394 34.33701  25.38878  20.36424   7.076591]
fabcb04fc015f822ca8bf2993ca245b_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [40.       33.629795 20.        9.102557 44.167763]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_20_40_160_40_400:gt ['40', '40', '40', '20', '40']:pred [40.       27.017218 40.        8.52219  37.38143 ]
216d910f71942f205df3c6413d40ccb2_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [16.766123 16.34839  20.       20.       40.      ]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       31.15689  20.       11.104304 16.589542]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [20.         0.8336212 40.        40.         3.0071564]
fa1b3bcdbda309a439cc19d48e3f4f5_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [30.541166 27.37446  20.       20.       20.      ]
a115d534edec6f89afe1d4530f4c6e24_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [20.745636   9.4963875 20.        40.        32.162167 ]
c61ec8875746ab78227375499b768057_40_20_20_20_40_160_40_400:gt ['40', '20', '20', '20', '40']:pred [40.       11.854164 20.       20.       30.11041 ]
7c46bfff2f90f11044592db9be5db5c8_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [20.        5.561857 40.       20.       32.064026]
c4941d6a2266813c3a2b1a2e5e169910_40_20_40_40_40_240_40_400:gt ['40', '20', '40', '40', '40']:pred [40.        3.143754 40.       40.       10.946754]
6265f0745d3f40546bcd32c43682e841_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [17.759384  2.520997 40.       40.       20.      ]
a115d534edec6f89afe1d4530f4c6e24_40_20_20_40_20_240_80_400:gt ['40', '20', '20', '40', '20']:pred [ 8.54345   5.112149 20.       40.        8.673614]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [ 4.264502   2.8026228 40.        20.        40.       ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [40.       20.539068 20.        7.305687 37.87818 ]
9c827e532de4967285089a13cc567dbd_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [20.      26.43906 40.      20.      40.     ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [25.414225 32.37555  40.       40.       20.      ]
216d910f71942f205df3c6413d40ccb2_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.    27.791 40.    40.    40.   ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [20.       14.371507 40.       40.       40.      ]
fabcb04fc015f822ca8bf2993ca245b_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [20.       11.40362  24.948793 20.029129 20.      ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [40.       23.825527 40.       20.       27.875475]
5e87b04efd58cc8922412d2a728de1d5_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [28.163239 27.21228  17.26146  40.       40.      ]
b9786e1b059a1712ca92a4cdad802b45_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [19.318083 29.976166 40.       40.       15.457641]
7dac31838b627748eb631ba05bd8dfe_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [ 9.151823 30.851162 40.       40.       40.      ]
86c8a3137a716d70e742b0b5e87bec54_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [26.863811 29.131378 29.639637 40.       40.      ]
5ec3322293a39816ad7e7cea4034d226_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [39.794502 25.059456 40.       20.       20.      ]
825fb860d71c78a477c771b4b7eed82c_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [40.         5.7906466 20.        40.         5.752307 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [20.         9.466237  40.        20.         5.3674417]
c61ec8875746ab78227375499b768057_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [20.       19.456713 20.       40.       10.519608]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_40_20_40_160_40_400:gt ['20', '40', '40', '20', '40']:pred [20.        4.569135 40.       20.       40.      ]
7c46bfff2f90f11044592db9be5db5c8_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [25.126055 15.729602 40.       20.       37.562798]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_40_20_20_240_40_400:gt ['20', '20', '40', '20', '20']:pred [20.        5.83706  40.        3.227413  9.143593]
c4941d6a2266813c3a2b1a2e5e169910_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [20.       15.731071 40.       40.       31.79331 ]
72ba2195087f80d8b7e8c57d131d2ca7_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [ 9.755238 17.911255 11.824328 12.76204  16.95415 ]
aa9f41bc3925ffc4be9358e8c18dc481_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [21.329723  8.813245 20.       20.       20.      ]
4458ed2a746e61a3b11647ffa4306609_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [12.892555 10.432487 40.       40.       40.      ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [20.       29.39299  20.       40.       25.558617]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [ 9.2883625   1.01662     4.420496    0.08852466 20.        ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [28.156822  29.997719  40.        20.         1.3757229]
2f7cf2c2d170e3c936f37029483b3e41_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [20.379036 24.96491  40.       20.       35.28807 ]
a88d69e53a01aab9ff1370452e3a0154_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [11.865102   6.2380996 11.200173   9.442058  14.716875 ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_20_40_40_20_240_80_400:gt ['20', '20', '40', '40', '20']:pred [14.106312 17.511795 40.       40.       16.851023]
5e87b04efd58cc8922412d2a728de1d5_20_20_20_40_40_160_80_400:gt ['20', '20', '20', '40', '40']:pred [ 2.8756585  2.8744147 16.491518   2.2102087 15.649174 ]
4ac021653126a29e98618a1ba17f086b_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [23.612047 12.909088 40.       40.       40.      ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [38.232204 36.46899  17.699484 20.       20.      ]
2f7cf2c2d170e3c936f37029483b3e41_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [12.968302  14.798481  20.        20.         4.3021526]
70e27da90dec2de49604bf8c981ad1eb_20_20_20_40_40_160_80_400:gt ['20', '20', '20', '40', '40']:pred [10.059609   1.2307863 20.        40.        25.897642 ]
923007b377bb1cab473f10e6caaeca56_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [33.549217 37.41279  40.       40.       20.      ]
b9786e1b059a1712ca92a4cdad802b45_40_40_20_40_40_160_80_400:gt ['40', '40', '20', '40', '40']:pred [27.893333 38.88346  20.       40.       18.07429 ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       17.729156 40.       40.       40.      ]
2f7cf2c2d170e3c936f37029483b3e41_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [38.444736 26.991375 20.       40.       40.      ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_20_40_20_80_80_400:gt ['20', '20', '20', '40', '20']:pred [24.537382 23.398163 20.       40.       20.      ]
72ba2195087f80d8b7e8c57d131d2ca7_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [26.39089  23.733524 26.207771 20.       20.      ]
aa9f41bc3925ffc4be9358e8c18dc481_40_20_40_40_20_80_80_400:gt ['40', '20', '40', '40', '20']:pred [14.743549   0.8404337 40.        40.        20.       ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [23.519861   11.088366   15.38531     0.30702004 26.072372  ]
1a64bf1e658652ddb11647ffa4306609_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [18.063892 26.640837 21.065384 18.518494 28.402998]
b9786e1b059a1712ca92a4cdad802b45_20_20_20_40_40_160_80_400:gt ['20', '20', '20', '40', '40']:pred [14.21327  13.638059 20.       40.       24.200232]
cde88b5900e8dfba725a7749daae1afa_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.       21.477573 20.       20.       20.      ]
fabcb04fc015f822ca8bf2993ca245b_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [15.333704   7.427911   2.411969  11.9349575 14.60573  ]
12f2905dc029f59a2479fbc7da5ed22b_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [14.142928 11.196374 40.       20.       20.      ]
c4941d6a2266813c3a2b1a2e5e169910_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [36.390385 34.884815 40.       40.       40.      ]
5ec3322293a39816ad7e7cea4034d226_20_40_20_20_20_80_80_400:gt ['20', '40', '20', '20', '20']:pred [24.049381   6.2635407 20.        20.        20.       ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_20_40_20_80_40_400:gt ['20', '20', '20', '40', '20']:pred [20.164774 20.27851  20.       40.       20.      ]
7c46bfff2f90f11044592db9be5db5c8_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [14.490239 22.366718 20.       40.       20.      ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [28.629154  34.737873  13.505662  14.3021965 14.937065 ]
425ba801e904cb50f3aaed7e86215c7b_20_40_20_20_20_240_80_400:gt ['20', '40', '20', '20', '20']:pred [13.553454   0.5320253 20.        20.        20.       ]
825fb860d71c78a477c771b4b7eed82c_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [20.      20.      40.      20.      35.18892]
cde88b5900e8dfba725a7749daae1afa_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [14.359599   9.8154745 40.        40.        20.       ]
86c8a3137a716d70e742b0b5e87bec54_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [40.       30.126625 20.       17.18853  33.113804]
d72ffa185738bccd10b75223b5be6dbb_40_40_20_40_40_240_80_400:gt ['40', '40', '20', '40', '40']:pred [20.206017 14.824467 20.       40.       40.      ]
4f17af1ca7ae689d409b2c4484d833cc_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [13.609392 21.584454 20.       20.       37.662495]
7dac31838b627748eb631ba05bd8dfe_20_40_20_20_20_80_80_400:gt ['20', '40', '20', '20', '20']:pred [ 3.6011965 17.603527  20.        20.        20.       ]
a387407d49e209fdeea60824a43a0b_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [20.       15.516508 40.        8.034277 42.75962 ]
825fb860d71c78a477c771b4b7eed82c_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [20.      20.      20.      40.      41.07735]
a88d69e53a01aab9ff1370452e3a0154_20_40_40_20_20_80_80_400:gt ['20', '40', '40', '20', '20']:pred [23.543257 17.739782 26.347136 25.979904 20.      ]
2f7cf2c2d170e3c936f37029483b3e41_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [20.       24.146076 20.       20.       40.60827 ]
9d2b7938d426633b28044fe9244db50a_40_20_20_40_20_240_80_400:gt ['40', '20', '20', '40', '20']:pred [40. 20. 20. 40. 20.]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [ 8.613139 20.       40.       40.       41.01365 ]
9c827e532de4967285089a13cc567dbd_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [30.252821  13.1444235 40.        40.        40.       ]
7dac31838b627748eb631ba05bd8dfe_40_40_20_40_20_160_40_400:gt ['40', '40', '20', '40', '20']:pred [40.       29.162054 20.       40.       20.      ]
d72ffa185738bccd10b75223b5be6dbb_40_20_20_40_40_240_80_400:gt ['40', '20', '20', '40', '40']:pred [ 2.967788   7.6774335 20.        40.        40.       ]
216d910f71942f205df3c6413d40ccb2_20_20_20_40_40_80_40_400:gt ['20', '20', '20', '40', '40']:pred [10.574921 13.158669 20.       40.       40.      ]
a387407d49e209fdeea60824a43a0b_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [16.537558 25.989971 14.133222  7.287465  9.00785 ]
fabcb04fc015f822ca8bf2993ca245b_40_40_20_40_20_160_80_400:gt ['40', '40', '20', '40', '20']:pred [33.01807  37.409588 17.833767 18.159985 38.57085 ]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [ 9.9384365  1.6282557 20.        20.        20.       ]
cde88b5900e8dfba725a7749daae1afa_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [40.       31.238838 20.       40.       40.      ]
4ac021653126a29e98618a1ba17f086b_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [22.257252  4.034441 20.       20.       24.878069]
a88d69e53a01aab9ff1370452e3a0154_20_20_40_20_20_160_40_400:gt ['20', '20', '40', '20', '20']:pred [20.       16.399193 40.        8.506659 30.262793]
d0cf2f187acda5736be7348aa770e4ca_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [32.069813  22.187511   4.5020647  1.5803926 40.       ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_40_40_240_80_400:gt ['40', '40', '20', '40', '40']:pred [22.366865  28.05568   23.969122  10.430043  13.8242855]
d2592adba4e8e62648368c1a2f71c5f3_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [40.       15.965992 40.       20.        6.348883]
4ac021653126a29e98618a1ba17f086b_20_20_20_40_20_160_80_400:gt ['20', '20', '20', '40', '20']:pred [23.808617  4.647549 20.       40.       30.375534]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [40.        19.234224  20.        20.         2.3891695]
825fb860d71c78a477c771b4b7eed82c_40_40_20_40_20_240_80_400:gt ['40', '40', '20', '40', '20']:pred [19.353786 18.240385 20.       40.       18.055405]
2f7cf2c2d170e3c936f37029483b3e41_40_40_20_20_20_160_80_400:gt ['40', '40', '20', '20', '20']:pred [33.189487 38.013664 20.       20.       35.410088]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [21.06097   8.754395 27.264486 20.608019 20.      ]
7dac31838b627748eb631ba05bd8dfe_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [26.981886 14.988864 40.       20.       20.      ]
5e87b04efd58cc8922412d2a728de1d5_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [ 6.405299  21.0313     7.6103015 11.005464  15.988158 ]
923007b377bb1cab473f10e6caaeca56_40_40_20_40_40_160_80_400:gt ['40', '40', '20', '40', '40']:pred [31.747002 38.47679  20.       40.       40.      ]
a387407d49e209fdeea60824a43a0b_40_20_20_40_40_80_80_400:gt ['40', '20', '20', '40', '40']:pred [29.508549  18.105877  11.7739105 29.720383  40.       ]
a88d69e53a01aab9ff1370452e3a0154_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [40.        19.831047  20.        16.14559    3.6204376]
425ba801e904cb50f3aaed7e86215c7b_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [20.         4.2583394 40.        20.        40.       ]
d72ffa185738bccd10b75223b5be6dbb_20_40_40_20_40_160_40_400:gt ['20', '40', '40', '20', '40']:pred [20.         7.7746673 40.        20.        40.       ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [40.        15.891364  20.        40.         5.4160786]
4ac021653126a29e98618a1ba17f086b_40_20_40_40_40_80_40_400:gt ['40', '20', '40', '40', '40']:pred [26.65599  23.048185 40.       40.       40.      ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [28.061876 36.012444 40.       20.       20.      ]
216d910f71942f205df3c6413d40ccb2_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40.       14.172795 20.       40.       40.      ]
425ba801e904cb50f3aaed7e86215c7b_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [20.       40.       20.       20.       30.297224]
923007b377bb1cab473f10e6caaeca56_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [17.790792 31.199305 40.       40.       40.      ]
ffe0a5b165461eb66a2345809e2bb169_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [22.64893  25.519285 16.167404 20.       20.      ]
aa9f41bc3925ffc4be9358e8c18dc481_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [19.75175   3.438239 40.       20.       20.      ]
4ac021653126a29e98618a1ba17f086b_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [40.       30.364752 40.       20.       40.571552]
a387407d49e209fdeea60824a43a0b_20_20_20_20_20_80_80_400:gt ['20', '20', '20', '20', '20']:pred [ 9.213502 16.574036 15.644241 14.848516 20.      ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [20.        7.290812 20.       20.       40.      ]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [24.206059    0.41085014 20.         40.         40.        ]
a88d69e53a01aab9ff1370452e3a0154_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [13.759133  16.985731  11.23514   17.86749    2.9711251]
12f2905dc029f59a2479fbc7da5ed22b_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [13.316396 12.210786 40.       40.       20.      ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [40.       29.323606 20.       21.304447 22.259462]
216d910f71942f205df3c6413d40ccb2_20_40_20_20_40_240_40_400:gt ['20', '40', '20', '20', '40']:pred [20.        8.839645 20.       20.       40.      ]
1790131f5f74b1ed973aff268eb6b00c_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [ 9.753377   2.4899118 40.        20.        40.       ]
825fb860d71c78a477c771b4b7eed82c_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [40.         7.463361  20.        20.         7.9536896]
7dac31838b627748eb631ba05bd8dfe_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [33.24956  37.137817 40.       20.       20.      ]
9d2b7938d426633b28044fe9244db50a_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [20. 20. 20. 20. 20.]
1790131f5f74b1ed973aff268eb6b00c_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [ 9.545172    4.064245    5.4046273   0.23939498 40.        ]
c61ec8875746ab78227375499b768057_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [40.        29.39957   40.        40.         6.9348645]
c4941d6a2266813c3a2b1a2e5e169910_40_40_40_40_40_240_80_400:gt ['40', '40', '40', '40', '40']:pred [22.581501 22.924723 40.       40.       19.168165]
216d910f71942f205df3c6413d40ccb2_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.      10.37773 20.      20.      20.     ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_40_20_20_40_240_80_400:gt ['40', '40', '20', '20', '40']:pred [27.440355  28.580807  20.        20.         1.5428141]
aa9f41bc3925ffc4be9358e8c18dc481_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [15.008311    0.79644525 40.         40.         40.        ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.      19.56196 20.      20.      20.     ]
425ba801e904cb50f3aaed7e86215c7b_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [18.163372 10.495794 40.       20.       20.      ]
d2592adba4e8e62648368c1a2f71c5f3_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [40.        9.207089 20.       40.       11.455364]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [15.457771  21.376879  17.21244   17.51445    7.7307887]
216d910f71942f205df3c6413d40ccb2_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [40.         4.5907593 40.        40.        20.       ]
9d2b7938d426633b28044fe9244db50a_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [20. 20. 20. 40. 40.]
216d910f71942f205df3c6413d40ccb2_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [16.328878 29.18753  40.       40.       20.      ]
a115d534edec6f89afe1d4530f4c6e24_20_40_40_40_20_240_80_400:gt ['20', '40', '40', '40', '20']:pred [20.931635   2.6757321 40.        40.         7.298666 ]
ffe0a5b165461eb66a2345809e2bb169_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [40.         5.893422  40.         4.7062397 20.476841 ]
86c8a3137a716d70e742b0b5e87bec54_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [26.033772  23.539679  20.343641   5.7169704  8.756832 ]
5e87b04efd58cc8922412d2a728de1d5_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [30.32973  27.29502  20.600504 20.       40.      ]
a88d69e53a01aab9ff1370452e3a0154_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [33.66038  30.398651 18.671469 40.       40.      ]
425ba801e904cb50f3aaed7e86215c7b_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [18.272577   5.3285704 40.        40.        33.57911  ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.       15.974115 40.       20.       14.156164]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [20.        4.828382 40.       20.       20.      ]
70e27da90dec2de49604bf8c981ad1eb_20_40_40_20_20_80_80_400:gt ['20', '40', '40', '20', '20']:pred [20.336615   1.0359551 40.        20.        20.       ]
a387407d49e209fdeea60824a43a0b_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [40.       17.149422 40.       12.408356 10.825143]
9c827e532de4967285089a13cc567dbd_40_20_20_20_20_240_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       16.962198 20.       20.       20.      ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_40_20_40_160_40_400:gt ['40', '20', '40', '20', '40']:pred [40.       26.187815 40.       20.       30.963346]
12f2905dc029f59a2479fbc7da5ed22b_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40.        16.998058  20.        40.         7.9969997]
c61ec8875746ab78227375499b768057_20_40_40_40_20_240_80_400:gt ['20', '40', '40', '40', '20']:pred [22.458704 18.94378  40.       40.       12.705239]
425ba801e904cb50f3aaed7e86215c7b_20_40_20_20_40_160_40_400:gt ['20', '40', '20', '20', '40']:pred [20.       40.       20.       20.       29.340221]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [ 3.4340768  1.0459447 40.        20.        20.       ]
fabcb04fc015f822ca8bf2993ca245b_20_20_20_20_20_80_40_400:gt ['20', '20', '20', '20', '20']:pred [20.       34.619293 11.207113 20.       20.      ]
4458ed2a746e61a3b11647ffa4306609_20_20_40_20_20_240_40_400:gt ['20', '20', '40', '20', '20']:pred [20.         7.0987387 40.        20.        20.       ]
6265f0745d3f40546bcd32c43682e841_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [23.56604    3.4535327 20.        20.        20.       ]
7dac31838b627748eb631ba05bd8dfe_40_20_20_40_20_240_80_400:gt ['40', '20', '20', '40', '20']:pred [ 2.1068518 14.717327  20.        40.        20.       ]
cde88b5900e8dfba725a7749daae1afa_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [20.       24.591003 20.       20.       40.      ]
12f2905dc029f59a2479fbc7da5ed22b_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [12.212742 15.325035 40.       20.       20.      ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_20_20_20_160_80_400:gt ['40', '40', '20', '20', '20']:pred [33.568447 36.002502 20.       20.       30.253122]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_20_40_20_160_40_400:gt ['20', '20', '20', '40', '20']:pred [20.       13.209359 20.       40.        4.050893]
c4941d6a2266813c3a2b1a2e5e169910_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [ 9.744355   5.4656444 40.        40.        17.613258 ]
d2592adba4e8e62648368c1a2f71c5f3_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [19.37204  28.710503 23.136438  9.916927 24.46452 ]
