hybrid_0_0_-20_20_40_240_40_450:gt ['0', '0', '-20', '20', '40']:pred [ 8.109364  0.       11.737897 13.848763 40.      ]
hybrid_-20_40_-20_20_40_240_80_450:gt ['-20', '40', '-20', '20', '40']:pred [20.       40.       26.448166 31.251068 40.      ]
hatchback_-20_20_-40_0_40_120_40_450:gt ['-20', '20', '-40', '0', '40']:pred [16.713652 20.       23.251707  0.       27.977583]
suv_-20_0_0_0_0_280_60_450:gt ['-20', '0', '0', '0', '0']:pred [20.  0.  0.  0.  0.]
sedan4door_-40_20_-40_0_20_320_80_450:gt ['-40', '20', '-40', '0', '20']:pred [40. 20. 40.  0. 20.]
sedan4door_-40_0_-40_0_40_120_40_400:gt ['-40', '0', '-40', '0', '40']:pred [16.920254  0.       34.95039   0.        9.17856 ]
sedan4door_0_0_-40_20_40_0_80_400:gt ['0', '0', '-40', '20', '40']:pred [ 0.  0. 40. 20. 40.]
sedan4door_-20_0_-40_40_20_160_80_450:gt ['-20', '0', '-40', '40', '20']:pred [20.  0. 40. 40. 20.]
hatchback_0_40_-20_20_40_160_60_450:gt ['0', '40', '-20', '20', '40']:pred [ 0.       40.       23.885803 20.       40.      ]
hatchback_-40_0_-40_20_20_0_20_400:gt ['-40', '0', '-40', '20', '20']:pred [40.        10.76586   40.         3.2631955 31.575905 ]
sedan4door_-40_40_-40_0_0_280_20_400:gt ['-40', '40', '-40', '0', '0']:pred [40.       41.556847 40.        7.803759  0.      ]
sedan4door_-40_0_-20_0_20_200_40_400:gt ['-40', '0', '-20', '0', '20']:pred [ 8.426751  0.       30.373486  0.       20.      ]
sedan4door_-40_40_-40_40_20_40_80_400:gt ['-40', '40', '-40', '40', '20']:pred [40. 40. 40. 40. 20.]
suv_-40_40_-40_40_0_200_80_450:gt ['-40', '40', '-40', '40', '0']:pred [40. 40. 40. 40.  0.]
hatchback_-40_0_-20_40_20_320_20_450:gt ['-40', '0', '-20', '40', '20']:pred [40.       18.48658  20.        7.322151 20.      ]
hatchback_-20_20_-20_0_40_160_20_450:gt ['-20', '20', '-20', '0', '40']:pred [19.15246   20.        11.2458725  0.        23.415575 ]
hatchback_-40_0_-20_0_40_240_40_450:gt ['-40', '0', '-20', '0', '40']:pred [22.455853  0.       12.664717  0.       40.      ]
hybrid_-20_20_-20_40_20_240_60_400:gt ['-20', '20', '-20', '40', '20']:pred [20.       20.       24.747597 11.545065 20.      ]
sedan4door_0_0_-20_0_0_0_40_400:gt ['0', '0', '-20', '0', '0']:pred [ 0.         5.6281977 20.         1.8376307  0.       ]
hatchback_-40_40_-40_40_40_80_60_450:gt ['-40', '40', '-40', '40', '40']:pred [40. 40. 40. 40. 40.]
hatchback_0_40_-40_40_20_320_20_450:gt ['0', '40', '-40', '40', '20']:pred [ 0.        12.584599  40.         8.7378435 20.       ]
suv_-20_40_-40_20_0_360_20_400:gt ['-20', '40', '-40', '20', '0']:pred [20.        21.781042  40.         1.4556394  2.0134344]
hybrid_-20_0_-20_0_40_40_40_400:gt ['-20', '0', '-20', '0', '40']:pred [20.       33.31407  40.759335 14.914591 40.      ]
sedan4door_-40_0_-20_0_20_120_80_450:gt ['-40', '0', '-20', '0', '20']:pred [40.  0. 20.  0. 20.]
sedan4door_-40_0_-20_20_0_200_40_400:gt ['-40', '0', '-20', '20', '0']:pred [17.061583  0.       38.888393 20.        0.      ]
hybrid_0_40_-40_0_20_120_20_450:gt ['0', '40', '-40', '0', '20']:pred [34.315125 40.       24.898638 17.505112  1.733599]
sedan4door_-20_40_0_20_40_360_40_400:gt ['-20', '40', '0', '20', '40']:pred [20.        27.367014   0.         3.0636497 40.       ]
sedan2door_-20_20_-20_20_40_160_40_450:gt ['-20', '20', '-20', '20', '40']:pred [14.41018  20.       17.901432 13.174961 40.      ]
hatchback_-20_40_-40_20_20_0_20_450:gt ['-20', '40', '-40', '20', '20']:pred [20.        9.456338 40.        4.81169  34.07487 ]
sedan2door_-40_20_-20_0_20_280_20_450:gt ['-40', '20', '-20', '0', '20']:pred [40.       28.526121 14.703446 24.541054 20.      ]
sedan2door_0_0_-20_20_40_40_40_400:gt ['0', '0', '-20', '20', '40']:pred [ 0.       21.74239  38.217453 25.260668 40.      ]
suv_0_0_-20_0_20_80_80_400:gt ['0', '0', '-20', '0', '20']:pred [ 0.        0.       20.        0.       34.040882]
suv_-40_40_0_40_0_40_60_450:gt ['-40', '40', '0', '40', '0']:pred [40.       40.        0.       13.281233  0.      ]
sedan2door_0_40_-40_20_20_40_20_400:gt ['0', '40', '-40', '20', '20']:pred [ 0.        33.441494  25.412792  17.86341    6.7041025]
sedan2door_0_20_-20_40_20_120_60_450:gt ['0', '20', '-20', '40', '20']:pred [ 0.       20.       45.751137 25.175829 20.      ]
hybrid_-20_20_-40_20_20_120_20_400:gt ['-20', '20', '-40', '20', '20']:pred [45.842735  20.        23.276638  21.742586   2.8549438]
suv_-20_0_-40_40_40_160_20_400:gt ['-20', '0', '-40', '40', '40']:pred [19.100819  0.       12.265598 40.       34.47845 ]
hybrid_-20_0_-40_40_40_0_80_400:gt ['-20', '0', '-40', '40', '40']:pred [20.        0.       18.907482  7.016668 40.      ]
sedan4door_-40_40_0_20_0_280_20_400:gt ['-40', '40', '0', '20', '0']:pred [40.        42.37423    0.         7.2144084  0.       ]
hybrid_-40_20_0_0_40_320_80_400:gt ['-40', '20', '0', '0', '40']:pred [40.       20.       28.417833 25.51584  40.      ]
hatchback_-20_20_-20_0_0_280_60_450:gt ['-20', '20', '-20', '0', '0']:pred [20. 20. 20.  0.  0.]
sedan4door_-40_0_-20_0_0_40_60_450:gt ['-40', '0', '-20', '0', '0']:pred [40.         0.        20.         9.7075405  0.       ]
sedan4door_0_0_0_40_0_80_20_450:gt ['0', '0', '0', '40', '0']:pred [ 0.        17.183853  24.400362  51.972843   0.8246567]
sedan4door_-40_40_-20_20_20_120_40_400:gt ['-40', '40', '-20', '20', '20']:pred [26.469038 40.       37.66495  20.        8.53317 ]
sedan2door_-40_20_-40_40_20_80_80_400:gt ['-40', '20', '-40', '40', '20']:pred [40.       20.       32.32502  23.334305 40.554363]
suv_-40_20_0_0_20_120_80_450:gt ['-40', '20', '0', '0', '20']:pred [40. 20.  0.  0. 20.]
suv_-40_0_-20_40_20_120_40_450:gt ['-40', '0', '-20', '40', '20']:pred [39.511444   0.        26.642529  40.         7.8063545]
sedan2door_0_40_-40_40_40_280_40_400:gt ['0', '40', '-40', '40', '40']:pred [ 0.       40.       11.276799 12.99889  40.      ]
hatchback_0_0_-20_0_20_40_40_400:gt ['0', '0', '-20', '0', '20']:pred [ 0.       29.598516 20.       16.975588 20.      ]
suv_-40_20_-20_0_0_320_80_450:gt ['-40', '20', '-20', '0', '0']:pred [40. 20. 20.  0.  0.]
suv_-20_20_-40_20_40_120_40_450:gt ['-20', '20', '-40', '20', '40']:pred [31.837284 20.       29.34105  20.        9.606051]
hybrid_0_20_0_20_40_80_20_400:gt ['0', '20', '0', '20', '40']:pred [ 0.        11.534952  22.17964   23.456038   2.6049662]
hatchback_0_0_-20_20_0_160_60_400:gt ['0', '0', '-20', '20', '0']:pred [ 0.        0.       17.958706 20.        0.      ]
sedan4door_-20_20_-40_40_0_200_60_400:gt ['-20', '20', '-40', '40', '0']:pred [20.       20.       47.368286 40.        0.      ]
sedan2door_-20_40_-40_0_20_160_80_400:gt ['-20', '40', '-40', '0', '20']:pred [20.       40.       33.481487 19.464153 20.      ]
sedan2door_0_0_0_20_40_280_20_450:gt ['0', '0', '0', '20', '40']:pred [ 0.        29.700151   6.4920893 22.83891   40.       ]
suv_-40_20_-40_40_40_360_40_400:gt ['-40', '20', '-40', '40', '40']:pred [40.       11.395998 40.       18.40652  40.      ]
sedan2door_-20_0_-40_0_0_80_80_450:gt ['-20', '0', '-40', '0', '0']:pred [20.        0.       34.08283  16.428635  6.115119]
hybrid_-20_20_0_20_20_240_60_400:gt ['-20', '20', '0', '20', '20']:pred [20.       20.       25.212814 11.52164  20.      ]
hatchback_0_0_0_0_0_120_80_450:gt ['0', '0', '0', '0', '0']:pred [0. 0. 0. 0. 0.]
hatchback_-40_40_-20_0_40_160_80_400:gt ['-40', '40', '-20', '0', '40']:pred [40. 40. 20.  0. 40.]
hatchback_-40_40_0_20_20_40_20_400:gt ['-40', '40', '0', '20', '20']:pred [40.       24.045109  0.       17.984842 15.916091]
sedan2door_-40_0_-20_0_40_360_80_400:gt ['-40', '0', '-20', '0', '40']:pred [40.        0.       30.30388  11.552916 40.      ]
sedan4door_0_0_-40_20_20_200_20_450:gt ['0', '0', '-40', '20', '20']:pred [ 7.8493624  0.        28.69644   20.        20.       ]
suv_-20_20_-20_40_40_240_60_400:gt ['-20', '20', '-20', '40', '40']:pred [20. 20. 20. 40. 40.]
hybrid_-40_40_-20_0_40_240_80_450:gt ['-40', '40', '-20', '0', '40']:pred [40.       40.       27.590702 28.778551 40.      ]
hatchback_0_0_-20_0_0_160_20_400:gt ['0', '0', '-20', '0', '0']:pred [13.36159   0.       21.753527  0.        3.201239]
sedan4door_-40_20_-20_40_0_240_60_400:gt ['-40', '20', '-20', '40', '0']:pred [40. 20. 20. 40.  0.]
suv_0_20_-40_0_40_240_40_400:gt ['0', '20', '-40', '0', '40']:pred [ 9.668952 20.       19.840263  0.       40.      ]
hatchback_-40_40_0_20_20_240_60_450:gt ['-40', '40', '0', '20', '20']:pred [40.       40.       23.398024 20.       20.      ]
suv_0_20_-20_40_0_80_60_450:gt ['0', '20', '-20', '40', '0']:pred [ 0. 20. 20. 40.  0.]
sedan2door_-20_20_-40_0_0_0_80_450:gt ['-20', '20', '-40', '0', '0']:pred [20.       20.       22.262882 23.426989  0.      ]
hybrid_0_20_0_40_0_0_80_400:gt ['0', '20', '0', '40', '0']:pred [ 0.       20.       16.383535 12.882914  0.      ]
sedan2door_-20_0_-20_20_20_280_80_450:gt ['-20', '0', '-20', '20', '20']:pred [20.        0.       34.85467  12.542852 20.      ]
hybrid_0_0_-20_20_40_120_80_400:gt ['0', '0', '-20', '20', '40']:pred [ 0.        0.       34.08266   9.237954 40.      ]
sedan4door_0_20_-40_20_0_240_60_450:gt ['0', '20', '-40', '20', '0']:pred [ 0. 20. 40. 20.  0.]
hybrid_-40_20_-20_0_0_80_60_450:gt ['-40', '20', '-20', '0', '0']:pred [40.       20.       26.237942 17.999525  0.      ]
hatchback_-20_40_-40_0_0_280_40_400:gt ['-20', '40', '-40', '0', '0']:pred [20.        40.        40.         5.8456235  0.       ]
sedan2door_0_0_-20_20_0_360_20_450:gt ['0', '0', '-20', '20', '0']:pred [0.        2.8717248 8.736571  2.8625739 2.1688726]
sedan4door_-20_40_-40_0_40_40_40_450:gt ['-20', '40', '-40', '0', '40']:pred [20.       33.24542  40.       23.516607 40.      ]
sedan2door_0_40_0_0_0_120_60_450:gt ['0', '40', '0', '0', '0']:pred [ 0.       40.       35.376236 23.587858  0.      ]
suv_-20_40_-20_20_20_280_80_450:gt ['-20', '40', '-20', '20', '20']:pred [20. 40. 20. 20. 20.]
sedan2door_-40_0_0_40_0_360_80_400:gt ['-40', '0', '0', '40', '0']:pred [40.        0.       26.634949 11.101806  0.      ]
hybrid_-20_0_-20_40_0_320_20_450:gt ['-20', '0', '-20', '40', '0']:pred [20.        15.784386  18.493889   8.7376995  0.       ]
hatchback_0_20_-40_20_20_80_40_400:gt ['0', '20', '-40', '20', '20']:pred [ 0.       20.       40.        8.493165 20.505535]
hybrid_0_0_-20_40_0_80_40_450:gt ['0', '0', '-20', '40', '0']:pred [ 0.        10.881107  26.71875   15.811006   3.0704315]
hybrid_-20_0_-20_20_0_40_80_400:gt ['-20', '0', '-20', '20', '0']:pred [20.        0.       24.457172 20.436163  0.      ]
hatchback_-40_40_-20_0_0_360_80_400:gt ['-40', '40', '-20', '0', '0']:pred [40.       40.       20.       12.529095  0.      ]
hatchback_-40_40_-40_0_40_320_60_450:gt ['-40', '40', '-40', '0', '40']:pred [40.       40.       40.       12.009843 40.      ]
hybrid_-20_20_-20_40_40_320_40_400:gt ['-20', '20', '-20', '40', '40']:pred [20.       21.0376   15.322732 20.127264 40.      ]
hybrid_0_40_0_40_0_240_80_400:gt ['0', '40', '0', '40', '0']:pred [ 0.       40.       28.582878 24.301985  0.      ]
hatchback_-20_20_-20_40_20_80_40_450:gt ['-20', '20', '-20', '40', '20']:pred [20.        20.        20.        22.527588  13.9188595]
hatchback_-40_20_-20_0_20_360_20_450:gt ['-40', '20', '-20', '0', '20']:pred [40.        10.9097    20.         1.7187891 23.590256 ]
sedan4door_-40_0_0_0_0_280_40_400:gt ['-40', '0', '0', '0', '0']:pred [40.        23.748625   0.         7.7405934  0.       ]
hybrid_-20_0_-40_40_0_80_40_450:gt ['-20', '0', '-40', '40', '0']:pred [20.         7.39318   30.251774  15.847159   3.8537433]
sedan4door_-20_20_0_20_40_320_20_400:gt ['-20', '20', '0', '20', '40']:pred [20.        8.084055  0.        3.248041 40.      ]
hatchback_0_40_-40_0_20_80_40_450:gt ['0', '40', '-40', '0', '20']:pred [ 0.        40.        40.         3.9647918 30.072948 ]
hybrid_-40_20_0_20_40_80_80_450:gt ['-40', '20', '0', '20', '40']:pred [40.       20.       33.529724 16.896233 31.790668]
hybrid_-40_20_-20_40_20_280_20_450:gt ['-40', '20', '-20', '40', '20']:pred [40.       33.04301  16.153399 10.336027 20.      ]
hybrid_0_0_0_0_20_120_20_450:gt ['0', '0', '0', '0', '20']:pred [25.432608   0.        18.648035  12.963145   1.1127275]
hybrid_-40_40_-20_40_20_240_60_450:gt ['-40', '40', '-20', '40', '20']:pred [40.      40.      19.14165 27.66799 20.     ]
sedan4door_0_0_-20_40_40_40_80_450:gt ['0', '0', '-20', '40', '40']:pred [ 0.  0. 20. 40. 40.]
hybrid_-20_40_-20_40_40_360_40_450:gt ['-20', '40', '-20', '40', '40']:pred [20.        38.53321   16.89726    2.5037932 40.       ]
sedan4door_-20_20_0_40_40_80_20_450:gt ['-20', '20', '0', '40', '40']:pred [20.        19.17293    0.        51.999165   5.4095955]
sedan4door_0_20_-40_40_0_80_40_450:gt ['0', '20', '-40', '40', '0']:pred [ 0.       20.       40.       31.225237  4.687509]
sedan2door_-40_20_0_40_40_0_40_400:gt ['-40', '20', '0', '40', '40']:pred [40.       28.489536 28.081924 11.117508 40.      ]
hybrid_-20_20_0_40_0_120_40_450:gt ['-20', '20', '0', '40', '0']:pred [17.39487   20.        19.635315  30.643627   2.1376224]
sedan2door_0_20_-20_20_0_200_40_450:gt ['0', '20', '-20', '20', '0']:pred [16.692764 20.       28.242712 19.04266   0.      ]
suv_0_0_0_20_20_0_40_450:gt ['0', '0', '0', '20', '20']:pred [ 0.         7.9557905  0.         4.4984255 20.       ]
sedan4door_-20_20_0_40_0_160_20_450:gt ['-20', '20', '0', '40', '0']:pred [ 6.4058433 20.        18.667986  40.         7.3256884]
suv_-40_40_-20_0_40_360_40_400:gt ['-40', '40', '-20', '0', '40']:pred [40.        26.958643  20.         6.0848045 40.       ]
hybrid_-20_40_0_20_0_160_60_400:gt ['-20', '40', '0', '20', '0']:pred [20.       40.       20.624844 13.480835  0.      ]
hatchback_-20_40_-20_40_0_240_60_450:gt ['-20', '40', '-20', '40', '0']:pred [20. 40. 20. 40.  0.]
hybrid_-40_40_0_40_0_240_60_400:gt ['-40', '40', '0', '40', '0']:pred [40.       40.       29.413527 20.889048  0.      ]
hybrid_-40_20_-20_0_40_240_80_400:gt ['-40', '20', '-20', '0', '40']:pred [40.       20.       28.28154  26.960003 40.      ]
sedan4door_0_0_-40_40_20_0_80_400:gt ['0', '0', '-40', '40', '20']:pred [ 0.  0. 40. 40. 20.]
sedan4door_-40_20_-20_40_0_360_20_450:gt ['-40', '20', '-20', '40', '0']:pred [40.         4.723152  20.         2.591739   7.3115726]
suv_-40_0_-20_40_0_120_80_400:gt ['-40', '0', '-20', '40', '0']:pred [40.  0. 20. 40.  0.]
hatchback_0_20_-20_40_20_160_80_450:gt ['0', '20', '-20', '40', '20']:pred [ 0. 20. 20. 40. 20.]
hybrid_0_40_0_20_0_160_60_450:gt ['0', '40', '0', '20', '0']:pred [10.316351 40.       24.42541   9.959486  0.      ]
sedan2door_-40_40_-20_0_20_200_20_400:gt ['-40', '40', '-20', '0', '20']:pred [13.88514  40.       36.339813  5.235465 20.      ]
hybrid_-20_40_-20_20_0_0_20_400:gt ['-20', '40', '-20', '20', '0']:pred [20.        12.239883  12.899812   3.6913302  1.5956631]
hatchback_-20_40_-20_20_0_360_80_450:gt ['-20', '40', '-20', '20', '0']:pred [20. 40. 20. 20.  0.]
hatchback_-40_40_0_20_40_320_80_400:gt ['-40', '40', '0', '20', '40']:pred [40. 40.  0. 20. 40.]
sedan2door_-20_20_-20_0_0_160_60_400:gt ['-20', '20', '-20', '0', '0']:pred [20.       20.       21.768034  8.932141  0.      ]
hybrid_-40_20_0_20_40_360_40_450:gt ['-40', '20', '0', '20', '40']:pred [40.       32.843754 17.729889  9.304341 40.      ]
hybrid_-20_20_0_0_0_360_80_450:gt ['-20', '20', '0', '0', '0']:pred [20.      20.      19.11457 33.54306  0.     ]
hatchback_-20_40_-20_0_40_360_40_400:gt ['-20', '40', '-20', '0', '40']:pred [20.        34.7936    20.         1.8044157 40.       ]
sedan4door_-40_0_-40_40_20_320_20_400:gt ['-40', '0', '-40', '40', '20']:pred [40.        17.101322  40.         7.1741734 20.       ]
sedan2door_-40_40_0_40_0_320_60_450:gt ['-40', '40', '0', '40', '0']:pred [40.       40.       25.162647 12.366338  0.      ]
hybrid_-40_0_-20_20_20_160_80_400:gt ['-40', '0', '-20', '20', '20']:pred [40.         0.        14.207662   7.0866528 20.       ]
hatchback_-20_20_-20_20_20_280_80_450:gt ['-20', '20', '-20', '20', '20']:pred [20. 20. 20. 20. 20.]
hybrid_-40_40_-40_0_40_360_40_450:gt ['-40', '40', '-40', '0', '40']:pred [40.        45.49093   14.5081625 11.107359  40.       ]
hatchback_-40_20_0_40_0_160_80_450:gt ['-40', '20', '0', '40', '0']:pred [40. 20.  0. 40.  0.]
hatchback_-20_40_-20_40_20_80_80_400:gt ['-20', '40', '-20', '40', '20']:pred [20.       40.       20.       40.       36.980896]
hybrid_0_0_-40_20_0_240_60_400:gt ['0', '0', '-40', '20', '0']:pred [ 3.6452227  0.        12.773144   9.752618   0.       ]
hybrid_0_0_-20_0_0_120_80_400:gt ['0', '0', '-20', '0', '0']:pred [ 0.        0.       28.338585 19.434807  0.      ]
hatchback_-20_40_-20_0_0_200_40_450:gt ['-20', '40', '-20', '0', '0']:pred [18.393072 40.       33.457882  0.        0.      ]
sedan2door_-40_40_-20_20_20_360_20_400:gt ['-40', '40', '-20', '20', '20']:pred [40.        7.033704 26.337639  4.413871 31.557499]
suv_0_40_-20_20_20_240_80_450:gt ['0', '40', '-20', '20', '20']:pred [ 0. 40. 20. 20. 20.]
sedan2door_-20_40_0_40_0_120_20_400:gt ['-20', '40', '0', '40', '0']:pred [ 7.543349 40.       17.392944 10.271952 10.729305]
hybrid_0_40_-20_20_0_200_40_400:gt ['0', '40', '-20', '20', '0']:pred [19.517603  40.        34.328007   3.9331458  0.       ]
hybrid_-40_20_-40_20_40_80_80_450:gt ['-40', '20', '-40', '20', '40']:pred [40.       20.       33.061054 16.510664 31.93402 ]
suv_0_40_0_40_40_0_60_450:gt ['0', '40', '0', '40', '40']:pred [ 0.       40.        0.       24.488583 40.      ]
hybrid_-20_40_0_40_20_200_40_450:gt ['-20', '40', '0', '40', '20']:pred [10.922636 40.       25.51033  10.615498 20.      ]
hybrid_0_20_-40_40_40_280_40_400:gt ['0', '20', '-40', '40', '40']:pred [ 0.       20.        8.972613 13.437038 40.      ]
hatchback_-20_0_-40_20_20_160_40_400:gt ['-20', '0', '-40', '20', '20']:pred [13.485378  0.       43.544743 20.       20.      ]
sedan2door_-20_0_-20_40_20_80_20_450:gt ['-20', '0', '-20', '40', '20']:pred [20.        12.806316  16.08253    9.872394   5.5703635]
hybrid_-40_0_-20_40_0_200_40_450:gt ['-40', '0', '-20', '40', '0']:pred [17.87619   0.       35.165836  2.553944  0.      ]
sedan4door_-40_0_-20_20_40_80_80_450:gt ['-40', '0', '-20', '20', '40']:pred [40.        0.       20.       20.       26.053308]
sedan2door_0_0_-20_40_40_120_60_400:gt ['0', '0', '-20', '40', '40']:pred [ 0.       0.      44.11213 17.15228 40.     ]
hybrid_-40_40_-20_20_40_120_20_400:gt ['-40', '40', '-20', '20', '40']:pred [31.040085  40.        28.64022   34.984196   5.3555384]
sedan2door_0_40_0_20_20_320_80_400:gt ['0', '40', '0', '20', '20']:pred [ 0.       40.       26.53402  19.986298 20.      ]
suv_0_40_-20_40_0_0_80_400:gt ['0', '40', '-20', '40', '0']:pred [ 0. 40. 20. 40.  0.]
hatchback_-20_0_-20_20_40_280_80_450:gt ['-20', '0', '-20', '20', '40']:pred [20.  0. 20. 20. 40.]
suv_-40_40_-40_0_0_200_40_400:gt ['-40', '40', '-40', '0', '0']:pred [13.868548 40.       47.63118   0.        0.      ]
sedan2door_-20_0_-40_0_20_240_80_400:gt ['-20', '0', '-40', '0', '20']:pred [20.         0.        30.791359   6.5371447 20.       ]
sedan2door_-20_0_-40_40_40_0_80_400:gt ['-20', '0', '-40', '40', '40']:pred [20.        0.       25.07069  14.042902 40.      ]
suv_-40_0_-20_0_0_0_20_400:gt ['-40', '0', '-20', '0', '0']:pred [40.        13.280514  20.         0.8642528  2.9090405]
hatchback_0_0_-40_40_40_0_80_450:gt ['0', '0', '-40', '40', '40']:pred [ 0.  0. 40. 40. 40.]
sedan2door_-40_20_-40_20_40_200_20_450:gt ['-40', '20', '-40', '20', '40']:pred [20.01395  20.       24.957827  5.560473 40.      ]
sedan4door_0_40_-20_40_0_40_40_450:gt ['0', '40', '-20', '40', '0']:pred [ 0.       38.617428 20.       19.062117  0.      ]
suv_0_20_-40_0_0_320_80_450:gt ['0', '20', '-40', '0', '0']:pred [ 0. 20. 40.  0.  0.]
hybrid_-20_0_-20_0_20_280_80_400:gt ['-20', '0', '-20', '0', '20']:pred [20.        0.       27.71635  26.167543 20.      ]
suv_-20_40_-20_20_0_240_40_450:gt ['-20', '40', '-20', '20', '0']:pred [16.342556 40.       26.379597 20.        0.      ]
sedan4door_-20_20_-40_20_40_360_60_400:gt ['-20', '20', '-40', '20', '40']:pred [20.       20.       40.       24.490688 40.      ]
hybrid_-20_40_0_0_0_280_80_450:gt ['-20', '40', '0', '0', '0']:pred [20.       40.       28.765722 28.32593   0.      ]
suv_-40_0_-20_20_40_160_60_400:gt ['-40', '0', '-20', '20', '40']:pred [40.       0.      19.66184 20.      40.     ]
sedan4door_-40_40_0_20_20_120_20_450:gt ['-40', '40', '0', '20', '20']:pred [24.937363 40.       22.587463 20.        5.584913]
hatchback_0_20_-20_40_40_40_80_450:gt ['0', '20', '-20', '40', '40']:pred [ 0. 20. 20. 40. 40.]
hybrid_-40_20_0_40_0_40_80_450:gt ['-40', '20', '0', '40', '0']:pred [40.       20.       35.643192 41.432186  0.      ]
sedan2door_-20_0_-40_0_0_80_20_450:gt ['-20', '0', '-40', '0', '0']:pred [20.       11.735933 17.352995 12.810932  1.514982]
hybrid_0_20_0_20_0_280_20_450:gt ['0', '20', '0', '20', '0']:pred [22.969059   8.959034   6.0568523  4.6003737  0.       ]
hatchback_-20_20_-20_20_40_280_80_400:gt ['-20', '20', '-20', '20', '40']:pred [20. 20. 20. 20. 40.]
hybrid_0_40_0_20_40_200_60_400:gt ['0', '40', '0', '20', '40']:pred [17.849928  40.        31.411526   5.0845394 40.       ]
hatchback_-40_0_-20_20_40_120_60_450:gt ['-40', '0', '-20', '20', '40']:pred [40.        0.       30.146599 20.       40.      ]
suv_-40_40_-40_20_0_200_20_450:gt ['-40', '40', '-40', '20', '0']:pred [27.936958 40.       16.607323 20.        0.      ]
hybrid_-20_0_0_0_0_280_80_450:gt ['-20', '0', '0', '0', '0']:pred [20.        0.       28.397955 18.750582  0.      ]
hatchback_-40_40_0_0_40_280_80_400:gt ['-40', '40', '0', '0', '40']:pred [40. 40.  0.  0. 40.]
hybrid_0_0_-20_20_40_40_20_450:gt ['0', '0', '-20', '20', '40']:pred [ 0.        43.019596  16.869465  12.409961   3.1972594]
hybrid_-20_40_-40_20_20_40_20_450:gt ['-20', '40', '-40', '20', '20']:pred [20.        34.32829   16.293455  16.378681   1.4038242]
sedan4door_-20_20_0_40_20_320_80_450:gt ['-20', '20', '0', '40', '20']:pred [20. 20.  0. 40. 20.]
sedan2door_-20_0_-40_40_20_360_60_400:gt ['-20', '0', '-40', '40', '20']:pred [20.        0.       17.312307  9.991961 20.      ]
hatchback_-40_0_-20_40_0_200_20_400:gt ['-40', '0', '-20', '40', '0']:pred [16.12157  0.      24.82851 40.       0.     ]
hatchback_-40_0_0_40_20_160_20_450:gt ['-40', '0', '0', '40', '20']:pred [20.018799   0.         6.7975206 40.        13.125231 ]
suv_-20_40_-20_0_40_360_40_450:gt ['-20', '40', '-20', '0', '40']:pred [20.        28.590094  20.         2.3626208 40.       ]
hybrid_-40_40_-20_0_0_40_20_400:gt ['-40', '40', '-20', '0', '0']:pred [40.        28.178135  37.445927  14.965668   1.6986142]
hybrid_-20_40_-40_20_0_320_40_400:gt ['-20', '40', '-40', '20', '0']:pred [20.       18.166145 27.03883  14.852353  0.      ]
hybrid_-40_20_-20_40_20_200_20_450:gt ['-40', '20', '-20', '40', '20']:pred [12.119746 20.       11.218849  8.474536 20.      ]
suv_-40_0_0_20_0_360_20_450:gt ['-40', '0', '0', '20', '0']:pred [40.         4.44218    0.         0.9001054  1.9180799]
hybrid_0_0_-20_20_40_40_60_400:gt ['0', '0', '-20', '20', '40']:pred [ 0.       20.52353  23.978577 16.952206 40.      ]
suv_-20_0_-20_20_0_160_80_400:gt ['-20', '0', '-20', '20', '0']:pred [20.  0. 20. 20.  0.]
hatchback_0_0_-40_0_0_360_60_400:gt ['0', '0', '-40', '0', '0']:pred [ 0.         0.        40.         2.0299811  0.       ]
sedan2door_-40_0_0_40_0_280_60_450:gt ['-40', '0', '0', '40', '0']:pred [40.        0.       33.08732  20.028461  0.      ]
sedan2door_-20_0_-20_40_40_360_40_400:gt ['-20', '0', '-20', '40', '40']:pred [20.         3.0085726 26.80604    9.1125    40.       ]
hatchback_-40_20_0_20_0_80_20_400:gt ['-40', '20', '0', '20', '0']:pred [40.        30.659391   0.         9.739      1.8869772]
hybrid_-40_20_-40_20_0_40_80_400:gt ['-40', '20', '-40', '20', '0']:pred [40.       20.       35.0442   23.378704  0.      ]
sedan4door_-20_0_-20_0_40_40_20_450:gt ['-20', '0', '-20', '0', '40']:pred [20.        25.82461   20.         6.5250874 11.10438  ]
suv_-20_0_-20_0_0_120_40_400:gt ['-20', '0', '-20', '0', '0']:pred [20.119219   0.        18.864262   0.         4.3687363]
suv_-40_0_0_40_40_200_80_450:gt ['-40', '0', '0', '40', '40']:pred [40.        0.       24.925165 40.       40.      ]
sedan2door_-20_20_-40_20_20_120_20_400:gt ['-20', '20', '-40', '20', '20']:pred [ 7.8120623 20.        16.317684  11.457988   4.2891436]
hatchback_0_20_-40_40_20_80_40_450:gt ['0', '20', '-40', '40', '20']:pred [ 0.       20.       40.       22.799397 16.24884 ]
hatchback_-20_0_0_20_20_120_60_400:gt ['-20', '0', '0', '20', '20']:pred [20.       0.      39.19112 20.      20.     ]
hybrid_0_40_-40_20_40_320_80_450:gt ['0', '40', '-40', '20', '40']:pred [ 0.       40.       18.592966 18.271006 40.      ]
sedan2door_-40_20_0_40_20_160_20_450:gt ['-40', '20', '0', '40', '20']:pred [11.685801 20.       26.990686 15.367435 28.396519]
