72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [20.350142 13.29652  41.6518   27.796968 45.43686 ]
923007b377bb1cab473f10e6caaeca56_40_20_20_40_20_240_40_400:gt ['40', '20', '20', '40', '20']:pred [30.689878   7.415061   3.6203833  2.1147666 19.839497 ]
b9786e1b059a1712ca92a4cdad802b45_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [34.31979  11.825402  7.734357 17.867937 25.741165]
7dac31838b627748eb631ba05bd8dfe_20_20_20_40_20_240_80_400:gt ['20', '20', '20', '40', '20']:pred [ 9.765676 17.938986 11.741605 23.640087 37.706493]
4ac021653126a29e98618a1ba17f086b_40_20_20_20_40_160_40_400:gt ['40', '20', '20', '20', '40']:pred [24.510944  10.42906   31.067516   6.9454527 35.98668  ]
2f7cf2c2d170e3c936f37029483b3e41_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [16.709667  8.632621 20.489468 11.914887 22.047127]
1a64bf1e658652ddb11647ffa4306609_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [31.776896  17.973259   4.1318874 30.293129  11.513354 ]
fabcb04fc015f822ca8bf2993ca245b_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [34.69433  23.063795 44.287968 27.421997 41.13019 ]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [12.359863   5.5259976 17.233683   5.22417   24.504063 ]
d0cf2f187acda5736be7348aa770e4ca_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [34.00688  15.157507 32.03951  24.496778 46.97478 ]
9d2b7938d426633b28044fe9244db50a_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [15.504978  7.84749  15.379278 19.565384 11.730636]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [23.186724  8.951862 27.7311   17.526905 38.18112 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [11.771772  6.977264  7.871604 28.191727 43.68661 ]
c61ec8875746ab78227375499b768057_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [19.540546   6.0387692 10.841486  23.581873  21.865513 ]
1790131f5f74b1ed973aff268eb6b00c_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [27.394146  14.427216   5.5137696 28.721962  33.503143 ]
2f7cf2c2d170e3c936f37029483b3e41_40_40_20_20_40_240_80_400:gt ['40', '40', '20', '20', '40']:pred [26.57293  11.526174 18.708672  5.101987 25.00044 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [10.154989    0.34633285 22.418491   24.147203   23.164154  ]
9d2b7938d426633b28044fe9244db50a_20_40_40_20_40_160_40_400:gt ['20', '40', '40', '20', '40']:pred [15.887504   9.4297905 42.711727  22.189896  12.5318165]
5e87b04efd58cc8922412d2a728de1d5_20_40_20_20_20_240_80_400:gt ['20', '40', '20', '20', '20']:pred [ 3.2417402  2.6454968  6.903363   8.306262  28.018686 ]
9d2b7938d426633b28044fe9244db50a_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [12.755683 12.267661 40.520874 26.803976 11.435857]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [27.564552 11.52722  29.793867  6.669008 30.023693]
216d910f71942f205df3c6413d40ccb2_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [18.56095     5.6019382   9.8789015   0.46238267 25.213316  ]
2f7cf2c2d170e3c936f37029483b3e41_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [28.858698 14.974801 10.938704  4.136332  8.769281]
b9786e1b059a1712ca92a4cdad802b45_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [34.66647  11.615355  7.229255 18.12571  25.764584]
425ba801e904cb50f3aaed7e86215c7b_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [26.575275   0.6209133 11.847357   7.074628  36.14926  ]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [10.805805   7.5283027 13.988526  10.200353  33.12833  ]
d2592adba4e8e62648368c1a2f71c5f3_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [29.57309  17.437063 41.607815 21.377195 39.38975 ]
12f2905dc029f59a2479fbc7da5ed22b_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [12.436869   9.564512   5.380084   6.5034685  6.6076994]
ffe0a5b165461eb66a2345809e2bb169_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [11.246072  4.554725  8.614086 10.286771 35.198463]
7dac31838b627748eb631ba05bd8dfe_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [26.98461   10.587099   2.9222748 14.425743  16.084711 ]
923007b377bb1cab473f10e6caaeca56_40_40_20_40_20_160_80_400:gt ['40', '40', '20', '40', '20']:pred [14.252419 13.632763  2.15084  10.967386 34.77757 ]
1790131f5f74b1ed973aff268eb6b00c_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [10.807866  11.547221   6.2586164 12.823568  17.824387 ]
923007b377bb1cab473f10e6caaeca56_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [11.059418  21.593285   5.3211646 16.1843     5.297598 ]
fabcb04fc015f822ca8bf2993ca245b_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [18.783434 24.729424 18.761703 36.19906  48.676315]
ffe0a5b165461eb66a2345809e2bb169_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [15.053608 11.143898 47.617985 42.647305 40.77662 ]
ffe0a5b165461eb66a2345809e2bb169_40_20_20_40_20_160_80_400:gt ['40', '20', '20', '40', '20']:pred [ 6.0259156 15.173271   5.48437    6.4838557 35.434956 ]
4458ed2a746e61a3b11647ffa4306609_40_40_20_40_40_160_40_400:gt ['40', '40', '20', '40', '40']:pred [15.157673 12.965758 18.464968 15.716699 31.906374]
d0cf2f187acda5736be7348aa770e4ca_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [28.500845   1.0520835  5.468014  10.330812   3.1759987]
5e87b04efd58cc8922412d2a728de1d5_40_40_20_40_40_80_40_400:gt ['40', '40', '20', '40', '40']:pred [20.542635 33.22133  23.16617  19.472246 52.328377]
4f17af1ca7ae689d409b2c4484d833cc_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [18.992887  8.869814 18.133183 28.924679 33.05863 ]
825fb860d71c78a477c771b4b7eed82c_40_20_40_40_40_80_40_400:gt ['40', '20', '40', '40', '40']:pred [20.461336  10.479368  10.5733595 16.535366  49.89859  ]
a387407d49e209fdeea60824a43a0b_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [39.074173  9.553917 11.096496 28.700169 40.841225]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [21.106842   9.324511  13.829701   5.9872184 17.878681 ]
d0cf2f187acda5736be7348aa770e4ca_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [30.339703  7.63056  31.788898 24.079445 47.501873]
5e87b04efd58cc8922412d2a728de1d5_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [11.939724 17.341995 10.797935 25.221357 43.30438 ]
fabcb04fc015f822ca8bf2993ca245b_20_20_40_40_20_80_40_400:gt ['20', '20', '40', '40', '20']:pred [13.847752 21.69125  13.827212 55.046673  9.152461]
7c46bfff2f90f11044592db9be5db5c8_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [36.073208 15.188298  5.703379  8.203456 35.016663]
5e87b04efd58cc8922412d2a728de1d5_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [13.27424  12.147859 17.359959 30.017666 40.842392]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [16.844217 11.481224 34.25815   6.22569  36.090065]
4ac021653126a29e98618a1ba17f086b_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [28.943647 14.776921 13.405038  5.416076 36.452084]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [19.247038   8.492989  35.07331    4.3994684 29.997467 ]
216d910f71942f205df3c6413d40ccb2_20_20_20_40_20_240_80_400:gt ['20', '20', '20', '40', '20']:pred [23.460508 16.197157 25.09485  30.49926  17.342085]
5e87b04efd58cc8922412d2a728de1d5_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [18.040869 13.587774 24.398264 30.786234 41.173065]
425ba801e904cb50f3aaed7e86215c7b_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [ 9.767175   2.3453922 11.620435  11.459798   9.262393 ]
216d910f71942f205df3c6413d40ccb2_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [28.340794 28.860214 32.885887 19.552797 36.504524]
4f17af1ca7ae689d409b2c4484d833cc_20_20_20_40_20_160_40_400:gt ['20', '20', '20', '40', '20']:pred [11.379412 25.836843 20.101784 39.929688 33.440807]
5e87b04efd58cc8922412d2a728de1d5_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [15.461054   7.8969383 33.53098   33.51407   43.306335 ]
72ba2195087f80d8b7e8c57d131d2ca7_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [28.912935 16.394907 23.738052 19.950699 42.43358 ]
825fb860d71c78a477c771b4b7eed82c_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [ 9.443752   6.8092976  4.993567   2.5193963 29.905989 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [17.638304  22.733456   1.8881638 12.698167  52.26831  ]
a115d534edec6f89afe1d4530f4c6e24_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [20.55449   15.485882   0.7928495  4.0494275 42.925644 ]
cde88b5900e8dfba725a7749daae1afa_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [23.137058   6.5620546  2.2401357  4.3800154 47.130383 ]
5ec3322293a39816ad7e7cea4034d226_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [ 8.979599  10.940574  15.6571665  8.98028   21.648932 ]
70e27da90dec2de49604bf8c981ad1eb_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [17.162178  17.898735  24.837637   4.2548523 17.073149 ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [19.509287   5.0338345 28.00954   20.862938  25.393997 ]
a387407d49e209fdeea60824a43a0b_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [ 4.9017167  6.323394  16.378977  39.651363   3.1972103]
86c8a3137a716d70e742b0b5e87bec54_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [ 7.8997297  6.2703824  9.5969515 38.52993    4.1222434]
4ac021653126a29e98618a1ba17f086b_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [22.369665   8.895985   6.1749744  2.0372145 26.20583  ]
d2592adba4e8e62648368c1a2f71c5f3_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [22.224037  7.115295  9.547389 42.981087 39.163097]
cde88b5900e8dfba725a7749daae1afa_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [34.667496   6.4171042 10.841024  17.895365  18.37894  ]
2f7cf2c2d170e3c936f37029483b3e41_20_40_40_20_20_80_80_400:gt ['20', '40', '40', '20', '20']:pred [10.1640835 12.078889  31.78858   18.813578  16.880922 ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [ 8.310733 13.293761 14.042181 29.178331 40.746452]
4ac021653126a29e98618a1ba17f086b_20_20_40_20_20_80_80_400:gt ['20', '20', '40', '20', '20']:pred [12.153446 19.206387 17.282888  6.823064 41.729122]
c61ec8875746ab78227375499b768057_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [37.698032 13.182273 22.857325 17.506578 30.096653]
2f7cf2c2d170e3c936f37029483b3e41_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [11.375926 14.668466 31.119072 23.280725 18.051298]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [11.504016 10.587252  8.768402 23.81061  36.94964 ]
d72ffa185738bccd10b75223b5be6dbb_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [10.962403   7.3526077 10.578645  12.80604   38.507267 ]
c61ec8875746ab78227375499b768057_40_40_20_40_40_160_80_400:gt ['40', '40', '20', '40', '40']:pred [23.17628  10.381784 14.281568 30.438591 38.59013 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [22.773    11.225143 22.947231 27.657894 13.099251]
d0cf2f187acda5736be7348aa770e4ca_20_40_20_40_20_80_40_400:gt ['20', '40', '20', '40', '20']:pred [19.163883  8.696609 30.201122 13.285348 49.8922  ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [18.420425 14.194467  8.722545 21.016243 31.092976]
a115d534edec6f89afe1d4530f4c6e24_40_40_40_20_40_80_80_400:gt ['40', '40', '40', '20', '40']:pred [31.183222 12.371064  1.276807  5.160548 42.303875]
86c8a3137a716d70e742b0b5e87bec54_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [34.87738  11.403936 22.128326 12.376847 16.996271]
5e87b04efd58cc8922412d2a728de1d5_40_20_20_40_20_240_40_400:gt ['40', '20', '20', '40', '20']:pred [18.09649    1.7389307  8.977697  31.687836  18.829033 ]
6265f0745d3f40546bcd32c43682e841_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [ 7.384726   1.4733899 13.599952  12.059499  15.740721 ]
12f2905dc029f59a2479fbc7da5ed22b_40_40_20_20_40_240_80_400:gt ['40', '40', '20', '20', '40']:pred [11.843451 14.681326  8.792548  4.651517 10.52057 ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_40_20_20_80_80_400:gt ['20', '20', '40', '20', '20']:pred [30.906303 13.990299 15.428545 38.846622 46.571175]
9d2b7938d426633b28044fe9244db50a_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [13.158422 12.755489 39.43454  28.137445 11.233775]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [11.115996  4.733819 30.121222 11.959103 16.969383]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [11.677776   7.4732485 17.934763   5.929811  27.201849 ]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_40_40_20_160_40_400:gt ['20', '40', '40', '40', '20']:pred [13.787348  8.698162 24.139906  7.541861 21.39755 ]
9d2b7938d426633b28044fe9244db50a_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [17.886782  8.932454 23.171    19.21904  11.517012]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [28.579107 10.233728 38.9857   20.581877 39.15627 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [ 6.7453175 17.529325  11.642303  21.770319  15.491699 ]
923007b377bb1cab473f10e6caaeca56_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [13.479573  6.273265  8.390631 27.388681 25.435347]
825fb860d71c78a477c771b4b7eed82c_20_20_20_40_20_80_80_400:gt ['20', '20', '20', '40', '20']:pred [12.076705  9.07048   6.323414 17.935318 48.47286 ]
c61ec8875746ab78227375499b768057_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [15.217375   2.5663652 33.631493  25.494509  42.22621  ]
a88d69e53a01aab9ff1370452e3a0154_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [27.758167  13.148901  18.563536   6.1065426 28.006613 ]
9c827e532de4967285089a13cc567dbd_40_40_20_40_40_240_80_400:gt ['40', '40', '20', '40', '40']:pred [30.123268 16.75709   8.206463 12.175148 18.945814]
9c827e532de4967285089a13cc567dbd_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [ 9.761266 20.175018  5.564702 38.767727 37.162014]
b9786e1b059a1712ca92a4cdad802b45_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [31.322258   5.541496   8.545794   4.7364197 19.574432 ]
70e27da90dec2de49604bf8c981ad1eb_40_20_40_40_40_160_40_400:gt ['40', '20', '40', '40', '40']:pred [27.284384  18.427017  34.92743    5.2048106 30.53072  ]
7dac31838b627748eb631ba05bd8dfe_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [21.301476 26.957802 18.917778 22.596907 42.516636]
86c8a3137a716d70e742b0b5e87bec54_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [13.927245 13.108167 27.611961 10.295455 32.824615]
216d910f71942f205df3c6413d40ccb2_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [30.203888 10.941644  3.857739 12.197718 22.674486]
c61ec8875746ab78227375499b768057_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [14.314877 16.460133 18.961071 51.41237  43.011715]
fabcb04fc015f822ca8bf2993ca245b_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [20.095663 24.99914  13.105808 39.2792   47.20647 ]
5e87b04efd58cc8922412d2a728de1d5_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [ 5.302033 15.569383  7.485966 33.225506 44.07661 ]
5ec3322293a39816ad7e7cea4034d226_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [15.792462  8.006349 16.04976   9.0583   27.092981]
1a64bf1e658652ddb11647ffa4306609_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [31.843733  7.03901  11.713083 12.688874  8.234006]
4ac021653126a29e98618a1ba17f086b_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [20.494884   7.067527   4.759774   1.8387536 24.796501 ]
c4941d6a2266813c3a2b1a2e5e169910_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [23.060646  18.106327  38.027657   7.5061073 23.529943 ]
d0cf2f187acda5736be7348aa770e4ca_20_40_40_40_40_80_80_400:gt ['20', '40', '40', '40', '40']:pred [ 6.608561  6.082531 17.621405 17.338438 21.34235 ]
216d910f71942f205df3c6413d40ccb2_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [25.742035 13.996828  3.194005 12.60222  27.685017]
825fb860d71c78a477c771b4b7eed82c_20_20_20_40_20_160_40_400:gt ['20', '20', '20', '40', '20']:pred [21.60787   7.144121 37.6336   53.142212 38.643784]
1790131f5f74b1ed973aff268eb6b00c_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [17.481447  7.671562 19.115305 53.503067 18.865898]
d72ffa185738bccd10b75223b5be6dbb_40_40_20_40_20_160_80_400:gt ['40', '40', '20', '40', '20']:pred [11.915473 11.078346 10.592529 23.79851  37.552387]
12f2905dc029f59a2479fbc7da5ed22b_40_20_20_40_20_240_40_400:gt ['40', '20', '20', '40', '20']:pred [25.143127 17.72625  20.318983 28.08976  22.532078]
4458ed2a746e61a3b11647ffa4306609_40_40_20_40_40_160_80_400:gt ['40', '40', '20', '40', '40']:pred [22.490864 13.254209 12.20708  19.23772  13.359949]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [30.539062 14.009624 15.028735 38.338963 46.133068]
7dac31838b627748eb631ba05bd8dfe_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [12.424517   4.16383   31.416624  21.000261   0.9967726]
9d2b7938d426633b28044fe9244db50a_20_40_40_20_20_160_40_400:gt ['20', '40', '40', '20', '20']:pred [16.416145  8.5456   42.67378  23.111528 12.225313]
fabcb04fc015f822ca8bf2993ca245b_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [18.708857 31.841923 16.749912 42.846897 11.515989]
923007b377bb1cab473f10e6caaeca56_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [11.3302145 14.789085  14.069297  30.893404  13.97398  ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [24.465912 26.620647 21.116781 35.88411  55.514675]
a387407d49e209fdeea60824a43a0b_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [14.128712 23.854807 43.778427 18.574453 26.828733]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_20_40_40_240_80_400:gt ['40', '40', '20', '40', '40']:pred [15.335743   7.2964487 18.154905  38.502384  17.872162 ]
6265f0745d3f40546bcd32c43682e841_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [ 6.8606033  8.709774   5.9725337  3.0927184 33.31401  ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_20_20_40_240_80_400:gt ['40', '40', '20', '20', '40']:pred [ 9.082292 20.837095 13.808508 17.940372 21.624437]
5ec3322293a39816ad7e7cea4034d226_40_20_20_40_20_240_80_400:gt ['40', '20', '20', '40', '20']:pred [ 5.9473896  8.538677   7.694031   8.112157  10.669644 ]
9c827e532de4967285089a13cc567dbd_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [17.328863 23.747025 13.997498 40.7073   42.315235]
b9786e1b059a1712ca92a4cdad802b45_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [31.323816 16.986952  9.502481 19.218864 13.914092]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [14.633971  3.54533  28.947527 26.739456 20.396519]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [28.944366  25.430916   2.5814412 25.014034  52.28142  ]
4ac021653126a29e98618a1ba17f086b_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [16.869297  12.800652   6.681617   7.9419546 38.131332 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_20_20_40_160_40_400:gt ['20', '40', '20', '20', '40']:pred [16.319252  5.012145 14.642182 14.550958 27.211346]
cde88b5900e8dfba725a7749daae1afa_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [20.374117   5.3697515 22.688578  10.660643  42.76017  ]
86c8a3137a716d70e742b0b5e87bec54_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [14.5652075  9.611419  22.014633  12.585774  32.505665 ]
d2592adba4e8e62648368c1a2f71c5f3_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [12.264955 16.101788 10.0746   35.06994  42.541668]
12f2905dc029f59a2479fbc7da5ed22b_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [15.225518  10.557739   5.739211   8.0373745  5.8142486]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [21.620922   6.5041056 12.495771  17.716959  48.15021  ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [13.463114  8.099471 13.890196  8.179168 41.48526 ]
86c8a3137a716d70e742b0b5e87bec54_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [23.553185  22.150639  22.876812  11.616323   5.1408944]
ffe0a5b165461eb66a2345809e2bb169_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [11.92954    3.6173992  5.1803403 11.475838  33.20251  ]
4458ed2a746e61a3b11647ffa4306609_40_20_20_40_20_160_80_400:gt ['40', '20', '20', '40', '20']:pred [14.824079 15.014112 10.594689 17.519981 12.597555]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [25.49544  16.424986 11.077406 39.614452 39.80695 ]
4458ed2a746e61a3b11647ffa4306609_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [35.967655  20.419258  14.246674  25.27509    6.8858876]
d0cf2f187acda5736be7348aa770e4ca_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [10.262465 10.376768 19.352543 34.988194 18.409891]
b9786e1b059a1712ca92a4cdad802b45_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [32.431183  10.286086   6.2411036 21.155392  12.574453 ]
6265f0745d3f40546bcd32c43682e841_40_40_40_20_20_80_40_400:gt ['40', '40', '40', '20', '20']:pred [13.126998  11.15004   15.604742   7.2278976 43.94653  ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_40_40_20_80_40_400:gt ['40', '20', '40', '40', '20']:pred [17.01696  12.05594  18.245754 11.280715 31.977016]
9d2b7938d426633b28044fe9244db50a_20_20_40_40_20_80_40_400:gt ['20', '20', '40', '40', '20']:pred [18.960508 25.140457 45.603382 14.916978 15.051134]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [24.281805  9.429713 28.94918  30.452368 40.431564]
425ba801e904cb50f3aaed7e86215c7b_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [27.613321   2.2786756 17.351261   4.8377957 50.81691  ]
2f7cf2c2d170e3c936f37029483b3e41_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [22.325363 21.727057 30.301605 29.751553 30.787369]
a115d534edec6f89afe1d4530f4c6e24_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [19.746851 18.882627 14.997618 42.35691  39.949486]
9d2b7938d426633b28044fe9244db50a_40_20_20_40_40_240_80_400:gt ['40', '20', '20', '40', '40']:pred [17.881176  9.443484 22.588207 18.46142  11.792449]
cde88b5900e8dfba725a7749daae1afa_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [29.42518   8.418985 13.304711 37.5436   34.05833 ]
7dac31838b627748eb631ba05bd8dfe_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [27.898863  15.332111  10.3567705  4.232607   3.6037211]
