Hybrid_0_20_0_20_0_160_20_450:gt ['0', '20', '0', '20', '0']:pred [ 0.       25.299646  0.       20.        0.      ]
Sedan2Door_-20_0_-20_20_0_240_60_400:gt ['-20', '0', '-20', '20', '0']:pred [11.963845   1.9693795 20.        20.        59.43376  ]
Sedan2Door_-20_20_0_20_0_240_60_450:gt ['-20', '20', '0', '20', '0']:pred [10.678946   1.7337309  0.        20.        35.540703 ]
Sedan2Door_0_20_0_0_0_240_20_450:gt ['0', '20', '0', '0', '0']:pred [ 0.      35.22073  0.       0.      25.83532]
Hybrid_-20_0_-20_0_0_80_20_400:gt ['-20', '0', '-20', '0', '0']:pred [19.393263  0.       20.        0.        0.      ]
Sedan4Door_0_20_-20_0_20_80_60_450:gt ['0', '20', '-20', '0', '20']:pred [ 4.7305274 14.179949   6.955039  11.896992  38.060787 ]
Suv_0_20_0_20_0_0_20_450:gt ['0', '20', '0', '20', '0']:pred [ 1.6907166 20.         3.0240052 20.         0.       ]
Hybrid_0_20_-20_0_20_80_60_450:gt ['0', '20', '-20', '0', '20']:pred [ 5.092709  13.3965845 20.         0.        53.284245 ]
Sedan2Door_-20_0_-20_0_20_240_20_450:gt ['-20', '0', '-20', '0', '20']:pred [20.         7.0278983 20.         0.        54.54964  ]
Hybrid_-20_20_0_0_0_160_20_400:gt ['-20', '20', '0', '0', '0']:pred [20.       28.225807  0.        0.        0.      ]
Suv_-20_0_-20_0_20_160_20_450:gt ['-20', '0', '-20', '0', '20']:pred [20.        6.323365 20.       15.681369 20.      ]
Hybrid_0_0_-20_20_0_80_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 1.6309054  0.        20.        20.         0.       ]
Suv_-20_20_-20_0_20_320_20_400:gt ['-20', '20', '-20', '0', '20']:pred [26.432306 20.       16.951916  0.       23.47114 ]
Sedan2Door_-20_0_-20_0_20_320_20_400:gt ['-20', '0', '-20', '0', '20']:pred [28.030489  0.       20.        0.       34.107563]
Suv_-20_20_-20_0_0_0_60_450:gt ['-20', '20', '-20', '0', '0']:pred [32.92818  14.84734  10.977581  0.       33.568184]
Sedan2Door_-20_0_-20_20_0_80_20_450:gt ['-20', '0', '-20', '20', '0']:pred [29.31823  0.      20.      20.       0.     ]
Suv_0_0_-20_0_0_240_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 0.         6.3243294 20.         3.272676  20.757864 ]
Hybrid_-20_20_-20_20_20_320_20_450:gt ['-20', '20', '-20', '20', '20']:pred [24.928524 20.       20.       20.       12.63426 ]
Hatchback_0_20_0_0_0_160_20_450:gt ['0', '20', '0', '0', '0']:pred [ 0.       22.248629  0.       15.069627  0.      ]
Suv_-20_0_0_20_0_0_20_450:gt ['-20', '0', '0', '20', '0']:pred [16.345865  0.        3.841099 20.        0.      ]
Sedan2Door_0_0_0_20_0_0_60_400:gt ['0', '0', '0', '20', '0']:pred [ 2.7228293 20.100828   0.        20.        16.403017 ]
Hatchback_-20_0_-20_0_20_160_20_400:gt ['-20', '0', '-20', '0', '20']:pred [20.         2.549057  20.         8.6067505 20.       ]
Sedan2Door_0_20_-20_0_0_160_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 0.        5.489209 20.        0.        0.      ]
Suv_-20_0_-20_20_20_80_60_450:gt ['-20', '0', '-20', '20', '20']:pred [15.928584  5.535414  4.70881  16.318089 21.267185]
Sedan2Door_0_0_0_0_20_240_60_400:gt ['0', '0', '0', '0', '20']:pred [ 7.1903996  6.2974505  0.         0.        33.038567 ]
Hybrid_0_20_0_20_20_160_20_450:gt ['0', '20', '0', '20', '20']:pred [ 0.      17.88153  0.      20.      20.     ]
Hybrid_0_20_-20_20_0_0_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 2.9191525 42.701027  20.        20.        24.970848 ]
Hatchback_0_20_-20_0_0_80_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 3.346017   4.823056   4.9757648  8.583847  18.77499  ]
Sedan4Door_-20_20_-20_20_0_80_60_400:gt ['-20', '20', '-20', '20', '0']:pred [22.725504  56.89434   20.090818   2.5071294  0.       ]
Suv_-20_20_-20_20_0_160_60_450:gt ['-20', '20', '-20', '20', '0']:pred [46.476078   7.3510222 20.        26.968843  56.988194 ]
Sedan4Door_0_0_-20_0_20_320_60_450:gt ['0', '0', '-20', '0', '20']:pred [13.36665  19.344688  9.00861   0.       49.398476]
Hybrid_-20_0_0_20_20_80_20_400:gt ['-20', '0', '0', '20', '20']:pred [17.285234  0.        0.       20.       20.      ]
Sedan2Door_-20_20_0_20_0_240_60_400:gt ['-20', '20', '0', '20', '0']:pred [19.075373 11.865668  0.       20.       30.980297]
Sedan4Door_-20_0_-20_20_20_160_20_400:gt ['-20', '0', '-20', '20', '20']:pred [20.        2.139154 20.       31.451529 20.      ]
Sedan2Door_0_20_-20_20_0_240_20_400:gt ['0', '20', '-20', '20', '0']:pred [ 0.       57.308968 20.       20.       14.54455 ]
Sedan2Door_0_20_0_0_20_240_60_450:gt ['0', '20', '0', '0', '20']:pred [16.609072   5.8812027  0.         0.        34.622513 ]
Hybrid_0_0_-20_20_20_0_20_400:gt ['0', '0', '-20', '20', '20']:pred [ 2.0138967  0.        20.        20.        20.       ]
Hatchback_0_0_0_0_20_320_60_450:gt ['0', '0', '0', '0', '20']:pred [ 5.1412687 17.737183   2.3958838  0.        50.966785 ]
Hybrid_0_20_-20_20_0_240_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 0.        8.977936 20.       20.       37.781166]
Sedan4Door_-20_0_-20_20_0_80_60_450:gt ['-20', '0', '-20', '20', '0']:pred [37.81471    3.7707608  5.568155  11.004119   0.       ]
Hybrid_0_0_0_20_0_0_60_400:gt ['0', '0', '0', '20', '0']:pred [ 3.4123764  0.         0.        20.        15.561635 ]
Sedan2Door_-20_20_0_0_0_80_60_400:gt ['-20', '20', '0', '0', '0']:pred [20.032434 18.571476  0.        0.        0.      ]
Hatchback_-20_0_-20_0_20_0_60_450:gt ['-20', '0', '-20', '0', '20']:pred [24.662603 24.36753  19.349548  0.       38.849277]
Sedan4Door_-20_0_0_0_0_240_20_450:gt ['-20', '0', '0', '0', '0']:pred [20.         4.7651734  0.         5.5846577 40.91398  ]
Hatchback_0_0_0_0_20_80_60_450:gt ['0', '0', '0', '0', '20']:pred [ 5.554825  30.684933   5.0216446  3.3546536 48.645756 ]
Sedan4Door_0_0_-20_20_20_160_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 0.         6.9248147 20.        27.924     20.       ]
Hybrid_0_0_0_20_0_240_60_450:gt ['0', '0', '0', '20', '0']:pred [ 0.       11.459428  0.       20.       37.910553]
Hybrid_0_0_-20_20_20_80_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 2.6784177  0.        20.        20.        20.       ]
Hatchback_-20_20_-20_20_0_320_60_450:gt ['-20', '20', '-20', '20', '0']:pred [23.787945 10.024733 20.829878 11.392128 32.79313 ]
Hybrid_0_20_-20_20_0_0_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 3.7211137 20.        20.        20.         0.       ]
Hatchback_-20_20_-20_20_20_240_20_450:gt ['-20', '20', '-20', '20', '20']:pred [20.       15.011199 20.       23.015175 49.291306]
Suv_0_20_0_20_20_80_60_450:gt ['0', '20', '0', '20', '20']:pred [ 2.6617045 21.237581   2.746872  18.489063  49.044357 ]
Hybrid_0_0_-20_0_0_0_60_450:gt ['0', '0', '-20', '0', '0']:pred [ 3.7167246  0.        20.         0.        29.749361 ]
Sedan2Door_-20_0_-20_20_20_240_60_400:gt ['-20', '0', '-20', '20', '20']:pred [22.763174    0.60942394 20.         20.         57.52336   ]
Sedan4Door_0_0_-20_0_0_80_60_400:gt ['0', '0', '-20', '0', '0']:pred [ 1.3568186 48.21644   17.057266   6.5029726  0.       ]
Sedan4Door_0_0_0_0_0_240_60_450:gt ['0', '0', '0', '0', '0']:pred [ 5.8267493  1.93773    0.         2.8371248 54.334034 ]
Hatchback_-20_20_0_0_0_0_20_400:gt ['-20', '20', '0', '0', '0']:pred [13.52859   20.         3.1570096  0.         0.       ]
Sedan4Door_-20_0_-20_0_20_0_20_400:gt ['-20', '0', '-20', '0', '20']:pred [ 8.072659  0.       35.10681   0.       20.      ]
Hatchback_0_0_-20_20_20_160_60_400:gt ['0', '0', '-20', '20', '20']:pred [23.547966 38.89495  20.        7.040736 50.564915]
Hatchback_-20_0_-20_0_0_240_20_400:gt ['-20', '0', '-20', '0', '0']:pred [20.        19.00356   20.         6.406306   7.4469957]
Sedan2Door_-20_20_-20_0_20_80_60_400:gt ['-20', '20', '-20', '0', '20']:pred [35.18895    9.7082815 20.         0.        19.090685 ]
Hybrid_0_20_-20_20_20_240_60_450:gt ['0', '20', '-20', '20', '20']:pred [ 0.       23.71513  20.       20.       31.758999]
Sedan2Door_0_0_0_0_0_0_20_450:gt ['0', '0', '0', '0', '0']:pred [1.5645784 0.        0.        0.        0.       ]
Suv_-20_20_-20_20_0_80_20_450:gt ['-20', '20', '-20', '20', '0']:pred [24.123945 20.       21.799679 20.        0.      ]
Hybrid_0_20_0_0_0_160_20_450:gt ['0', '20', '0', '0', '0']:pred [ 0.       30.559158  0.        0.        0.      ]
Hybrid_0_0_-20_20_20_240_20_400:gt ['0', '0', '-20', '20', '20']:pred [ 0.         5.2573857 20.        20.        29.69105  ]
Suv_0_20_-20_20_0_80_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 3.7921643 20.        13.230005  20.         0.       ]
Hatchback_-20_0_-20_20_0_320_20_400:gt ['-20', '0', '-20', '20', '0']:pred [28.988129   0.        30.59162   20.         5.1217446]
Sedan2Door_-20_20_-20_0_0_160_60_450:gt ['-20', '20', '-20', '0', '0']:pred [12.63113    3.7974377 20.         0.        51.596104 ]
Hybrid_0_0_0_20_20_0_60_400:gt ['0', '0', '0', '20', '20']:pred [ 3.037271  0.        0.       20.       55.708073]
Suv_-20_0_-20_20_20_80_20_450:gt ['-20', '0', '-20', '20', '20']:pred [32.535717  0.       11.790583 20.       20.      ]
Sedan4Door_-20_20_-20_0_20_320_60_450:gt ['-20', '20', '-20', '0', '20']:pred [26.021488  12.247412   7.4568744  0.        57.46343  ]
Hatchback_-20_20_0_20_0_240_60_450:gt ['-20', '20', '0', '20', '0']:pred [16.704863 20.777565  0.       27.692776 48.752617]
Sedan2Door_-20_20_0_20_20_320_60_450:gt ['-20', '20', '0', '20', '20']:pred [15.486494 10.066635  0.       20.       33.904217]
Hatchback_0_0_-20_0_0_320_20_400:gt ['0', '0', '-20', '0', '0']:pred [ 2.2882     0.        31.883951   0.         7.5013475]
Hatchback_-20_20_0_0_20_80_60_400:gt ['-20', '20', '0', '0', '20']:pred [31.036278  24.27164    2.7943776  3.5724134 56.27612  ]
Sedan2Door_0_20_-20_20_0_240_60_450:gt ['0', '20', '-20', '20', '0']:pred [ 5.68129   7.392487 20.       20.       42.0789  ]
Sedan4Door_0_20_0_0_20_80_20_400:gt ['0', '20', '0', '0', '20']:pred [ 4.2774086 20.         0.         0.        20.       ]
Hybrid_0_0_-20_0_20_240_60_400:gt ['0', '0', '-20', '0', '20']:pred [ 0.        6.034177 20.        0.       23.535543]
Sedan4Door_0_0_0_0_20_80_20_450:gt ['0', '0', '0', '0', '20']:pred [ 3.9091623  0.         0.         0.        20.       ]
Hybrid_0_20_-20_0_20_0_60_450:gt ['0', '20', '-20', '0', '20']:pred [ 3.9040267 42.841885  20.         0.        31.366985 ]
Hybrid_0_0_0_20_0_80_60_400:gt ['0', '0', '0', '20', '0']:pred [ 2.6489153 13.588464   0.        20.        39.29387  ]
Hatchback_-20_20_-20_20_0_240_20_400:gt ['-20', '20', '-20', '20', '0']:pred [20.       17.23777  20.       21.29198  37.073704]
Sedan4Door_0_20_0_20_0_320_20_450:gt ['0', '20', '0', '20', '0']:pred [ 1.4958915 20.         4.1882243 20.        24.535624 ]
Sedan4Door_-20_20_-20_20_20_160_20_400:gt ['-20', '20', '-20', '20', '20']:pred [20.       18.162779 20.       23.751324 20.      ]
Hatchback_-20_0_-20_0_20_80_20_400:gt ['-20', '0', '-20', '0', '20']:pred [26.86275   0.       18.064234  0.       20.      ]
Sedan2Door_-20_0_0_20_20_80_60_400:gt ['-20', '0', '0', '20', '20']:pred [18.703566   1.7569354  0.        20.        33.28732  ]
Suv_-20_0_-20_20_20_80_60_400:gt ['-20', '0', '-20', '20', '20']:pred [30.559948  43.955414  16.9062     4.2938523 49.3189   ]
Sedan2Door_0_0_0_20_0_0_20_400:gt ['0', '0', '0', '20', '0']:pred [ 1.6485344  0.         0.        20.         0.       ]
Sedan2Door_0_20_0_0_20_0_60_450:gt ['0', '20', '0', '0', '20']:pred [ 3.4759057 18.862558   0.         0.        32.448944 ]
Suv_0_0_-20_0_0_160_60_400:gt ['0', '0', '-20', '0', '0']:pred [ 7.6556797  6.0685287 20.         6.1770477 57.232418 ]
Sedan4Door_0_0_0_20_20_0_20_400:gt ['0', '0', '0', '20', '20']:pred [ 0.86409515  0.          8.912244   20.         20.        ]
Hybrid_0_0_0_0_20_240_20_450:gt ['0', '0', '0', '0', '20']:pred [ 0.       20.952894  0.        0.       13.214406]
Sedan2Door_0_0_0_0_20_320_20_450:gt ['0', '0', '0', '0', '20']:pred [ 0.79283077  0.          0.          0.         34.898827  ]
Hatchback_-20_20_0_0_20_80_20_450:gt ['-20', '20', '0', '0', '20']:pred [24.135374 20.        0.        0.       20.      ]
Hatchback_0_0_-20_0_20_80_20_450:gt ['0', '0', '-20', '0', '20']:pred [ 2.5590656  0.        22.296589   0.        20.       ]
Hybrid_0_20_-20_0_0_160_20_450:gt ['0', '20', '-20', '0', '0']:pred [ 0.       14.836552 20.        0.        0.      ]
Sedan2Door_0_20_0_0_20_80_20_450:gt ['0', '20', '0', '0', '20']:pred [ 2.9891393 20.         0.         0.        20.       ]
Hybrid_-20_0_-20_20_20_240_20_450:gt ['-20', '0', '-20', '20', '20']:pred [20.        8.758381 20.       20.       24.1948  ]
Hatchback_0_20_0_0_20_160_20_450:gt ['0', '20', '0', '0', '20']:pred [ 0.       23.921944  0.       15.225354 20.      ]
Hatchback_-20_20_0_0_20_0_20_450:gt ['-20', '20', '0', '0', '20']:pred [10.167882  20.         1.9750102  0.        20.       ]
Suv_-20_20_0_0_0_240_20_450:gt ['-20', '20', '0', '0', '0']:pred [20.        30.513721   0.         3.1961086 13.8302965]
Hybrid_0_20_-20_20_0_320_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 2.2457461 20.        20.        20.        13.480997 ]
Hybrid_0_20_0_20_20_0_60_450:gt ['0', '20', '0', '20', '20']:pred [ 1.9931605 37.215374   0.        20.         7.5182543]
Sedan2Door_0_20_-20_20_20_160_60_450:gt ['0', '20', '-20', '20', '20']:pred [25.14894    3.9531746 20.        20.        53.149494 ]
Hybrid_-20_20_-20_20_0_160_20_450:gt ['-20', '20', '-20', '20', '0']:pred [20.       21.953636 20.       20.        0.      ]
Hatchback_0_0_0_0_0_160_20_400:gt ['0', '0', '0', '0', '0']:pred [ 0.       13.962136  0.        6.064726  0.      ]
Hybrid_-20_20_-20_0_20_240_20_450:gt ['-20', '20', '-20', '0', '20']:pred [20.       30.540222 20.        0.       10.499179]
Suv_-20_20_0_0_20_160_20_400:gt ['-20', '20', '0', '0', '20']:pred [20.       29.93286   0.       16.871164 20.      ]
Hybrid_-20_20_0_20_0_160_60_450:gt ['-20', '20', '0', '20', '0']:pred [11.67488  17.703676  0.       20.       57.899254]
Hybrid_-20_20_0_0_20_320_20_450:gt ['-20', '20', '0', '0', '20']:pred [21.719324 20.        0.        0.       38.91646 ]
Sedan2Door_-20_20_-20_0_0_80_20_450:gt ['-20', '20', '-20', '0', '0']:pred [25.902819 20.       20.        0.        0.      ]
Sedan2Door_-20_0_-20_20_0_0_20_400:gt ['-20', '0', '-20', '20', '0']:pred [13.715534  0.       20.       20.        0.      ]
Hatchback_-20_0_0_20_0_320_60_400:gt ['-20', '0', '0', '20', '0']:pred [28.231253  10.25202    2.1949317 33.35269   50.773426 ]
Suv_0_20_-20_20_20_160_20_450:gt ['0', '20', '-20', '20', '20']:pred [ 0.       18.495998 20.       21.892534 20.      ]
Suv_-20_0_-20_20_20_160_60_400:gt ['-20', '0', '-20', '20', '20']:pred [28.24886   5.345571 20.       18.945843 53.119064]
Sedan4Door_0_0_-20_0_20_320_60_400:gt ['0', '0', '-20', '0', '20']:pred [ 5.620322   4.4833536 43.772636   0.        22.929724 ]
Sedan4Door_0_0_0_0_20_320_60_400:gt ['0', '0', '0', '0', '20']:pred [ 2.842452  0.        2.328098  0.       15.3727  ]
Sedan4Door_-20_0_0_0_0_0_20_450:gt ['-20', '0', '0', '0', '0']:pred [18.558712  0.        3.078523  0.        0.      ]
Hybrid_-20_20_-20_0_0_80_60_450:gt ['-20', '20', '-20', '0', '0']:pred [31.948717   4.9215794 20.         0.        16.339745 ]
Sedan4Door_0_20_-20_0_0_0_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 3.2352233 12.559877  11.212788   0.         6.920062 ]
Sedan2Door_-20_20_-20_20_0_240_60_450:gt ['-20', '20', '-20', '20', '0']:pred [17.150572 14.091128 20.       20.       35.447598]
Hatchback_0_0_-20_0_20_160_60_450:gt ['0', '0', '-20', '0', '20']:pred [34.87001   12.405996  20.         3.5718439 51.658092 ]
Suv_0_20_0_20_20_160_20_400:gt ['0', '20', '0', '20', '20']:pred [ 0.        10.6213045  0.        30.56699   20.       ]
Hybrid_-20_0_0_20_20_0_20_450:gt ['-20', '0', '0', '20', '20']:pred [23.313826  0.        0.       20.       20.      ]
Sedan2Door_0_20_0_20_0_320_60_450:gt ['0', '20', '0', '20', '0']:pred [ 7.8066864 25.09256    0.        20.        40.9599   ]
Sedan2Door_-20_0_-20_0_20_240_20_400:gt ['-20', '0', '-20', '0', '20']:pred [20.       10.158455 20.        0.       52.584675]
Hybrid_0_20_-20_20_0_320_60_450:gt ['0', '20', '-20', '20', '0']:pred [ 9.886644 10.289453 20.       20.       43.370316]
Sedan2Door_-20_0_-20_0_20_160_60_450:gt ['-20', '0', '-20', '0', '20']:pred [27.040527 54.44451  20.        0.       28.922071]
Sedan4Door_0_20_0_0_20_160_60_400:gt ['0', '20', '0', '0', '20']:pred [29.853003  11.196545   0.         3.8902137 35.4098   ]
Sedan4Door_0_0_0_20_0_320_60_450:gt ['0', '0', '0', '20', '0']:pred [ 6.4831586 10.075733   1.5788329 35.378746  35.350224 ]
Sedan4Door_-20_20_0_20_0_0_60_400:gt ['-20', '20', '0', '20', '0']:pred [35.040108  31.872437   1.3311465 20.        22.128712 ]
Suv_-20_0_0_20_20_0_60_400:gt ['-20', '0', '0', '20', '20']:pred [20.253468   0.         0.9732145 20.        59.01841  ]
Suv_0_0_-20_0_0_320_60_450:gt ['0', '0', '-20', '0', '0']:pred [ 3.8600876  0.        16.937912   0.        55.63311  ]
Sedan2Door_-20_20_0_0_0_240_20_450:gt ['-20', '20', '0', '0', '0']:pred [20.       13.933902  0.        0.       29.339148]
Suv_-20_0_-20_20_0_0_20_450:gt ['-20', '0', '-20', '20', '0']:pred [18.66313   0.       19.543146 20.        0.      ]
Suv_-20_20_-20_20_20_160_20_450:gt ['-20', '20', '-20', '20', '20']:pred [20.       17.615337 20.       27.309061 20.      ]
Sedan4Door_-20_0_0_20_20_240_20_400:gt ['-20', '0', '0', '20', '20']:pred [20.         2.2566013  0.        10.028262  50.357258 ]
Hybrid_0_20_0_0_0_80_20_450:gt ['0', '20', '0', '0', '0']:pred [ 3.6120684 20.         0.         0.         0.       ]
Sedan4Door_-20_20_0_0_20_80_60_450:gt ['-20', '20', '0', '0', '20']:pred [30.33037   15.721844   2.5069036 17.452326  20.       ]
Sedan4Door_-20_0_-20_0_0_80_20_400:gt ['-20', '0', '-20', '0', '0']:pred [22.059504  0.       11.116883  0.        0.      ]
Suv_-20_20_0_20_20_0_60_400:gt ['-20', '20', '0', '20', '20']:pred [36.92086   25.215425   1.1480407 20.        52.452713 ]
Sedan4Door_-20_0_0_0_20_0_60_450:gt ['-20', '0', '0', '0', '20']:pred [28.498806  12.670763   2.3121715  0.        34.28219  ]
Suv_0_20_-20_20_0_0_20_400:gt ['0', '20', '-20', '20', '0']:pred [ 1.5499709 20.        27.805727  20.         0.       ]
Hybrid_0_0_0_20_0_240_20_400:gt ['0', '0', '0', '20', '0']:pred [ 0.       11.777809  0.       20.        4.686729]
Hatchback_-20_0_-20_20_0_320_20_450:gt ['-20', '0', '-20', '20', '0']:pred [17.742525  0.       28.110277 20.        7.276701]
Sedan4Door_-20_20_0_20_20_320_60_400:gt ['-20', '20', '0', '20', '20']:pred [17.684011  20.         1.5951133 33.171482  33.0957   ]
Sedan2Door_-20_20_0_20_20_320_20_400:gt ['-20', '20', '0', '20', '20']:pred [ 9.355685 20.        0.       20.       28.432028]
Suv_-20_0_0_0_20_160_60_450:gt ['-20', '0', '0', '0', '20']:pred [16.597553 14.084708  0.       21.753454 59.695126]
Hybrid_-20_0_0_0_20_160_60_400:gt ['-20', '0', '0', '0', '20']:pred [18.361689 11.524708  0.        0.       43.097168]
Sedan2Door_-20_0_0_0_20_160_60_450:gt ['-20', '0', '0', '0', '20']:pred [13.994834  9.194749  0.        0.       52.65421 ]
Hybrid_0_0_0_20_20_320_60_400:gt ['0', '0', '0', '20', '20']:pred [ 3.519709  0.        0.       20.       42.42225 ]
Sedan4Door_0_20_-20_0_0_160_60_450:gt ['0', '20', '-20', '0', '0']:pred [12.0308895 25.605394  20.         6.968565  39.86971  ]
Hatchback_0_0_-20_0_20_320_20_450:gt ['0', '0', '-20', '0', '20']:pred [ 4.4044504  0.        33.322502   0.        10.797644 ]
Sedan2Door_-20_20_0_0_0_320_20_450:gt ['-20', '20', '0', '0', '0']:pred [24.716328 20.        0.        0.       28.138378]
Sedan2Door_0_0_0_20_0_160_20_450:gt ['0', '0', '0', '20', '0']:pred [ 0.       7.96963  0.      20.       0.     ]
Hatchback_-20_20_-20_0_20_0_20_450:gt ['-20', '20', '-20', '0', '20']:pred [14.137471 20.        8.338248  0.       20.      ]
Sedan4Door_0_20_0_20_20_0_60_400:gt ['0', '20', '0', '20', '20']:pred [ 7.7963142  22.947113    0.91106397 20.         49.216682  ]
Sedan4Door_0_0_-20_20_20_240_60_450:gt ['0', '0', '-20', '20', '20']:pred [11.987357   4.544156  14.449283   1.9414593 20.768574 ]
Sedan4Door_-20_20_0_0_20_320_60_450:gt ['-20', '20', '0', '0', '20']:pred [20.890848  29.951506   2.5034752  0.        21.80106  ]
Hatchback_0_20_-20_0_0_320_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 3.159371 20.       29.37362   0.        8.951517]
Sedan4Door_0_20_0_0_0_80_20_400:gt ['0', '20', '0', '0', '0']:pred [ 4.1499457 20.         0.         0.         0.       ]
Suv_0_20_0_0_0_320_60_450:gt ['0', '20', '0', '0', '0']:pred [ 4.2414227 20.         1.8253543  0.        46.58668  ]
Hybrid_-20_20_0_20_20_160_20_400:gt ['-20', '20', '0', '20', '20']:pred [20.       23.410513  0.       20.       20.      ]
Hatchback_0_0_-20_0_0_80_60_450:gt ['0', '0', '-20', '0', '0']:pred [ 2.2162125  9.110432   6.0647106 11.5397625 44.616447 ]
Sedan2Door_-20_20_-20_0_0_240_20_450:gt ['-20', '20', '-20', '0', '0']:pred [20.       21.147858 20.        0.       32.648743]
Sedan4Door_0_0_-20_0_20_160_20_400:gt ['0', '0', '-20', '0', '20']:pred [ 0.         8.577501  20.         5.2731743 20.       ]
Sedan2Door_-20_0_0_20_20_320_20_400:gt ['-20', '0', '0', '20', '20']:pred [27.332129  0.        0.       20.       10.675844]
Sedan4Door_-20_0_0_0_20_240_20_450:gt ['-20', '0', '0', '0', '20']:pred [20.       13.476583  0.        5.58702  42.76844 ]
Sedan2Door_-20_20_-20_0_0_320_60_450:gt ['-20', '20', '-20', '0', '0']:pred [17.292591 27.62856  20.        0.       43.172394]
Sedan2Door_0_0_-20_0_20_320_20_400:gt ['0', '0', '-20', '0', '20']:pred [ 1.8747259  0.        20.         0.        30.855875 ]
Sedan4Door_-20_20_0_20_0_80_20_400:gt ['-20', '20', '0', '20', '0']:pred [29.85422  20.        2.446943 20.        0.      ]
Hybrid_-20_20_0_20_0_80_60_400:gt ['-20', '20', '0', '20', '0']:pred [37.6524   41.49427   0.       20.       11.137124]
Hatchback_-20_20_0_0_0_80_20_400:gt ['-20', '20', '0', '0', '0']:pred [31.011526 20.        0.        0.        0.      ]
Suv_0_20_0_0_20_80_20_400:gt ['0', '20', '0', '0', '20']:pred [ 3.7635689 20.         0.         0.        20.       ]
Hatchback_0_0_0_0_0_0_60_400:gt ['0', '0', '0', '0', '0']:pred [ 2.7754982  8.877249   2.738464   0.        35.206    ]
Suv_-20_0_-20_0_20_320_60_450:gt ['-20', '0', '-20', '0', '20']:pred [24.087185  0.        8.347284  0.       52.85351 ]
Sedan4Door_0_0_-20_20_0_0_20_400:gt ['0', '0', '-20', '20', '0']:pred [ 1.1311576  0.        30.652517  20.         0.       ]
Suv_0_20_-20_0_20_320_20_400:gt ['0', '20', '-20', '0', '20']:pred [ 1.5256523 20.        23.551338   0.        47.77861  ]
Hatchback_0_0_0_20_20_160_20_450:gt ['0', '0', '0', '20', '20']:pred [ 0.        5.410345  0.       30.66041  20.      ]
Sedan2Door_0_20_-20_20_0_0_20_400:gt ['0', '20', '-20', '20', '0']:pred [ 1.9162481 20.        20.        20.         0.       ]
Sedan2Door_-20_20_0_20_0_160_20_450:gt ['-20', '20', '0', '20', '0']:pred [20.         5.2027154  0.        20.         0.       ]
Suv_0_0_-20_0_0_80_60_450:gt ['0', '0', '-20', '0', '0']:pred [ 3.5837238 51.18486   14.054823   5.603267  20.789165 ]
Sedan2Door_0_0_0_20_0_240_60_450:gt ['0', '0', '0', '20', '0']:pred [ 7.0827174 20.68997    0.        20.        48.457436 ]
Hybrid_0_20_0_20_0_0_20_400:gt ['0', '20', '0', '20', '0']:pred [ 1.6619445 20.         0.        20.         0.       ]
Sedan2Door_0_0_0_0_0_160_20_450:gt ['0', '0', '0', '0', '0']:pred [0.        4.9853444 0.        0.        0.       ]
Hybrid_0_20_-20_20_20_80_20_400:gt ['0', '20', '-20', '20', '20']:pred [ 3.9746256 20.        20.        20.        20.       ]
Hatchback_-20_0_0_20_20_240_20_400:gt ['-20', '0', '0', '20', '20']:pred [20.        9.529821  0.       13.267846 24.984615]
Sedan4Door_-20_0_-20_20_20_240_60_400:gt ['-20', '0', '-20', '20', '20']:pred [ 6.014219   2.4796083 13.237423   5.243229  16.311941 ]
Sedan2Door_0_20_0_0_20_160_20_400:gt ['0', '20', '0', '0', '20']:pred [ 0.         7.9350367  0.         0.        20.       ]
Sedan4Door_0_20_-20_20_20_0_60_400:gt ['0', '20', '-20', '20', '20']:pred [ 6.094577 32.921963 31.33318  20.       30.480354]
Hatchback_0_20_-20_0_20_320_20_400:gt ['0', '20', '-20', '0', '20']:pred [ 2.4615812 20.        25.343185   0.        38.769867 ]
Sedan4Door_-20_0_0_0_20_160_60_450:gt ['-20', '0', '0', '0', '20']:pred [18.817142  4.313661  0.        9.234431 57.653027]
Sedan2Door_-20_20_-20_0_20_240_20_400:gt ['-20', '20', '-20', '0', '20']:pred [20.       35.191467 20.        0.       55.521446]
Sedan4Door_-20_0_0_20_0_0_20_450:gt ['-20', '0', '0', '20', '0']:pred [18.49843   0.        4.037141 20.        0.      ]
Sedan4Door_-20_0_-20_20_0_240_20_400:gt ['-20', '0', '-20', '20', '0']:pred [20.       46.026142 20.       17.823408 11.532717]
Suv_-20_0_0_0_0_160_60_400:gt ['-20', '0', '0', '0', '0']:pred [24.379288  4.895014  0.        7.164435 57.66647 ]
