hybrid_0_0_-20_40_20_80_80_450:gt ['0', '0', '-20', '40', '20']:pred [ 2.1112869  2.5594208 20.        40.        20.       ]
suv_0_0_-20_0_0_160_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 0.          2.4091766  20.          0.81199884  0.        ]
hatchback_-40_0_-20_0_0_160_20_400:gt ['-40', '0', '-20', '0', '0']:pred [40.         1.477457  20.         1.9000996  0.       ]
sedan2door_-40_40_0_40_0_0_40_400:gt ['-40', '40', '0', '40', '0']:pred [42.98948  40.        0.       40.        1.787472]
sedan4door_-20_20_-40_20_20_80_40_450:gt ['-20', '20', '-40', '20', '20']:pred [18.990395 19.049238 43.477528 20.       20.      ]
hatchback_-20_0_0_20_0_240_20_400:gt ['-20', '0', '0', '20', '0']:pred [20.         2.5076928  0.        16.454227   1.5453569]
hatchback_-20_20_-40_40_20_240_80_450:gt ['-20', '20', '-40', '40', '20']:pred [18.906857 18.323116 44.413696 37.792645 23.809744]
sedan4door_-40_20_-40_20_0_80_60_400:gt ['-40', '20', '-40', '20', '0']:pred [42.127533  20.07906   40.98314   14.446436   3.0929434]
suv_-40_0_-40_20_0_240_80_450:gt ['-40', '0', '-40', '20', '0']:pred [44.105427   2.634941  47.967342  18.520233   2.7474725]
hatchback_-20_40_0_40_0_240_60_400:gt ['-20', '40', '0', '40', '0']:pred [19.476398  39.79048    0.        45.22212    3.0198514]
sedan2door_-40_0_-40_0_0_320_60_450:gt ['-40', '0', '-40', '0', '0']:pred [44.17232    3.4226828 40.         0.         2.155298 ]
sedan4door_-40_0_-40_20_0_80_80_400:gt ['-40', '0', '-40', '20', '0']:pred [42.064262   2.4680634 44.695763  16.599588   0.       ]
hybrid_0_40_-20_40_0_320_80_400:gt ['0', '40', '-20', '40', '0']:pred [ 2.0423067 45.35407   20.        40.         2.3575304]
sedan4door_0_20_-40_40_0_240_20_400:gt ['0', '20', '-40', '40', '0']:pred [ 0.        13.485561  40.        43.655552   2.1786993]
sedan4door_-20_20_-20_40_20_160_40_400:gt ['-20', '20', '-20', '40', '20']:pred [20.       17.928143 20.       43.262222 21.250256]
hatchback_0_0_-20_40_20_160_60_450:gt ['0', '0', '-20', '40', '20']:pred [ 2.3435938  2.4753034 20.        47.19338   20.08589  ]
suv_-40_40_0_40_0_160_20_450:gt ['-40', '40', '0', '40', '0']:pred [40.       42.40164   0.       43.395645  0.      ]
hatchback_-40_40_-20_40_40_320_80_400:gt ['-40', '40', '-20', '40', '40']:pred [40.426155 40.058685 19.906483 40.421627 42.79443 ]
suv_0_40_0_0_20_0_40_400:gt ['0', '40', '0', '0', '20']:pred [ 1.9887154 40.         2.034268   0.        20.56779  ]
suv_-20_20_0_0_20_240_80_400:gt ['-20', '20', '0', '0', '20']:pred [22.786264  19.786192   3.356532   2.5094798 20.60037  ]
suv_-20_0_-20_40_20_80_60_450:gt ['-20', '0', '-20', '40', '20']:pred [19.786907   2.9173672 18.189304  42.072582  15.674191 ]
hatchback_-40_0_-20_0_20_160_20_450:gt ['-40', '0', '-20', '0', '20']:pred [40.         1.5294906 20.         1.7552688 20.       ]
hybrid_-20_40_-20_40_20_320_20_450:gt ['-20', '40', '-20', '40', '20']:pred [16.969841 40.       20.       40.       17.96396 ]
hatchback_0_40_-40_20_20_0_60_400:gt ['0', '40', '-40', '20', '20']:pred [ 2.7099993 41.07692   43.345425  20.        24.829426 ]
hatchback_0_0_-20_20_20_160_60_400:gt ['0', '0', '-20', '20', '20']:pred [ 3.0992196  2.5836627 20.        20.000559  20.47981  ]
suv_-40_40_-40_40_40_80_20_400:gt ['-40', '40', '-40', '40', '40']:pred [40.487644 40.       43.60288  40.       40.      ]
hatchback_-20_0_-20_20_40_240_40_450:gt ['-20', '0', '-20', '20', '40']:pred [20.         3.3355827 20.        16.21758   43.670387 ]
hatchback_-40_40_0_0_20_80_20_400:gt ['-40', '40', '0', '0', '20']:pred [42.41567   40.         1.7212176  0.        20.       ]
sedan4door_-40_40_0_20_20_160_40_450:gt ['-40', '40', '0', '20', '20']:pred [40.       42.56519   0.       16.841492 20.960508]
suv_-20_40_-40_0_20_160_60_450:gt ['-20', '40', '-40', '0', '20']:pred [17.424633 42.701733 40.        1.122717 21.138407]
hatchback_-40_40_-20_0_0_320_40_450:gt ['-40', '40', '-20', '0', '0']:pred [42.080616  40.        25.025112   0.         2.3870728]
hybrid_-40_40_-40_40_20_320_60_450:gt ['-40', '40', '-40', '40', '20']:pred [41.25685  40.679653 40.       40.       21.23113 ]
sedan2door_0_40_-20_40_0_160_40_400:gt ['0', '40', '-20', '40', '0']:pred [ 0.       42.593407 20.       40.        2.622859]
sedan2door_0_0_-20_20_20_80_80_450:gt ['0', '0', '-20', '20', '20']:pred [ 2.8508382  1.4832183 20.        20.        20.       ]
hatchback_-40_40_-20_40_40_240_60_450:gt ['-40', '40', '-20', '40', '40']:pred [40.573715 35.875744 22.532581 42.177094 39.20585 ]
suv_-20_0_0_20_20_320_20_450:gt ['-20', '0', '0', '20', '20']:pred [18.622515  0.        2.562    20.       16.889742]
sedan4door_-40_40_0_20_40_0_60_450:gt ['-40', '40', '0', '20', '40']:pred [37.455795 43.65426   3.216853 20.       40.852463]
hybrid_0_40_-20_20_0_320_20_400:gt ['0', '40', '-20', '20', '0']:pred [ 1.9082249 40.        20.        20.         2.09008  ]
sedan4door_-40_0_-20_40_0_0_40_450:gt ['-40', '0', '-20', '40', '0']:pred [42.562      0.        21.582489  40.         1.7957414]
suv_-40_20_-20_0_40_160_40_400:gt ['-40', '20', '-20', '0', '40']:pred [40.        18.527033  20.         2.9795485 43.791763 ]
hatchback_-40_20_-40_40_0_80_80_400:gt ['-40', '20', '-40', '40', '0']:pred [39.016594 18.33395  42.520546 41.547     0.      ]
suv_0_40_-20_20_20_160_20_400:gt ['0', '40', '-20', '20', '20']:pred [ 0.       42.392124 20.       21.362988 20.      ]
suv_-20_40_-20_20_0_0_40_400:gt ['-20', '40', '-20', '20', '0']:pred [16.512001  40.        23.04511   20.         1.5636853]
hybrid_-20_0_-40_40_40_320_60_400:gt ['-20', '0', '-40', '40', '40']:pred [20.401505  0.       40.       40.       41.124775]
hybrid_-40_20_-20_40_20_80_80_450:gt ['-40', '20', '-20', '40', '20']:pred [42.689304 21.374895 20.       40.       20.      ]
suv_-20_20_0_20_0_80_20_400:gt ['-20', '20', '0', '20', '0']:pred [20.158724 20.        0.       20.        0.      ]
sedan2door_-20_40_0_40_40_160_20_450:gt ['-20', '40', '0', '40', '40']:pred [20.       41.590816  0.       40.       40.      ]
suv_0_20_-20_40_0_240_80_450:gt ['0', '20', '-20', '40', '0']:pred [ 1.4371564 16.355646  20.446123  43.022625   2.748743 ]
sedan2door_-40_20_0_40_40_0_40_400:gt ['-40', '20', '0', '40', '40']:pred [40.48334 20.       0.      40.      41.16723]
sedan4door_-20_20_-20_20_0_320_40_450:gt ['-20', '20', '-20', '20', '0']:pred [18.732895  20.        20.978092  20.         1.8293413]
hatchback_0_20_0_20_20_160_40_400:gt ['0', '20', '0', '20', '20']:pred [ 0.       23.014553  0.       18.98318  19.181396]
hybrid_-20_40_-40_40_20_80_80_400:gt ['-20', '40', '-40', '40', '20']:pred [18.510105 40.707924 40.       40.       20.      ]
suv_-20_40_-40_0_20_240_20_400:gt ['-20', '40', '-40', '0', '20']:pred [20.       41.42858  40.        2.66371  19.560574]
sedan2door_0_0_-20_0_40_0_60_450:gt ['0', '0', '-20', '0', '40']:pred [ 1.9803364  3.6155353 20.         0.        44.838432 ]
hybrid_-40_0_-20_0_0_80_60_450:gt ['-40', '0', '-20', '0', '0']:pred [45.014565   2.8546538 20.         0.         2.2711143]
suv_-20_40_-40_0_0_160_40_400:gt ['-20', '40', '-40', '0', '0']:pred [20.        44.223442  40.         2.167758   2.4800022]
sedan2door_-40_0_0_0_20_0_80_400:gt ['-40', '0', '0', '0', '20']:pred [42.27137    2.5507739  0.         0.        19.202133 ]
hybrid_0_0_0_0_40_0_80_400:gt ['0', '0', '0', '0', '40']:pred [ 1.6716696  2.7275152  0.         0.        42.02187  ]
sedan4door_0_40_0_40_40_0_80_400:gt ['0', '40', '0', '40', '40']:pred [ 3.1404312 38.86624    2.9306726 42.03175   42.886868 ]
hybrid_-20_40_-40_0_0_240_80_450:gt ['-20', '40', '-40', '0', '0']:pred [20.075249  42.317905  40.         0.         3.8292744]
sedan4door_-40_40_-20_40_0_80_80_450:gt ['-40', '40', '-20', '40', '0']:pred [37.804382 40.607567 18.038906 42.059013  0.      ]
sedan4door_-40_40_0_0_40_0_40_400:gt ['-40', '40', '0', '0', '40']:pred [42.879875  40.         3.1977763  0.        43.995026 ]
sedan4door_0_0_-40_40_40_240_40_400:gt ['0', '0', '-40', '40', '40']:pred [ 0.         3.7157176 40.        42.280003  39.31294  ]
hatchback_0_0_-40_0_20_80_60_450:gt ['0', '0', '-40', '0', '20']:pred [ 2.3597891  1.8063059 45.13973    2.2750075 26.393867 ]
hatchback_0_40_0_0_0_160_80_450:gt ['0', '40', '0', '0', '0']:pred [ 2.8996634 45.830822   3.7807672  2.0609224  1.9442873]
suv_-40_0_0_40_40_0_20_450:gt ['-40', '0', '0', '40', '40']:pred [43.87397    0.         1.9093173 40.        40.       ]
hatchback_0_0_0_0_40_160_80_400:gt ['0', '0', '0', '0', '40']:pred [ 2.9779806  2.0172143  0.         2.4074337 47.32243  ]
sedan4door_-20_20_0_40_20_160_20_450:gt ['-20', '20', '0', '40', '20']:pred [20.       14.780836  0.       43.95932  20.      ]
suv_-20_40_0_20_0_320_80_450:gt ['-20', '40', '0', '20', '0']:pred [17.299744  44.880314   1.9629943 18.298235   3.5307572]
hatchback_0_40_0_40_0_160_20_400:gt ['0', '40', '0', '40', '0']:pred [ 0.       43.41098   0.       44.133896  0.      ]
sedan4door_0_0_-40_20_20_240_80_450:gt ['0', '0', '-40', '20', '20']:pred [ 3.1975036  2.2708082 42.369507  19.36528   22.58709  ]
sedan4door_-20_20_0_0_20_240_80_450:gt ['-20', '20', '0', '0', '20']:pred [19.593927 21.394934  2.670883  1.807444 18.588638]
sedan2door_0_20_-20_0_40_160_60_400:gt ['0', '20', '-20', '0', '40']:pred [ 3.1474166 17.55516   20.         0.        41.26932  ]
hybrid_-40_40_0_0_20_80_40_400:gt ['-40', '40', '0', '0', '20']:pred [41.859158 44.359222  0.        0.       20.      ]
suv_-20_0_-20_40_0_160_60_400:gt ['-20', '0', '-20', '40', '0']:pred [15.140554   2.7760682 20.        47.146214   2.5912337]
sedan2door_-40_20_-20_0_20_240_60_400:gt ['-40', '20', '-20', '0', '20']:pred [43.082336 18.063692 20.        0.       19.17407 ]
hybrid_-20_40_0_0_0_80_60_400:gt ['-20', '40', '0', '0', '0']:pred [18.874052 41.084743  0.        0.        3.44598 ]
suv_-40_40_-40_0_40_80_80_450:gt ['-40', '40', '-40', '0', '40']:pred [41.245827 41.683678 40.554363  3.496537 40.      ]
hatchback_-40_20_-20_20_40_320_60_450:gt ['-40', '20', '-20', '20', '40']:pred [38.148476 20.919806 19.874964 17.927841 41.735085]
sedan4door_-20_0_0_0_0_320_20_400:gt ['-20', '0', '0', '0', '0']:pred [17.637724   0.         2.1577408  0.         1.6428415]
hybrid_0_20_-20_20_20_320_40_450:gt ['0', '20', '-20', '20', '20']:pred [ 2.178239 20.       20.       20.       22.953285]
hybrid_0_0_-40_40_20_240_40_450:gt ['0', '0', '-40', '40', '20']:pred [ 0.         2.5317748 40.        40.        21.27501  ]
sedan4door_0_0_0_0_0_240_20_400:gt ['0', '0', '0', '0', '0']:pred [0.        2.5538988 0.        3.8669689 2.895646 ]
sedan2door_-40_40_0_40_0_320_80_400:gt ['-40', '40', '0', '40', '0']:pred [42.003544 41.469234  0.       40.        3.386032]
sedan2door_0_40_-20_0_20_80_20_450:gt ['0', '40', '-20', '0', '20']:pred [ 2.1207027 40.        20.         0.        20.       ]
suv_-40_40_-20_20_0_160_60_400:gt ['-40', '40', '-20', '20', '0']:pred [41.58998  42.622345 20.       18.990915  3.025329]
hybrid_-20_0_-20_20_20_240_80_450:gt ['-20', '0', '-20', '20', '20']:pred [18.881363   2.6483037 20.        20.        18.72117  ]
sedan4door_-40_40_-40_40_0_240_80_400:gt ['-40', '40', '-40', '40', '0']:pred [40.48365  40.47215  43.33793  41.007313  3.24501 ]
sedan2door_0_0_-20_0_0_320_20_400:gt ['0', '0', '-20', '0', '0']:pred [ 1.7421529  0.        20.         0.         1.3605543]
hybrid_-20_0_0_0_40_320_60_400:gt ['-20', '0', '0', '0', '40']:pred [20.521885  0.        0.        0.       41.265987]
sedan4door_-20_0_0_20_40_320_20_400:gt ['-20', '0', '0', '20', '40']:pred [20.477703  0.        2.696326 20.       46.879196]
sedan2door_0_0_-20_0_40_320_20_450:gt ['0', '0', '-20', '0', '40']:pred [ 2.9893486  0.        20.         0.        44.91673  ]
hatchback_-40_40_-20_20_0_160_60_450:gt ['-40', '40', '-20', '20', '0']:pred [43.163025  40.31736   20.        17.369787   4.3950663]
hatchback_-40_40_-20_20_40_240_80_400:gt ['-40', '40', '-20', '20', '40']:pred [40.402878 36.59954  21.047234 21.283104 41.962242]
hybrid_-20_20_-20_0_0_240_20_450:gt ['-20', '20', '-20', '0', '0']:pred [20.        19.367655  20.         0.         1.0882758]
suv_0_20_-20_0_40_160_60_400:gt ['0', '20', '-20', '0', '40']:pred [ 3.2476563 21.113586  20.         1.3455955 43.253967 ]
hatchback_-20_40_-20_20_0_320_20_400:gt ['-20', '40', '-20', '20', '0']:pred [19.393486  40.        18.773443  20.         1.9406779]
sedan4door_0_40_0_0_20_320_80_450:gt ['0', '40', '0', '0', '20']:pred [ 2.4231505 46.707092   3.035774   1.7125143 19.308142 ]
suv_-20_0_-40_0_20_80_80_450:gt ['-20', '0', '-40', '0', '20']:pred [16.644463   1.4107604 46.494923   1.2951066 20.       ]
suv_-40_20_0_40_40_0_40_450:gt ['-40', '20', '0', '40', '40']:pred [38.75844   20.         2.5263593 40.        45.272446 ]
sedan2door_-40_0_-40_20_0_320_80_400:gt ['-40', '0', '-40', '20', '0']:pred [44.68636    2.0876296 40.        20.         3.237739 ]
hybrid_-40_40_0_20_40_320_80_400:gt ['-40', '40', '0', '20', '40']:pred [40.99702  41.214447  0.       20.       41.767853]
suv_0_40_-40_0_40_0_60_400:gt ['0', '40', '-40', '0', '40']:pred [ 2.684498 43.76038  44.99189   0.       38.399685]
sedan4door_0_40_-40_20_20_0_20_400:gt ['0', '40', '-40', '20', '20']:pred [ 1.1843874 40.        47.66803   20.        20.       ]
suv_-40_20_0_40_40_240_40_450:gt ['-40', '20', '0', '40', '40']:pred [40.       17.029537  0.       44.80825  44.978825]
sedan2door_-40_40_-40_40_20_80_20_450:gt ['-40', '40', '-40', '40', '20']:pred [44.862686 40.       40.       40.       20.      ]
hatchback_-20_20_0_0_20_160_80_400:gt ['-20', '20', '0', '0', '20']:pred [22.18026  21.942532  0.        2.173642 19.108843]
sedan4door_0_0_-40_20_0_0_40_450:gt ['0', '0', '-40', '20', '0']:pred [ 1.71357   0.       46.980476 20.        4.550848]
suv_-40_20_0_20_40_160_40_400:gt ['-40', '20', '0', '20', '40']:pred [40.       19.957901  0.       24.494694 41.74849 ]
suv_0_40_-40_40_40_0_40_400:gt ['0', '40', '-40', '40', '40']:pred [ 2.991822 40.       45.290916 40.       39.789677]
suv_-40_20_0_40_20_0_20_450:gt ['-40', '20', '0', '40', '20']:pred [44.530132  20.         1.7286994 40.        20.       ]
hatchback_0_20_-20_0_40_240_20_450:gt ['0', '20', '-20', '0', '40']:pred [ 0.       16.335318 20.        2.617438 46.004593]
suv_-40_20_-40_20_20_0_60_450:gt ['-40', '20', '-40', '20', '20']:pred [40.031124 19.822762 41.545345 20.       23.737238]
hybrid_-40_40_-40_20_20_160_80_400:gt ['-40', '40', '-40', '20', '20']:pred [42.899048 41.70143  40.       20.       20.041887]
suv_-20_0_-20_0_40_80_40_400:gt ['-20', '0', '-20', '0', '40']:pred [17.59798    1.7872744 22.107197   0.        40.       ]
sedan4door_-40_20_-20_40_20_0_80_450:gt ['-40', '20', '-20', '40', '20']:pred [38.544125 17.179451 16.600712 42.552586 18.78904 ]
sedan4door_-40_20_-20_40_40_160_20_450:gt ['-40', '20', '-20', '40', '40']:pred [40.       16.040287 20.       43.013577 40.      ]
sedan4door_-40_0_0_40_20_160_60_400:gt ['-40', '0', '0', '40', '20']:pred [42.04272    2.9447458  0.        45.967403  19.107346 ]
hybrid_0_20_-20_40_40_160_80_400:gt ['0', '20', '-20', '40', '40']:pred [ 3.0295599 20.817038  20.        40.        40.903477 ]
sedan4door_-40_20_-20_20_0_240_60_450:gt ['-40', '20', '-20', '20', '0']:pred [39.136784  24.19606   23.388178  18.386063   3.4650612]
sedan4door_-40_0_-40_40_40_160_20_400:gt ['-40', '0', '-40', '40', '40']:pred [40.         2.2425377 40.        47.790154  40.       ]
hybrid_-40_40_-40_0_40_160_80_400:gt ['-40', '40', '-40', '0', '40']:pred [42.469254 40.617607 40.        0.       39.872902]
hatchback_-20_0_0_20_0_240_20_400:gt ['-20', '0', '0', '20', '0']:pred [20.         2.5076935  0.        16.454264   1.5453689]
hatchback_0_40_0_0_0_0_60_450:gt ['0', '40', '0', '0', '0']:pred [ 2.7630136 44.453968   2.2024207  0.         1.2930635]
hatchback_-20_20_-20_0_20_160_80_450:gt ['-20', '20', '-20', '0', '20']:pred [19.496841  18.36266   17.142939   2.4964566 20.108227 ]
hatchback_-20_0_-40_0_20_80_80_450:gt ['-20', '0', '-40', '0', '20']:pred [15.592507   2.4415605 46.47668    1.8880845 20.       ]
hybrid_-40_40_0_40_20_240_60_400:gt ['-40', '40', '0', '40', '20']:pred [43.332043 42.60091   0.       40.       21.509335]
sedan4door_-20_20_-40_0_20_80_20_400:gt ['-20', '20', '-40', '0', '20']:pred [15.598408 20.       41.541214  0.       20.      ]
sedan4door_0_40_-40_40_0_0_60_400:gt ['0', '40', '-40', '40', '0']:pred [ 2.285359  41.56988   44.419846  40.         3.4171562]
suv_0_0_-20_40_0_0_60_450:gt ['0', '0', '-20', '40', '0']:pred [ 1.4245366  0.        18.288446  40.         3.064813 ]
sedan2door_-40_0_-20_20_0_80_80_400:gt ['-40', '0', '-20', '20', '0']:pred [44.441154   2.0793035 20.        20.         0.       ]
hatchback_-20_40_-20_20_40_320_20_400:gt ['-20', '40', '-20', '20', '40']:pred [23.69811  40.       19.791166 20.       43.97594 ]
hatchback_-40_20_-20_0_0_80_80_400:gt ['-40', '20', '-20', '0', '0']:pred [41.006935  16.767408  15.839147   2.8628092  0.       ]
suv_0_20_-40_0_40_160_40_450:gt ['0', '20', '-40', '0', '40']:pred [ 0.        21.074614  40.         1.9724138 45.270397 ]
hybrid_0_0_0_40_0_320_40_400:gt ['0', '0', '0', '40', '0']:pred [ 1.8403962  0.         0.        40.         2.6332095]
hatchback_-20_40_0_0_20_80_80_450:gt ['-20', '40', '0', '0', '20']:pred [19.395897  43.140953   2.5829546  1.9982935 20.       ]
sedan2door_-20_20_0_40_20_240_20_400:gt ['-20', '20', '0', '40', '20']:pred [20.       22.259062  0.       40.       18.924446]
hatchback_0_0_-20_0_0_80_80_400:gt ['0', '0', '-20', '0', '0']:pred [ 1.3015316  1.105389  14.527475   1.0696821  0.       ]
sedan2door_0_0_0_0_20_80_60_450:gt ['0', '0', '0', '0', '20']:pred [ 2.5273757  1.8336655  0.         0.        20.765806 ]
sedan2door_-20_0_-40_20_20_320_40_450:gt ['-20', '0', '-40', '20', '20']:pred [19.386206  0.       40.       20.       17.887579]
sedan4door_-40_0_-20_40_20_0_20_400:gt ['-40', '0', '-20', '40', '20']:pred [43.453102  0.       20.152596 40.       20.      ]
hatchback_0_0_-40_20_40_0_20_400:gt ['0', '0', '-40', '20', '40']:pred [ 2.2933838  0.        44.961685  20.        40.       ]
sedan4door_0_0_0_40_0_320_40_400:gt ['0', '0', '0', '40', '0']:pred [ 1.6131352  0.         1.462338  40.         1.482187 ]
sedan4door_0_40_-40_40_40_0_60_400:gt ['0', '40', '-40', '40', '40']:pred [ 2.6392202 40.0916    44.906857  40.        43.314045 ]
suv_0_20_-20_0_20_160_20_450:gt ['0', '20', '-20', '0', '20']:pred [ 0.        21.310774  20.         1.3279068 20.       ]
hybrid_-40_40_-20_0_0_0_60_400:gt ['-40', '40', '-20', '0', '0']:pred [37.051132  42.04295   20.         0.         1.9987229]
sedan4door_-20_0_-40_20_0_80_60_400:gt ['-20', '0', '-40', '20', '0']:pred [16.555166   3.0429487 40.555542  16.551062   3.5287209]
hybrid_-20_40_-40_40_40_160_60_400:gt ['-20', '40', '-40', '40', '40']:pred [18.975586 41.048252 40.       40.       42.168026]
hybrid_0_40_-40_20_20_0_20_450:gt ['0', '40', '-40', '20', '20']:pred [ 1.2705421 40.        40.        20.        20.       ]
hybrid_0_40_-40_40_20_240_20_450:gt ['0', '40', '-40', '40', '20']:pred [ 0.       44.18975  40.       40.       20.885426]
hatchback_-40_40_-40_0_20_320_60_400:gt ['-40', '40', '-40', '0', '20']:pred [40.10954  38.08437  43.287132  0.       17.793379]
suv_-20_0_-40_40_0_320_40_450:gt ['-20', '0', '-40', '40', '0']:pred [18.162514  0.       43.91555  40.        3.454603]
sedan2door_-40_40_0_20_40_160_80_400:gt ['-40', '40', '0', '20', '40']:pred [41.979744 40.523247  0.       20.       39.162334]
suv_-20_40_-20_40_0_160_60_450:gt ['-20', '40', '-20', '40', '0']:pred [16.150673  42.181137  20.        42.326637   2.2856874]
sedan4door_-40_0_0_20_20_320_80_450:gt ['-40', '0', '0', '20', '20']:pred [43.54916    2.3902454  2.654705  13.73948   20.93498  ]
hatchback_0_20_0_20_40_160_20_450:gt ['0', '20', '0', '20', '40']:pred [ 0.       16.298988  0.       18.028757 40.      ]
sedan2door_-40_40_0_20_20_160_20_400:gt ['-40', '40', '0', '20', '20']:pred [40.      43.46926  0.      20.      20.     ]
sedan4door_-40_40_-40_40_20_160_60_400:gt ['-40', '40', '-40', '40', '20']:pred [39.962482 43.037422 40.       39.28065  19.140316]
hatchback_-40_20_-20_0_20_320_20_400:gt ['-40', '20', '-20', '0', '20']:pred [40.752647 20.       21.583828  0.       20.73334 ]
hybrid_-20_20_-40_40_40_80_80_400:gt ['-20', '20', '-40', '40', '40']:pred [19.107843 19.709536 40.       40.       40.      ]
sedan4door_0_40_-20_20_0_240_60_400:gt ['0', '40', '-20', '20', '0']:pred [ 2.7975464 44.44544   19.100756  14.646092   2.9809825]
hatchback_-40_40_-40_0_20_0_80_450:gt ['-40', '40', '-40', '0', '20']:pred [41.59014   41.55404   44.74735    4.3364615 19.970139 ]
hybrid_-20_20_-20_40_20_240_60_450:gt ['-20', '20', '-20', '40', '20']:pred [17.269083 18.175373 20.       40.       22.161072]
sedan4door_0_0_0_20_40_320_20_450:gt ['0', '0', '0', '20', '40']:pred [ 3.2999134  0.         1.761814  20.        48.42453  ]
suv_0_40_0_20_20_320_20_400:gt ['0', '40', '0', '20', '20']:pred [ 1.9250858 40.         2.0288987 20.        18.056475 ]
hybrid_-40_0_-40_20_40_160_20_450:gt ['-40', '0', '-40', '20', '40']:pred [40.         1.6714702 40.        20.        40.       ]
hybrid_-20_40_-40_20_0_160_40_450:gt ['-20', '40', '-40', '20', '0']:pred [20.        42.360893  40.        20.         2.2807698]
hybrid_-40_20_-40_40_40_0_20_400:gt ['-40', '20', '-40', '40', '40']:pred [42.07528 20.      40.      40.      40.     ]
suv_0_0_-20_0_40_240_80_400:gt ['0', '0', '-20', '0', '40']:pred [ 2.4477994  1.7208356 17.350836   1.6221907 43.40262  ]
sedan2door_-20_40_-20_40_40_320_80_400:gt ['-20', '40', '-20', '40', '40']:pred [20.056692 42.31044  20.       40.       39.89448 ]
hybrid_-40_20_-20_40_20_0_20_450:gt ['-40', '20', '-20', '40', '20']:pred [42.920727 20.       20.       40.       20.      ]
hatchback_0_40_-40_0_0_160_80_400:gt ['0', '40', '-40', '0', '0']:pred [ 4.2830358 41.626873  45.592804   3.3339412  2.9743543]
hatchback_0_20_0_40_20_240_40_400:gt ['0', '20', '0', '40', '20']:pred [ 0.       21.501799  0.       47.677635 19.022049]
suv_-40_0_0_40_40_160_20_400:gt ['-40', '0', '0', '40', '40']:pred [40.         2.8223963  0.        45.651073  40.       ]
sedan2door_-20_0_-40_40_0_160_40_400:gt ['-20', '0', '-40', '40', '0']:pred [20.         2.0129867 40.        40.         2.335793 ]
hatchback_0_20_0_40_40_0_60_450:gt ['0', '20', '0', '40', '40']:pred [ 2.3172524 18.03006    2.153741  40.        43.38776  ]
sedan2door_0_40_-40_20_0_0_20_450:gt ['0', '40', '-40', '20', '0']:pred [ 1.8219991 40.        40.        20.         0.       ]
sedan4door_-40_0_-40_20_40_0_80_450:gt ['-40', '0', '-40', '20', '40']:pred [37.186283  3.688242 43.562954 18.700138 40.74788 ]
suv_-40_20_-20_20_20_160_20_450:gt ['-40', '20', '-20', '20', '20']:pred [40.       20.302813 20.       21.340588 20.      ]
sedan4door_-20_0_-20_20_0_0_60_400:gt ['-20', '0', '-20', '20', '0']:pred [17.352718   2.436863  18.915611  20.         2.3949196]
hatchback_-40_0_0_0_0_160_80_450:gt ['-40', '0', '0', '0', '0']:pred [45.08816    2.48149    4.6647205  1.6667452  2.1013048]
hatchback_-20_40_-40_40_40_80_80_400:gt ['-20', '40', '-40', '40', '40']:pred [17.64904  42.171375 43.255245 40.50406  40.      ]
hybrid_-20_40_-40_0_20_80_40_400:gt ['-20', '40', '-40', '0', '20']:pred [18.258013 44.045685 40.        0.       20.      ]
sedan2door_0_0_-40_20_20_240_40_400:gt ['0', '0', '-40', '20', '20']:pred [ 0.        2.229952 40.       20.       20.743765]
sedan2door_-40_40_-40_20_40_160_60_400:gt ['-40', '40', '-40', '20', '40']:pred [43.947605 39.85894  40.       20.       41.723793]
hybrid_0_40_-40_40_40_80_20_400:gt ['0', '40', '-40', '40', '40']:pred [ 2.3217669 40.        40.        40.        40.       ]
sedan2door_-40_40_0_20_20_80_20_400:gt ['-40', '40', '0', '20', '20']:pred [45.52468 40.       0.      20.      20.     ]
hatchback_-40_40_-20_20_20_80_80_450:gt ['-40', '40', '-20', '20', '20']:pred [43.894733 39.29123  17.112814 15.567888 20.      ]
hybrid_-40_0_-40_20_20_160_40_450:gt ['-40', '0', '-40', '20', '20']:pred [40.         2.7117443 40.        20.        17.803549 ]
suv_-20_0_0_40_40_160_20_400:gt ['-20', '0', '0', '40', '40']:pred [20.         3.2170396  0.        49.005123  40.       ]
sedan4door_-40_40_-20_40_0_160_80_400:gt ['-40', '40', '-20', '40', '0']:pred [42.41262  39.859844 23.149502 42.440956  3.465769]
sedan2door_0_20_-40_0_40_0_60_450:gt ['0', '20', '-40', '0', '40']:pred [ 2.0122225 19.399288  40.         0.        42.76034  ]
sedan4door_-20_0_0_0_40_80_20_450:gt ['-20', '0', '0', '0', '40']:pred [16.778578  0.        2.400309  0.       40.      ]
sedan4door_-20_40_0_20_40_0_40_450:gt ['-20', '40', '0', '20', '40']:pred [16.748049 40.        2.488793 20.       43.48475 ]
hybrid_0_0_0_0_20_160_40_450:gt ['0', '0', '0', '0', '20']:pred [ 0.         2.3276994  0.         0.        18.466255 ]
sedan4door_-20_0_-20_40_40_240_40_400:gt ['-20', '0', '-20', '40', '40']:pred [20.        2.882323 20.       42.947983 42.826035]
sedan2door_0_0_0_40_40_80_60_450:gt ['0', '0', '0', '40', '40']:pred [ 2.7040608  2.6229303  0.        40.        44.207882 ]
hatchback_-20_40_-20_20_0_240_60_450:gt ['-20', '40', '-20', '20', '0']:pred [17.120317  44.505028  20.817972  16.585642   3.3589654]
