sedan4door_-30_15_-4_48_46_230_70_420:gt ['-30', '15', '-4', '48', '46']:pred [26.375069 15.676088 20.162632 40.890896  9.895099]
sedan4door_-50_23_-36_48_46_230_30_420:gt ['-50', '23', '-36', '48', '46']:pred [50.       14.35479  36.       40.845905 37.586544]
sedan4door_-17_15_-4_35_15_20_70_420:gt ['-17', '15', '-4', '35', '15']:pred [10.814814  5.0197    3.312363 35.        3.761324]
suv_-17_23_-22_35_46_230_30_420:gt ['-17', '23', '-22', '35', '46']:pred [17.       12.302831 22.       39.238415 35.033028]
sedan4door_-50_23_-4_35_15_20_30_420:gt ['-50', '23', '-4', '35', '15']:pred [35.30442  23.        9.188095 35.       11.585249]
sedan2door_-50_15_-36_10_46_20_70_420:gt ['-50', '15', '-36', '10', '46']:pred [29.280836   4.0568895 36.        10.        14.071672 ]
hatchback_-50_15_-4_48_46_140_30_420:gt ['-50', '15', '-4', '48', '46']:pred [50.        9.713415  4.       45.701935 46.      ]
sedan4door_-50_15_-36_10_15_230_70_420:gt ['-50', '15', '-36', '10', '15']:pred [36.963005  13.9951725 38.937057  11.048325   3.8541322]
sedan4door_-17_45_-22_10_46_230_70_420:gt ['-17', '45', '-22', '10', '46']:pred [ 8.782902 37.54649  36.82548  11.474951 19.735168]
hybrid_-50_45_-22_10_46_230_30_420:gt ['-50', '45', '-22', '10', '46']:pred [50.       18.9939   22.       10.       42.471676]
hybrid_-17_45_-22_10_15_20_30_420:gt ['-17', '45', '-22', '10', '15']:pred [ 5.706679  45.        22.        10.         3.3642304]
sedan2door_-30_23_-36_35_28_140_30_420:gt ['-30', '23', '-36', '35', '28']:pred [30.       13.141447 36.       35.       28.      ]
hatchback_-30_45_-22_35_46_20_30_420:gt ['-30', '45', '-22', '35', '46']:pred [21.552883 45.       28.872797 35.       18.940342]
sedan2door_-17_45_-4_10_46_230_70_420:gt ['-17', '45', '-4', '10', '46']:pred [ 6.101494 33.9019    4.       10.        8.133924]
suv_-50_23_-4_48_28_50_70_420:gt ['-50', '23', '-4', '48', '28']:pred [38.471294 27.489801 17.184925 28.174253  7.640422]
hybrid_-17_23_-36_35_15_140_70_420:gt ['-17', '23', '-36', '35', '15']:pred [11.559202 11.826876 36.       35.        4.321557]
suv_-50_45_-36_35_15_50_30_420:gt ['-50', '45', '-36', '35', '15']:pred [42.982746 45.       42.086926 35.       15.      ]
hatchback_-50_23_-36_35_46_50_70_420:gt ['-50', '23', '-36', '35', '46']:pred [35.99479  31.069197 36.144497 30.138485 35.23744 ]
sedan2door_-30_15_-22_35_15_20_30_420:gt ['-30', '15', '-22', '35', '15']:pred [27.631641  15.        22.        35.         3.9903018]
suv_-50_45_-36_10_15_140_30_420:gt ['-50', '45', '-36', '10', '15']:pred [50.       23.215797 36.        5.758747 15.      ]
suv_-30_23_-22_35_46_50_30_420:gt ['-30', '23', '-22', '35', '46']:pred [39.049675 23.       35.44186  35.       46.      ]
hybrid_-17_45_-4_10_28_230_30_420:gt ['-17', '45', '-4', '10', '28']:pred [17.       20.602894  4.       10.       15.235699]
sedan2door_-50_23_-36_10_28_20_70_420:gt ['-50', '23', '-36', '10', '28']:pred [31.249197  7.481338 36.       10.        9.213082]
hybrid_-50_23_-22_48_28_140_70_420:gt ['-50', '23', '-22', '48', '28']:pred [44.56848  15.355028 22.       48.       14.448263]
sedan2door_-50_23_-22_10_15_20_30_420:gt ['-50', '23', '-22', '10', '15']:pred [29.669933 23.       22.       10.        2.298949]
sedan2door_-30_15_-36_35_28_50_70_420:gt ['-30', '15', '-36', '35', '28']:pred [38.191822  8.233107 36.       35.       20.546867]
hatchback_-50_45_-22_35_46_140_70_420:gt ['-50', '45', '-22', '35', '46']:pred [39.389168 33.3741   22.       30.91664  34.01285 ]
hybrid_-50_45_-36_48_28_140_70_420:gt ['-50', '45', '-36', '48', '28']:pred [42.14885  39.32875  36.       48.        8.532288]
hatchback_-30_45_-36_10_28_20_30_420:gt ['-30', '45', '-36', '10', '28']:pred [17.213495 45.       36.85127  10.       15.991777]
suv_-50_45_-36_48_46_230_30_420:gt ['-50', '45', '-36', '48', '46']:pred [50.       37.087116 36.       44.260487 39.035652]
hybrid_-50_45_-36_10_46_140_30_420:gt ['-50', '45', '-36', '10', '46']:pred [50.       25.551287 36.       10.       46.      ]
suv_-30_45_-36_10_15_140_30_420:gt ['-30', '45', '-36', '10', '15']:pred [30.        23.12577   36.         5.2585354 15.       ]
sedan4door_-17_23_-36_10_28_140_70_420:gt ['-17', '23', '-36', '10', '28']:pred [11.034529 15.156804 36.       16.297237 10.669916]
sedan2door_-17_15_-4_10_46_140_30_420:gt ['-17', '15', '-4', '10', '46']:pred [17.         7.3662887  4.        10.        46.       ]
sedan2door_-17_23_-4_10_28_50_30_420:gt ['-17', '23', '-4', '10', '28']:pred [18.71968 23.       4.      10.      28.     ]
sedan4door_-17_15_-36_35_46_140_30_420:gt ['-17', '15', '-36', '35', '46']:pred [17.         6.6724873 36.        31.486744  46.       ]
sedan2door_-50_23_-22_48_28_140_30_420:gt ['-50', '23', '-22', '48', '28']:pred [50.       15.221075 22.       48.       28.      ]
sedan2door_-50_23_-36_10_28_20_30_420:gt ['-50', '23', '-36', '10', '28']:pred [31.756607  23.        36.        10.         7.4867353]
hybrid_-30_15_-22_35_15_50_30_420:gt ['-30', '15', '-22', '35', '15']:pred [47.519367 15.       22.       35.       15.      ]
sedan4door_-50_23_-36_48_46_140_30_420:gt ['-50', '23', '-36', '48', '46']:pred [50.       17.790901 36.       41.02129  46.      ]
hybrid_-50_45_-36_48_46_230_70_420:gt ['-50', '45', '-36', '48', '46']:pred [36.442772 36.144363 36.       48.       15.97717 ]
suv_-50_45_-22_35_46_140_70_420:gt ['-50', '45', '-22', '35', '46']:pred [32.43996  31.10085  16.428562 34.510124 23.910366]
hatchback_-50_15_-22_48_46_50_70_420:gt ['-50', '15', '-22', '48', '46']:pred [36.91565  25.344107 29.212978 29.352953 34.411327]
sedan2door_-30_15_-4_10_15_20_70_420:gt ['-30', '15', '-4', '10', '15']:pred [34.765816   4.842196   4.        10.        11.6241045]
sedan2door_-30_45_-4_48_28_50_70_420:gt ['-30', '45', '-4', '48', '28']:pred [38.277943 44.982124  4.       48.       18.589308]
sedan4door_-30_23_-4_10_46_140_30_420:gt ['-30', '23', '-4', '10', '46']:pred [30.       16.545654  4.        6.859393 46.      ]
hybrid_-17_23_-4_48_28_140_70_420:gt ['-17', '23', '-4', '48', '28']:pred [13.105348 10.97904   4.       48.        9.826979]
hybrid_-50_15_-4_35_15_140_30_420:gt ['-50', '15', '-4', '35', '15']:pred [50.         5.9111166  4.        35.        15.       ]
hatchback_-50_45_-4_10_28_230_70_420:gt ['-50', '45', '-4', '10', '28']:pred [41.349964  32.10229   20.962803  10.1419935  7.343922 ]
suv_-17_45_-36_48_46_140_30_420:gt ['-17', '45', '-36', '48', '46']:pred [17.       27.752153 36.       46.346252 46.      ]
sedan4door_-30_23_-36_48_28_140_70_420:gt ['-30', '23', '-36', '48', '28']:pred [23.053753 15.563    36.       40.782883  8.446111]
hybrid_-50_45_-22_48_46_20_30_420:gt ['-50', '45', '-22', '48', '46']:pred [31.221584 45.       19.645065 48.       26.227898]
hybrid_-50_15_-22_35_28_140_70_420:gt ['-50', '15', '-22', '35', '28']:pred [44.51085   7.931435 22.       35.       14.078137]
suv_-50_45_-22_35_46_50_30_420:gt ['-50', '45', '-22', '35', '46']:pred [38.598927 45.       25.129986 35.       46.      ]
hatchback_-50_45_-22_10_28_140_30_420:gt ['-50', '45', '-22', '10', '28']:pred [50.       22.434566 22.        8.388853 28.      ]
hybrid_-17_23_-4_35_28_140_70_420:gt ['-17', '23', '-4', '35', '28']:pred [14.8813715 11.717104   4.        35.        10.264494 ]
suv_-50_23_-4_35_28_230_30_420:gt ['-50', '23', '-4', '35', '28']:pred [50.        11.06866    4.        40.096466   7.6491838]
sedan4door_-17_45_-22_10_15_50_70_420:gt ['-17', '45', '-22', '10', '15']:pred [15.91098  37.439606 31.19402  10.        5.081138]
hatchback_-30_45_-22_10_46_230_30_420:gt ['-30', '45', '-22', '10', '46']:pred [30.       18.01135  22.        9.111303 40.331703]
sedan2door_-50_15_-4_35_28_50_70_420:gt ['-50', '15', '-4', '35', '28']:pred [45.688644  8.245769 20.686136 35.       16.054073]
hatchback_-50_45_-36_10_28_140_70_420:gt ['-50', '45', '-36', '10', '28']:pred [41.544113 39.67612  36.       17.808771 26.261194]
hatchback_-17_23_-4_35_15_140_30_420:gt ['-17', '23', '-4', '35', '15']:pred [17.        5.666117  4.       44.801067 15.      ]
sedan2door_-17_45_-22_35_15_230_70_420:gt ['-17', '45', '-22', '35', '15']:pred [ 6.595966 32.50699  22.       35.        2.118222]
hatchback_-17_15_-36_10_28_230_30_420:gt ['-17', '15', '-36', '10', '28']:pred [17.        2.309084 36.        4.914353 11.631039]
suv_-50_15_-22_48_46_140_70_420:gt ['-50', '15', '-22', '48', '46']:pred [34.76839   9.360125 12.218097 35.355556 24.523462]
hybrid_-50_23_-22_10_46_230_70_420:gt ['-50', '23', '-22', '10', '46']:pred [36.658585 20.694017 22.       10.       20.830704]
sedan2door_-50_15_-36_10_15_230_30_420:gt ['-50', '15', '-36', '10', '15']:pred [50.         4.0913987 36.        10.         4.447262 ]
sedan4door_-30_23_-4_10_15_50_30_420:gt ['-30', '23', '-4', '10', '15']:pred [39.18008   23.         5.6497808 10.        15.       ]
hybrid_-50_45_-22_35_46_50_30_420:gt ['-50', '45', '-22', '35', '46']:pred [43.566433 45.       22.       35.       46.      ]
sedan4door_-50_45_-22_48_46_20_30_420:gt ['-50', '45', '-22', '48', '46']:pred [40.981525 45.       38.392647 48.       23.702732]
hybrid_-50_15_-22_10_46_20_30_420:gt ['-50', '15', '-22', '10', '46']:pred [32.62618  15.       22.       10.       23.450676]
sedan2door_-17_15_-22_35_15_140_30_420:gt ['-17', '15', '-22', '35', '15']:pred [17.         6.8411965 22.        35.        15.       ]
sedan4door_-17_15_-4_10_15_20_30_420:gt ['-17', '15', '-4', '10', '15']:pred [10.997635  15.         2.406529  10.         7.3260293]
hybrid_-30_45_-22_35_28_50_70_420:gt ['-30', '45', '-22', '35', '28']:pred [33.557266 43.18646  22.       35.       21.089293]
hybrid_-17_45_-22_48_46_140_30_420:gt ['-17', '45', '-22', '48', '46']:pred [17.       24.264357 22.       48.       46.      ]
sedan4door_-50_23_-4_48_46_50_30_420:gt ['-50', '23', '-4', '48', '46']:pred [45.29967 23.      19.02028 48.      46.     ]
sedan2door_-30_45_-36_10_15_140_70_420:gt ['-30', '45', '-36', '10', '15']:pred [20.010212 47.625046 36.       10.        6.566997]
sedan4door_-30_15_-4_35_46_230_30_420:gt ['-30', '15', '-4', '35', '46']:pred [30.         5.9937725  4.        34.22531   39.607204 ]
sedan4door_-17_23_-36_35_28_230_30_420:gt ['-17', '23', '-36', '35', '28']:pred [17.       14.682038 36.       30.158918 15.866906]
sedan2door_-30_23_-4_10_15_140_70_420:gt ['-30', '23', '-4', '10', '15']:pred [18.150372 27.226753  4.       14.89029   7.923664]
sedan4door_-50_23_-4_10_15_50_70_420:gt ['-50', '23', '-4', '10', '15']:pred [46.170185 23.925499 22.23715  10.        7.313607]
suv_-30_23_-4_10_28_50_30_420:gt ['-30', '23', '-4', '10', '28']:pred [36.863564  23.         1.8533155 10.        28.       ]
hybrid_-30_15_-4_10_15_140_70_420:gt ['-30', '15', '-4', '10', '15']:pred [17.620876   7.065741   4.        10.         5.3074875]
sedan4door_-30_45_-22_48_46_140_70_420:gt ['-30', '45', '-22', '48', '46']:pred [19.794807 42.06857  21.034346 45.33752  18.301746]
sedan2door_-17_23_-4_48_46_230_70_420:gt ['-17', '23', '-4', '48', '46']:pred [ 4.7915354 17.86476    4.        48.        12.304279 ]
suv_-30_23_-4_10_28_230_70_420:gt ['-30', '23', '-4', '10', '28']:pred [23.907589 14.555357 16.722538 10.767852  7.853053]
sedan4door_-30_23_-4_35_28_50_70_420:gt ['-30', '23', '-4', '35', '28']:pred [36.646862  31.066103   6.0866246 35.        15.488877 ]
hybrid_-17_45_-4_35_28_230_30_420:gt ['-17', '45', '-4', '35', '28']:pred [17.        19.728455   4.        35.        14.3112335]
suv_-50_23_-36_35_15_20_70_420:gt ['-50', '23', '-36', '35', '15']:pred [32.84993   14.13079   38.822063  35.         7.4297295]
sedan2door_-50_15_-4_48_46_140_70_420:gt ['-50', '15', '-4', '48', '46']:pred [26.696602 13.820537  4.       48.       25.199142]
hybrid_-17_15_-36_48_28_140_30_420:gt ['-17', '15', '-36', '48', '28']:pred [17.       5.29224 36.      48.      28.     ]
hatchback_-30_23_-22_10_15_230_30_420:gt ['-30', '23', '-22', '10', '15']:pred [30.         4.310198  22.         4.9745092  5.4049454]
hybrid_-50_23_-22_35_28_230_30_420:gt ['-50', '23', '-22', '35', '28']:pred [50.         4.6899858 22.        35.        12.976823 ]
hybrid_-17_15_-4_48_46_20_30_420:gt ['-17', '15', '-4', '48', '46']:pred [ 5.01472  15.        4.       48.       26.541412]
hatchback_-30_45_-4_35_46_140_30_420:gt ['-30', '45', '-4', '35', '46']:pred [30.       16.937012  4.       46.17523  46.      ]
hybrid_-17_23_-22_35_46_230_30_420:gt ['-17', '23', '-22', '35', '46']:pred [17.        4.823723 22.       35.       37.401573]
suv_-30_23_-22_48_28_140_70_420:gt ['-30', '23', '-22', '48', '28']:pred [24.019535 16.09985  18.776485 32.936844 13.937056]
suv_-30_23_-4_48_46_230_30_420:gt ['-30', '23', '-4', '48', '46']:pred [30.       15.664822  4.       41.88987  35.7828  ]
suv_-50_45_-22_48_46_50_30_420:gt ['-50', '45', '-22', '48', '46']:pred [37.70099  45.       23.867329 48.       46.      ]
hybrid_-30_15_-36_48_28_20_70_420:gt ['-30', '15', '-36', '48', '28']:pred [18.70077   4.4303   36.       48.       16.271568]
suv_-30_23_-36_10_15_20_30_420:gt ['-30', '23', '-36', '10', '15']:pred [39.74851  23.       39.59777  10.       14.901275]
hybrid_-17_15_-36_35_28_140_30_420:gt ['-17', '15', '-36', '35', '28']:pred [17.         6.0314584 36.        35.        28.       ]
sedan4door_-50_23_-36_48_46_50_30_420:gt ['-50', '23', '-36', '48', '46']:pred [39.67568 23.      45.63077 48.      46.     ]
hybrid_-17_15_-36_35_15_20_30_420:gt ['-17', '15', '-36', '35', '15']:pred [ 5.682839 15.       36.       35.        2.907394]
hybrid_-50_15_-22_48_28_20_70_420:gt ['-50', '15', '-22', '48', '28']:pred [34.83613    4.3422885 22.        48.        16.809166 ]
suv_-17_15_-36_48_28_50_70_420:gt ['-17', '15', '-36', '48', '28']:pred [ 9.872457 15.490909 30.87548  48.       12.542197]
suv_-50_15_-36_48_28_20_30_420:gt ['-50', '15', '-36', '48', '28']:pred [30.823145 15.       41.79652  48.       26.567242]
sedan4door_-17_45_-22_48_15_20_30_420:gt ['-17', '45', '-22', '48', '15']:pred [13.915379 45.       20.65658  48.       10.372117]
sedan4door_-50_45_-4_10_28_230_30_420:gt ['-50', '45', '-4', '10', '28']:pred [50.       32.89974   4.       11.324641 16.948364]
hatchback_-17_23_-36_10_28_20_70_420:gt ['-17', '23', '-36', '10', '28']:pred [ 9.60259   10.0407095 34.831814  17.95103   27.082897 ]
hybrid_-50_45_-4_35_28_20_30_420:gt ['-50', '45', '-4', '35', '28']:pred [35.593292 45.        4.       35.       19.050314]
suv_-17_23_-36_35_28_20_70_420:gt ['-17', '23', '-36', '35', '28']:pred [16.112743 12.39249  33.138657 35.       18.271143]
sedan4door_-30_45_-22_10_15_20_30_420:gt ['-30', '45', '-22', '10', '15']:pred [31.161272 45.       22.655878 10.       12.89814 ]
hybrid_-30_23_-36_10_15_50_70_420:gt ['-30', '23', '-36', '10', '15']:pred [36.705738 25.998745 36.       10.       10.7586  ]
sedan4door_-50_23_-4_35_15_140_70_420:gt ['-50', '23', '-4', '35', '15']:pred [39.144314  15.306681   4.        31.250553   6.8270082]
suv_-30_15_-22_48_28_20_30_420:gt ['-30', '15', '-22', '48', '28']:pred [32.992126 15.       20.963675 48.       22.818913]
suv_-30_15_-36_48_46_20_70_420:gt ['-30', '15', '-36', '48', '46']:pred [24.410873 13.082207 37.186554 48.       28.345171]
hatchback_-30_23_-36_10_28_230_70_420:gt ['-30', '23', '-36', '10', '28']:pred [27.025732 23.462805 43.38012  14.624705 12.406585]
hatchback_-17_15_-36_35_15_50_70_420:gt ['-17', '15', '-36', '35', '15']:pred [12.733508 10.268498 35.733475 23.064112  4.617205]
hybrid_-30_45_-4_35_15_140_70_420:gt ['-30', '45', '-4', '35', '15']:pred [18.610271  43.54015    4.        35.         3.6376302]
hybrid_-17_23_-36_10_28_230_70_420:gt ['-17', '23', '-36', '10', '28']:pred [ 8.819216 19.586557 36.       10.       14.858711]
sedan4door_-17_45_-36_48_28_140_70_420:gt ['-17', '45', '-36', '48', '28']:pred [11.570951 37.97048  36.       41.9329    7.376783]
sedan2door_-17_23_-4_10_46_20_70_420:gt ['-17', '23', '-4', '10', '46']:pred [13.482308  5.541188  4.       10.       15.212697]
hatchback_-17_23_-4_48_46_230_70_420:gt ['-17', '23', '-4', '48', '46']:pred [11.634623 22.922077 15.540465 43.24079  24.834614]
sedan4door_-50_45_-22_10_15_20_70_420:gt ['-50', '45', '-22', '10', '15']:pred [34.396835 25.099712 27.649294 10.        3.700379]
sedan4door_-50_45_-22_10_15_50_30_420:gt ['-50', '45', '-22', '10', '15']:pred [38.988224 45.       39.024155 10.       15.      ]
suv_-30_45_-36_35_46_230_70_420:gt ['-30', '45', '-36', '35', '46']:pred [29.30725  28.945719 32.03099  29.254911 13.139515]
sedan2door_-17_45_-36_10_46_20_70_420:gt ['-17', '45', '-36', '10', '46']:pred [17.974379 27.278378 36.       10.       15.246166]
sedan2door_-17_15_-22_48_28_140_30_420:gt ['-17', '15', '-22', '48', '28']:pred [17.         7.1049743 22.        48.        28.       ]
suv_-17_15_-22_35_46_20_30_420:gt ['-17', '15', '-22', '35', '46']:pred [13.875488 15.       17.931181 35.       27.985676]
sedan2door_-50_23_-4_48_46_140_30_420:gt ['-50', '23', '-4', '48', '46']:pred [50.       15.719964  4.       48.       46.      ]
hatchback_-50_15_-36_35_46_20_70_420:gt ['-50', '15', '-36', '35', '46']:pred [33.403732 11.031338 39.92799  29.802708 35.962902]
sedan2door_-30_23_-4_35_15_230_70_420:gt ['-30', '23', '-4', '35', '15']:pred [14.276984  16.853712   4.        35.         2.8714538]
sedan2door_-30_23_-22_48_15_140_30_420:gt ['-30', '23', '-22', '48', '15']:pred [30.      12.97112 22.      48.      15.     ]
sedan2door_-17_15_-4_48_46_50_70_420:gt ['-17', '15', '-4', '48', '46']:pred [15.162699  9.635103  4.       48.       13.416324]
sedan2door_-50_23_-4_35_15_140_70_420:gt ['-50', '23', '-4', '35', '15']:pred [34.1531   32.618183  4.       35.        9.886712]
suv_-17_45_-22_48_46_140_70_420:gt ['-17', '45', '-22', '48', '46']:pred [13.689116 30.619457 19.440044 33.088253 25.559942]
hybrid_-17_23_-36_48_28_50_30_420:gt ['-17', '23', '-36', '48', '28']:pred [17.613354 23.       36.       48.       28.      ]
suv_-50_45_-22_48_15_50_30_420:gt ['-50', '45', '-22', '48', '15']:pred [43.166103 45.       18.745695 48.       15.      ]
sedan2door_-50_23_-36_48_28_230_70_420:gt ['-50', '23', '-36', '48', '28']:pred [25.2002    23.822443  36.        48.         4.1923027]
hybrid_-17_15_-22_10_15_50_30_420:gt ['-17', '15', '-22', '10', '15']:pred [24.248676 15.       22.       10.       15.      ]
hatchback_-30_45_-36_35_28_50_30_420:gt ['-30', '45', '-36', '35', '28']:pred [30.205667 45.       42.983513 35.       28.      ]
sedan2door_-17_23_-36_35_28_20_30_420:gt ['-17', '23', '-36', '35', '28']:pred [19.98669  23.       36.       35.       12.509282]
hatchback_-30_45_-4_35_46_230_70_420:gt ['-30', '45', '-4', '35', '46']:pred [28.458546 30.82852  22.259354 31.788397 22.356049]
sedan4door_-30_23_-22_10_15_20_70_420:gt ['-30', '23', '-22', '10', '15']:pred [31.095278  10.05745   25.180988  25.740196   3.9063315]
suv_-17_45_-22_35_28_140_30_420:gt ['-17', '45', '-22', '35', '28']:pred [17.       24.233572 22.       42.6109   28.      ]
hatchback_-17_45_-4_10_15_20_30_420:gt ['-17', '45', '-4', '10', '15']:pred [11.217768  45.         6.224892  10.         3.1574242]
hatchback_-17_23_-4_10_46_50_70_420:gt ['-17', '23', '-4', '10', '46']:pred [ 8.487187 26.405453 22.98415  10.       35.252922]
suv_-17_45_-22_48_28_140_70_420:gt ['-17', '45', '-22', '48', '28']:pred [13.726444  32.811253  19.195198  33.438038  13.5725565]
sedan4door_-30_23_-22_48_28_50_70_420:gt ['-30', '23', '-22', '48', '28']:pred [35.327625 27.879942 18.395756 28.340822 18.638994]
sedan4door_-50_23_-22_35_28_230_70_420:gt ['-50', '23', '-22', '35', '28']:pred [32.801456 22.001541 33.422443 28.343937  7.248206]
hybrid_-30_15_-22_10_28_230_30_420:gt ['-30', '15', '-22', '10', '28']:pred [30.         2.7553785 22.        10.         8.870032 ]
suv_-50_45_-22_35_28_230_70_420:gt ['-50', '45', '-22', '35', '28']:pred [39.196556 32.018818 25.039917 26.923977 11.325019]
hybrid_-30_45_-22_35_15_140_70_420:gt ['-30', '45', '-22', '35', '15']:pred [19.12041   43.1034    22.        35.         3.5750997]
sedan4door_-17_15_-4_35_46_20_70_420:gt ['-17', '15', '-4', '35', '46']:pred [11.897913   5.100957   2.3418458 35.        18.660765 ]
hatchback_-17_45_-22_10_46_50_30_420:gt ['-17', '45', '-22', '10', '46']:pred [17.665943 45.       39.056915 10.       46.      ]
hybrid_-50_15_-36_35_15_230_70_420:gt ['-50', '15', '-36', '35', '15']:pred [33.995216 16.701168 36.       35.        2.403145]
sedan4door_-30_23_-4_10_46_20_30_420:gt ['-30', '23', '-4', '10', '46']:pred [35.09799   23.         5.7652645 10.        28.376673 ]
suv_-50_45_-22_10_46_20_30_420:gt ['-50', '45', '-22', '10', '46']:pred [29.221085 45.       25.368797 10.       28.704126]
sedan2door_-17_15_-36_10_15_50_70_420:gt ['-17', '15', '-36', '10', '15']:pred [18.311556  10.015163  36.        10.         8.2588005]
sedan4door_-30_15_-4_48_28_20_70_420:gt ['-30', '15', '-4', '48', '28']:pred [28.38136   13.740416  10.174306  43.482086   8.3401575]
sedan2door_-50_15_-22_10_28_50_30_420:gt ['-50', '15', '-22', '10', '28']:pred [43.47221  15.       32.983162 10.       28.      ]
suv_-50_45_-22_10_15_140_70_420:gt ['-50', '45', '-22', '10', '15']:pred [38.34414   39.244007  13.7221775 13.559392   6.2028503]
suv_-17_15_-22_35_15_20_70_420:gt ['-17', '15', '-22', '35', '15']:pred [14.286692  4.273359 15.75158  35.        7.85127 ]
hybrid_-50_23_-22_10_15_140_70_420:gt ['-50', '23', '-22', '10', '15']:pred [43.870186  16.184057  22.        10.         7.6487956]
sedan2door_-17_23_-36_35_15_50_30_420:gt ['-17', '23', '-36', '35', '15']:pred [21.035675 23.       36.       35.       15.      ]
suv_-30_15_-4_35_15_50_70_420:gt ['-30', '15', '-4', '35', '15']:pred [34.13958   18.583792   1.6102871 15.205275   5.2077446]
suv_-50_15_-4_10_28_20_30_420:gt ['-50', '15', '-4', '10', '28']:pred [32.31068   15.         6.6891656 10.        25.858234 ]
suv_-17_45_-4_48_15_140_30_420:gt ['-17', '45', '-4', '48', '15']:pred [17.       29.20539   4.       47.258278 15.      ]
suv_-17_45_-4_10_28_50_30_420:gt ['-17', '45', '-4', '10', '28']:pred [13.971755  45.         4.1097364 10.         9.321583 ]
sedan2door_-30_45_-4_35_28_20_30_420:gt ['-30', '45', '-4', '35', '28']:pred [31.701458 45.        4.       35.       10.712295]
hybrid_-50_45_-4_10_46_230_70_420:gt ['-50', '45', '-4', '10', '46']:pred [36.06311  35.48476   4.       10.       16.261858]
hatchback_-17_23_-36_10_28_50_30_420:gt ['-17', '23', '-36', '10', '28']:pred [18.621107 23.       44.22003  10.       28.      ]
suv_-17_15_-22_35_46_50_30_420:gt ['-17', '15', '-22', '35', '46']:pred [19.612284 15.       29.905697 35.       46.      ]
sedan2door_-30_15_-36_48_46_50_30_420:gt ['-30', '15', '-36', '48', '46']:pred [40.85184 15.      36.      48.      46.     ]
hybrid_-17_23_-4_10_15_230_30_420:gt ['-17', '23', '-4', '10', '15']:pred [17.         4.9486217  4.        10.         2.3482265]
sedan2door_-30_15_-36_48_15_140_70_420:gt ['-30', '15', '-36', '48', '15']:pred [14.756698   9.591273  36.        48.         7.2953315]
sedan2door_-17_23_-4_35_15_50_70_420:gt ['-17', '23', '-4', '35', '15']:pred [17.34447  28.527752  4.       35.        6.602701]
sedan4door_-50_15_-4_35_15_230_70_420:gt ['-50', '15', '-4', '35', '15']:pred [32.913017  13.905174  15.094403  29.535847   3.5394118]
suv_-50_45_-4_35_15_20_70_420:gt ['-50', '45', '-4', '35', '15']:pred [35.533585 21.042706 13.718056 35.       11.441332]
sedan4door_-50_45_-36_35_46_50_30_420:gt ['-50', '45', '-36', '35', '46']:pred [40.540176 45.       45.057343 35.       46.      ]
sedan2door_-50_45_-4_35_46_230_30_420:gt ['-50', '45', '-4', '35', '46']:pred [50.       37.687443  4.       35.       27.265747]
suv_-50_23_-4_10_28_230_70_420:gt ['-50', '23', '-4', '10', '28']:pred [36.16728  16.77597  14.355029 10.768078 10.476477]
hatchback_-17_45_-22_48_46_20_70_420:gt ['-17', '45', '-22', '48', '46']:pred [14.746552 30.741447 28.368715 38.58722  33.495377]
hatchback_-50_15_-22_48_15_50_70_420:gt ['-50', '15', '-22', '48', '15']:pred [38.590397  19.594889  28.298521  29.173893   5.9140415]
sedan2door_-17_23_-36_35_28_230_70_420:gt ['-17', '23', '-36', '35', '28']:pred [ 5.4121747 18.993414  36.        35.         5.787263 ]
suv_-17_15_-22_48_28_50_30_420:gt ['-17', '15', '-22', '48', '28']:pred [15.218316 15.       30.947964 48.       28.      ]
sedan2door_-30_23_-4_10_15_140_30_420:gt ['-30', '23', '-4', '10', '15']:pred [30.       13.651752  4.       10.       15.      ]
suv_-17_23_-22_35_15_230_70_420:gt ['-17', '23', '-22', '35', '15']:pred [ 9.5500145 19.337563  25.489004  31.069433   2.6488838]
sedan2door_-50_45_-4_35_46_50_30_420:gt ['-50', '45', '-4', '35', '46']:pred [46.514088 45.       32.764565 35.       46.      ]
suv_-17_15_-22_35_15_50_70_420:gt ['-17', '15', '-22', '35', '15']:pred [12.016255 13.415408 17.337269 23.759933  8.396311]
hybrid_-50_45_-4_10_46_230_30_420:gt ['-50', '45', '-4', '10', '46']:pred [50.       20.894205  4.       10.       42.171215]
sedan2door_-30_15_-22_10_28_230_30_420:gt ['-30', '15', '-22', '10', '28']:pred [30.         4.8044767 22.        10.        20.024403 ]
hybrid_-17_23_-36_10_15_230_70_420:gt ['-17', '23', '-36', '10', '15']:pred [ 8.301992 19.376453 36.       10.        4.855832]
hybrid_-17_45_-4_48_28_230_30_420:gt ['-17', '45', '-4', '48', '28']:pred [17.        20.805807   4.        48.        15.6556015]
hatchback_-17_23_-4_48_28_230_70_420:gt ['-17', '23', '-4', '48', '28']:pred [13.694989 22.887407 17.91283  40.75921  12.746103]
sedan2door_-17_23_-4_48_15_20_30_420:gt ['-17', '23', '-4', '48', '15']:pred [16.322546  23.         4.        48.         4.1590137]
hatchback_-30_23_-36_10_46_20_30_420:gt ['-30', '23', '-36', '10', '46']:pred [17.154016 23.       35.63363  10.       21.342373]
hybrid_-50_23_-36_35_15_140_70_420:gt ['-50', '23', '-36', '35', '15']:pred [43.778126  15.695251  36.        35.         7.3519135]
