425ba801e904cb50f3aaed7e86215c7b_20_20_40_40_20_240_80_400:gt ['20', '20', '40', '40', '20']:pred [ 8.53187    8.6063595 40.        40.        31.950634 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [ 4.982171 36.00277  24.618437 40.       46.03493 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [11.014717  10.444291   5.3163023 20.        51.983803 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [19.408972 24.727274 20.       20.       34.823696]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [40.       29.020031 40.       24.19312  34.676647]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [14.928717 36.144245 26.299664 31.998924 44.519318]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [14.938184 32.807163 20.619524 35.912006 43.86314 ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [13.692903 13.348692 40.       15.235139 53.117676]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_40_40_80_80_400:gt ['40', '20', '20', '40', '40']:pred [ 9.3659725 15.325302   9.408965  42.224155  13.965401 ]
a88d69e53a01aab9ff1370452e3a0154_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [20.         2.0637395 40.        41.25117   21.873964 ]
825fb860d71c78a477c771b4b7eed82c_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [20.       11.113188 20.       20.459047 45.40833 ]
1a64bf1e658652ddb11647ffa4306609_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [13.001452 32.02369  29.108995 39.51084  28.077913]
216d910f71942f205df3c6413d40ccb2_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [10.883069 16.478918 11.126615 23.252785 36.28208 ]
a115d534edec6f89afe1d4530f4c6e24_20_40_20_20_20_80_80_400:gt ['20', '40', '20', '20', '20']:pred [16.714333 24.422089 11.933933 10.625192 26.465473]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_40_20_20_160_40_400:gt ['20', '20', '40', '20', '20']:pred [ 3.9947846 15.204878  30.790415   4.081649  39.685703 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_20_40_40_160_80_400:gt ['20', '20', '20', '40', '40']:pred [11.715756 22.70539  12.991355 14.176878 14.38972 ]
b9786e1b059a1712ca92a4cdad802b45_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [ 5.216395 23.471834 16.58961  35.809414 33.44075 ]
c4941d6a2266813c3a2b1a2e5e169910_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [ 7.059695  7.300543  4.727768 40.       34.226402]
d0cf2f187acda5736be7348aa770e4ca_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [19.028725  23.023985   7.8066773 29.256573  13.329327 ]
d0cf2f187acda5736be7348aa770e4ca_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [14.236691   3.2776072  1.5955681  7.145433   8.644737 ]
216d910f71942f205df3c6413d40ccb2_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [ 6.752934 15.281711  4.489627 38.46812  31.639725]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [19.856392 16.572433 10.886088 38.748707 40.388718]
86c8a3137a716d70e742b0b5e87bec54_20_20_20_40_20_160_40_400:gt ['20', '20', '20', '40', '20']:pred [20.569756 35.328735 20.       26.69604   8.927032]
5ec3322293a39816ad7e7cea4034d226_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [17.742298   5.7914467 25.420454  20.        40.       ]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [11.611676   4.4195204 20.         2.6927133 22.870026 ]
86c8a3137a716d70e742b0b5e87bec54_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [40.         7.2293124  1.5976856 19.228378  15.22331  ]
fabcb04fc015f822ca8bf2993ca245b_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [28.518396 22.87072  20.       25.79141  53.503593]
4f17af1ca7ae689d409b2c4484d833cc_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [ 8.370121   3.2391243  6.3221126 22.995386  21.704878 ]
b9786e1b059a1712ca92a4cdad802b45_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       19.52126  20.       28.561203  5.973389]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40.         2.9636292 20.        11.293034  40.479816 ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [26.440525  13.263625   7.8325043 16.817757  44.449223 ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [20.       25.857327 40.       21.882225 41.18681 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [20.       29.908875 40.       25.620104 24.636742]
425ba801e904cb50f3aaed7e86215c7b_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20.       24.607624 20.        8.528524 41.371098]
70e27da90dec2de49604bf8c981ad1eb_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [ 9.286589 12.51311   6.109942 41.125977 36.94374 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [ 7.6498656 26.230783  19.309826  40.        56.004513 ]
5e87b04efd58cc8922412d2a728de1d5_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [21.731586 23.716084 25.848347 46.051903 37.78344 ]
72ba2195087f80d8b7e8c57d131d2ca7_40_20_20_40_20_240_40_400:gt ['40', '20', '20', '40', '20']:pred [23.322134 15.408642 20.       16.823246 41.042362]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [28.19455   36.45725   40.         1.9479105 57.535233 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_20_20_40_240_40_400:gt ['20', '40', '20', '20', '40']:pred [22.489605 17.08502  20.       20.       22.138283]
2f7cf2c2d170e3c936f37029483b3e41_20_40_20_40_20_160_80_400:gt ['20', '40', '20', '40', '20']:pred [20.659513 27.163025 12.612686 39.68532  55.73584 ]
1a64bf1e658652ddb11647ffa4306609_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [10.380891  8.048129 12.735245 16.883799 25.588207]
ffe0a5b165461eb66a2345809e2bb169_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [13.77545   36.76194    4.8886642 10.368155  15.773641 ]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [14.756979 14.100261 20.       15.515549 52.32516 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_20_40_20_160_80_400:gt ['40', '20', '20', '40', '20']:pred [25.080086 27.954206 20.       41.401375 49.093616]
12f2905dc029f59a2479fbc7da5ed22b_20_20_20_40_20_80_80_400:gt ['20', '20', '20', '40', '20']:pred [ 4.038377   7.2638187 18.53586   40.        28.740366 ]
7dac31838b627748eb631ba05bd8dfe_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [10.199203  4.495548 14.110116  8.574054 16.60493 ]
a115d534edec6f89afe1d4530f4c6e24_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [17.339136  8.909492  8.583819 12.434329 36.635788]
7dac31838b627748eb631ba05bd8dfe_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [10.339326 27.802172 20.       40.       21.34777 ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [10.433413   7.6384573  6.679123  10.943886  17.646698 ]
a115d534edec6f89afe1d4530f4c6e24_20_20_40_40_20_80_40_400:gt ['20', '20', '40', '40', '20']:pred [16.771568 20.48097  14.236199 40.       20.      ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_20_40_20_80_40_400:gt ['20', '20', '20', '40', '20']:pred [12.652446 54.24256  26.613619 40.       45.548805]
425ba801e904cb50f3aaed7e86215c7b_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [ 5.5676117 17.917406  12.42824   19.94649   38.631077 ]
b9786e1b059a1712ca92a4cdad802b45_40_20_40_40_40_240_40_400:gt ['40', '20', '40', '40', '40']:pred [10.791952  10.383966  14.000211   4.8069997 24.53811  ]
ffe0a5b165461eb66a2345809e2bb169_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [13.759706  14.573126   6.2520313 32.046127  31.925093 ]
5ec3322293a39816ad7e7cea4034d226_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [25.566257 13.479304 28.211332 20.       15.751464]
825fb860d71c78a477c771b4b7eed82c_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [ 6.739664 31.21179   8.916353 21.31933  39.3751  ]
4458ed2a746e61a3b11647ffa4306609_40_20_20_40_40_240_80_400:gt ['40', '20', '20', '40', '40']:pred [20.248526  14.683548  15.2586565 19.913778   7.628235 ]
923007b377bb1cab473f10e6caaeca56_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [11.588862 39.063576  7.71751  14.71699   9.511041]
fabcb04fc015f822ca8bf2993ca245b_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [42.160442 15.833007 17.152296 42.30091  54.063164]
b9786e1b059a1712ca92a4cdad802b45_40_40_20_40_40_160_40_400:gt ['40', '40', '20', '40', '40']:pred [12.90065  28.478655 20.       29.670345 15.128201]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [ 7.257869 36.07939  33.45333  20.       46.480576]
c61ec8875746ab78227375499b768057_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [ 7.2737794  8.810277   5.6559267  2.1034784 17.281834 ]
aa9f41bc3925ffc4be9358e8c18dc481_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [ 7.370657   2.1518369 10.003684  20.344128  23.144287 ]
7dac31838b627748eb631ba05bd8dfe_20_40_40_20_40_80_80_400:gt ['20', '40', '40', '20', '40']:pred [ 3.5134523 27.153076   8.2283325  5.7039695 15.295438 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [26.185333 54.635975 35.504528 20.       50.387848]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [26.821388 20.600634 22.399185 20.       41.921764]
825fb860d71c78a477c771b4b7eed82c_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       16.384573 27.418491 16.077826 44.43527 ]
9c827e532de4967285089a13cc567dbd_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [14.002957  18.121723   5.8504744  5.832676  52.498665 ]
d0cf2f187acda5736be7348aa770e4ca_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [13.153657   6.8941317  3.1878273 10.45429   23.83725  ]
ffe0a5b165461eb66a2345809e2bb169_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [12.832395 11.79649  16.54755  24.031578 22.616762]
425ba801e904cb50f3aaed7e86215c7b_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [14.586979   4.1026683 40.         2.2556267 52.95125  ]
c4941d6a2266813c3a2b1a2e5e169910_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [40.        10.283572   1.3925109 22.279837  28.778425 ]
fabcb04fc015f822ca8bf2993ca245b_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [45.790504 56.525803 13.176441 20.       46.813183]
216d910f71942f205df3c6413d40ccb2_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [40.        24.559858  12.937809  28.257107   6.9841495]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [17.257998  23.510988   5.4456553 43.00807   23.811605 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [11.841084  3.370798 13.136463 19.515806  8.043856]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_40_20_40_240_80_400:gt ['40', '40', '40', '20', '40']:pred [15.407052 14.087895 40.       20.       49.8319  ]
9d2b7938d426633b28044fe9244db50a_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [17.136549   2.1310222  4.3849773 20.         9.53817  ]
2f7cf2c2d170e3c936f37029483b3e41_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [12.117358   7.7566533  8.720074  25.044197  41.465237 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_20_40_20_240_80_400:gt ['20', '20', '20', '40', '20']:pred [30.046589   9.556096   5.709418  19.719414   7.0636926]
a387407d49e209fdeea60824a43a0b_20_20_20_40_40_80_40_400:gt ['20', '20', '20', '40', '40']:pred [26.52232  29.921387 11.769145 48.885967 26.872353]
70e27da90dec2de49604bf8c981ad1eb_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [12.894122  26.099947   7.1504407 20.        20.       ]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_40_20_20_160_40_400:gt ['20', '40', '40', '20', '20']:pred [20.        19.582346   2.5688543 22.13158   11.3100605]
d2592adba4e8e62648368c1a2f71c5f3_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [43.06882  40.455276 20.       38.940384 49.218113]
a115d534edec6f89afe1d4530f4c6e24_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [31.959747 16.252228 40.       35.481327 38.028206]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       15.777361  2.763211 30.27933  13.151836]
86c8a3137a716d70e742b0b5e87bec54_20_20_40_20_20_160_40_400:gt ['20', '20', '40', '20', '20']:pred [28.150393 32.43082  40.       24.237888  8.898762]
12f2905dc029f59a2479fbc7da5ed22b_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [40.        8.777188 20.       29.056065 46.930912]
a115d534edec6f89afe1d4530f4c6e24_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [12.567577  7.108214 40.       12.22919  44.74184 ]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_20_40_40_240_80_400:gt ['40', '40', '20', '40', '40']:pred [31.108257  14.201003   9.2438545 21.632751  44.434097 ]
5ec3322293a39816ad7e7cea4034d226_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [23.604574 12.691133 40.       36.482998 40.2831  ]
5e87b04efd58cc8922412d2a728de1d5_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [23.085445 32.70224  16.041948 18.403    14.947228]
7c46bfff2f90f11044592db9be5db5c8_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [12.746464  10.803157   4.6404624 28.90118   39.764038 ]
825fb860d71c78a477c771b4b7eed82c_40_20_40_40_20_80_80_400:gt ['40', '20', '40', '40', '20']:pred [ 5.0702667 18.364399  10.346331   9.707526  28.827995 ]
ffe0a5b165461eb66a2345809e2bb169_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [14.545278   6.51056    5.3629236  4.0950766 23.192383 ]
4ac021653126a29e98618a1ba17f086b_40_40_20_40_40_240_80_400:gt ['40', '40', '20', '40', '40']:pred [ 9.493812  12.770088   2.0312011 23.056782  55.31211  ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [18.433968  35.51661    7.6812243  3.5279074 55.518402 ]
9d2b7938d426633b28044fe9244db50a_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [14.713879   4.298823   4.8905716 25.318607  10.602647 ]
a88d69e53a01aab9ff1370452e3a0154_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.        6.26562  20.       26.446852 23.668621]
a115d534edec6f89afe1d4530f4c6e24_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [21.782095  10.24893    7.9842415 31.489298  36.91007  ]
7c46bfff2f90f11044592db9be5db5c8_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [12.123859   3.7987156  5.090659  40.        40.280914 ]
7dac31838b627748eb631ba05bd8dfe_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       32.619633 20.       11.463995  8.814821]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_20_40_40_160_80_400:gt ['40', '40', '20', '40', '40']:pred [ 9.931632 12.165949  9.490419 16.892561 14.515477]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [14.8141    16.197277   7.3831406  9.379242   8.618119 ]
4f17af1ca7ae689d409b2c4484d833cc_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [19.796774 12.510931 12.115116 19.150652 33.655033]
c61ec8875746ab78227375499b768057_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [11.552273 17.491375 21.921339 21.331821 31.379139]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [10.803348 17.174158 15.976643 20.       48.516563]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [19.878067 49.819164 28.744463 20.       40.      ]
a387407d49e209fdeea60824a43a0b_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [20.       42.196407 40.       20.37138  23.92662 ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40.       10.290894  9.183304 18.015535 30.793137]
6265f0745d3f40546bcd32c43682e841_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [ 7.028385  10.491199   5.7506742 15.745166  19.022894 ]
cde88b5900e8dfba725a7749daae1afa_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [12.618874 23.12335  25.006355  8.900431 52.82535 ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [ 2.1371481   0.42047673 20.          0.68421674 12.547385  ]
6265f0745d3f40546bcd32c43682e841_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [12.197893 19.426262  9.366538 21.86343  46.19785 ]
4f17af1ca7ae689d409b2c4484d833cc_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [22.564514 19.851404 20.       20.       41.925602]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [10.741219 22.540005 27.077297 41.942505 28.837679]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [12.707412 52.922142 26.58142  19.182585 47.698227]
72ba2195087f80d8b7e8c57d131d2ca7_40_20_20_40_20_240_80_400:gt ['40', '20', '20', '40', '20']:pred [29.980593 31.087746 15.973912 24.672628 43.049976]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [11.983865 19.831398  5.5586   34.855804 21.925585]
4ac021653126a29e98618a1ba17f086b_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [20.383417   6.9393344  1.9871746 21.853153  54.795986 ]
7dac31838b627748eb631ba05bd8dfe_40_40_20_40_40_80_40_400:gt ['40', '40', '20', '40', '40']:pred [ 9.1443615 38.318604  20.        40.        29.021505 ]
d72ffa185738bccd10b75223b5be6dbb_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [ 6.5869575  3.9119723  5.4462304 10.416671  34.892326 ]
a115d534edec6f89afe1d4530f4c6e24_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [17.940653   9.1048765  8.486589  12.118028  35.94037  ]
6265f0745d3f40546bcd32c43682e841_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [ 5.59213    7.3825583  3.2192068 15.35928   14.111244 ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_40_20_40_160_40_400:gt ['20', '40', '40', '20', '40']:pred [20.       34.709934 40.       29.104013 38.77001 ]
a387407d49e209fdeea60824a43a0b_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [19.024002 30.768782 23.14862  38.13134  31.35001 ]
923007b377bb1cab473f10e6caaeca56_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.        19.26385    7.9839106 15.384897  10.144991 ]
d0cf2f187acda5736be7348aa770e4ca_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [12.967579   7.132877   3.7249346  9.171888  28.234243 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [19.65841  13.601457  5.841186 36.19693  18.188036]
b9786e1b059a1712ca92a4cdad802b45_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [20.       21.741135 40.       15.639063 15.138041]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [40.       27.697193 40.        9.831876 53.67477 ]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [27.871166 20.3817    8.784629 32.203938 39.907238]
1a64bf1e658652ddb11647ffa4306609_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [13.254896 34.778397 37.171448 18.66756  40.42348 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [18.300571  25.272093   5.5768666 42.30221   26.362198 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [13.372949 34.603474 20.       20.       42.388172]
d2592adba4e8e62648368c1a2f71c5f3_20_20_20_40_20_80_80_400:gt ['20', '20', '20', '40', '20']:pred [ 1.7880021 26.339628  22.69588   10.925822  46.16706  ]
a115d534edec6f89afe1d4530f4c6e24_40_40_40_40_40_240_80_400:gt ['40', '40', '40', '40', '40']:pred [19.616453 11.552046 11.440081 16.57939  35.73575 ]
12f2905dc029f59a2479fbc7da5ed22b_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [19.085638   7.1132183 13.671773  20.        28.688469 ]
fabcb04fc015f822ca8bf2993ca245b_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [23.075327 33.61685  23.033346 26.340649 50.224327]
425ba801e904cb50f3aaed7e86215c7b_20_20_40_20_20_240_80_400:gt ['20', '20', '40', '20', '20']:pred [ 4.1868367 42.818962   6.353495   2.029375  50.60563  ]
aa9f41bc3925ffc4be9358e8c18dc481_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [ 6.643528   2.0453942  8.831657  25.553669  30.911829 ]
2f7cf2c2d170e3c936f37029483b3e41_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [40.        9.785117  5.256198 41.72235  35.77224 ]
4ac021653126a29e98618a1ba17f086b_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [36.89209  40.675835 20.       38.13549  51.417225]
d2592adba4e8e62648368c1a2f71c5f3_20_20_20_20_20_240_40_400:gt ['20', '20', '20', '20', '20']:pred [19.842922 23.114937 23.81062  21.31809  26.551308]
12f2905dc029f59a2479fbc7da5ed22b_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [19.93025   6.428221 12.939934 40.       28.982384]
86c8a3137a716d70e742b0b5e87bec54_40_20_40_20_20_80_80_400:gt ['40', '20', '40', '20', '20']:pred [12.974939 12.174529 16.590378 34.898678 14.585325]
12f2905dc029f59a2479fbc7da5ed22b_40_20_40_40_40_240_40_400:gt ['40', '20', '40', '40', '40']:pred [19.076582  8.574608 40.        4.908541 42.71871 ]
7c46bfff2f90f11044592db9be5db5c8_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [14.065929 26.409866 35.790962 46.67077  50.540302]
12f2905dc029f59a2479fbc7da5ed22b_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [20.        4.843246 20.       19.802067 29.086779]
1790131f5f74b1ed973aff268eb6b00c_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [21.894493 28.17969  40.       20.       40.      ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [13.281232 50.079594 23.20888  21.527275 45.31353 ]
d0cf2f187acda5736be7348aa770e4ca_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20.        8.863358 20.       20.049417  5.388532]
6265f0745d3f40546bcd32c43682e841_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40.         4.903662   5.966359   7.0219183 15.287672 ]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [11.178399   9.380438   5.5419106 16.759514  16.455643 ]
fabcb04fc015f822ca8bf2993ca245b_40_40_20_40_20_240_80_400:gt ['40', '40', '20', '40', '20']:pred [31.960377 33.188736 34.476208 40.890034 46.20108 ]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [ 6.45612  15.553406 32.807125 14.431635 27.241901]
72ba2195087f80d8b7e8c57d131d2ca7_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [21.424623 38.28378  20.416946 34.316635 27.43526 ]
cde88b5900e8dfba725a7749daae1afa_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [19.295338 20.72894  40.       10.522909 38.59704 ]
