sedan2door_-30_23_-4_48_15_20_30_420:gt ['-30', '23', '-4', '48', '15']:pred [30.666483 23.        4.       48.        8.111878]
suv_-50_45_-22_48_46_50_30_420:gt ['-50', '45', '-22', '48', '46']:pred [43.7375  45.      44.54018 48.      46.     ]
hatchback_-17_23_-36_48_28_20_30_420:gt ['-17', '23', '-36', '48', '28']:pred [30.988194 23.       30.338577 48.       19.394188]
hybrid_-50_15_-22_48_46_50_30_420:gt ['-50', '15', '-22', '48', '46']:pred [36.712933 15.       22.       48.       46.      ]
suv_-17_15_-36_10_46_50_30_420:gt ['-17', '15', '-36', '10', '46']:pred [35.172104 15.       42.797844 10.       22.372248]
hatchback_-30_15_-4_35_28_20_30_420:gt ['-30', '15', '-4', '35', '28']:pred [39.59842  15.        9.235157 35.       20.835012]
hatchback_-17_45_-36_10_46_140_30_420:gt ['-17', '45', '-36', '10', '46']:pred [17.       35.441235 36.       16.194004 19.982792]
suv_-17_15_-4_35_15_20_30_420:gt ['-17', '15', '-4', '35', '15']:pred [20.892986  15.         5.4441047 35.        11.878665 ]
hybrid_-50_15_-36_35_46_140_70_420:gt ['-50', '15', '-36', '35', '46']:pred [26.146832  8.778596 36.       35.       42.286835]
hatchback_-30_23_-22_48_15_140_70_420:gt ['-30', '23', '-22', '48', '15']:pred [37.64755  19.432287 22.       35.530582 30.464958]
sedan4door_-30_23_-22_48_28_140_70_420:gt ['-30', '23', '-22', '48', '28']:pred [40.939518  15.1385145 22.        32.29354   36.42677  ]
hybrid_-30_15_-36_48_28_50_70_420:gt ['-30', '15', '-36', '48', '28']:pred [24.152311 16.59784  36.       48.       11.039866]
hatchback_-30_23_-4_48_15_230_30_420:gt ['-30', '23', '-4', '48', '15']:pred [30.       11.542103  4.       35.31412  17.296074]
sedan2door_-50_45_-22_10_28_50_70_420:gt ['-50', '45', '-22', '10', '28']:pred [32.901524 35.82278  22.       10.       14.294121]
suv_-50_23_-22_10_46_50_30_420:gt ['-50', '23', '-22', '10', '46']:pred [41.790348 23.       44.01757  10.       46.      ]
sedan2door_-30_45_-4_35_46_230_30_420:gt ['-30', '45', '-4', '35', '46']:pred [30.       52.04253   4.       35.       44.470554]
hatchback_-17_23_-4_10_46_50_30_420:gt ['-17', '23', '-4', '10', '46']:pred [44.61487  23.       17.197105 10.       46.      ]
sedan2door_-17_45_-36_35_28_140_30_420:gt ['-17', '45', '-36', '35', '28']:pred [17.       36.784336 36.       35.        8.370405]
hatchback_-50_45_-4_10_15_230_70_420:gt ['-50', '45', '-4', '10', '15']:pred [37.186527 46.307938 22.011993 21.031544 11.049642]
hybrid_-50_45_-4_48_15_50_30_420:gt ['-50', '45', '-4', '48', '15']:pred [40.00556 45.       4.      48.      15.     ]
sedan2door_-17_23_-4_10_46_140_70_420:gt ['-17', '23', '-4', '10', '46']:pred [31.045063   5.1429725  4.        10.        51.641396 ]
suv_-50_15_-4_10_15_140_30_420:gt ['-50', '15', '-4', '10', '15']:pred [50.       11.815947  4.       13.27196  14.400899]
sedan2door_-30_15_-22_35_46_50_70_420:gt ['-30', '15', '-22', '35', '46']:pred [44.64386  15.536957 22.       35.       16.433468]
sedan2door_-17_23_-4_48_46_140_70_420:gt ['-17', '23', '-4', '48', '46']:pred [30.349403   5.2548876  4.        48.        51.9672   ]
sedan2door_-17_45_-4_10_46_50_30_420:gt ['-17', '45', '-4', '10', '46']:pred [42.568233 45.        4.       10.       46.      ]
hatchback_-17_15_-36_35_15_20_70_420:gt ['-17', '15', '-36', '35', '15']:pred [11.681571 32.75211  24.904858 35.       20.979277]
sedan4door_-17_45_-36_10_15_20_30_420:gt ['-17', '45', '-36', '10', '15']:pred [28.622444 45.       29.107054 10.       14.481829]
hatchback_-50_45_-22_35_28_50_70_420:gt ['-50', '45', '-22', '35', '28']:pred [36.549328 35.070004 28.054169 37.197426 11.162057]
sedan2door_-50_45_-4_10_46_230_70_420:gt ['-50', '45', '-4', '10', '46']:pred [37.474056 44.060635  4.       10.       51.577957]
hatchback_-30_23_-4_35_15_230_30_420:gt ['-30', '23', '-4', '35', '15']:pred [30.        10.38941    4.        22.597965  15.3358755]
hatchback_-17_23_-36_48_15_20_70_420:gt ['-17', '23', '-36', '48', '15']:pred [15.295795 41.57153  25.165024 48.       24.777155]
sedan4door_-30_23_-22_35_46_140_70_420:gt ['-30', '23', '-22', '35', '46']:pred [40.680412 12.461644 22.       26.16854  52.131676]
sedan4door_-17_23_-36_10_46_50_70_420:gt ['-17', '23', '-36', '10', '46']:pred [33.570724 24.71521  33.05629  28.39473   9.110892]
hatchback_-30_15_-36_10_46_230_30_420:gt ['-30', '15', '-36', '10', '46']:pred [30.         5.6930327 36.        10.6551    45.684048 ]
sedan4door_-50_23_-22_10_15_230_30_420:gt ['-50', '23', '-22', '10', '15']:pred [50.       23.069674 22.       18.17626  19.36895 ]
hatchback_-30_15_-22_35_15_20_70_420:gt ['-30', '15', '-22', '35', '15']:pred [18.335064 22.584745 16.722418 35.       19.554148]
hatchback_-30_15_-36_10_15_20_30_420:gt ['-30', '15', '-36', '10', '15']:pred [41.520756 15.       29.122164 10.       12.753074]
sedan4door_-30_23_-36_48_46_140_70_420:gt ['-30', '23', '-36', '48', '46']:pred [46.75844  17.260118 36.       31.546947 50.207073]
hatchback_-17_45_-36_10_46_230_70_420:gt ['-17', '45', '-36', '10', '46']:pred [23.827244 39.912148 37.90142  14.206281 50.886116]
sedan4door_-17_23_-22_48_46_20_70_420:gt ['-17', '23', '-22', '48', '46']:pred [31.194714 34.050995 15.715781 40.94725  37.93945 ]
hybrid_-50_15_-22_48_46_140_30_420:gt ['-50', '15', '-22', '48', '46']:pred [50.       13.955085 22.       48.       14.051568]
sedan4door_-17_23_-36_35_15_230_30_420:gt ['-17', '23', '-36', '35', '15']:pred [17.       26.438244 36.       35.30158  21.761787]
suv_-17_45_-4_48_15_20_70_420:gt ['-17', '45', '-4', '48', '15']:pred [23.225317  42.391914   5.506727  48.         7.1912203]
hybrid_-17_23_-4_48_15_50_30_420:gt ['-17', '23', '-4', '48', '15']:pred [31.45586 23.       4.      48.      15.     ]
sedan4door_-30_15_-36_10_15_50_70_420:gt ['-30', '15', '-36', '10', '15']:pred [31.660378 22.563637 36.238464 22.545738  5.026103]
hybrid_-30_15_-4_10_15_20_70_420:gt ['-30', '15', '-4', '10', '15']:pred [21.283543 12.965134  4.       10.       14.153634]
sedan4door_-50_45_-36_48_15_20_70_420:gt ['-50', '45', '-36', '48', '15']:pred [39.826595 50.565617 22.831648 42.921402  8.528587]
sedan4door_-17_23_-22_48_28_20_70_420:gt ['-17', '23', '-22', '48', '28']:pred [29.960976 32.765114 17.663498 40.36565  18.800495]
sedan2door_-50_15_-36_35_28_20_30_420:gt ['-50', '15', '-36', '35', '28']:pred [43.441174 15.       36.       35.        8.789081]
suv_-17_15_-36_48_15_20_30_420:gt ['-17', '15', '-36', '48', '15']:pred [27.452595 15.       34.53004  48.       11.001693]
hybrid_-30_15_-22_35_46_230_70_420:gt ['-30', '15', '-22', '35', '46']:pred [40.506596   6.9931545 22.        35.        38.979603 ]
suv_-30_45_-4_10_28_20_30_420:gt ['-30', '45', '-4', '10', '28']:pred [37.635555 45.       10.675546 10.       22.908695]
hatchback_-17_45_-4_35_46_230_30_420:gt ['-17', '45', '-4', '35', '46']:pred [17.       37.22597   4.       36.99199  47.257442]
suv_-30_23_-4_10_28_50_30_420:gt ['-30', '23', '-4', '10', '28']:pred [29.050632 23.       15.965487 10.       28.      ]
sedan4door_-30_45_-4_10_15_140_30_420:gt ['-30', '45', '-4', '10', '15']:pred [30.        34.97297    4.        17.199097   7.8804197]
hatchback_-50_45_-36_10_28_20_70_420:gt ['-50', '45', '-36', '10', '28']:pred [42.17163  34.624924 21.266562 42.673996 37.17922 ]
hybrid_-17_45_-22_35_28_140_70_420:gt ['-17', '45', '-22', '35', '28']:pred [34.799393 22.47091  22.       35.       38.802525]
sedan2door_-17_45_-22_35_28_50_30_420:gt ['-17', '45', '-22', '35', '28']:pred [42.67117 45.      22.      35.      28.     ]
sedan4door_-50_45_-36_48_15_140_30_420:gt ['-50', '45', '-36', '48', '15']:pred [50.       47.5857   36.       25.280626 11.128399]
sedan4door_-30_15_-36_48_15_140_70_420:gt ['-30', '15', '-36', '48', '15']:pred [43.821102 12.036373 36.       24.736567 20.203886]
hatchback_-17_45_-22_10_15_20_30_420:gt ['-17', '45', '-22', '10', '15']:pred [36.195774 45.       27.05446  10.       17.599466]
sedan4door_-30_45_-22_48_46_230_70_420:gt ['-30', '45', '-22', '48', '46']:pred [33.823837 51.752758 27.832125 50.05215  47.767662]
sedan4door_-30_15_-36_48_15_20_70_420:gt ['-30', '15', '-36', '48', '15']:pred [27.711752 39.263443 22.111303 38.070644  9.886323]
hatchback_-50_45_-4_35_28_20_70_420:gt ['-50', '45', '-4', '35', '28']:pred [41.235344 35.282055  8.243036 45.95485  30.11364 ]
hatchback_-30_23_-22_10_15_50_30_420:gt ['-30', '23', '-22', '10', '15']:pred [39.91695  23.       28.668266 10.       15.      ]
suv_-17_45_-4_10_15_20_30_420:gt ['-17', '45', '-4', '10', '15']:pred [20.606035 45.        4.963982 10.       15.082444]
hybrid_-30_15_-36_48_46_230_30_420:gt ['-30', '15', '-36', '48', '46']:pred [30.         6.0730324 36.        48.        43.345844 ]
hybrid_-30_45_-4_10_15_140_30_420:gt ['-30', '45', '-4', '10', '15']:pred [30.      36.24202  4.      10.      15.     ]
hatchback_-50_45_-4_48_15_50_30_420:gt ['-50', '45', '-4', '48', '15']:pred [43.39398  45.       14.576757 48.       15.      ]
sedan2door_-17_15_-22_35_46_230_70_420:gt ['-17', '15', '-22', '35', '46']:pred [22.347078  7.578855 22.       35.       50.733555]
suv_-17_15_-4_10_28_20_30_420:gt ['-17', '15', '-4', '10', '28']:pred [22.480629  15.         6.3893027 10.        20.326199 ]
hybrid_-17_23_-22_48_15_50_30_420:gt ['-17', '23', '-22', '48', '15']:pred [30.183878 23.       22.       48.       15.      ]
hatchback_-17_15_-36_10_46_230_30_420:gt ['-17', '15', '-36', '10', '46']:pred [17.         5.5980263 36.        11.077144  45.275494 ]
hatchback_-30_45_-36_48_28_230_70_420:gt ['-30', '45', '-36', '48', '28']:pred [42.72119  49.40379  38.430374 41.447628 32.132656]
suv_-50_15_-22_35_28_230_30_420:gt ['-50', '15', '-22', '35', '28']:pred [50.        8.064525 22.       27.090315 26.915285]
hatchback_-50_45_-22_35_28_20_70_420:gt ['-50', '45', '-22', '35', '28']:pred [44.3638   34.54947  16.098646 43.141296 34.984104]
hatchback_-30_15_-4_10_15_140_70_420:gt ['-30', '15', '-4', '10', '15']:pred [30.449205  5.893275  4.       15.320692 37.03991 ]
suv_-30_45_-4_10_28_230_30_420:gt ['-30', '45', '-4', '10', '28']:pred [30.       43.145847  4.       16.787167 27.186028]
sedan4door_-50_23_-4_48_15_140_70_420:gt ['-50', '23', '-4', '48', '15']:pred [31.435246 23.650978  4.       30.322813 25.50337 ]
suv_-30_45_-36_10_28_230_30_420:gt ['-30', '45', '-36', '10', '28']:pred [30.       43.11303  36.       16.289362 27.75988 ]
hatchback_-50_15_-4_48_15_50_30_420:gt ['-50', '15', '-4', '48', '15']:pred [41.86356 15.      12.97078 48.      15.     ]
hatchback_-50_45_-22_48_28_50_30_420:gt ['-50', '45', '-22', '48', '28']:pred [45.905186 45.       33.282635 48.       28.      ]
hybrid_-17_23_-4_35_46_20_30_420:gt ['-17', '23', '-4', '35', '46']:pred [22.595894 23.        4.       35.       23.018917]
sedan4door_-50_15_-36_35_28_230_70_420:gt ['-50', '15', '-36', '35', '28']:pred [33.170326 17.319721 31.53609  44.553947 34.30985 ]
sedan4door_-17_15_-22_35_28_140_70_420:gt ['-17', '15', '-22', '35', '28']:pred [36.596058   6.7161098 22.        17.08881   35.66066  ]
hatchback_-30_45_-4_35_15_50_70_420:gt ['-30', '45', '-4', '35', '15']:pred [31.648933 29.723354 17.239437 41.00108  10.995668]
hatchback_-17_15_-36_10_46_140_30_420:gt ['-17', '15', '-36', '10', '46']:pred [17.       13.445523 36.       12.83165  24.584879]
hybrid_-17_15_-4_48_15_20_30_420:gt ['-17', '15', '-4', '48', '15']:pred [26.229832 15.        4.       48.        8.448692]
sedan2door_-30_23_-22_35_15_50_70_420:gt ['-30', '23', '-22', '35', '15']:pred [41.571358 20.17703  22.       35.        8.823608]
sedan4door_-30_23_-36_10_28_50_30_420:gt ['-30', '23', '-36', '10', '28']:pred [41.227985 23.       32.065174 10.       28.      ]
hybrid_-50_23_-22_48_15_50_70_420:gt ['-50', '23', '-22', '48', '15']:pred [22.318588 23.64893  22.       48.        7.98075 ]
suv_-30_45_-4_10_28_50_70_420:gt ['-30', '45', '-4', '10', '28']:pred [40.243004 25.371624 18.345722 34.82209   8.397385]
sedan2door_-17_15_-22_48_46_50_70_420:gt ['-17', '15', '-22', '48', '46']:pred [40.347034  9.703749 22.       48.       17.358185]
sedan4door_-17_45_-4_48_15_50_70_420:gt ['-17', '45', '-4', '48', '15']:pred [37.383865  28.128334   9.540387  35.15851    5.6489353]
sedan4door_-17_23_-4_48_46_230_30_420:gt ['-17', '23', '-4', '48', '46']:pred [17.       22.76778   4.       51.098766 53.786724]
hybrid_-17_45_-4_35_46_50_70_420:gt ['-17', '45', '-4', '35', '46']:pred [24.34589  22.444147  4.       35.       32.32441 ]
hybrid_-50_23_-4_48_15_140_70_420:gt ['-50', '23', '-4', '48', '15']:pred [21.880672  12.4262905  4.        48.        18.887224 ]
suv_-50_15_-22_48_28_230_70_420:gt ['-50', '15', '-22', '48', '28']:pred [40.062275 19.843084 35.463673 45.41242  31.120234]
hatchback_-30_23_-4_35_28_230_30_420:gt ['-30', '23', '-4', '35', '28']:pred [30.       10.557925  4.       22.815615 36.67923 ]
hatchback_-50_45_-36_35_46_50_70_420:gt ['-50', '45', '-36', '35', '46']:pred [34.16324  44.933887 31.856056 40.259308 39.04706 ]
sedan2door_-17_23_-36_48_46_140_70_420:gt ['-17', '23', '-36', '48', '46']:pred [31.02655   4.97931  36.       48.       52.211746]
hybrid_-30_23_-22_48_28_140_30_420:gt ['-30', '23', '-22', '48', '28']:pred [30.      21.33724 22.      48.      28.     ]
hybrid_-50_23_-22_10_15_230_70_420:gt ['-50', '23', '-22', '10', '15']:pred [32.944885 11.989214 22.       10.        8.616922]
hatchback_-17_23_-22_35_15_140_70_420:gt ['-17', '23', '-22', '35', '15']:pred [30.851637 10.859482 22.       26.464823 32.93277 ]
sedan2door_-50_45_-4_48_28_20_70_420:gt ['-50', '45', '-4', '48', '28']:pred [41.13357  43.99706   4.       48.       26.265804]
hatchback_-17_15_-36_35_15_50_30_420:gt ['-17', '15', '-36', '35', '15']:pred [43.56337 15.      32.22457 35.      15.     ]
suv_-30_15_-4_10_15_140_30_420:gt ['-30', '15', '-4', '10', '15']:pred [30.       11.795208  4.       13.486615 12.675939]
suv_-50_15_-22_35_15_140_30_420:gt ['-50', '15', '-22', '35', '15']:pred [50.       14.035361 22.       22.61205  14.517748]
sedan4door_-30_45_-22_10_15_230_70_420:gt ['-30', '45', '-22', '10', '15']:pred [37.452248 42.978485 31.01317  16.333267 11.399883]
hybrid_-50_23_-4_48_46_20_70_420:gt ['-50', '23', '-4', '48', '46']:pred [37.50894  20.747435  4.       48.       34.222786]
hybrid_-30_15_-22_48_28_230_30_420:gt ['-30', '15', '-22', '48', '28']:pred [30.         6.5133677 22.        48.        26.69291  ]
suv_-17_15_-4_48_28_140_30_420:gt ['-17', '15', '-4', '48', '28']:pred [17.       20.042511  4.       26.544546 12.051259]
sedan2door_-30_45_-4_35_46_20_30_420:gt ['-30', '45', '-4', '35', '46']:pred [29.491375 45.        4.       35.       16.065878]
sedan2door_-50_15_-4_48_46_140_30_420:gt ['-50', '15', '-4', '48', '46']:pred [50.        9.792589  4.       48.       15.365845]
sedan2door_-17_45_-36_48_15_50_70_420:gt ['-17', '45', '-36', '48', '15']:pred [37.266487 17.76075  36.       48.        9.579563]
hatchback_-17_23_-22_48_46_140_30_420:gt ['-17', '23', '-22', '48', '46']:pred [17.       24.94667  22.       32.286247 18.716824]
hatchback_-30_45_-36_35_46_230_70_420:gt ['-30', '45', '-36', '35', '46']:pred [42.137863 48.511772 35.144306 31.307156 50.5359  ]
sedan2door_-17_15_-36_10_28_20_70_420:gt ['-17', '15', '-36', '10', '28']:pred [15.302895 15.108427 36.       10.       31.193144]
hatchback_-30_23_-4_35_15_20_30_420:gt ['-30', '23', '-4', '35', '15']:pred [40.681976 23.        7.636015 35.       17.294624]
hatchback_-50_45_-22_35_46_140_30_420:gt ['-50', '45', '-22', '35', '46']:pred [50.       39.236214 22.       23.45361  21.522787]
sedan4door_-30_23_-4_10_28_20_70_420:gt ['-30', '23', '-4', '10', '28']:pred [36.837692 18.977335  8.175214 32.58594  12.037276]
sedan4door_-17_23_-22_48_15_50_70_420:gt ['-17', '23', '-22', '48', '15']:pred [39.633606 21.328714 24.140083 35.09206   6.335679]
sedan4door_-50_15_-4_48_15_20_30_420:gt ['-50', '15', '-4', '48', '15']:pred [45.001232  15.         5.6897655 48.        10.428822 ]
sedan2door_-50_23_-4_35_15_50_30_420:gt ['-50', '23', '-4', '35', '15']:pred [36.517097 23.        4.       35.       15.      ]
sedan4door_-17_23_-4_10_28_50_30_420:gt ['-17', '23', '-4', '10', '28']:pred [34.095203 23.       11.017016 10.       28.      ]
sedan2door_-17_23_-36_35_28_230_30_420:gt ['-17', '23', '-36', '35', '28']:pred [17.       18.978964 36.       35.       33.42554 ]
suv_-50_45_-36_48_28_20_70_420:gt ['-50', '45', '-36', '48', '28']:pred [49.331764 48.00607  18.702797 48.       16.672926]
hatchback_-17_45_-36_10_15_20_70_420:gt ['-17', '45', '-36', '10', '15']:pred [17.144129 41.888382 26.036722 43.48567  18.639435]
hatchback_-30_15_-4_48_15_50_70_420:gt ['-30', '15', '-4', '48', '15']:pred [29.22207   11.097028  14.560101  35.861088  15.2486105]
suv_-30_45_-22_10_46_20_70_420:gt ['-30', '45', '-22', '10', '46']:pred [39.481785 20.776482 17.69615  35.320286 37.80071 ]
hybrid_-30_23_-4_48_46_20_30_420:gt ['-30', '23', '-4', '48', '46']:pred [38.42783  23.        4.       48.       25.204254]
suv_-30_15_-4_48_28_50_70_420:gt ['-30', '15', '-4', '48', '28']:pred [41.349304 13.72163  17.77281  37.80358   9.03186 ]
hybrid_-50_45_-22_10_28_140_30_420:gt ['-50', '45', '-22', '10', '28']:pred [50.       38.325974 22.       10.       28.      ]
hybrid_-30_15_-22_35_28_50_30_420:gt ['-30', '15', '-22', '35', '28']:pred [35.87651 15.      22.      35.      28.     ]
hatchback_-30_15_-22_35_46_140_30_420:gt ['-30', '15', '-22', '35', '46']:pred [30.       12.052291 22.       25.608925 22.489143]
hybrid_-30_45_-22_35_28_20_70_420:gt ['-30', '45', '-22', '35', '28']:pred [22.712833 23.72415  22.       35.       29.018711]
hybrid_-30_23_-22_10_15_230_30_420:gt ['-30', '23', '-22', '10', '15']:pred [30.        8.305894 22.       10.        7.706091]
hybrid_-50_23_-36_35_46_230_30_420:gt ['-50', '23', '-36', '35', '46']:pred [50.        8.485115 36.       35.       43.339275]
sedan2door_-30_15_-22_48_46_230_70_420:gt ['-30', '15', '-22', '48', '46']:pred [37.264645   7.6492844 22.        48.        51.09098  ]
sedan4door_-30_23_-22_10_28_20_30_420:gt ['-30', '23', '-22', '10', '28']:pred [37.36449   23.        33.041748  10.        11.3979645]
sedan2door_-30_15_-22_48_15_230_30_420:gt ['-30', '15', '-22', '48', '15']:pred [30.        9.589526 22.       48.       11.871786]
sedan2door_-17_15_-36_35_15_140_70_420:gt ['-17', '15', '-36', '35', '15']:pred [30.735079   4.4871063 36.        35.        45.997276 ]
hybrid_-50_45_-4_35_46_140_70_420:gt ['-50', '45', '-4', '35', '46']:pred [30.703432 37.794575  4.       35.       39.830933]
hatchback_-17_45_-36_48_46_50_30_420:gt ['-17', '45', '-36', '48', '46']:pred [48.579285 45.       40.335617 48.       46.      ]
sedan2door_-30_23_-22_10_15_230_70_420:gt ['-30', '23', '-22', '10', '15']:pred [37.557434 15.742682 22.       10.       10.408562]
suv_-17_15_-4_10_46_50_30_420:gt ['-17', '15', '-4', '10', '46']:pred [29.33735  15.       19.001698 10.       46.      ]
hatchback_-50_15_-4_10_46_230_70_420:gt ['-50', '15', '-4', '10', '46']:pred [39.602955 10.215392 21.285845 13.579261 52.524273]
hybrid_-30_23_-22_35_15_140_30_420:gt ['-30', '23', '-22', '35', '15']:pred [30.       21.432201 22.       35.       15.      ]
sedan4door_-17_45_-22_48_46_50_70_420:gt ['-17', '45', '-22', '48', '46']:pred [43.66657  30.916712 25.039076 35.98735   8.65773 ]
hatchback_-30_23_-4_10_28_20_70_420:gt ['-30', '23', '-4', '10', '28']:pred [22.857382 22.620848  9.606584 43.142853 29.208248]
hybrid_-30_45_-22_35_46_20_30_420:gt ['-30', '45', '-22', '35', '46']:pred [40.782097 45.       22.       35.       27.937143]
suv_-50_23_-4_48_46_230_70_420:gt ['-50', '23', '-4', '48', '46']:pred [36.215775 42.26718  19.224436 44.265938 38.489624]
sedan4door_-50_45_-4_35_15_20_70_420:gt ['-50', '45', '-4', '35', '15']:pred [40.248123 42.96051   9.327516 40.767002  6.848236]
sedan4door_-50_15_-4_10_15_20_70_420:gt ['-50', '15', '-4', '10', '15']:pred [39.065758 16.152338 10.363784 30.370155  5.618269]
hybrid_-50_45_-4_48_46_50_30_420:gt ['-50', '45', '-4', '48', '46']:pred [39.073387 45.        4.       48.       46.      ]
hatchback_-30_45_-36_48_28_20_30_420:gt ['-30', '45', '-36', '48', '28']:pred [41.810204 45.       31.553017 48.       22.436321]
sedan4door_-50_23_-22_35_15_20_30_420:gt ['-50', '23', '-22', '35', '15']:pred [48.608047 23.       30.12577  35.       11.471426]
sedan4door_-50_23_-22_35_46_140_30_420:gt ['-50', '23', '-22', '35', '46']:pred [50.       19.395037 22.       28.508133 12.930459]
suv_-17_45_-36_10_15_140_70_420:gt ['-17', '45', '-36', '10', '15']:pred [36.971325 38.706635 36.       32.46901  19.774038]
suv_-17_15_-36_10_15_140_30_420:gt ['-17', '15', '-36', '10', '15']:pred [17.       12.307878 36.       13.727552 12.195324]
hatchback_-50_45_-4_48_15_20_30_420:gt ['-50', '45', '-4', '48', '15']:pred [52.008247 45.        9.530765 48.       16.969503]
sedan4door_-30_23_-22_10_15_20_70_420:gt ['-30', '23', '-22', '10', '15']:pred [38.86962   24.885263  14.119849  26.702108   5.1218314]
suv_-30_45_-4_48_15_230_70_420:gt ['-30', '45', '-4', '48', '15']:pred [43.396828 48.80067  21.391024 42.67018  20.538645]
hybrid_-17_15_-4_10_15_20_70_420:gt ['-17', '15', '-4', '10', '15']:pred [17.419914 12.944235  4.       10.       13.139949]
sedan2door_-17_45_-4_10_15_50_30_420:gt ['-17', '45', '-4', '10', '15']:pred [41.42945 45.       4.      10.      15.     ]
suv_-50_45_-36_48_46_230_70_420:gt ['-50', '45', '-36', '48', '46']:pred [43.14977  53.76104  39.699097 45.37414  39.296547]
sedan4door_-50_15_-36_10_15_50_70_420:gt ['-50', '15', '-36', '10', '15']:pred [28.8812    36.74225   41.75267   22.59047    4.2486815]
hybrid_-50_15_-36_48_46_230_30_420:gt ['-50', '15', '-36', '48', '46']:pred [50.         5.9922423 36.        48.        43.397263 ]
hybrid_-30_45_-22_48_46_140_70_420:gt ['-30', '45', '-22', '48', '46']:pred [40.648117 25.159    22.       48.       41.82295 ]
sedan2door_-30_45_-36_10_28_230_70_420:gt ['-30', '45', '-36', '10', '28']:pred [37.640354 41.888573 36.       10.       34.204865]
sedan4door_-50_23_-4_10_46_230_70_420:gt ['-50', '23', '-4', '10', '46']:pred [28.290808 19.324427 14.349892 18.150915 49.028625]
hatchback_-30_23_-36_10_46_140_30_420:gt ['-30', '23', '-36', '10', '46']:pred [30.       19.606863 36.       16.979195 24.753027]
sedan4door_-30_23_-36_10_46_50_30_420:gt ['-30', '23', '-36', '10', '46']:pred [40.47835  23.       32.750847 10.       46.      ]
suv_-30_45_-22_10_46_50_70_420:gt ['-30', '45', '-22', '10', '46']:pred [41.582375 26.517595 19.80832  37.15806  26.941881]
sedan4door_-17_45_-4_10_15_140_30_420:gt ['-17', '45', '-4', '10', '15']:pred [17.       34.434082  4.       17.667015  7.70967 ]
suv_-30_23_-4_10_28_20_30_420:gt ['-30', '23', '-4', '10', '28']:pred [35.677048 23.       10.985099 10.       20.441647]
suv_-17_15_-22_48_15_230_70_420:gt ['-17', '15', '-22', '48', '15']:pred [24.684408 14.986613 35.925526 44.882626 21.994629]
suv_-30_45_-36_35_46_50_30_420:gt ['-30', '45', '-36', '35', '46']:pred [40.939934 45.       45.701057 35.       46.      ]
suv_-50_45_-22_10_28_140_30_420:gt ['-50', '45', '-22', '10', '28']:pred [50.       35.0771   22.       20.36812  18.143818]
hatchback_-17_45_-22_48_28_140_30_420:gt ['-17', '45', '-22', '48', '28']:pred [17.       40.39566  22.       27.588993 14.755132]
suv_-17_45_-4_35_15_50_70_420:gt ['-17', '45', '-4', '35', '15']:pred [42.9866    19.894436  12.8600855 32.683693   8.519959 ]
sedan4door_-17_15_-22_35_28_230_30_420:gt ['-17', '15', '-22', '35', '28']:pred [17.       12.790933 22.       31.720383 43.799892]
hatchback_-30_15_-22_35_15_230_30_420:gt ['-30', '15', '-22', '35', '15']:pred [30.        6.890577 22.       21.786175 14.961568]
hybrid_-30_45_-36_48_28_50_30_420:gt ['-30', '45', '-36', '48', '28']:pred [37.20603 45.      36.      48.      28.     ]
sedan2door_-50_23_-36_10_28_230_70_420:gt ['-50', '23', '-36', '10', '28']:pred [37.20811  21.548624 36.       10.       33.29534 ]
sedan4door_-30_15_-36_35_15_20_70_420:gt ['-30', '15', '-36', '35', '15']:pred [26.756748 32.329823 22.57383  37.484043 10.987193]
suv_-50_45_-22_48_28_140_70_420:gt ['-50', '45', '-22', '48', '28']:pred [35.91926  49.352856 22.       42.78172  43.079308]
hybrid_-50_23_-22_35_15_140_30_420:gt ['-50', '23', '-22', '35', '15']:pred [50.       21.65286  22.       35.        8.524912]
sedan4door_-17_45_-22_10_28_140_30_420:gt ['-17', '45', '-22', '10', '28']:pred [17.       35.349155 22.       18.491262  8.40522 ]
sedan4door_-17_45_-36_35_28_20_70_420:gt ['-17', '45', '-36', '35', '28']:pred [21.99392  40.925934 24.939314 44.655712 23.616316]
hybrid_-30_15_-36_35_46_50_70_420:gt ['-30', '15', '-36', '35', '46']:pred [23.782333 18.605503 36.       35.       30.534128]
hybrid_-17_45_-4_35_15_20_70_420:gt ['-17', '45', '-4', '35', '15']:pred [18.120247 23.063229  4.       35.       13.266233]
sedan2door_-17_23_-22_10_46_140_70_420:gt ['-17', '23', '-22', '10', '46']:pred [30.841156   5.1226764 22.        10.        51.55332  ]
sedan4door_-50_45_-4_35_15_230_30_420:gt ['-50', '45', '-4', '35', '15']:pred [50.       55.16633   4.       40.458466 20.083838]
sedan2door_-30_15_-36_35_15_230_30_420:gt ['-30', '15', '-36', '35', '15']:pred [30.        9.189218 36.       35.       11.527637]
sedan4door_-17_23_-36_10_15_50_30_420:gt ['-17', '23', '-36', '10', '15']:pred [41.75638 23.      35.44649 10.      15.     ]
sedan2door_-17_15_-22_35_15_50_70_420:gt ['-17', '15', '-22', '35', '15']:pred [39.468704 10.089189 22.       35.       10.389953]
hatchback_-30_45_-36_10_46_20_70_420:gt ['-30', '45', '-36', '10', '46']:pred [24.924904 44.575462 26.072252 51.33802  43.264877]
hybrid_-17_23_-22_48_46_20_70_420:gt ['-17', '23', '-22', '48', '46']:pred [20.463013 19.776554 22.       48.       35.54701 ]
