suv_-40_20_-20_20_40_240_80_400:gt ['-40', '20', '-20', '20', '40']:pred [21.484638 23.551023 21.614264 24.023294 22.71466 ]
suv_-20_40_0_0_0_240_40_400:gt ['-20', '40', '0', '0', '0']:pred [20.       21.280685  0.       22.16535  23.74213 ]
hatchback_-40_0_0_20_40_80_20_400:gt ['-40', '0', '0', '20', '40']:pred [25.090101  0.       21.551283 20.       40.      ]
hybrid_-40_20_0_20_40_240_80_450:gt ['-40', '20', '0', '20', '40']:pred [19.678867 18.978231  0.       20.63887  19.385122]
sedan2door_-20_40_0_40_0_320_20_400:gt ['-20', '40', '0', '40', '0']:pred [16.658304 40.       20.569565 40.       19.968897]
sedan2door_-20_0_-40_40_20_160_80_400:gt ['-20', '0', '-40', '40', '20']:pred [19.033215 16.498539 40.       20.618858 20.514683]
suv_0_0_-20_40_40_320_20_400:gt ['0', '0', '-20', '40', '40']:pred [18.202772  0.       18.854912 40.       20.782768]
hybrid_-40_20_-40_0_20_0_80_450:gt ['-40', '20', '-40', '0', '20']:pred [20.621363 22.57273  23.64091   0.       18.768188]
hatchback_-40_20_0_0_20_320_40_400:gt ['-40', '20', '0', '0', '20']:pred [24.096428 20.       21.174685  0.       19.287115]
sedan4door_-40_0_0_20_0_160_20_450:gt ['-40', '0', '0', '20', '0']:pred [40.       17.532103  0.       19.672182  0.      ]
sedan2door_-40_20_-40_20_20_0_60_450:gt ['-40', '20', '-40', '20', '20']:pred [23.752182 22.353    18.00795  20.       18.398249]
hatchback_0_20_-20_20_20_80_60_400:gt ['0', '20', '-20', '20', '20']:pred [17.332558 18.701267 17.92407  22.023817 18.126003]
suv_-40_20_-20_0_0_0_20_400:gt ['-40', '20', '-20', '0', '0']:pred [22.226715 20.       19.339039  0.        0.      ]
sedan2door_-40_40_0_40_20_0_20_400:gt ['-40', '40', '0', '40', '20']:pred [22.75842  40.       16.988974 40.       20.      ]
hybrid_-40_0_-20_0_40_160_40_450:gt ['-40', '0', '-20', '0', '40']:pred [40.       16.7584   20.        0.       18.720644]
suv_-40_40_0_40_40_160_80_400:gt ['-40', '40', '0', '40', '40']:pred [21.812225 23.732397  0.       26.997501 24.977633]
suv_-20_20_-20_20_0_160_60_400:gt ['-20', '20', '-20', '20', '0']:pred [18.941477 16.545994 20.       20.292912 21.065369]
suv_-40_40_-40_0_20_80_20_400:gt ['-40', '40', '-40', '0', '20']:pred [26.991678 40.       19.058147  0.       20.      ]
sedan2door_0_0_0_20_20_0_80_400:gt ['0', '0', '0', '20', '20']:pred [16.235044 17.665     0.       20.       20.243431]
sedan2door_0_20_-20_20_0_80_60_400:gt ['0', '20', '-20', '20', '0']:pred [17.830992 17.073387 20.       20.       17.968071]
sedan4door_-20_40_0_20_0_0_20_450:gt ['-20', '40', '0', '20', '0']:pred [17.174229 40.       19.979834 20.        0.      ]
hybrid_-40_20_-40_20_20_320_40_400:gt ['-40', '20', '-40', '20', '20']:pred [25.143517 20.       20.994705 20.       18.81841 ]
suv_0_40_-20_40_0_160_80_400:gt ['0', '40', '-20', '40', '0']:pred [20.569805 22.59582  24.607103 22.455944 19.398767]
sedan4door_-40_20_0_40_0_160_40_400:gt ['-40', '20', '0', '40', '0']:pred [40.       18.047873  0.       22.523148 22.112474]
sedan2door_-20_20_0_40_20_160_80_450:gt ['-20', '20', '0', '40', '20']:pred [21.979277 19.66819   0.       20.95297  19.893145]
sedan4door_-40_40_-40_0_0_240_80_400:gt ['-40', '40', '-40', '0', '0']:pred [22.661932 23.959694 23.569466 20.540533 20.566843]
hatchback_-20_20_-40_40_20_240_80_450:gt ['-20', '20', '-40', '40', '20']:pred [21.465092 20.24622  22.900126 19.526505 21.954533]
hatchback_-40_40_-20_0_40_160_80_400:gt ['-40', '40', '-20', '0', '40']:pred [25.130035 22.340345 27.231627 22.187862 22.16887 ]
hatchback_-40_20_-20_0_20_160_40_400:gt ['-40', '20', '-20', '0', '20']:pred [40.       20.344128 20.       19.86419  19.891907]
sedan2door_-40_40_0_20_0_240_60_450:gt ['-40', '40', '0', '20', '0']:pred [21.656752 20.403425  0.       21.823187 17.674341]
sedan4door_-20_20_0_40_0_240_20_400:gt ['-20', '20', '0', '40', '0']:pred [20.       21.624178  0.       21.453724 19.686207]
sedan4door_0_0_-20_40_40_80_40_450:gt ['0', '0', '-20', '40', '40']:pred [17.370495 18.82629  18.935905 40.       40.      ]
sedan2door_-40_0_-40_40_40_320_60_450:gt ['-40', '0', '-40', '40', '40']:pred [22.961401 19.765812 16.837019 40.       19.37323 ]
suv_0_20_-20_20_0_0_80_400:gt ['0', '20', '-20', '20', '0']:pred [17.413666 18.563934 18.90107  21.972086 17.305193]
hatchback_0_20_-20_0_40_0_80_400:gt ['0', '20', '-20', '0', '40']:pred [18.223866 21.324396 20.70049   0.       22.30879 ]
hatchback_0_20_0_0_20_0_20_400:gt ['0', '20', '0', '0', '20']:pred [14.759926 20.       19.07798   0.       20.      ]
hybrid_0_0_-40_20_20_160_80_450:gt ['0', '0', '-40', '20', '20']:pred [14.378319 14.489595 40.       17.186295 18.340511]
sedan4door_-20_40_-20_0_20_80_60_400:gt ['-20', '40', '-20', '0', '20']:pred [17.216885 19.3267   20.784494 24.21336  17.605015]
sedan2door_-20_20_-40_0_40_0_20_400:gt ['-20', '20', '-40', '0', '40']:pred [17.56635  20.       17.765718  0.       40.      ]
hybrid_-40_40_-20_0_40_240_40_400:gt ['-40', '40', '-20', '0', '40']:pred [40.       22.726547 20.       22.841227 20.078966]
sedan2door_-20_20_0_40_40_80_80_450:gt ['-20', '20', '0', '40', '40']:pred [20.250355 18.200903  0.       40.       40.      ]
suv_0_0_-20_0_0_240_40_400:gt ['0', '0', '-20', '0', '0']:pred [ 0.       15.941599 20.       19.601307 18.440546]
suv_0_20_-40_40_40_80_80_450:gt ['0', '20', '-40', '40', '40']:pred [21.188076 23.08302  23.79959  25.087236 40.      ]
sedan2door_0_40_-40_40_0_240_80_400:gt ['0', '40', '-40', '40', '0']:pred [19.965813 20.443413 40.       20.05337  22.458069]
hatchback_0_40_-20_0_20_0_20_400:gt ['0', '40', '-20', '0', '20']:pred [15.461479 40.       19.977552  0.       20.      ]
hybrid_0_0_0_40_40_0_80_400:gt ['0', '0', '0', '40', '40']:pred [16.250816 17.622116  0.       40.       22.717306]
sedan2door_0_20_-40_40_0_320_40_400:gt ['0', '20', '-40', '40', '0']:pred [13.181185 20.       40.       40.       16.208569]
sedan2door_0_0_-40_40_20_320_20_400:gt ['0', '0', '-40', '40', '20']:pred [14.895145  0.       18.283808 40.       18.845812]
sedan2door_0_20_-40_20_20_0_40_400:gt ['0', '20', '-40', '20', '20']:pred [12.66284  20.       14.248641 20.       17.425903]
hatchback_-40_20_-20_0_0_160_40_450:gt ['-40', '20', '-20', '0', '0']:pred [40.       18.608423 20.       19.763767 18.82012 ]
hybrid_-40_40_0_20_40_320_80_400:gt ['-40', '40', '0', '20', '40']:pred [18.955122 20.766525 21.70721  20.       25.230677]
suv_-40_20_0_40_20_240_20_450:gt ['-40', '20', '0', '40', '20']:pred [40.       22.023859  0.       23.057684 21.192814]
suv_-40_0_-20_40_20_320_80_400:gt ['-40', '0', '-20', '40', '20']:pred [23.60973  25.87714  20.944157 26.575304 22.994062]
sedan4door_-40_40_-20_0_20_320_60_450:gt ['-40', '40', '-20', '0', '20']:pred [26.617079 25.705889 19.745062  0.       21.770264]
hybrid_-20_40_-20_40_20_320_40_450:gt ['-20', '40', '-20', '40', '20']:pred [19.21866  40.       20.729824 40.       18.133293]
hatchback_0_0_0_0_0_320_80_450:gt ['0', '0', '0', '0', '0']:pred [14.863583  16.474072  17.307306  17.767733  15.3706255]
sedan4door_-20_20_0_0_40_320_40_450:gt ['-20', '20', '0', '0', '40']:pred [17.427382 20.       19.045437  0.       20.400255]
hatchback_-40_40_-40_0_40_80_40_400:gt ['-40', '40', '-40', '0', '40']:pred [26.411486 26.863483 23.179121  0.       40.      ]
hybrid_-20_20_-20_20_0_320_40_400:gt ['-20', '20', '-20', '20', '0']:pred [18.440483 20.       20.766485 20.       16.094048]
hatchback_-20_0_-20_0_0_240_40_450:gt ['-20', '0', '-20', '0', '0']:pred [20.       15.09718  20.       18.325186 17.121376]
sedan4door_0_40_0_40_20_0_80_400:gt ['0', '40', '0', '40', '20']:pred [17.76484  20.76903  16.267368 21.439934 19.869501]
sedan2door_0_20_-40_20_40_160_60_400:gt ['0', '20', '-40', '20', '40']:pred [17.186935 15.264996 40.       19.320614 20.038963]
sedan4door_-20_0_-40_40_0_320_80_400:gt ['-20', '0', '-40', '40', '0']:pred [19.60372  20.76593  21.093046 22.041641 21.135286]
hybrid_-40_20_-20_40_20_240_80_450:gt ['-40', '20', '-20', '40', '20']:pred [19.2716   18.797615 20.       20.433363 17.324903]
sedan2door_-20_0_0_40_40_0_40_450:gt ['-20', '0', '0', '40', '40']:pred [20.347412  0.       20.742805 40.       22.27756 ]
sedan2door_0_20_-40_0_20_240_40_450:gt ['0', '20', '-40', '0', '20']:pred [ 0.       17.577482 40.       18.310276 18.071789]
sedan2door_-40_0_0_0_0_240_20_400:gt ['-40', '0', '0', '0', '0']:pred [40.       20.02474   0.        0.       17.381552]
sedan4door_0_0_-40_0_0_160_20_450:gt ['0', '0', '-40', '0', '0']:pred [ 0.       16.314007 40.       19.310785  0.      ]
hybrid_0_0_-20_40_40_320_20_450:gt ['0', '0', '-20', '40', '40']:pred [13.652193  0.       20.       40.       19.176483]
hatchback_-40_20_0_0_20_320_40_400:gt ['-40', '20', '0', '0', '20']:pred [24.096428 20.       21.174685  0.       19.287115]
sedan4door_0_20_-20_20_0_80_80_400:gt ['0', '20', '-20', '20', '0']:pred [22.695616 20.643478 23.234167 23.244242  0.      ]
hybrid_0_0_-20_0_0_80_60_400:gt ['0', '0', '-20', '0', '0']:pred [14.119998 14.704831 20.        0.       15.139524]
hatchback_0_40_0_20_0_240_80_400:gt ['0', '40', '0', '20', '0']:pred [20.705294 23.364187 20.75068  20.138525 20.609364]
sedan2door_-40_0_-40_0_20_160_20_400:gt ['-40', '0', '-40', '0', '20']:pred [40.       18.429516 40.        0.       20.      ]
suv_0_0_-20_40_20_80_20_450:gt ['0', '0', '-20', '40', '20']:pred [19.121506  0.       21.162725 40.       20.      ]
sedan2door_-20_0_0_0_20_80_40_450:gt ['-20', '0', '0', '0', '20']:pred [18.735004 17.724043  0.        0.       20.      ]
sedan2door_-20_20_0_40_0_0_40_400:gt ['-20', '20', '0', '40', '0']:pred [17.31084  20.       16.333158 40.       18.22702 ]
sedan4door_-20_20_-40_20_40_0_40_450:gt ['-20', '20', '-40', '20', '40']:pred [18.79479  20.       21.198858 20.       20.40077 ]
hybrid_-40_20_-40_0_0_240_60_400:gt ['-40', '20', '-40', '0', '0']:pred [19.182447 19.321758 40.       22.390898 18.775085]
sedan2door_0_40_0_0_40_160_60_400:gt ['0', '40', '0', '0', '40']:pred [19.202835 18.861208  0.       20.757963 20.920095]
sedan4door_-20_40_0_40_40_80_80_400:gt ['-20', '40', '0', '40', '40']:pred [22.394728 24.572147 21.98684  21.370129 40.      ]
hatchback_-20_0_0_20_20_240_20_450:gt ['-20', '0', '0', '20', '20']:pred [20.       19.24741   0.       20.110193 19.555586]
sedan2door_0_40_-20_40_40_240_40_450:gt ['0', '40', '-20', '40', '40']:pred [ 0.       20.617176 20.       40.       21.345968]
sedan4door_-40_40_0_40_0_0_80_400:gt ['-40', '40', '0', '40', '0']:pred [25.385546 23.958109 17.467579 22.103567 19.068851]
sedan2door_0_20_-20_0_0_80_80_450:gt ['0', '20', '-20', '0', '0']:pred [17.960573 15.162733 20.        0.        0.      ]
hybrid_-40_0_-20_20_0_240_60_400:gt ['-40', '0', '-20', '20', '0']:pred [17.262554 17.656654 20.       19.957405 18.273317]
hybrid_-40_20_-20_0_0_80_80_450:gt ['-40', '20', '-20', '0', '0']:pred [22.490059 19.660229 20.        0.        0.      ]
hatchback_0_0_0_20_40_0_80_400:gt ['0', '0', '0', '20', '40']:pred [18.9961   20.512104 21.332857 22.67944  19.875845]
sedan2door_-40_0_-40_40_20_320_40_400:gt ['-40', '0', '-40', '40', '20']:pred [22.441559  0.       18.55394  40.       20.80559 ]
hybrid_0_40_-40_20_0_0_60_450:gt ['0', '40', '-40', '20', '0']:pred [15.00184  20.121256 16.171516 20.       15.754017]
hatchback_-40_0_-20_20_0_80_20_450:gt ['-40', '0', '-20', '20', '0']:pred [23.192034  0.       20.48293  20.        0.      ]
suv_-40_40_-20_40_0_0_40_450:gt ['-40', '40', '-20', '40', '0']:pred [24.817848 40.       21.345373 40.       21.228596]
hatchback_-20_0_0_20_20_0_40_450:gt ['-20', '0', '0', '20', '20']:pred [19.63043   0.       18.335827 20.       20.102495]
sedan2door_-40_40_0_20_40_80_40_400:gt ['-40', '40', '0', '20', '40']:pred [24.660057 25.171944 17.873182 20.       40.      ]
suv_-40_20_-20_40_40_80_60_450:gt ['-40', '20', '-20', '40', '40']:pred [21.011591 20.263033 18.483347 21.480415 23.606483]
hatchback_-20_20_-40_0_40_160_20_450:gt ['-20', '20', '-40', '0', '40']:pred [20.       19.330185 40.       18.303066 40.      ]
hybrid_-40_20_-40_20_0_80_60_450:gt ['-40', '20', '-40', '20', '0']:pred [22.113384 18.306925 40.       20.       17.734846]
sedan4door_-40_0_-20_20_0_80_40_450:gt ['-40', '0', '-20', '20', '0']:pred [21.475084 19.726109 21.857893 20.        0.      ]
suv_-40_40_-40_40_40_160_80_450:gt ['-40', '40', '-40', '40', '40']:pred [25.048843 23.463675 26.021753 24.115465 21.688051]
sedan4door_0_20_-20_20_0_160_40_400:gt ['0', '20', '-20', '20', '0']:pred [ 0.       19.635706 20.       21.148787 20.35727 ]
sedan4door_-20_0_-40_20_0_80_60_400:gt ['-20', '0', '-40', '20', '0']:pred [18.091923 17.923292 21.090626 26.142237 18.332788]
sedan4door_-20_40_-20_40_40_240_20_450:gt ['-20', '40', '-20', '40', '40']:pred [20.       22.092861 20.       24.016634 22.703066]
suv_-40_0_-20_0_20_160_60_400:gt ['-40', '0', '-20', '0', '20']:pred [20.116465 15.453969 20.       20.15647  20.952995]
sedan2door_-40_40_-20_40_20_160_40_400:gt ['-40', '40', '-20', '40', '20']:pred [40.       20.372551 20.       40.       21.116123]
suv_-40_20_0_20_0_80_20_400:gt ['-40', '20', '0', '20', '0']:pred [27.09777  20.       20.149307 20.        0.      ]
suv_-40_20_-20_20_40_320_20_450:gt ['-40', '20', '-20', '20', '40']:pred [24.985342 20.       21.512936 20.       24.173477]
suv_0_40_-20_20_0_160_20_400:gt ['0', '40', '-20', '20', '0']:pred [ 0.       21.743572 20.       20.54238   0.      ]
sedan2door_0_0_-20_0_0_0_20_450:gt ['0', '0', '-20', '0', '0']:pred [15.38229  0.      20.       0.       0.     ]
suv_-40_40_-40_20_40_240_40_400:gt ['-40', '40', '-40', '20', '40']:pred [40.       21.776432 40.       21.7124   28.012873]
suv_-40_0_-40_20_40_80_80_400:gt ['-40', '0', '-40', '20', '40']:pred [25.567806 22.498663 21.010757 26.43917  25.805882]
sedan4door_0_40_-40_40_20_160_20_400:gt ['0', '40', '-40', '40', '20']:pred [ 0.       21.530441 40.       21.295534 20.      ]
sedan4door_-40_40_-20_40_20_240_20_450:gt ['-40', '40', '-20', '40', '20']:pred [40.       21.78618  20.       24.022406 20.418455]
hatchback_0_40_0_0_0_80_20_450:gt ['0', '40', '0', '0', '0']:pred [19.969397 40.       20.486002  0.        0.      ]
hatchback_-40_20_0_0_20_320_20_450:gt ['-40', '20', '0', '0', '20']:pred [21.635565 20.       22.486765  0.       17.576931]
sedan4door_0_0_-40_20_0_0_60_400:gt ['0', '0', '-40', '20', '0']:pred [16.547815 23.326784 18.513285 20.       17.472328]
hybrid_0_0_-20_20_0_0_60_450:gt ['0', '0', '-20', '20', '0']:pred [14.298715 19.981262 20.       20.       16.264927]
sedan4door_-40_20_-40_0_20_0_60_400:gt ['-40', '20', '-40', '0', '20']:pred [26.311079 27.529448 21.841948  0.       22.025085]
suv_0_0_-40_40_0_80_20_450:gt ['0', '0', '-40', '40', '0']:pred [20.932234  0.       22.658272 40.        0.      ]
hatchback_-40_20_-40_20_40_240_80_400:gt ['-40', '20', '-40', '20', '40']:pred [22.976395 23.06152  23.542381 20.609318 22.594452]
hybrid_-40_0_-40_20_40_160_20_450:gt ['-40', '0', '-40', '20', '40']:pred [40.       18.046967 40.       20.       40.      ]
sedan2door_-40_20_0_20_0_160_80_400:gt ['-40', '20', '0', '20', '0']:pred [23.8683   20.967873  0.       22.509693 20.513216]
suv_-40_40_0_0_20_320_20_400:gt ['-40', '40', '0', '0', '20']:pred [24.832518 40.       19.015001  0.       21.49914 ]
hatchback_-20_20_-20_40_20_320_60_450:gt ['-20', '20', '-20', '40', '20']:pred [24.647633 23.860937 21.123898 27.45791  20.339828]
suv_-20_40_0_20_20_160_40_450:gt ['-20', '40', '0', '20', '20']:pred [20.       22.720896  0.       20.658546 20.430021]
sedan4door_0_0_-40_0_40_80_40_400:gt ['0', '0', '-40', '0', '40']:pred [18.040565 23.805838 19.40349   0.       40.      ]
hybrid_-20_20_0_40_20_320_40_400:gt ['-20', '20', '0', '40', '20']:pred [18.505484 20.       19.987022 40.       18.190855]
sedan4door_-40_0_-20_0_0_0_60_400:gt ['-40', '0', '-20', '0', '0']:pred [21.318699 25.398289 20.504349  0.       19.243017]
hybrid_-40_0_-40_40_20_0_80_450:gt ['-40', '0', '-40', '40', '20']:pred [18.005108 21.406046 23.066713 40.       18.680904]
hybrid_-40_20_-40_0_40_80_60_400:gt ['-40', '20', '-40', '0', '40']:pred [21.04471  22.262247 23.21516   0.       19.628954]
suv_0_0_-40_20_20_0_20_400:gt ['0', '0', '-40', '20', '20']:pred [17.184546  0.       20.425755 20.       20.      ]
hatchback_-20_40_-20_20_0_0_40_450:gt ['-20', '40', '-20', '20', '0']:pred [20.433847 40.       19.449762 20.       18.893888]
suv_-20_40_-40_20_40_160_40_400:gt ['-20', '40', '-40', '20', '40']:pred [20.       24.72034  40.       22.566418 22.848007]
sedan4door_-40_40_-20_0_20_80_80_450:gt ['-40', '40', '-20', '0', '20']:pred [23.504932 22.30352  22.92732  25.134304 20.      ]
suv_-40_20_0_0_20_160_80_400:gt ['-40', '20', '0', '0', '20']:pred [20.498522 22.221989  0.       24.22046  23.187952]
hybrid_-20_20_-20_40_20_240_60_400:gt ['-20', '20', '-20', '40', '20']:pred [19.608395 17.544222 20.       22.252365 19.94113 ]
sedan2door_-20_0_0_20_40_80_60_450:gt ['-20', '0', '0', '20', '40']:pred [19.127018 16.808697  0.       20.       19.821037]
suv_-20_40_-40_40_0_160_40_450:gt ['-20', '40', '-40', '40', '0']:pred [20.       22.655712 40.       20.668846 18.883299]
sedan4door_-40_20_-40_0_0_0_20_450:gt ['-40', '20', '-40', '0', '0']:pred [24.347296 20.       22.767277  0.        0.      ]
sedan4door_0_0_-20_40_40_80_80_400:gt ['0', '0', '-20', '40', '40']:pred [21.892826 20.118635 22.940374 22.509375 40.      ]
hybrid_-20_20_-40_40_40_320_40_450:gt ['-20', '20', '-40', '40', '40']:pred [19.32359  20.       21.30736  40.       19.947113]
hybrid_-40_20_-20_20_20_160_80_400:gt ['-40', '20', '-20', '20', '20']:pred [20.181719 19.492111 20.       24.033192 21.182217]
suv_-20_20_0_40_20_160_40_400:gt ['-20', '20', '0', '40', '20']:pred [20.       20.488543  0.       22.477064 21.163042]
hybrid_-40_20_-20_0_0_0_80_450:gt ['-40', '20', '-20', '0', '0']:pred [19.251492 21.520515 22.755707  0.       18.04641 ]
hatchback_-40_40_-20_40_40_160_80_400:gt ['-40', '40', '-20', '40', '40']:pred [26.615887 25.549528 29.076506 23.485094 21.977108]
hybrid_0_40_-40_40_40_160_60_450:gt ['0', '40', '-40', '40', '40']:pred [19.531761 19.211235 40.       21.090597 18.888815]
hybrid_0_40_-20_40_40_320_80_450:gt ['0', '40', '-20', '40', '40']:pred [14.036176 16.914364 19.57068  40.       19.059616]
sedan2door_-20_20_-20_40_20_0_80_400:gt ['-20', '20', '-20', '40', '20']:pred [20.988834 21.714624 20.       40.       21.296877]
hatchback_0_40_-20_0_20_0_60_400:gt ['0', '40', '-20', '0', '20']:pred [16.138416 24.848047 19.928448  0.       19.137007]
hybrid_-40_0_0_0_20_0_60_450:gt ['-40', '0', '0', '0', '20']:pred [19.8749   24.304544 20.401453  0.       19.317957]
hatchback_-20_20_0_0_0_320_60_400:gt ['-20', '20', '0', '0', '0']:pred [22.105316 25.789684 20.874489  0.       18.633326]
sedan4door_-40_0_-20_20_20_240_40_450:gt ['-40', '0', '-20', '20', '20']:pred [40.       17.627447 20.       21.7226   17.685736]
sedan2door_-20_40_0_20_40_160_80_400:gt ['-20', '40', '0', '20', '40']:pred [22.481325 22.981825  0.       24.341291 21.053017]
hatchback_0_40_0_40_20_320_60_400:gt ['0', '40', '0', '40', '20']:pred [18.930931 25.521523 18.474443 29.190632 19.075886]
suv_-40_20_-40_20_0_320_40_450:gt ['-40', '20', '-40', '20', '0']:pred [26.51903  20.       21.699913 20.       18.935432]
hybrid_0_20_-20_20_0_320_80_450:gt ['0', '20', '-20', '20', '0']:pred [14.855306 16.154802 20.       20.       14.717281]
sedan2door_-40_20_-20_20_40_0_40_400:gt ['-40', '20', '-20', '20', '40']:pred [23.983948 20.       17.0426   20.       24.187994]
hybrid_-40_20_-20_0_40_240_20_400:gt ['-40', '20', '-20', '0', '40']:pred [40.       21.166687 20.        0.       23.25524 ]
sedan2door_-20_20_-40_0_40_160_60_450:gt ['-20', '20', '-40', '0', '40']:pred [17.780249 17.24173  40.       19.938414 20.682386]
sedan2door_-20_0_-20_20_20_0_80_450:gt ['-20', '0', '-20', '20', '20']:pred [18.570951 18.454054 20.       20.       19.278534]
sedan4door_-40_20_-40_40_40_160_80_450:gt ['-40', '20', '-40', '40', '40']:pred [23.355537 22.894297 22.903587 20.868786 22.994942]
hatchback_-40_0_-20_40_40_0_40_450:gt ['-40', '0', '-20', '40', '40']:pred [25.897106  0.       22.554628 40.       23.89281 ]
sedan2door_-20_20_0_40_0_0_20_450:gt ['-20', '20', '0', '40', '0']:pred [18.390263 20.        0.       40.        0.      ]
hybrid_-40_40_-20_0_20_0_60_400:gt ['-40', '40', '-20', '0', '20']:pred [20.606108 24.540457 21.48466   0.       20.273533]
hatchback_-20_20_-20_0_0_240_80_400:gt ['-20', '20', '-20', '0', '0']:pred [20.64722  22.049448 20.5443   20.82503  20.229975]
hatchback_-40_20_-40_0_40_80_40_450:gt ['-40', '20', '-40', '0', '40']:pred [27.196812 24.667782 23.744944  0.       40.      ]
sedan2door_0_20_0_40_40_0_80_400:gt ['0', '20', '0', '40', '40']:pred [17.619081 20.213448  0.       40.       21.24598 ]
hatchback_-20_0_-40_0_40_320_60_400:gt ['-20', '0', '-40', '0', '40']:pred [25.59284  27.639582 23.486502  0.       24.185135]
sedan2door_-40_20_-20_20_0_240_60_450:gt ['-40', '20', '-20', '20', '0']:pred [21.214626 18.567463 20.       21.225615 16.836369]
hatchback_-40_0_-20_0_0_240_20_450:gt ['-40', '0', '-20', '0', '0']:pred [40.       16.974897 20.       17.866003 16.167095]
sedan2door_-20_40_-40_40_40_0_20_400:gt ['-20', '40', '-40', '40', '40']:pred [18.622633 40.       18.044653 40.       40.      ]
sedan2door_-20_40_-40_0_0_320_60_450:gt ['-20', '40', '-40', '0', '0']:pred [21.299358 19.525831 16.689627  0.       18.207798]
sedan2door_-20_0_-20_0_20_0_20_450:gt ['-20', '0', '-20', '0', '20']:pred [17.289814  0.       20.        0.       20.      ]
sedan4door_-20_40_-20_40_20_320_20_450:gt ['-20', '40', '-20', '40', '20']:pred [16.74533  40.       23.0289   40.       20.700336]
sedan4door_-40_0_-20_0_0_320_60_400:gt ['-40', '0', '-20', '0', '0']:pred [27.942324 25.870644 16.975992  0.       19.36453 ]
hatchback_0_20_0_40_0_320_60_450:gt ['0', '20', '0', '40', '0']:pred [17.537827 20.735228 18.354858 26.220304 15.958997]
sedan4door_-40_40_-40_20_40_80_40_450:gt ['-40', '40', '-40', '20', '40']:pred [22.999067 22.147247 21.429865 20.       40.      ]
hatchback_-40_0_0_40_40_160_80_450:gt ['-40', '0', '0', '40', '40']:pred [24.97499  20.688229 25.189468 20.76933  21.740671]
sedan2door_0_40_-20_20_0_240_20_400:gt ['0', '40', '-20', '20', '0']:pred [ 0.       23.054674 20.       20.       18.435497]
hybrid_-40_40_0_20_0_320_60_450:gt ['-40', '40', '0', '20', '0']:pred [25.624544 23.439293 20.052925 20.       17.737196]
hybrid_0_0_-20_40_0_320_80_400:gt ['0', '0', '-20', '40', '0']:pred [12.527489 17.022411 19.441536 40.       18.349888]
suv_-40_40_0_40_20_160_80_450:gt ['-40', '40', '0', '40', '20']:pred [23.832745 23.055525  0.       21.382616 20.669445]
sedan4door_0_40_-20_0_40_320_80_450:gt ['0', '40', '-20', '0', '40']:pred [17.149734 18.137074 19.09452  18.826485 17.869362]
sedan4door_-40_0_-20_0_40_0_40_400:gt ['-40', '0', '-20', '0', '40']:pred [21.972157  0.       19.271845  0.       23.427387]
hybrid_-40_40_-20_40_40_160_40_400:gt ['-40', '40', '-20', '40', '40']:pred [40.       22.096344 20.       40.       22.270962]
suv_0_0_-40_20_40_80_40_450:gt ['0', '0', '-40', '20', '40']:pred [22.82547  25.609274 19.89278  20.       40.      ]
sedan4door_0_40_-20_20_20_0_60_400:gt ['0', '40', '-20', '20', '20']:pred [14.980559 22.930405 18.545376 20.       18.532047]
hybrid_-40_40_0_20_40_80_20_400:gt ['-40', '40', '0', '20', '40']:pred [25.812984 40.        0.       20.       40.      ]
suv_-20_20_0_40_40_80_80_450:gt ['-20', '20', '0', '40', '40']:pred [19.098215 21.72853  22.5341   24.096724 40.      ]
hybrid_-20_0_-20_20_40_160_60_400:gt ['-20', '0', '-20', '20', '40']:pred [17.652576 15.519347 20.       19.860672 19.312164]
sedan4door_-20_0_-40_40_0_160_80_450:gt ['-20', '0', '-40', '40', '0']:pred [20.374622 20.462296 22.59238  20.494652 21.51419 ]
hybrid_0_0_0_40_20_80_40_400:gt ['0', '0', '0', '40', '20']:pred [15.146472 18.834126  0.       40.       20.      ]
suv_-20_40_-20_20_20_160_60_400:gt ['-20', '40', '-20', '20', '20']:pred [20.762823 19.81956  20.       20.146223 23.158377]
sedan2door_0_20_-20_40_40_80_20_400:gt ['0', '20', '-20', '40', '40']:pred [15.814263 20.       20.       40.       40.      ]
sedan2door_-40_20_-40_20_0_320_60_400:gt ['-40', '20', '-40', '20', '0']:pred [26.26395  22.518173 15.962089 20.       19.857822]
hybrid_-40_20_0_20_0_0_80_450:gt ['-40', '20', '0', '20', '0']:pred [19.309378 21.33277  22.953438 20.       18.418718]
sedan2door_0_40_-20_40_40_240_40_400:gt ['0', '40', '-20', '40', '40']:pred [ 0.       22.203747 20.       40.       24.297388]
sedan4door_-40_20_0_40_0_320_60_450:gt ['-40', '20', '0', '40', '0']:pred [26.050394 23.933794 17.694006 24.841398 17.740685]
hybrid_-40_0_-40_20_0_320_60_400:gt ['-40', '0', '-40', '20', '0']:pred [22.435186 23.44213  19.89982  20.       18.019436]
sedan4door_0_20_-40_40_20_0_60_450:gt ['0', '20', '-40', '40', '20']:pred [17.010115 21.554422 19.565105 40.       19.544014]
hybrid_-40_20_-20_40_40_160_80_400:gt ['-40', '20', '-20', '40', '40']:pred [20.675457 18.804571 20.       23.234001 24.563938]
hybrid_0_20_-40_20_40_320_20_400:gt ['0', '20', '-40', '20', '40']:pred [14.577169 20.       18.738531 20.       18.907707]
